name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
4bkt_11	0.990710	-9.059250	-13.153997	-16.415418	-18.231315	-23.255408	-30.273555	-37.754209	-40.440519	-41.890673	-39.815678	-35.193291	2.244799	-1.465559	-0.146925	1.181777	0.450619	-0.951928	-1.796542	-3.594152	-3.204140	-4.161254	-5.196842	-5.267033	5.071796	2.320213	2.611287	1.613545	-0.228696	-0.663440	-1.281841	-2.138770	-0.148612	2.257425	7.987637	14.609917	2.268581	-1.059732	0.039762	-0.955142	-1.404026	-1.164631	-2.339984	-5.013735	-6.768748	-9.511299	-12.924221	-15.640409	-104.494704	-280.437511	-505.705984	-769.627456	-1115.238943	-1527.962428	-2065.853224	-2643.624095	-3153.744218	-3582.498066	-3889.333130	-4124.722749	2.622675	-1.630809	0.293358	2.323205	3.156410	2.989585	3.032896	1.732579	2.290269	1.313716	0.266552	0.177491	-100.128768	-279.756503	-525.664492	-824.666221	-1218.215325	-1682.783303	-2283.769460	-2907.625915	-3436.381842	-3857.862779	-4141.982152	-4356.263036	3.523194	0.466370	1.407998	-0.245030	-1.682166	-2.173705	-3.448923	-6.117295	-7.886067	-10.121933	-12.675640	-14.662900	36
4bkt_140	11.942221	4.789526	0.268680	-2.817639	-2.860731	-7.971517	-14.234624	-20.927661	-22.379188	-21.745963	-18.916048	-14.000775	11.384630	4.671459	3.136127	4.452299	5.508960	3.407481	2.062309	1.501513	2.717584	3.083443	3.128386	3.272375	16.806051	15.918674	16.176349	16.503872	16.613907	16.413445	17.370958	17.678560	19.973768	23.349006	30.075277	36.516034	11.096680	3.740171	2.913944	2.555152	4.111009	4.118538	3.652072	2.315860	0.567286	-1.590679	-3.872164	-6.759411	-119.648652	-287.641854	-500.257525	-769.830826	-1125.773486	-1546.632116	-2066.810336	-2663.621902	-3170.825189	-3573.331285	-3892.005295	-4120.826884	12.536316	6.061446	5.109242	7.458221	10.184332	9.278176	8.690930	8.685084	10.056202	10.393145	10.432598	10.553573	-114.468817	-285.991121	-514.421465	-823.457267	-1227.950827	-1700.325573	-2278.290426	-2925.724762	-3452.025258	-3845.762826	-4143.096131	-4351.062549	13.357987	6.920554	5.805141	5.118130	5.712028	4.923584	4.324398	2.987117	1.230493	-0.372698	-1.807043	-3.958033	36
4bkt_161	5.155843	-4.536633	-7.612180	-10.455796	-12.860611	-18.118693	-26.261049	-32.420765	-34.865178	-35.316101	-32.155530	-27.463741	8.651816	2.699348	3.755618	6.074481	4.722850	2.397382	0.341069	-0.323397	0.064752	-0.296100	-0.075493	-0.241560	9.648744	7.129559	8.575816	8.437371	6.205092	5.094717	4.051613	4.453698	6.308829	9.342564	16.160714	22.645273	8.714291	2.945600	4.111850	4.094280	3.341466	2.368139	0.455602	-1.106098	-3.236979	-5.508536	-7.715473	-10.591022	-109.131017	-284.895958	-507.666370	-783.514723	-1133.970784	-1551.015528	-2105.204412	-2677.808782	-3190.214389	-3598.935160	-3907.827980	-4132.655108	9.265127	3.183215	4.862171	7.957711	8.103396	7.014115	5.911983	5.718527	6.269764	5.870921	6.083258	5.895638	-104.472445	-283.971669	-525.542165	-838.886808	-1235.622333	-1705.032480	-2324.564040	-2941.906658	-3473.661300	-3873.310946	-4159.755536	-4363.008423	10.327631	5.181769	6.152279	5.534013	3.677800	1.963478	-0.024486	-1.576489	-3.718617	-5.453114	-6.797027	-8.929703	36
4bkt_17	-4.827125	-13.967356	-19.575121	-23.203085	-24.870409	-29.307663	-36.371880	-45.527517	-47.934075	-48.144486	-45.803847	-40.608429	-0.035244	-4.784655	-5.272328	-3.726717	-3.988525	-5.068095	-6.579203	-9.067732	-8.008943	-8.354141	-8.572504	-7.797127	-0.539212	-3.407903	-3.904699	-4.955397	-6.691976	-6.388405	-6.980541	-8.675234	-6.616284	-3.959159	2.335247	9.528172	0.139299	-4.962285	-4.718488	-5.694133	-5.693156	-4.949765	-6.521900	-9.343261	-10.835552	-13.520891	-15.982295	-17.907755	-109.908059	-277.788575	-500.027223	-771.488177	-1116.316907	-1532.875591	-2057.599212	-2654.161687	-3179.225912	-3573.293538	-3890.702895	-4129.194505	2.146272	-2.686227	-2.848304	-0.383509	0.852920	1.071825	0.398101	-1.524379	-0.265768	-0.661123	-0.883444	-0.129529	-105.006524	-276.577456	-516.005424	-826.831984	-1218.201348	-1687.278183	-2270.714022	-2916.658656	-3463.073839	-3846.986416	-4142.609998	-4360.534955	3.279747	-1.195360	-1.396126	-2.785564	-3.840667	-3.778134	-5.439460	-8.256100	-9.762170	-11.898186	-13.512903	-14.716037	36
4bkt_178	-3.573654	-13.403045	-18.354672	-21.501173	-20.755497	-27.419359	-35.968164	-43.679023	-46.090240	-46.485329	-44.207116	-39.432411	2.319293	-4.422861	-4.681107	-2.496282	-0.960990	-4.650966	-7.254834	-9.042415	-8.440927	-8.934873	-9.306717	-9.536087	0.971138	-2.254313	-1.916144	-2.691665	-2.471121	-3.934117	-5.556806	-6.762571	-4.374159	-1.374507	4.584066	10.878702	2.515603	-4.333327	-3.905571	-4.166811	-2.977489	-4.293206	-6.672724	-9.617128	-11.198195	-13.627611	-16.584283	-19.778830	-116.408426	-283.612397	-508.897386	-777.529490	-1129.717956	-1549.225889	-2089.305030	-2677.292408	-3197.398164	-3602.641379	-3924.003830	-4147.110729	3.406095	-3.240983	-2.892587	0.029029	3.250727	0.833872	-0.882452	-2.151594	-1.361357	-1.891015	-2.272139	-2.525508	-111.327119	-281.554576	-526.044151	-830.386469	-1233.389213	-1704.055351	-2305.794839	-2941.899211	-3482.104275	-3877.582872	-4177.555098	-4378.907645	4.629833	-1.444859	-1.189098	-2.076691	-1.802448	-3.826811	-6.295031	-9.236463	-10.824004	-12.702997	-14.813074	-17.260876	36
4bkt_283	15.377544	8.220865	1.900931	-1.397293	-0.900389	-5.269920	-13.206451	-19.896308	-21.375866	-20.452865	-16.081243	-10.773393	14.089221	6.408039	4.442065	5.408669	6.892623	5.368607	2.899547	1.983017	2.892497	3.498762	4.842136	4.934983	20.748756	19.742724	18.857489	18.427013	19.529983	20.397954	19.852978	19.500151	22.280746	25.546159	33.217905	40.228307	13.993410	5.538458	4.717577	3.405263	5.791268	6.723293	5.048045	2.774019	1.267285	-0.984865	-2.487149	-5.066894	-117.577658	-288.644502	-512.679120	-788.598490	-1154.424457	-1580.293602	-2119.710865	-2714.967180	-3219.801568	-3616.533713	-3928.710959	-4145.379990	16.126584	8.832423	7.322491	9.356905	12.630689	12.254521	10.586941	10.189144	11.226677	11.781129	13.118746	13.191011	-111.589626	-286.168663	-526.758613	-843.360833	-1260.403890	-1737.093846	-2336.610421	-2981.151524	-3502.987076	-3889.902727	-4180.664078	-4375.103130	17.195190	9.791331	8.547675	6.898375	8.359536	8.422596	6.615327	4.346953	2.830530	1.138503	0.504242	-1.314326	36
4bkt_32	1.246775	-10.326376	-14.387623	-17.318019	-19.042391	-23.985542	-31.068455	-39.523057	-41.068989	-41.879304	-39.818082	-34.903870	3.201085	-4.315717	-3.717919	-1.315888	-1.894944	-3.605454	-5.134674	-7.581083	-6.570966	-7.241607	-8.156575	-7.947856	5.591570	1.163215	1.606403	1.308041	-0.283205	-0.147103	-1.293685	-2.335979	0.177225	2.891112	8.914511	15.580074	3.122027	-4.236245	-3.523904	-3.558282	-3.512084	-3.174866	-5.366592	-8.059595	-9.762333	-12.304713	-15.389134	-18.014621	-112.553842	-288.061500	-507.593966	-782.151781	-1129.474718	-1552.450514	-2087.557679	-2675.709993	-3184.610658	-3595.268167	-3909.135302	-4140.388333	5.603901	-2.074578	-0.861685	2.451606	3.321073	2.939861	2.253606	0.329655	1.497797	0.799227	-0.119776	0.066614	-107.293960	-286.158125	-524.598056	-838.139000	-1231.227353	-1707.533270	-2304.313484	-2940.295305	-3467.924160	-3869.493427	-4161.176241	-4371.423383	6.524871	-0.250424	0.262257	-0.235392	-1.330233	-1.677497	-3.975560	-6.661172	-8.372727	-10.372419	-12.596280	-14.486866	36
4bkt_369	-11.339050	-27.026719	-33.664621	-34.704324	-37.751656	-43.587115	-52.544414	-59.874191	-62.136889	-62.640541	-59.643789	-55.619631	-5.495123	-13.176253	-15.998242	-12.381075	-12.987533	-15.531634	-19.069364	-20.017754	-18.864050	-19.146209	-18.614257	-18.942405	-8.392334	-16.872426	-17.505455	-16.844832	-20.508708	-21.361029	-22.677398	-23.919186	-21.362605	-18.710221	-12.084254	-5.947905	-6.154931	-13.617676	-14.639059	-14.399958	-15.127620	-15.598971	-18.125282	-20.694664	-21.713328	-24.300174	-26.387994	-29.260537	-102.463207	-284.553721	-503.359293	-769.286310	-1104.007071	-1515.322961	-2051.091953	-2638.996776	-3159.907507	-3572.586323	-3893.856248	-4129.126894	-4.398535	-12.573002	-14.987601	-10.341175	-9.545666	-10.831506	-13.428276	-13.825416	-12.476867	-12.790481	-12.262770	-12.611921	-99.176510	-286.050396	-520.321469	-827.062323	-1206.787079	-1669.405108	-2264.748432	-2901.563346	-3442.831239	-3847.439407	-4147.641177	-4361.855395	-4.209004	-11.338310	-12.743901	-12.789159	-14.614427	-15.769773	-18.338104	-20.898080	-21.934128	-23.997940	-25.248892	-27.395098	36
4bkt_405	54.741044	53.209562	48.600697	48.094672	45.497809	41.195586	34.104836	30.638309	29.345210	28.263013	31.086530	35.692214	50.715544	47.682317	45.804137	48.809407	47.171598	45.534100	43.414969	44.684883	44.731514	43.783523	43.207341	42.981160	62.454486	67.349926	67.544025	68.973523	67.556993	67.139349	67.537179	68.059564	70.744310	73.629192	80.011207	86.375076	51.146240	47.114607	45.347652	46.363037	46.579897	45.797439	44.696223	42.860716	40.691855	38.227045	35.415041	32.486473	-112.837871	-282.957605	-532.113765	-794.421698	-1148.637311	-1587.285885	-2122.614253	-2673.649207	-3149.259924	-3573.168840	-3866.588606	-4092.341631	56.471230	54.608289	53.158294	56.526392	56.438195	56.149087	54.780698	56.434435	56.553565	55.592977	55.002178	54.758896	-100.295722	-273.665239	-542.100870	-833.632342	-1237.792429	-1736.887284	-2333.405029	-2929.366444	-3420.964882	-3838.933375	-4109.276248	-4314.460845	58.422518	56.158579	53.785736	53.612163	52.646555	51.098952	49.842014	48.015929	45.840368	43.906552	41.976856	39.792269	36
4bkt_439	41.278821	41.631229	41.832468	40.941801	38.013218	33.253796	29.112776	23.824669	22.317634	21.533089	21.439303	22.525559	35.839574	38.920269	41.661310	44.705216	42.627626	40.674972	41.065353	40.780568	42.472908	44.094353	44.197664	43.801391	45.989996	50.937363	54.099020	54.847539	53.129379	52.099703	52.909060	53.810003	56.147733	59.312817	63.367839	68.053733	36.330738	38.818890	41.265888	42.174395	41.526543	40.865338	40.805583	40.534378	40.030515	39.789540	37.527491	35.271939	-47.428242	-171.514123	-338.653782	-547.304685	-823.237437	-1163.866841	-1599.010565	-2073.030067	-2519.943671	-2956.315491	-3312.465644	-3615.197917	42.603710	45.671316	48.693796	52.307539	51.568600	50.760342	51.897410	52.044429	53.958785	55.661879	55.760419	55.357782	-38.874149	-165.064011	-346.257464	-585.134993	-899.205686	-1284.521642	-1772.052479	-2284.752786	-2752.391707	-3192.538561	-3537.499899	-3827.624470	43.930515	46.941304	49.020993	49.434544	48.081376	46.947164	46.833186	46.570256	46.058438	46.176657	44.517573	42.804570	36
