name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
4crc_100	67.180987	50.640137	36.947311	25.422964	20.774457	7.742311	-5.094411	-19.117350	-29.347413	-43.850406	-55.118941	-66.998109	55.080920	43.728606	38.352104	36.787846	37.469453	34.398099	39.797207	45.807886	54.071077	56.467405	60.413475	61.371814	68.450691	58.805954	57.249778	54.964933	58.199523	59.555049	63.267020	68.065876	74.584557	79.698710	86.013541	92.915251	49.388017	36.799099	35.344943	33.861750	37.754814	38.576075	39.878634	40.784332	41.633130	38.991089	36.374410	32.780579	-71.897686	-342.669114	-731.427328	-1241.567565	-1932.477744	-2819.111775	-3923.139852	-5196.302122	-6576.601908	-8025.453397	-9515.247120	-10994.440133	74.100160	62.698286	59.653457	61.143584	67.157421	68.977345	78.087318	87.247359	98.157498	102.130037	107.111350	108.861807	-55.645936	-336.360523	-758.619851	-1342.461524	-2137.734077	-3145.221859	-4384.003589	-5774.236695	-7239.095240	-8726.054935	-10227.702906	-11707.756618	70.091087	58.140153	56.557427	54.548477	57.596588	57.668136	58.628215	59.139183	59.507959	56.978729	54.886322	51.776474	60
4crc_106	41.755870	34.462307	20.460792	9.434993	4.510209	-1.971415	-17.958005	-33.261822	-50.866235	-62.403518	-72.296629	-83.530405	24.631496	20.355916	15.927840	13.414119	13.408881	17.634428	21.180731	23.441980	22.877852	28.477876	30.923189	30.326760	45.041638	43.341783	39.674980	36.715307	36.865823	38.020027	37.430559	38.792431	40.539863	45.127956	51.666452	59.012205	21.741539	16.572062	14.107757	11.663958	13.017691	13.998593	12.526773	9.576312	5.911714	3.717948	1.038419	-2.037136	-65.479936	-286.262830	-672.436204	-1129.859002	-1730.371865	-2591.975542	-3685.845854	-4859.824287	-6151.259617	-7550.833805	-8883.576063	-10222.057008	39.842288	35.361761	33.707110	33.802267	38.081140	48.072904	55.679729	60.654165	62.497907	69.731433	72.984833	73.034972	-52.147583	-282.348019	-707.363931	-1229.055022	-1917.481041	-2914.419107	-4146.354157	-5421.736941	-6785.345385	-8227.938974	-9563.619034	-10897.000547	38.211412	33.497280	31.805724	28.753387	29.002645	30.123015	28.541258	25.167065	21.032509	18.934068	16.791620	14.191025	60
4crc_120	14.647930	4.934876	-2.224231	-11.533148	-14.086114	-20.005735	-38.406412	-54.652829	-69.216033	-86.231562	-100.311120	-111.137796	4.843099	-2.812024	-4.173431	-7.616713	-6.746006	-4.723044	-5.123336	-1.915866	2.262707	4.632388	7.801319	10.156428	18.214065	15.861688	17.018692	14.795748	18.068055	20.829058	19.923912	20.672832	23.006281	24.742988	28.761365	34.653853	2.601934	-4.490664	-3.844676	-6.488555	-2.651453	-0.311811	-1.000840	-1.535409	-2.183363	-4.595554	-6.470700	-8.973960	-114.869865	-337.023679	-639.192082	-1007.489483	-1498.425133	-2179.702577	-3132.328289	-4241.486254	-5481.652305	-6861.062524	-8282.131640	-9644.164444	14.178866	6.682426	7.086847	5.501707	9.715363	15.941791	19.443790	25.796326	32.763505	37.032613	41.421857	44.617504	-104.234688	-332.929714	-660.502808	-1077.168899	-1638.362782	-2422.826586	-3499.332057	-4716.068592	-6039.340544	-7468.864842	-8910.569589	-10277.953866	13.333309	6.962463	7.344689	3.850075	6.564685	8.672719	8.094778	7.406693	6.508983	4.165616	2.636498	0.510220	60
4crc_126	46.704697	39.858624	29.690905	18.263019	13.080437	6.953425	-0.625653	-8.892977	-17.796223	-28.202540	-38.789370	-46.145688	36.314633	30.637884	28.151144	25.489192	24.525429	24.232405	28.008803	29.784308	30.413543	29.777104	30.905188	34.830228	48.897928	48.513644	47.506512	45.143662	44.128833	45.926653	49.460277	52.635762	55.272031	58.651242	61.804102	66.895724	33.608993	28.685415	28.236335	26.673358	27.384619	28.537343	29.458590	27.865544	25.232460	22.706945	20.663294	19.752331	-64.573113	-238.041995	-552.583572	-985.040687	-1497.009879	-2087.005214	-2828.441307	-3619.122021	-4471.898070	-5395.480510	-6438.575490	-7525.864475	49.808069	44.355978	44.503240	44.871666	46.698279	48.705283	54.676243	57.948623	59.879778	60.162003	62.104992	66.772312	-50.867900	-228.419043	-577.454980	-1074.795742	-1651.428766	-2311.869497	-3142.105902	-3998.467655	-4896.390269	-5841.472422	-6898.173917	-7996.467029	48.361509	44.028097	44.519436	43.083073	42.029051	41.812153	42.309789	40.272437	37.201650	34.769644	33.031249	32.389545	60
4crc_131	12.217972	1.253564	-18.183218	-29.464922	-38.533694	-49.070946	-65.965831	-81.427462	-95.009063	-106.946029	-117.683012	-125.431708	-0.382114	1.318957	-6.156151	-5.605079	-8.489877	-8.078511	-4.672796	-0.117674	2.412865	4.393245	4.694498	3.447914	15.282954	12.207174	6.826395	7.643605	10.690609	13.107109	15.182893	19.533555	25.398084	32.804262	40.642226	50.651480	-5.245819	-6.891043	-11.594413	-10.327134	-5.651666	-4.296441	-5.953213	-8.147596	-11.394549	-15.265163	-19.918589	-24.635918	-200.637004	-579.502814	-1106.414948	-1748.925438	-2565.945339	-3605.306477	-4892.427760	-6311.455963	-7770.016653	-9257.840485	-10725.959106	-12093.463515	4.589251	5.258078	0.477918	4.484351	6.867666	12.528269	19.964635	27.581910	32.291192	35.512565	36.501218	35.585698	-195.478460	-586.263319	-1160.392294	-1890.146408	-2816.633739	-3995.751612	-5435.397831	-6978.872215	-8513.656180	-10029.612152	-11492.450728	-12843.059731	1.682430	0.100732	-5.077330	-4.944573	-2.423240	-2.422663	-4.665522	-7.498252	-11.519406	-15.226712	-19.151453	-23.197010	60
4crc_132	11.130409	-3.220718	-15.555096	-21.332500	-27.794253	-36.560912	-57.105865	-78.901152	-96.335660	-109.060314	-123.342499	-133.759312	1.260122	-4.719449	-7.242726	-4.418159	-5.811206	-3.565527	-1.522680	-0.311773	2.362772	6.109560	5.587388	4.427953	13.362434	6.817177	5.615654	7.487684	9.626672	11.152862	10.302425	10.272184	14.143770	20.763735	27.410856	36.244840	-3.419373	-11.284600	-12.377610	-11.269499	-7.724045	-6.792295	-8.579175	-12.275649	-14.665536	-17.449283	-21.620628	-25.996577	-177.472413	-500.453301	-950.142249	-1482.456550	-2166.282531	-3116.772628	-4376.021090	-5803.473852	-7321.658192	-8844.143280	-10371.342608	-11808.127429	5.529646	-1.006188	-0.740344	4.966661	7.818935	15.780691	22.542391	27.434030	32.977540	38.248957	38.630036	37.992060	-173.195066	-506.760831	-998.027634	-1604.191152	-2379.629340	-3472.429020	-4891.772858	-6451.326030	-8058.092721	-9616.474121	-11143.520053	-12568.119826	2.594660	-4.918281	-5.976406	-5.882258	-4.332203	-3.851363	-5.764379	-9.816756	-12.745920	-15.383259	-18.917036	-22.695385	60
4crc_138	62.409628	59.126532	42.990947	34.404579	27.098741	17.455575	2.708622	-13.855801	-29.332742	-40.043554	-50.441807	-58.542547	42.331212	43.560239	35.721455	37.227807	35.389553	36.850479	40.615678	41.755547	42.913181	46.854353	47.721760	46.507191	67.923809	71.392471	69.322957	71.655081	74.648205	76.710038	78.952422	82.576905	87.807407	94.839961	102.902223	112.519188	38.265512	35.393300	31.422128	33.179820	36.905405	38.149318	36.074420	32.505693	29.419830	26.062050	22.134950	17.579745	-180.267967	-530.723210	-1014.717264	-1623.657231	-2434.344815	-3457.681440	-4687.154606	-6025.626217	-7468.570958	-8947.311481	-10398.833262	-11754.318466	51.394541	52.480071	47.530691	52.298705	55.871179	62.614557	69.995225	73.811405	77.291221	82.561549	84.151620	83.301366	-170.985294	-532.942008	-1057.198617	-1748.766046	-2671.706099	-3838.767983	-5214.271808	-6663.858205	-8185.336939	-9697.393084	-11145.707233	-12486.090876	49.619458	47.437844	43.117765	43.710741	45.545458	45.518887	42.749572	38.490522	34.715404	31.505668	28.274688	24.358503	60
4crc_140	35.586009	30.378883	17.349916	3.664892	-4.277404	-17.147896	-32.044227	-49.530190	-66.022571	-81.497751	-93.259699	-103.066533	23.235759	23.616134	22.123168	20.051003	17.882450	16.054118	18.761819	21.903374	24.358704	26.363160	29.499296	28.112764	38.110663	38.693714	36.574501	33.593760	34.356878	33.648774	34.134572	34.670833	38.147827	43.925030	50.330310	58.460001	19.868059	18.574800	18.247690	16.966416	18.596826	17.515666	14.798578	11.279524	8.838611	6.540154	3.350614	-1.307400	-83.624754	-326.046386	-759.778883	-1316.347009	-2045.753197	-2992.998665	-4109.276834	-5423.522303	-6848.786351	-8348.172619	-9858.635236	-11214.899049	38.596105	38.474335	40.236146	41.510719	44.739151	48.424555	54.546850	60.902214	66.031119	69.694508	73.832893	72.912583	-73.117770	-323.746783	-804.763054	-1439.028590	-2272.158336	-3352.432903	-4597.348391	-6031.645858	-7539.344525	-9077.449781	-10597.473809	-11940.725707	36.624013	35.503041	36.269540	34.598052	35.215228	33.610648	30.364208	26.432132	23.470448	21.304918	18.671523	14.600962	60
4crc_149	11.256126	-1.383351	-17.767897	-30.022318	-40.841804	-52.166407	-73.345068	-90.353718	-106.509295	-118.811592	-130.162714	-137.721876	0.950000	-4.205630	-10.181924	-12.547313	-17.661646	-17.618885	-14.490184	-10.684485	-8.120185	-6.940541	-6.701157	-6.985657	14.202673	9.785691	3.739785	2.446032	3.406695	5.326391	5.707046	8.937370	13.702932	21.393501	28.980198	38.725434	-3.744781	-11.330127	-17.188315	-18.823061	-16.891611	-15.584497	-16.293939	-19.010261	-22.114371	-25.994687	-30.742605	-35.456739	-200.136535	-545.217366	-1034.266904	-1616.627961	-2394.888772	-3407.708153	-4765.457942	-6199.569455	-7731.012598	-9212.641623	-10703.887262	-12099.187981	6.392712	0.959093	-2.708745	-1.982927	-1.627819	3.893819	12.065970	19.088086	24.289468	26.665240	27.630917	27.720849	-194.432143	-551.203958	-1082.858634	-1743.380027	-2630.109173	-3784.295938	-5315.175785	-6874.284828	-8491.469690	-9996.822531	-11482.665626	-12862.215102	3.715494	-3.237215	-9.824331	-12.595253	-12.220118	-11.914513	-12.785805	-16.077830	-19.837006	-23.544076	-27.576314	-31.633030	60
4crc_164	10.878144	0.189805	-8.604087	-24.769648	-31.738746	-41.263895	-56.615823	-71.883953	-86.770724	-100.066312	-109.917565	-118.833220	3.411575	1.341122	3.591796	-0.597261	-1.438208	-0.091283	4.553871	7.622783	9.870439	10.814796	11.951874	10.277286	15.178384	13.276188	16.866930	14.267599	17.919621	21.999632	25.325404	29.817760	35.674437	42.972065	51.059963	60.666553	-0.105287	-5.250829	-1.395781	-3.515349	1.258600	3.960508	3.294681	0.299273	-2.553488	-6.511300	-11.064601	-15.921197	-219.268359	-590.605500	-1099.719230	-1748.949362	-2586.723472	-3643.128067	-4925.962527	-6307.407189	-7798.124800	-9303.693521	-10777.181023	-12173.777963	8.910933	6.541722	11.310296	10.619208	15.473122	22.280839	30.771813	36.572588	41.188863	43.422517	45.244714	43.946795	-211.158672	-595.370987	-1147.910519	-1884.118322	-2838.672395	-4037.730780	-5470.108595	-6966.500059	-8539.712075	-10074.427798	-11543.380455	-12924.566069	7.578500	3.133441	6.205733	2.975997	5.853474	7.302868	5.940785	2.210093	-1.374147	-5.162768	-8.983902	-13.177627	60
