name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
4crc_100	4.196078	-24.311479	-48.824097	-47.837438	-19.660884	-6.622300	11.263766	21.321885	28.957203	28.468970	34.901571	37.096249	8.977149	-8.968352	-23.643934	-22.721302	-6.666738	-1.385503	16.206650	29.116704	37.917860	39.201696	36.916312	46.294698	2.967998	-13.097487	-14.942817	-9.337152	0.300018	0.173921	8.118911	8.565206	12.756815	11.908646	7.837730	12.563600	4.014480	-9.712794	-10.560081	-3.117228	8.693683	12.318073	20.849767	22.251112	27.392268	26.612885	23.179146	26.551011	-82.906155	-356.644638	-757.035957	-1259.216181	-1931.189511	-2795.871846	-3917.485635	-5304.393416	-6961.709613	-8958.745705	-11278.972872	-13921.008411	8.222558	-13.424784	-26.162300	-24.265516	-4.330994	3.369232	20.634128	32.161671	39.579399	37.952511	31.348224	35.881848	-85.278443	-364.916774	-791.312681	-1357.546702	-2136.682652	-3117.619960	-4375.507958	-5897.073821	-7660.620329	-9734.272637	-12107.420408	-14802.345867	5.085114	-9.416204	-9.118998	-1.835609	9.759607	13.028735	21.704436	23.352260	28.771753	28.431870	25.591823	29.557033	60
4crc_106	0.984085	-14.988113	-39.139014	-36.440749	-17.631024	6.397090	23.740845	33.034046	34.135270	39.170244	52.128742	47.333488	4.062094	-2.496496	-15.389722	-13.265591	-3.108184	9.184844	25.454814	37.925824	40.565149	47.704204	53.104499	54.917746	0.972665	-5.117596	-7.707038	-2.611247	-3.015337	1.589108	4.669960	4.577178	4.601268	5.020164	6.279678	4.116824	1.133899	-2.796334	-3.360487	3.115690	6.901460	10.836789	14.256407	15.294563	16.632415	17.623886	19.820644	16.334419	-60.205706	-295.660822	-693.302412	-1148.531913	-1721.763862	-2562.086254	-3653.831700	-4916.621388	-6453.253709	-8302.554022	-10397.330187	-12811.749965	4.384914	-6.028741	-17.068904	-13.995819	-1.111421	14.005078	29.930763	41.225990	42.583761	46.973809	48.562767	46.027634	-61.178395	-303.875446	-730.901574	-1244.232783	-1905.247126	-2878.637770	-4109.841343	-5489.456186	-7120.822953	-9045.077850	-11186.188850	-13646.442836	2.774937	-2.247363	-1.305830	4.988090	7.777898	11.908303	15.362815	16.783479	18.388777	19.745302	22.658895	19.819084	60
4crc_120	-7.442999	-21.713284	-37.162914	-40.122806	-31.388226	-10.099123	-1.341572	11.912580	14.893051	18.273459	27.933942	30.017438	-2.213928	-11.548540	-21.159781	-23.947812	-21.627090	-11.075781	-5.860482	7.729505	10.950376	15.456114	18.950511	27.922366	-5.413348	-9.693191	-9.812811	-9.524326	-14.024482	-4.852953	-2.894524	1.164857	2.914604	6.556942	9.321839	12.675498	-3.891681	-9.282018	-9.366058	-7.073173	-8.126337	-1.554719	-1.141985	2.446010	4.582135	8.184912	12.501580	15.637295	-93.278873	-295.436798	-574.542073	-893.537363	-1324.269902	-1954.480662	-2888.913182	-4049.678760	-5464.925145	-7208.674349	-9176.504462	-11394.698898	-3.239900	-13.901490	-22.301798	-24.489719	-19.947097	-7.248444	-2.336893	9.919658	11.833947	13.561780	13.231117	18.044822	-92.551765	-297.808855	-592.575727	-946.997630	-1444.534963	-2175.785566	-3234.837511	-4517.084802	-6030.088580	-7849.635921	-9863.859432	-12128.275319	-3.092428	-7.788884	-7.597711	-5.692907	-7.282451	-0.542077	-0.276504	3.135386	5.242161	8.779317	13.319713	16.803751	60
4crc_126	0.241990	-9.855960	-24.962017	-12.837113	-1.484866	7.793521	18.858795	28.073367	30.944237	30.948114	39.690528	42.617032	2.608024	-3.515079	-10.677494	-0.063943	6.288015	11.542415	21.658813	32.270434	36.060829	38.040299	40.814546	49.802775	2.483150	3.216901	5.589768	22.428647	15.914624	11.431764	14.411246	14.723901	15.304545	14.744412	13.915493	17.034177	0.421070	-1.347595	0.639829	17.548591	18.906175	19.542324	22.164366	22.036370	23.294495	23.684019	24.672264	27.242854	-87.158857	-291.523910	-647.665482	-1100.440250	-1641.421589	-2304.203967	-3187.405981	-4235.221190	-5503.884632	-7034.345562	-8913.419974	-10989.813443	5.202537	-2.579923	-7.670410	4.116911	12.585809	19.382448	29.197056	38.858965	41.639917	41.433101	40.566933	45.745523	-85.762772	-292.563816	-678.469990	-1191.777338	-1806.529039	-2555.779066	-3547.494015	-4696.359424	-6045.076926	-7633.870657	-9562.890583	-11683.516631	4.908409	3.568007	7.188983	24.306068	24.130915	24.093077	26.826381	27.087855	28.652401	29.471310	30.706907	33.747842	60
4crc_131	-0.494029	-11.520817	-47.624949	-51.162602	-33.007064	-18.448885	-4.770066	9.176141	12.320973	23.489480	38.620834	40.502900	2.005019	7.179174	-17.288937	-20.168255	-11.967129	-5.777827	6.923680	22.934312	25.963043	39.643982	46.329938	57.588552	0.697024	3.870908	-6.977929	-9.432066	-13.075943	-19.581881	-19.249430	-16.933758	-16.179008	-8.659712	-6.976109	-3.283622	-2.767499	5.559879	-3.953586	-2.506227	1.136464	-0.652174	-0.680595	1.745813	2.240732	10.690840	14.818393	18.340297	-128.383415	-463.437392	-965.871064	-1559.656988	-2301.674947	-3265.616976	-4515.089821	-6082.167077	-7983.058124	-10244.515819	-12805.348063	-15658.816920	5.251087	5.340592	-17.584612	-19.326345	-7.620971	1.130358	13.468150	27.904362	29.331149	39.663102	41.686510	47.959486	-128.257471	-469.506069	-1005.501457	-1675.233769	-2527.744687	-3626.985276	-5029.830849	-6753.281839	-8778.370361	-11131.822957	-13749.327582	-16655.888608	3.115007	9.969084	0.787473	1.792127	4.008354	1.627541	1.814171	4.512848	5.288358	14.197811	19.200301	23.757738	60
4crc_132	1.639120	-16.248180	-37.568813	-35.297425	-19.026040	1.294852	18.400793	32.428195	39.467864	50.662361	64.176274	67.066856	4.216885	-3.536296	-15.533041	-13.467846	-4.844282	3.400553	18.426269	33.290163	40.777881	53.593242	57.819973	69.209321	2.896058	-2.575536	-5.097688	-4.715335	-8.979927	-7.032877	-1.895916	0.177104	3.708432	11.109058	12.329149	16.312607	0.136752	-4.227197	-6.537967	-3.524913	-0.760558	0.583999	5.415339	6.760640	10.780023	18.218986	20.068514	23.569374	-109.759372	-398.182723	-822.152700	-1304.994481	-1913.201362	-2784.293205	-3975.939090	-5450.209920	-7243.604849	-9362.427214	-11880.522383	-14630.907860	7.264591	-3.936305	-13.886789	-10.764082	0.605940	11.524326	26.125628	39.446351	45.355183	54.961729	54.333040	60.752748	-109.503604	-403.750729	-859.657487	-1405.140012	-2104.279194	-3109.571457	-4456.198863	-6081.283333	-7995.703519	-10202.531430	-12783.751134	-15588.328809	5.516691	0.730440	-0.560011	2.076197	3.464162	4.702827	9.481691	10.912354	15.062867	22.806207	25.017879	29.257705	60
4crc_138	12.962731	11.292110	-11.744494	-8.341731	11.841846	33.573561	47.393130	55.896763	58.534585	66.759732	80.781100	78.418315	8.729819	17.412495	4.092139	6.544578	15.423078	28.087459	41.498799	52.304764	55.068582	64.582526	70.505896	75.605892	16.361946	28.431691	28.443641	32.386226	30.388345	30.625931	31.344989	28.870527	31.756897	35.779748	36.338098	36.117041	4.096126	16.520841	16.829534	23.289043	26.909822	31.071995	32.330091	29.888309	32.784305	36.269934	39.451930	37.264960	-137.801446	-440.599612	-891.275377	-1454.921327	-2198.683724	-3147.344532	-4383.897947	-5884.013903	-7745.080436	-9949.807350	-12477.194407	-15239.922588	17.266458	23.222010	12.210295	15.816804	28.375025	43.534200	56.485417	65.863814	67.074611	73.334663	74.621133	74.959910	-135.065692	-442.364508	-922.863956	-1559.450174	-2416.234133	-3502.959109	-4893.809830	-6538.280505	-8519.648986	-10814.613176	-13399.720637	-16211.390699	15.843810	28.645325	29.792656	35.894192	38.416456	41.953376	43.318603	41.295307	44.477011	48.428713	52.400895	51.312647	60
4crc_140	0.574925	-12.134300	-36.581380	-36.738526	-14.553868	2.001044	20.104647	38.125144	41.308013	41.236937	55.184841	55.569496	-0.052810	-4.509095	-19.011271	-18.919615	-8.045279	-0.991154	17.582208	36.690803	40.126647	42.058236	47.982974	55.567432	2.553661	-0.912650	-7.423437	-4.731142	-1.272653	-1.395705	4.133598	9.287136	11.055445	12.031781	13.774880	13.896324	-1.667033	-3.059686	-9.437677	-5.068300	0.930366	2.928869	9.614435	14.331041	16.445546	17.790863	21.100607	19.435069	-63.204533	-270.738122	-674.012687	-1184.299014	-1846.268074	-2721.925379	-3790.549736	-5220.732077	-7003.831386	-9138.243550	-11548.283447	-14113.972785	3.099343	-4.612830	-16.975342	-15.939559	-1.379110	8.401861	26.620163	44.181765	45.981986	44.637144	46.003095	49.171032	-61.694125	-273.447284	-715.347228	-1292.408823	-2057.308995	-3057.773955	-4253.972809	-5831.657741	-7734.070743	-9955.005040	-12422.897855	-15034.185909	2.870940	0.531507	-3.679190	0.648741	6.368668	8.330822	15.172615	19.892879	22.015148	23.517077	27.334513	26.699269	60
4crc_149	-2.170796	-13.715384	-32.342828	-31.174757	-9.442969	7.310919	28.964446	42.632330	44.660708	52.666930	64.292928	65.360932	0.620137	-1.250615	-10.971783	-9.432742	2.187648	8.018940	27.559512	44.202649	46.950304	57.627491	60.155892	70.108218	0.219019	2.926065	4.125260	5.372296	6.195634	5.519617	13.177016	14.206705	12.319127	15.586737	14.423121	17.750647	-3.827532	-1.663891	-0.563541	4.438869	11.294351	12.355843	19.886686	21.611594	20.364267	24.604048	24.906675	27.590102	-144.300892	-456.321165	-906.000515	-1432.262471	-2121.380243	-3063.024587	-4349.356100	-5840.120742	-7710.144688	-9912.829693	-12565.997967	-15427.029292	4.209420	-0.598848	-8.975721	-6.428541	8.673276	17.154474	36.214689	51.442314	52.607587	60.052495	57.467507	62.329165	-143.108264	-460.359344	-940.234148	-1532.636525	-2328.412070	-3406.054855	-4861.906724	-6497.957594	-8493.428637	-10786.105127	-13506.496162	-16421.720112	2.769993	5.168482	6.164682	10.617799	16.410299	17.092627	24.572684	26.712965	25.709337	30.425914	31.118153	34.693012	60
4crc_164	-5.590867	-13.477882	-35.636467	-35.372214	-12.077238	5.194559	18.937326	35.079917	42.917860	51.034001	67.745639	69.724017	0.122681	1.787436	-9.332707	-8.742960	4.729840	12.737454	26.062905	44.580410	52.301549	62.662475	71.376990	81.907090	-3.512463	5.273197	5.971175	9.454981	8.147435	5.720935	5.758089	9.443832	14.825037	22.088160	24.404283	27.562269	-4.846633	3.118573	4.736641	11.322714	18.016344	19.563656	19.680800	23.494101	28.792936	36.624735	42.078489	44.095167	-164.476359	-486.420210	-971.824374	-1569.924917	-2327.547394	-3308.656903	-4570.720936	-6113.084691	-8070.862529	-10336.580745	-12936.947034	-15871.921952	1.506877	0.629475	-8.922245	-7.259114	9.919031	20.737069	33.647022	50.675547	56.683078	63.757411	67.708501	73.015875	-164.036113	-489.199630	-1006.054539	-1680.130106	-2553.724150	-3671.691631	-5089.083697	-6782.969055	-8874.211325	-11228.199639	-13888.067502	-16880.743801	-0.183792	8.493916	10.195116	16.299844	21.704677	22.847710	23.150324	27.370904	32.849536	41.245756	47.544738	50.477768	60
