name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
4ddh_1	-10.355403	-11.764000	-16.999978	-15.959414	-10.379815	-4.132019	-3.461536	-3.066351	-3.380772	-3.197234	-2.108650	-0.901179	-10.540666	-4.912010	-4.911520	1.259363	6.577891	15.333131	21.266263	25.734349	27.202141	26.768652	23.291127	17.387776	-9.108254	-8.070754	-11.701516	-11.844733	-14.217482	-15.397893	-17.952461	-19.513497	-18.955335	-17.679068	-14.291789	-9.206563	-12.620434	-11.661785	-14.802720	-15.186558	-15.949442	-16.959850	-21.256976	-26.382447	-31.975505	-37.113829	-43.777961	-49.700271	-118.385849	-304.793562	-577.111057	-901.710242	-1350.961143	-1884.691199	-2463.248374	-3027.942475	-3549.516748	-3974.436559	-4257.628131	-4421.376330	-9.989830	-5.148909	-4.464483	2.888238	10.683428	21.278852	27.884431	32.592753	34.111647	33.620372	30.122620	24.182598	-117.270644	-313.835403	-614.505749	-990.712784	-1512.237712	-2124.158886	-2767.624316	-3375.412854	-3915.183296	-4329.842343	-4585.035327	-4717.011451	-11.166937	-10.074606	-13.282514	-13.958444	-15.288433	-16.858048	-21.309317	-26.472986	-32.119545	-36.669373	-42.367276	-47.452916	24
4ddh_13	-3.239716	-9.188607	-15.683691	-14.099389	-7.232543	-4.037981	-3.275234	-3.362688	-5.095166	-5.531655	-3.797236	-1.473607	-3.893289	-2.032438	-3.392977	4.345753	11.511625	17.253811	23.475584	26.833037	26.769665	25.372321	22.818777	18.133282	-2.787749	-5.776362	-10.237871	-9.294542	-11.779139	-14.642220	-16.487507	-17.904919	-18.184057	-17.284631	-13.920044	-9.106408	-6.927953	-9.043580	-12.851840	-11.296560	-11.497813	-14.147159	-17.658871	-23.319249	-29.782239	-35.448403	-41.956554	-48.047384	-106.374224	-297.116689	-568.644520	-896.120789	-1330.728802	-1859.032269	-2444.434245	-3016.897756	-3533.893916	-3945.039076	-4236.377587	-4400.786096	-3.062865	-2.112595	-2.971467	5.983382	15.477242	22.983815	29.925985	33.543817	33.523653	32.060151	29.488606	24.766698	-105.941978	-307.155494	-603.739521	-984.008367	-1491.132131	-2095.089091	-2747.457469	-3363.835253	-3897.434055	-4296.556724	-4561.464583	-4695.755812	-5.208972	-7.291995	-11.379310	-10.058829	-10.932625	-14.181360	-17.845446	-23.547227	-30.058682	-35.122776	-40.683271	-45.943590	24
4ddh_130	7.564846	0.829027	-3.434888	-6.556086	-2.090370	1.775306	3.657085	5.026509	3.066099	3.136724	4.748088	6.851059	3.394199	2.005059	2.521831	5.256880	10.604876	17.373613	25.071775	30.979093	31.167229	30.185925	28.071703	23.984826	7.864648	2.412230	-1.204107	-3.442434	-6.756781	-8.591028	-9.567288	-9.733806	-10.041627	-9.483096	-5.657095	-1.076305	0.328017	-5.825933	-9.083581	-11.273519	-11.604032	-12.964627	-15.134679	-18.687135	-24.726083	-30.754329	-36.421921	-42.392020	-78.187640	-246.522914	-494.552761	-829.159754	-1253.674337	-1780.286448	-2358.190879	-2948.545084	-3467.985127	-3871.015514	-4175.894509	-4375.342520	5.907008	3.832996	5.379390	9.583822	17.134074	25.710538	34.116555	40.376430	40.618951	39.563973	37.433765	33.316495	-77.054405	-255.998231	-533.647582	-922.776276	-1412.704873	-2015.088496	-2658.055473	-3297.196833	-3833.032274	-4223.796419	-4502.888972	-4674.915961	3.602446	-2.388516	-5.241445	-7.336564	-8.368491	-10.276457	-12.602327	-16.181699	-22.265676	-27.691971	-32.437919	-37.612514	24
4ddh_181	2.970054	-0.778465	-3.166318	-2.727720	-0.050136	5.792973	6.506448	6.799730	4.788899	4.148072	4.375819	6.630512	-2.739352	-7.208506	-6.381192	-1.881238	0.967855	9.133567	13.779461	16.645345	17.694062	19.889656	21.081797	21.445344	4.137753	0.482843	-1.718971	-2.716161	-5.092096	-5.556388	-7.557647	-8.426991	-8.046688	-7.828330	-5.653525	-0.900052	-6.637284	-16.423155	-18.790528	-20.083843	-20.179243	-19.998747	-23.572168	-27.717807	-31.270611	-34.694112	-38.633598	-41.621499	-104.443420	-251.850262	-455.950226	-722.582506	-1071.854339	-1485.661570	-1943.835367	-2382.016857	-2854.793114	-3344.725970	-3772.724185	-4097.771810	7.244842	3.094801	4.625292	10.072568	14.497613	23.928144	29.056666	32.081142	33.315163	35.573864	36.770220	37.125151	-96.837282	-251.222550	-477.642820	-788.046304	-1189.780807	-1667.251967	-2179.268819	-2650.941057	-3147.341001	-3647.542681	-4070.191949	-4382.244292	4.447028	-4.472046	-6.880006	-8.467020	-9.439462	-9.890850	-13.633766	-17.804901	-21.390852	-24.481079	-27.827599	-30.231825	24
4ddh_27	4.877992	-5.053904	-8.532158	-10.329543	-5.262114	-0.053107	1.250620	2.287578	0.304589	0.973890	2.307831	4.813330	0.647946	-2.704562	-3.250952	0.438495	4.902374	12.387891	19.333897	25.254925	24.995035	24.679673	22.517841	18.934416	6.071371	-2.317937	-4.146200	-6.079803	-8.336257	-8.436152	-10.460427	-11.737952	-11.234117	-9.806861	-6.819141	-1.779986	-2.126032	-10.291283	-13.337541	-15.035831	-16.078921	-16.311361	-19.540793	-23.852111	-29.381367	-34.449836	-40.752973	-46.114062	-93.512921	-269.505177	-513.815498	-830.228123	-1258.036592	-1780.624316	-2344.246679	-2937.858436	-3449.695797	-3853.965418	-4164.699244	-4360.550982	3.900355	-0.004856	0.235698	5.201684	12.031858	21.370317	28.948151	35.241488	35.010781	34.641176	32.466187	28.848895	-90.535341	-275.392314	-545.988765	-913.754752	-1409.886919	-2009.449958	-2637.557739	-3281.803589	-3808.687104	-4201.273276	-4487.764041	-4656.227124	2.014934	-5.897790	-8.856247	-10.654011	-12.222204	-12.950202	-16.369508	-20.710594	-26.300038	-30.763323	-36.158426	-40.729205	24
4ddh_270	38.071859	31.629799	29.756564	32.032097	35.265980	42.180347	44.609183	43.439720	42.395859	41.534069	44.636040	46.966360	28.066611	25.821154	27.802441	34.740302	36.775734	46.120915	53.717289	56.331332	57.936135	55.740388	54.332483	50.106163	41.313019	37.873920	36.305702	36.725697	34.101963	33.931988	32.643921	30.457183	30.291176	30.776028	35.175452	40.098246	26.117297	20.224645	18.196350	18.130574	16.458590	16.420055	13.388982	7.425094	1.871496	-4.379668	-9.882837	-15.637503	-84.219144	-278.170473	-533.849352	-851.144108	-1283.288412	-1807.290542	-2382.002997	-2947.914322	-3483.827806	-3880.268313	-4159.862043	-4343.940802	33.381696	30.703987	33.455461	41.526645	45.802939	56.945482	65.218414	68.100119	69.800782	67.515277	66.091027	61.831772	-78.734939	-279.083761	-561.954529	-931.278785	-1429.473952	-2032.541778	-2675.684528	-3285.933095	-3843.613818	-4226.540265	-4479.247925	-4635.478007	32.518397	27.015862	24.924551	24.517449	22.110899	21.494162	18.293848	12.304017	6.700378	1.054821	-3.489644	-8.437760	24
4ddh_294	7.611506	4.247786	0.509792	1.781396	10.849358	15.877968	16.697361	15.491111	14.526674	13.160919	15.566919	17.587917	8.593075	10.215360	12.288702	18.633843	26.840820	34.329682	40.412475	42.648890	43.484072	41.959560	39.896360	34.936610	9.199894	8.992192	6.907396	6.794832	6.912712	5.150926	3.407323	-0.010883	1.082567	1.035162	4.566348	9.813974	6.370529	3.970457	2.824612	2.762097	3.860539	2.316625	-1.060967	-8.380628	-13.284774	-19.490749	-25.892991	-31.578981	-113.372328	-303.391808	-582.648865	-897.916151	-1343.764753	-1873.025613	-2442.587095	-2989.535405	-3502.835975	-3945.975264	-4228.747616	-4398.571344	9.145116	10.406791	13.083141	20.466009	31.274403	40.418685	47.065595	49.482899	50.368132	48.808448	46.726832	41.731834	-112.214905	-311.130174	-618.765876	-982.481413	-1504.780348	-2110.135910	-2741.893714	-3329.233164	-3859.953650	-4296.000419	-4552.163669	-4691.888727	7.966272	6.070272	4.728461	4.191778	4.821739	2.550713	-1.061589	-8.424260	-13.376026	-19.017146	-24.459065	-29.319015	24
4ddh_296	0.611523	-5.665380	-7.124476	-5.483231	-3.731730	3.192392	6.504554	3.701284	3.679215	3.073377	5.561108	8.300239	-0.960798	-1.313696	2.176488	9.123619	10.438910	19.658995	28.808066	30.060637	32.273884	30.408508	28.242741	24.319143	2.715679	-0.713900	-1.858437	-2.015927	-5.019744	-4.638777	-5.170018	-8.772522	-8.179563	-7.252371	-3.499696	1.543247	-3.073266	-7.290875	-7.839885	-7.817825	-9.205332	-9.007360	-10.816912	-17.849581	-23.107982	-28.874778	-35.158587	-40.852095	-111.273450	-301.551342	-551.627110	-865.949739	-1291.941153	-1827.502983	-2414.510088	-2975.515934	-3510.779940	-3908.627660	-4184.511252	-4362.952100	1.094272	0.157028	4.395479	12.431950	15.876878	27.156189	37.028690	38.513921	40.831508	38.883338	36.695875	32.740825	-108.206329	-305.579151	-583.148468	-947.881559	-1437.901595	-2056.330480	-2713.570227	-3315.457698	-3872.735596	-4256.852306	-4505.359340	-4655.293117	-0.016806	-3.988409	-4.575914	-4.899911	-7.063342	-7.230389	-9.214103	-16.280049	-21.582568	-26.740347	-32.065028	-36.945948	24
4ddh_343	8.646710	0.057654	-2.219530	-4.883562	-0.504066	5.309839	5.933904	5.046882	1.919708	0.976705	1.903761	3.614031	2.454201	-6.489085	-5.897771	-3.595236	-0.228958	7.649963	12.137099	14.772500	14.228481	15.867999	17.678245	17.713413	8.644173	1.141099	-0.667708	-4.313372	-5.243540	-5.600898	-7.646040	-9.308365	-10.167652	-9.581454	-7.211135	-3.018125	-2.576910	-15.844274	-17.939947	-20.774183	-20.946093	-20.820776	-24.405694	-28.618342	-33.694137	-36.957040	-40.709797	-44.122242	-100.680529	-256.695180	-455.536285	-724.215113	-1080.145437	-1484.090720	-1932.604701	-2389.018367	-2849.258251	-3338.403745	-3760.464515	-4091.423431	9.892747	1.260186	2.532640	5.583588	10.873968	19.873111	24.848922	27.708453	27.315384	29.027560	30.842617	30.866197	-95.828259	-259.076478	-477.940001	-787.644636	-1201.346213	-1664.591589	-2166.225129	-2659.444486	-3140.785071	-3639.149269	-4056.078492	-4374.687033	5.947651	-6.431874	-8.623620	-11.924155	-12.640106	-13.234830	-16.960818	-21.201208	-26.313014	-29.236676	-32.395499	-35.239869	24
4ddh_349	26.124929	18.213509	18.154405	14.287527	18.794265	23.369478	25.727459	26.387983	24.721073	22.736433	22.599167	24.071358	16.564728	10.541687	13.523021	13.157835	17.387658	23.905774	30.125398	34.120075	34.006176	34.612740	36.975100	37.877809	26.912121	20.042602	19.541039	14.801900	13.603344	12.854606	12.403540	11.772692	11.855910	12.403045	14.123845	17.771882	12.450223	2.015308	1.221109	-3.443854	-2.945231	-3.320562	-5.128509	-8.258412	-12.698593	-15.660011	-18.728543	-21.737174	-72.115940	-221.086990	-422.750117	-668.957438	-981.644984	-1363.898655	-1796.506109	-2238.530792	-2645.349908	-3108.530644	-3561.158852	-3910.565630	26.330142	20.386693	23.779020	23.929680	29.701455	37.346994	44.083058	48.321325	48.279730	48.958765	51.326963	52.221772	-63.767350	-219.256814	-443.130462	-724.009998	-1087.539683	-1528.982317	-2015.355752	-2495.110256	-2918.899393	-3390.479593	-3843.209609	-4183.834177	23.231131	13.462131	12.361011	7.016001	6.785169	5.785823	3.847228	0.692933	-3.782321	-6.427586	-9.010709	-11.509597	24
