name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
4dld_109	106.057051	101.122045	99.456481	99.407387	97.396796	94.203256	88.511434	83.355248	81.526642	77.905247	74.573620	72.568691	85.374156	76.418926	81.745313	92.129642	98.043936	108.064914	122.777295	137.173753	150.417894	156.936010	161.542592	164.500626	106.202486	99.510286	97.236531	95.125486	90.912577	89.560571	89.018391	88.862854	90.714944	92.225435	93.473588	95.527391	77.460255	60.331948	55.057886	51.319667	45.888422	41.881827	37.713164	33.098317	28.215088	21.066985	13.153573	5.046994	-30.518465	-227.022558	-489.853477	-815.561256	-1239.734513	-1784.743877	-2471.275764	-3260.176946	-4075.265954	-4867.983091	-5653.805223	-6398.876015	107.281750	98.877038	105.634954	117.855657	126.843950	140.287157	157.978122	174.933207	189.971428	197.362722	202.485779	205.706379	-14.354183	-221.563416	-517.880576	-903.472609	-1404.878813	-2045.372896	-2839.337467	-3720.686932	-4598.598465	-5415.986601	-6207.787551	-6953.199305	101.054718	84.768956	78.562977	73.552886	66.429351	61.381517	56.733212	51.658076	46.197121	38.966155	31.339704	23.520935	33
4dld_178	17.166140	12.854696	10.384931	13.608585	19.658148	16.313456	7.704740	0.291229	-6.534643	-11.824814	-14.458785	-12.937794	5.013206	-1.099332	6.645817	20.821750	39.957432	54.851983	72.826914	88.435835	101.295006	107.294783	106.856224	103.205866	15.774487	11.067521	9.261123	9.726525	9.698105	5.827723	3.872871	3.708210	4.229404	6.256961	8.984037	14.401733	-3.537432	-18.117561	-22.111813	-25.141652	-25.840141	-31.988316	-38.156446	-44.706216	-52.293571	-61.695131	-73.139928	-83.994064	-172.499004	-405.789864	-723.637274	-1097.402888	-1653.081877	-2354.181466	-3236.369221	-4210.168173	-5245.816952	-6213.653768	-7026.941629	-7672.844095	12.762772	7.238701	17.139598	33.771009	58.476040	77.949172	99.857751	118.433972	133.633345	140.589336	140.174067	136.012100	-168.563083	-412.298634	-771.727150	-1216.262552	-1885.725824	-2708.089083	-3722.616237	-4802.596686	-5915.270198	-6907.545181	-7706.941324	-8326.947912	6.098360	-7.549134	-12.068486	-16.278307	-17.594107	-24.872177	-31.549655	-38.758377	-47.043899	-56.542448	-67.547810	-77.945163	33
4dld_198	97.511566	97.458354	93.377574	93.640622	89.180754	89.352198	84.226977	76.258710	72.582304	71.166456	68.564587	65.439075	80.302134	76.093650	79.012987	89.913234	93.455788	108.548263	123.856390	136.024670	145.973685	155.611037	161.620712	163.416359	96.980564	95.023436	90.438179	88.304000	82.402500	81.769412	81.094487	79.830984	81.225277	83.784346	85.301116	87.816733	71.469413	58.326357	50.304652	45.866896	38.669519	35.615090	30.401736	24.185001	17.587355	11.374672	3.475627	-4.763481	-57.586196	-263.104577	-543.688272	-886.357950	-1329.851413	-1913.100050	-2628.140643	-3456.705956	-4278.403771	-5108.497576	-5933.545853	-6708.514362	99.165603	95.817305	100.022714	113.075255	119.630923	138.690649	156.990066	171.790177	183.326260	193.903376	200.473125	202.527638	-42.602666	-259.979455	-575.118496	-984.093760	-1503.819149	-2195.265555	-3020.014257	-3942.796323	-4822.916918	-5681.596215	-6514.484241	-7288.287236	92.219108	80.181130	70.908075	65.321073	56.164518	52.233274	46.455996	39.732427	32.453301	26.148475	18.544995	10.607313	33
4dld_199	82.685792	80.292698	82.132368	82.775195	80.268550	75.025211	66.777009	60.485747	53.917104	51.434093	48.463214	47.764683	63.089600	61.552703	71.155258	82.371765	88.489931	100.631995	114.946869	127.192911	136.551608	144.334853	148.706984	151.342126	82.649573	78.615918	78.215840	76.769376	71.595243	69.015203	67.830606	67.250283	67.850055	70.536034	72.179808	75.297435	55.582549	44.941458	41.770983	37.407015	31.040597	26.894197	21.630851	14.729155	7.789393	0.802474	-7.922828	-16.548969	-55.346146	-282.204106	-553.667324	-901.400093	-1363.213410	-1992.809971	-2757.106781	-3588.508410	-4472.242657	-5317.799030	-6141.038594	-6899.163106	82.943864	81.580652	92.574663	106.381078	115.742803	132.482945	150.075717	164.693245	175.919571	184.547391	189.381522	192.155233	-40.512085	-281.367308	-589.994847	-1008.064952	-1549.903774	-2293.449917	-3171.632357	-4093.630630	-5040.807734	-5910.505481	-6736.676179	-7491.108037	77.139017	67.140236	62.780884	57.642581	49.397410	44.626918	38.824186	31.277785	23.680805	16.583515	8.189738	-0.109058	33
4dld_207	2.079202	-5.262252	-11.996631	-12.961362	-5.404562	-10.620006	-17.800067	-28.339261	-34.711302	-40.612789	-41.944524	-39.520081	-8.472820	-15.171200	-10.786904	0.892441	21.512272	34.562499	54.738942	69.307275	82.580322	85.299495	86.497449	81.955157	-0.819568	-8.608476	-13.192586	-16.428670	-16.896028	-21.359585	-22.816527	-24.242345	-23.245088	-20.635079	-16.969479	-11.248014	-18.189133	-33.431436	-39.497892	-45.144715	-46.274899	-53.442890	-59.023598	-66.168601	-73.697282	-83.874417	-94.418560	-105.697278	-185.914623	-428.006203	-758.278500	-1154.297164	-1713.202491	-2429.735570	-3325.328496	-4342.567842	-5396.385618	-6328.993966	-7155.461673	-7766.184089	-3.496435	-9.669560	-3.239779	10.957021	36.970379	54.835628	79.065263	96.867759	112.459219	115.846402	117.097415	111.900428	-184.532024	-439.892728	-810.841887	-1279.550201	-1954.020937	-2792.149094	-3823.131501	-4950.880324	-6081.032691	-7028.772394	-7842.174805	-8422.902850	-11.403197	-25.666311	-32.405701	-39.249292	-41.218922	-49.387268	-55.461635	-63.223111	-71.492207	-81.797111	-91.890890	-102.689678	33
4dld_208	1.741295	-2.528927	-10.447044	-7.714270	-2.880661	-5.143994	-14.187771	-23.193173	-31.646205	-36.103280	-37.510069	-34.418931	-13.565654	-15.831174	-13.452142	2.314949	19.275095	36.727783	54.497069	69.603610	81.070249	85.462258	85.777495	81.808521	-0.155233	-5.287561	-10.177839	-11.694420	-13.166155	-16.417338	-18.708212	-19.849456	-18.842859	-16.081426	-12.522805	-6.681737	-22.432679	-34.064853	-41.133898	-44.877326	-47.219106	-52.451969	-59.179796	-66.566685	-73.984504	-83.898428	-94.876170	-106.108779	-166.754455	-422.122974	-752.610475	-1153.131962	-1702.556196	-2430.182663	-3324.422853	-4329.000337	-5390.095012	-6325.176856	-7135.919061	-7744.836829	-4.799648	-6.829553	-2.409968	15.919278	37.790221	60.435932	82.132822	100.355547	114.200293	119.286187	119.581320	114.961243	-162.875562	-434.846161	-803.633065	-1280.208634	-1937.277783	-2795.537927	-3821.773666	-4935.683487	-6072.388281	-7024.839201	-7821.037842	-8400.820151	-11.995140	-22.720325	-30.551136	-35.494182	-39.052128	-45.076672	-52.366893	-60.400784	-68.532681	-78.567508	-89.100033	-99.850934	33
4dld_211	-19.262921	-26.723156	-28.772212	-28.253820	-23.711452	-26.770052	-33.811967	-44.107530	-52.893997	-56.324418	-58.736118	-56.446195	-33.542586	-39.453697	-29.630027	-17.050625	0.042550	16.482287	36.558561	50.831144	61.602042	66.897259	66.586402	62.548259	-21.281550	-29.399164	-30.323540	-33.109843	-34.440388	-37.878006	-39.619567	-40.967986	-40.177127	-37.168135	-34.104895	-28.476611	-42.209145	-56.694022	-58.626021	-64.224971	-66.388785	-71.954055	-77.826891	-85.167353	-92.889905	-102.551956	-113.794956	-124.959974	-195.643722	-436.827805	-771.744741	-1163.801854	-1717.295394	-2441.532744	-3333.171482	-4344.401763	-5396.596478	-6325.616114	-7141.330124	-7765.848581	-26.867888	-32.705925	-20.926969	-5.835502	16.463961	38.118824	62.129007	79.585137	92.674188	98.651027	98.355060	93.718139	-193.833133	-447.155255	-825.460113	-1290.676117	-1953.291075	-2806.413134	-3832.600247	-4953.077316	-6078.836275	-7025.177814	-7826.442664	-8422.606141	-33.862914	-47.775420	-50.375976	-57.147788	-60.239948	-66.546560	-72.983581	-80.946304	-89.399189	-99.181954	-109.975064	-120.669690	33
4dld_249	20.862482	18.705069	13.002505	13.842601	15.399825	10.205650	2.383587	-8.843281	-15.469576	-17.925756	-19.047778	-15.497015	0.157261	-5.962249	-1.512196	12.415919	24.487868	37.692238	54.931115	66.669420	77.841645	84.716318	84.949000	83.030289	19.463204	16.356807	11.802214	9.328461	6.431768	2.729001	1.164509	-0.446661	1.233796	4.602245	8.345510	14.297736	-9.397765	-24.758902	-32.122851	-37.490014	-41.845817	-48.183431	-54.942860	-63.100815	-70.468578	-79.329888	-89.974249	-100.269949	-190.215629	-426.995545	-770.576515	-1186.306459	-1730.044072	-2446.375453	-3314.824029	-4297.793583	-5311.293828	-6239.966046	-7028.537074	-7659.724968	9.218234	4.190010	10.556563	27.383597	43.559041	61.586393	82.437314	97.142039	110.421251	118.060682	118.253382	115.801701	-187.121707	-438.198642	-823.129880	-1318.276256	-1959.873383	-2799.976254	-3797.833731	-4886.394370	-5970.652385	-6920.684995	-7694.545237	-8301.390267	1.641445	-12.210790	-20.528860	-26.916947	-33.225355	-40.593291	-48.046815	-56.876379	-65.008438	-73.983036	-84.182846	-94.023569	33
4dld_252	8.741069	1.063537	-1.789468	-1.583819	2.037728	-3.504277	-10.424653	-19.582906	-26.801145	-31.601656	-31.847309	-29.352594	-5.456346	-12.556839	-4.430839	7.964892	23.477458	38.254224	58.629709	75.252140	87.341011	93.585983	96.104263	91.495973	7.480519	0.339689	-1.431260	-4.234812	-6.296026	-10.300043	-11.899968	-13.073060	-12.138534	-9.656607	-5.951596	-0.212509	-13.495896	-27.535969	-30.479178	-35.480790	-38.207194	-43.558038	-48.760767	-54.996512	-62.382922	-71.490034	-81.770429	-92.989816	-155.023916	-385.310920	-701.316392	-1080.478263	-1606.892793	-2324.926405	-3204.416663	-4216.625323	-5252.209971	-6218.142881	-7041.316605	-7643.463449	3.954166	-2.936202	7.213593	22.039255	42.383787	62.666793	87.070046	107.057034	121.427424	128.575056	131.158124	125.892420	-150.421733	-391.328299	-748.204028	-1198.098110	-1828.589597	-2676.254864	-3689.454912	-4814.294281	-5923.674581	-6912.842494	-7724.751465	-8296.574843	-2.444521	-15.810686	-19.268564	-25.391752	-29.130796	-34.901596	-40.558367	-47.328792	-55.433573	-64.670142	-74.517784	-85.259004	33
4dld_260	26.961615	26.217371	15.391372	17.001795	20.984087	18.142786	8.415948	0.239925	-7.743629	-11.408015	-11.830295	-9.978579	17.667710	17.513649	18.077611	33.327098	49.692929	66.197431	83.924493	101.195829	112.760184	119.129154	121.103214	116.400578	25.221695	23.635248	16.244280	13.872747	12.542899	9.315282	6.722869	6.178246	6.751171	9.288549	12.859926	18.462463	9.535401	0.756250	-7.627511	-11.493410	-13.404556	-18.548432	-24.885635	-30.812425	-38.647240	-48.198984	-58.811337	-70.050866	-132.575178	-359.257820	-694.411176	-1088.174462	-1629.603522	-2342.819697	-3234.026296	-4246.790906	-5294.330559	-6245.083962	-7063.217488	-7681.820333	25.051432	25.395882	27.993622	45.898853	67.255340	88.836745	110.596940	131.167964	145.041261	152.219362	154.227762	148.907482	-129.237489	-370.162632	-744.142957	-1214.635176	-1862.706434	-2702.646302	-3725.210497	-4849.820597	-5971.469722	-6943.456532	-7749.327513	-8338.481102	18.575322	10.789457	1.847004	-3.028379	-5.968970	-11.890167	-18.706360	-25.204309	-33.767206	-43.437920	-53.608104	-64.374652	33
