name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
4eky_274	0.332194	-4.690661	-0.237270	11.603293	53.526715	69.958097	76.240664	81.848196	85.761376	74.047814	52.231095	10.229087	-8.973341	-6.523690	5.822215	24.103776	41.667978	54.541910	70.732938	91.044430	116.695675	142.024940	168.618221	185.363608	-13.295427	-13.036471	-7.370592	-17.321332	-25.589175	-41.962705	-60.140681	-79.230357	-106.314777	-139.902423	-173.130510	-214.135263	-33.253007	-30.992228	-17.321953	-9.955386	-10.512732	-10.147563	-9.307733	-5.318877	-3.137802	-2.310598	4.407620	7.582918	-176.686841	-452.673399	-805.762312	-1239.873394	-1858.220783	-2689.346015	-3779.043417	-5112.565498	-6793.996975	-8833.443328	-11260.548990	-14022.384480	0.024212	2.220200	15.421548	35.057378	55.646906	71.331792	89.342748	110.781760	137.649309	163.476462	189.909185	206.387092	-189.432750	-472.811901	-851.669345	-1358.407548	-2092.834757	-3055.738869	-4295.218042	-5771.777275	-7595.663556	-9748.434914	-12264.141721	-15099.303704	-22.449305	-19.462090	-6.607428	0.087971	-0.965902	-0.988136	-0.210233	3.811722	6.027246	6.917034	13.710083	17.021240	44
4eky_287	19.574299	15.041295	15.006134	23.782152	69.366015	85.419941	89.527314	90.840867	93.058766	79.833746	56.659780	14.692733	11.957838	15.867054	23.997379	38.406775	61.406056	73.587425	88.126881	104.286853	128.010977	151.509060	177.978996	194.936920	3.618761	7.175734	8.463114	-3.984464	-9.140521	-25.686404	-45.349292	-69.363075	-97.897293	-133.383614	-169.241634	-209.475318	-14.761697	-8.715225	0.739440	5.111807	9.072261	8.927429	8.633778	7.881518	8.454865	7.304002	12.947273	16.750457	-158.632939	-443.934005	-801.022832	-1236.817467	-1846.272691	-2679.899477	-3770.011340	-5103.121409	-6786.819567	-8843.905144	-11285.189948	-14010.739964	20.985987	24.579147	33.409186	49.051892	75.048336	90.075540	106.422899	123.696534	148.638377	172.623141	198.922859	215.615203	-174.056693	-464.105371	-845.478968	-1350.842180	-2078.053711	-3045.049308	-4285.057179	-5760.877762	-7586.664709	-9759.266840	-12291.444339	-15087.294269	-3.880689	2.849105	11.273727	14.848061	18.288742	17.775395	17.408999	16.689700	17.301001	16.178866	21.875161	25.852187	44
4eky_32	-10.782760	-16.163249	-15.397227	-7.108266	27.519131	41.948290	46.556317	46.726402	50.120147	36.473067	13.157179	-31.678125	-8.620604	1.506303	8.894163	22.805690	37.874579	50.168461	65.493034	81.421571	106.327075	129.902091	155.540462	167.476800	-18.549634	-25.277986	-22.245530	-36.981319	-54.163226	-72.394095	-92.795578	-119.803408	-147.195522	-181.839557	-218.244028	-259.188286	-23.413351	-21.112003	-12.140366	-10.050208	-15.857439	-16.152623	-16.304284	-18.293809	-16.663916	-17.728730	-14.228026	-13.224647	-155.085345	-424.085475	-794.991915	-1267.130564	-1892.714902	-2730.431109	-3841.489243	-5259.150307	-6972.586522	-8962.520440	-11316.112191	-14014.620456	-4.855573	4.371907	13.186188	28.968075	46.807829	61.915573	79.084285	96.291452	122.391612	146.418487	171.915613	183.587149	-163.496331	-446.690680	-851.746346	-1405.767123	-2144.837214	-3111.200002	-4373.085361	-5944.917415	-7799.232941	-9893.271188	-12329.417898	-15093.487816	-18.184717	-15.746109	-6.744811	-4.823641	-11.398278	-12.084429	-12.327192	-14.294040	-12.650129	-13.568260	-9.866103	-8.662157	44
4eky_38	-3.865762	-12.604885	-10.947728	-4.854650	45.561953	57.916568	58.934521	65.080388	68.162040	54.260906	30.416394	-17.537128	0.235438	2.100706	8.956969	23.019660	51.661090	64.068418	76.548282	98.683133	123.111569	146.692144	170.388683	180.102058	-13.721291	-20.820129	-18.970598	-34.419947	-38.407378	-56.797148	-78.915449	-101.340664	-128.522678	-164.907038	-201.877487	-245.259870	-17.064145	-19.730080	-13.194699	-9.652149	-3.558181	-2.680332	-4.600604	-1.354450	-0.033927	-1.533145	-0.233093	-0.922799	-160.713173	-422.179296	-797.517108	-1272.872282	-1899.871887	-2729.505368	-3814.862581	-5240.269894	-6919.045680	-8991.521464	-11313.795177	-14027.671216	3.294248	4.640815	13.128619	28.874474	60.505327	75.596353	89.797978	113.249834	138.840625	162.923154	186.470118	195.922533	-171.619752	-443.097855	-856.609796	-1409.319767	-2156.194807	-3110.370648	-4339.241093	-5922.974805	-7738.576894	-9925.728652	-12327.261148	-15107.208201	-12.432740	-14.711677	-7.906400	-4.733153	0.757380	1.146876	-0.897169	2.359582	3.722003	2.285352	3.828704	3.334035	44
4eky_407	19.020735	20.693625	23.048344	46.545586	84.278772	102.298889	107.366632	116.333722	119.297773	107.212390	79.415310	31.980373	12.736508	20.628520	27.084664	52.286508	74.421246	88.757711	105.141260	129.067191	153.841615	179.991704	200.577547	211.065219	10.498287	11.735469	13.522572	13.505345	3.779786	-10.237002	-30.490086	-51.313881	-80.058354	-114.846933	-154.127247	-196.752620	-5.183079	-2.333623	3.383739	16.477484	21.574211	24.946063	24.899495	29.009611	29.172168	29.827971	29.430678	29.881350	-130.373288	-351.847790	-684.455164	-1173.741044	-1794.530113	-2644.336104	-3727.339448	-5154.705605	-6847.758819	-8915.768373	-11268.597358	-14027.263136	22.221135	30.207281	38.266277	65.824561	90.497306	107.787127	125.888456	151.119756	177.062701	203.720155	224.158631	234.366600	-136.463558	-368.624896	-735.075557	-1318.927765	-2044.532916	-3027.998431	-4255.436903	-5842.261663	-7674.610152	-9856.424037	-12289.000551	-15115.310051	5.936424	9.613449	15.593077	29.076263	33.201377	36.260213	36.098310	40.202530	40.387907	41.122689	40.946335	41.546638	44
4eky_416	17.198809	26.639710	27.528929	41.035204	80.502467	95.736029	103.747515	108.894681	117.994141	106.471430	84.966259	50.632803	0.926150	20.804207	28.527307	46.843227	66.345698	79.949692	98.148454	118.262870	148.137352	170.432780	192.034163	213.230326	11.932377	19.976917	21.514946	14.383079	3.653834	-11.720705	-26.790414	-44.893172	-66.108542	-96.035389	-126.715430	-163.480908	-15.419191	-1.792841	6.049188	15.359824	16.157956	18.964165	22.728431	26.855523	32.885726	33.215515	37.172720	42.246040	-117.439388	-367.775892	-742.952244	-1209.689925	-1843.701423	-2667.366485	-3738.676299	-5020.007528	-6593.042734	-8431.608631	-10593.028784	-13195.507188	15.300273	34.636325	43.580397	63.769559	86.035540	102.257809	122.200718	143.346167	174.281174	196.977318	218.428505	239.364480	-118.265163	-381.932702	-792.358686	-1339.234908	-2085.888647	-3035.575588	-4250.560268	-5664.536829	-7367.254171	-9299.076988	-11530.758536	-14207.018292	0.558667	14.612890	22.227674	31.339280	31.312822	33.569132	37.259897	41.450698	47.532416	48.052515	52.259902	57.451406	44
4eky_419	0.712616	5.905108	7.842415	22.552296	71.304143	88.823783	99.329240	99.936523	107.982717	96.960532	72.076456	28.691103	-2.534500	10.467981	19.663045	39.694511	68.233200	84.828418	107.113218	123.287843	152.960136	177.663117	199.152160	212.078781	-7.597087	-1.087511	2.852944	-4.936771	-10.173883	-25.615807	-40.439998	-63.615859	-87.811761	-119.557756	-158.925142	-197.214880	-21.301175	-12.276860	-1.197959	7.961060	13.905885	17.716402	23.197526	23.554720	29.376637	30.401185	28.595661	31.767802	-160.637244	-414.463757	-781.712649	-1249.397950	-1881.399932	-2715.038926	-3783.062611	-5130.749519	-6871.154194	-8872.495416	-11193.320930	-13820.964951	3.796367	16.616729	27.163127	48.800016	80.255591	99.578894	123.529409	140.853248	171.829559	197.000903	218.330051	231.006212	-168.559864	-432.728709	-834.168171	-1380.030760	-2131.827469	-3095.504550	-4307.149935	-5796.090769	-7687.408858	-9795.348480	-12198.305540	-14886.614623	-13.273151	-3.539835	7.424603	16.128674	21.384903	24.705573	30.048359	30.452346	36.287580	37.434916	35.839082	39.265737	44
4eky_424	16.715252	20.909870	29.357116	43.070873	85.211820	104.726633	107.443747	109.604252	118.247197	106.565043	81.587827	39.195636	6.525871	20.639133	35.256824	51.817831	80.088416	96.853584	109.710346	126.183492	155.980361	179.437221	202.167631	217.366586	7.632456	14.307581	25.143366	17.387219	11.760663	0.285375	-21.736126	-44.894259	-68.544404	-100.256977	-139.555257	-180.713672	-13.723895	-2.853175	14.055557	20.923547	30.762521	36.211885	33.876835	33.274945	38.878340	39.373952	39.796387	42.103665	-142.666076	-407.707837	-755.556221	-1217.556365	-1799.790798	-2603.549768	-3686.744191	-5004.547194	-6683.378436	-8635.488374	-10980.115743	-13667.683388	19.435209	33.241835	48.897600	67.148371	97.676384	117.204666	131.862262	149.448301	180.472028	204.392001	226.956828	241.891971	-147.939835	-421.424106	-797.370297	-1338.755022	-2024.097525	-2956.535936	-4190.395165	-5649.189937	-7473.057550	-9529.122247	-11960.248434	-14718.562070	0.991591	12.462453	28.812983	35.316195	43.970880	49.060937	46.637387	46.074307	51.694195	52.320578	52.853501	55.305720	44
4eky_425	28.568196	42.524363	36.142097	45.944516	87.691277	97.894846	111.656545	121.508456	125.830091	114.105512	91.565663	46.359070	14.770832	31.763852	31.903023	44.632605	64.290299	76.372787	100.748614	123.799242	149.801671	174.899658	199.792124	213.723711	22.590019	35.255939	27.853549	15.679649	6.526447	-9.743285	-22.680645	-43.581426	-71.635500	-104.833493	-140.080011	-184.414631	-2.406391	8.972573	7.668396	10.208992	11.317308	15.229241	21.966067	24.672467	26.211875	26.796256	30.123341	30.047200	-138.248299	-349.087472	-712.678686	-1195.305128	-1845.928455	-2646.506463	-3722.634413	-5145.735858	-6875.493647	-8901.429597	-11290.860613	-14049.863969	24.514865	41.776564	43.145232	57.679714	80.471259	94.882998	121.031084	145.406080	172.658160	198.224458	222.952209	236.612717	-141.057168	-361.767839	-761.224002	-1326.411063	-2097.377534	-3011.203248	-4238.407152	-5823.556626	-7698.936705	-9833.281606	-12307.505288	-15138.861771	9.081509	21.412253	19.983521	22.325121	22.940199	26.125959	32.759568	35.470242	37.033724	37.723869	41.202431	41.284332	44
4eky_430	3.749819	8.086169	7.245419	10.827075	63.449869	78.614355	84.204504	88.612550	89.841294	80.581558	59.507951	17.272307	0.768980	13.256203	18.719449	27.780566	56.042644	69.299139	86.484537	105.464246	129.295854	157.244970	183.951370	200.161519	-2.949264	-1.983988	-1.923718	-17.764283	-20.408501	-35.896562	-53.679774	-77.299746	-107.424432	-137.810024	-172.421590	-211.718116	-14.817460	-10.981132	-5.091162	-4.357861	1.169027	3.892429	5.928454	6.152151	5.822335	9.854796	13.742377	18.258385	-154.750268	-389.344349	-751.988269	-1218.313574	-1855.752477	-2693.705203	-3766.525813	-5166.990481	-6866.883113	-8900.311790	-11213.168773	-13977.294950	7.310295	19.646033	26.394751	37.217406	68.759426	84.692227	103.532284	123.779965	148.816052	177.270506	203.844877	219.772759	-161.698879	-410.189849	-806.661682	-1348.916698	-2110.325921	-3075.248867	-4290.211906	-5844.989032	-7686.937196	-9830.665043	-12222.410872	-15058.469785	-6.625699	-2.142338	3.664346	4.163895	9.369731	11.560560	13.444794	13.690204	13.388447	17.530300	21.671193	26.302397	44
