name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
4f3c_101	10.123915	8.517507	7.548176	16.832675	39.572635	64.757498	87.822500	102.827685	117.909020	131.461193	150.418062	156.622750	1.939662	2.899911	4.638937	9.249191	16.895938	27.410900	42.407173	51.771519	61.873233	72.384629	83.580410	88.356349	11.075343	13.894752	16.811495	19.825520	20.207195	20.672543	24.491519	24.286863	22.543616	25.038821	24.984293	29.454973	-2.972712	-1.390791	1.689653	5.957423	6.994290	8.436275	13.265395	13.988193	13.574423	15.667287	17.379804	21.802583	-63.613633	-202.416784	-406.751163	-678.649868	-1068.602251	-1598.597871	-2299.116591	-3161.669198	-4225.761790	-5418.956993	-6738.720451	-8172.773384	13.194682	12.469328	11.729545	16.149356	27.254387	39.350618	54.043262	62.592246	71.315205	79.660660	88.536326	91.209930	-63.966911	-203.780137	-423.839836	-734.702071	-1194.367017	-1809.862632	-2605.522656	-3555.343204	-4699.917787	-5943.196906	-7295.888713	-8747.396424	9.734467	12.244133	15.700650	20.020617	21.271355	22.737963	27.543134	28.321985	28.008807	30.447052	32.650532	37.575931	49
4f3c_104	1.593570	-0.995797	-1.971895	2.683403	24.908182	44.468000	70.188123	87.656024	102.351029	116.729642	129.656485	137.177463	1.370215	3.362637	4.384361	6.622494	17.004179	23.894607	38.569060	50.512158	60.428757	72.114247	77.021964	83.537820	1.818826	3.497132	6.424004	5.646408	5.167519	3.132494	10.649995	13.813930	12.605749	14.746929	11.140629	15.111603	-2.665830	-0.763316	0.937602	3.478017	6.479343	6.076691	11.903035	14.920657	14.444824	16.782302	14.615853	19.133207	-56.705501	-207.097034	-434.066520	-709.549421	-1076.193203	-1571.808843	-2277.296191	-3076.676510	-4063.149781	-5214.012906	-6479.972097	-7864.548882	4.497755	2.880027	0.705708	2.917724	16.183485	24.377413	38.853004	50.058109	58.723919	68.283812	70.991925	75.462750	-57.808815	-212.046585	-459.232330	-770.066511	-1200.143281	-1773.345845	-2575.938365	-3453.456713	-4512.649386	-5714.310394	-7009.219801	-8413.537177	1.587874	2.727705	4.521086	6.994120	9.470078	8.815394	14.765912	17.846792	17.495701	20.121736	18.438043	23.423926	49
4f3c_140	9.510227	10.772100	11.538081	24.714674	51.704457	84.467268	109.237931	122.685133	142.138373	157.387140	175.304409	182.856798	10.117080	13.227193	17.229591	26.286922	39.365117	52.027348	67.067636	74.714317	88.624846	100.996734	109.879387	115.843348	9.278210	15.810481	24.404335	30.960489	29.793757	32.989478	36.660880	34.996795	35.091435	37.053083	34.894025	39.213005	3.373161	6.389680	14.769158	24.589871	28.856867	31.112035	35.269141	34.842865	35.594450	36.990848	37.144286	41.264999	-82.942208	-278.791826	-553.038576	-884.869457	-1341.129737	-1999.231866	-2839.319283	-3858.929506	-5049.944904	-6363.513699	-7853.575673	-9463.378699	17.153471	17.421801	18.398207	27.710059	44.247352	59.068543	73.767965	80.435590	92.889816	103.079992	109.473561	113.184367	-85.700591	-286.084979	-578.426372	-954.451455	-1489.090554	-2255.591396	-3205.061303	-4322.522647	-5599.588314	-6964.177814	-8486.556276	-10115.771765	12.246977	16.165746	25.233309	35.190941	38.540431	41.071465	45.195513	44.808054	45.771878	47.821605	48.682826	53.490764	49
4f3c_150	5.827276	2.388895	1.584476	7.614543	34.551497	54.180331	75.463803	94.931328	112.313615	123.582942	137.904910	144.273189	2.238709	-0.856148	0.201893	1.867059	12.553907	19.954394	33.060461	45.759171	58.234161	67.395191	73.340277	77.845478	6.883574	6.771805	10.146884	10.307688	14.514700	13.149043	16.355516	21.469260	22.983545	21.907132	19.768432	22.528772	-2.288146	-5.456404	-2.610232	-1.577989	1.432412	1.967186	5.241893	10.064734	12.129001	11.970014	10.937419	13.584468	-60.309046	-196.488684	-393.209348	-642.634737	-1012.291657	-1497.771548	-2151.940739	-2982.814687	-3957.620223	-5096.689681	-6373.629376	-7779.991931	9.159979	4.103478	2.795457	4.410482	18.637649	27.371279	40.248189	52.086951	63.311783	70.364459	74.008234	76.369777	-60.452449	-199.518608	-409.569446	-694.386084	-1135.916072	-1695.402345	-2438.396921	-3354.977283	-4402.193141	-5591.509624	-6900.179239	-8327.952678	5.966739	3.384978	6.493624	7.588585	11.226702	11.579531	14.889775	19.702566	21.876178	21.986892	21.341959	24.385426	49
4f3c_178	6.437210	2.882057	6.720069	19.278767	49.832358	79.917949	102.395421	116.800857	134.643825	149.901477	168.788830	172.796057	7.919214	12.307917	18.822426	26.759420	43.189122	55.553924	68.458714	76.332026	88.951992	101.350608	111.491237	113.972130	7.113477	9.231706	20.466377	26.915449	27.507032	29.180706	32.744242	32.323698	32.310766	31.623155	30.330989	32.676718	2.236290	5.447255	16.547387	25.818487	32.257948	34.530704	37.492495	36.838200	37.311522	36.744316	37.915865	40.194588	-89.383005	-320.962373	-582.035323	-916.708840	-1372.405178	-2008.592055	-2820.738935	-3794.710577	-4925.895804	-6220.718826	-7645.937702	-9216.194361	14.165532	13.192689	18.017118	26.086248	46.012119	60.154762	72.857873	79.855766	91.141308	101.349627	109.138089	109.401911	-91.154389	-328.581659	-604.573691	-983.332568	-1520.700787	-2259.678963	-3175.063148	-4242.060151	-5453.799468	-6804.123640	-8259.946620	-9848.203980	10.320033	12.510680	25.259750	34.487139	39.967394	42.037443	45.068284	44.506194	45.235031	45.260421	47.157517	50.079918	49
4f3c_190	10.881317	4.877842	6.782405	14.948179	32.041457	54.799597	74.583055	89.359196	103.474596	118.035891	133.234597	141.795607	9.027286	9.794552	14.716396	20.058170	26.021621	34.513637	44.972777	56.211372	65.121776	77.021437	84.750083	91.571958	11.561072	10.607941	16.869074	18.053945	12.966248	12.456017	14.665961	15.117173	12.985398	15.874521	14.209967	20.915822	4.650493	6.335232	12.222068	17.037617	16.178649	16.926961	19.174936	21.365175	19.509371	22.383748	22.494626	28.540648	-57.243285	-202.113988	-431.877028	-719.454289	-1090.951631	-1611.295910	-2316.682590	-3110.696251	-4109.005869	-5262.539635	-6535.602714	-7874.055016	15.381136	14.037850	14.992927	19.709265	28.330574	38.366389	48.581524	59.112566	66.763982	76.560608	82.072912	87.021492	-57.843215	-202.619059	-452.232759	-779.023242	-1212.506923	-1816.875826	-2616.684319	-3487.028695	-4559.889103	-5763.622840	-7066.676056	-8419.875709	12.337957	14.483254	19.829086	24.179525	22.371541	23.114548	25.410129	27.680697	25.957801	29.156270	29.756418	36.376540	49
4f3c_21	1.648625	-5.922990	-17.720658	-7.140854	17.069530	53.813605	79.344704	96.953726	112.265954	131.311175	147.313709	149.686881	4.458102	3.738843	-2.457568	4.220357	13.123930	31.330074	46.335111	55.666657	63.954217	80.085193	86.079265	86.561413	5.625072	5.621808	5.785435	11.290418	6.022258	12.540635	17.936406	19.363110	22.227831	27.797306	22.969007	24.567850	0.993167	0.283565	1.483570	12.686919	16.187331	26.145743	31.755096	33.253560	35.903005	42.034156	40.251106	41.320551	-108.609242	-372.018619	-745.269174	-1168.242992	-1732.614677	-2478.750624	-3438.963367	-4632.472417	-6015.088178	-7595.021155	-9301.039244	-11147.924096	10.492308	4.706849	-6.103444	0.767949	13.609198	33.944537	48.779279	57.003209	63.659152	77.077984	80.333567	78.321494	-107.211522	-376.713362	-770.219387	-1244.311017	-1897.511690	-2756.891496	-3836.261289	-5144.950046	-6617.622696	-8260.129369	-9998.273763	-11862.913976	9.161157	8.326013	9.747599	20.880461	22.668744	32.259374	38.003999	39.589794	42.540471	49.342671	48.509056	50.458281	49
4f3c_251	9.941242	3.883210	3.788329	10.522564	43.534246	70.322594	95.874507	120.717450	138.250307	150.896573	169.147474	175.517631	8.981403	13.303743	16.540039	20.181986	37.739032	44.315655	59.464017	76.101500	87.154458	95.640828	103.669358	107.258397	12.313779	16.232979	24.348568	26.407894	24.845326	22.231648	27.146204	31.333944	34.392449	33.120050	28.406447	32.341173	-0.735466	5.573960	13.508954	23.811157	33.118781	34.046243	40.396473	45.549823	49.642972	48.020910	47.497092	50.474510	-160.001643	-451.834068	-823.908069	-1277.274768	-1868.156864	-2676.105420	-3698.874383	-4974.161128	-6452.984061	-8179.865916	-10054.970876	-12100.409138	22.152752	24.444606	23.992431	27.157240	48.797148	57.591378	72.449890	87.889647	97.216237	102.686994	107.625804	108.342254	-161.119381	-451.443687	-844.735613	-1348.850908	-2038.581322	-2967.378238	-4118.410726	-5522.822093	-7100.203086	-8896.822969	-10810.281929	-12879.890683	15.755103	25.236309	34.204066	43.492835	50.661686	51.099883	57.473101	62.714150	67.153259	66.181020	66.600503	70.434775	49
4f3c_28	0.232754	-11.060708	-13.156773	-6.133774	24.986531	52.720573	76.286328	94.247852	106.838157	119.196441	138.891871	148.682959	5.379763	-2.811714	-1.417037	-0.386262	15.313879	26.507551	39.920533	49.725628	57.378079	67.349280	76.322919	83.158708	1.576181	-2.800991	5.421122	10.824124	17.087153	20.889654	25.646725	27.887688	30.444448	29.632641	31.686525	36.131235	0.153092	-6.945798	1.308632	8.243867	20.146045	26.258137	31.507407	33.387870	37.152149	37.450300	41.202033	44.902358	-93.433755	-314.494071	-597.668105	-986.113744	-1472.394859	-2132.381874	-3012.219637	-4098.125127	-5330.488457	-6759.499749	-8395.966509	-10214.312746	8.855676	-2.910059	-4.292167	-3.845656	15.485908	28.441399	41.448307	50.221751	56.445152	63.922293	70.011654	74.095293	-95.065469	-320.087466	-619.071046	-1054.673802	-1621.291981	-2377.666053	-3368.850915	-4561.056706	-5870.712642	-7356.854605	-9028.794640	-10875.986960	5.496066	-1.210026	8.019523	14.704738	25.504014	31.233560	36.404708	38.347534	42.405021	43.249273	47.586832	51.826161	49
4f3c_301	-5.949930	-9.695021	-16.062401	-8.749923	16.903959	32.924682	50.243347	65.830396	81.798393	99.555320	114.879386	122.577791	-2.752271	-1.540089	-3.761879	0.972344	11.844415	14.891067	23.406305	33.711428	45.327442	61.168720	69.809588	75.578774	-4.375500	-4.620811	-5.035863	-3.152987	-1.202946	-5.450147	-3.600044	-0.250906	0.299630	5.680489	3.108494	8.070948	-5.365663	-5.841190	-5.118237	-0.199962	2.801944	-0.255510	0.680804	4.162772	5.415789	11.494357	11.557840	16.414277	-70.310674	-246.668186	-478.559250	-741.405401	-1113.729744	-1618.466190	-2293.961157	-3087.674297	-4033.184083	-5101.851697	-6282.977919	-7655.581363	-1.187735	-4.696588	-9.353055	-5.013087	9.035433	13.342185	21.712480	31.305024	41.789768	55.771712	62.438812	66.117645	-70.477704	-253.890248	-498.689772	-794.704597	-1237.350685	-1819.261441	-2582.045568	-3452.055577	-4466.652746	-5580.587150	-6788.641678	-8181.946844	-2.586056	-4.426864	-3.293489	1.006558	3.870595	0.483573	1.536455	5.101485	6.549650	13.061492	13.691041	18.940477	49
