name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
4ih5_140	-1.653980	-5.444822	-16.110968	-16.885800	7.519580	21.748735	33.366598	44.779822	52.787555	60.836260	89.412008	95.838990	-4.047122	-2.718192	-9.258987	-16.836990	-27.238898	-28.156531	-19.736702	-7.492651	-3.672075	4.194478	16.872680	30.300969	2.327825	3.613236	2.141650	5.701322	22.544550	20.997827	18.693118	16.405289	18.713433	20.718397	20.435926	22.908660	-5.274670	-3.374569	-4.468540	-3.988603	-2.909901	-1.660949	-1.970235	-4.097812	-2.028176	0.813015	1.834207	2.564146	-53.127017	-152.298616	-316.143204	-558.716155	-989.354162	-1542.164214	-2213.931248	-3030.366866	-4137.638727	-5454.093054	-6963.143351	-8584.785561	5.778180	6.203433	0.097392	-3.327799	-1.909700	-1.560065	-0.314572	1.180479	-7.132928	-12.191172	-16.804830	-18.614908	-51.212851	-150.528784	-324.864247	-602.174027	-1106.848399	-1731.900680	-2476.515111	-3364.536743	-4538.853621	-5904.012172	-7447.167301	-9093.598111	6.201781	8.342112	6.989267	9.346804	14.928555	16.336030	17.305858	17.018679	18.673016	21.416146	23.105019	25.749918	27
4ih5_148	-2.959446	-17.902043	-19.363640	-20.502014	1.806231	17.274991	37.891075	53.755427	60.052581	70.130319	100.272533	104.414030	-2.793873	-13.938099	-12.157860	-18.700223	-14.771435	-13.185676	1.139140	18.286540	21.380821	29.772923	45.194513	57.647679	0.401025	-5.078540	3.233627	8.229215	17.543459	16.764197	20.713607	20.782048	21.229906	25.453224	27.750199	28.633444	-5.127434	-12.125400	-4.793796	-1.428599	8.450552	11.167376	16.950688	19.539451	19.845512	22.354640	26.238574	27.065627	-51.080394	-178.599852	-353.100487	-611.913316	-972.368058	-1480.480933	-2187.178127	-3054.450050	-4120.824558	-5388.330962	-6901.618900	-8576.614402	3.176964	-10.139321	-6.763979	-9.593464	2.192165	5.228751	10.305018	14.699583	6.707365	3.103279	1.001816	-2.944673	-50.589683	-177.376394	-364.655143	-656.192727	-1074.668836	-1653.384746	-2447.761961	-3397.566714	-4524.961847	-5837.457448	-7385.989340	-9088.449016	2.447375	-5.165002	2.949991	7.492126	18.388438	21.520360	25.972664	28.529802	29.255108	32.255497	36.556527	38.538186	27
4ih5_159	-4.753638	-14.270554	-27.775840	-27.180593	-7.862759	9.867343	25.560490	41.748987	50.587830	58.771872	90.654738	96.634566	-7.236631	-12.181930	-22.699790	-27.404192	-28.422604	-26.217182	-13.842661	2.637353	9.023216	19.139741	34.571126	47.406040	-2.239897	-5.376401	-6.550180	-1.242024	6.832369	9.132170	8.540619	8.797291	11.632615	12.962245	18.074818	20.693732	-8.647360	-11.946011	-15.472876	-11.518839	-5.656618	-1.517777	1.997545	4.438806	8.003315	11.914271	16.244388	17.277742	-40.785310	-145.264096	-332.259555	-581.132075	-946.470337	-1460.373065	-2141.331775	-3044.294549	-4103.351950	-5376.012808	-6900.184312	-8606.116394	-1.757037	-8.883744	-17.897705	-18.585965	-11.276856	-7.879290	-4.051337	-1.769056	-6.464508	-8.508020	-10.893326	-14.952055	-39.889590	-146.253093	-347.296489	-627.786364	-1051.390104	-1636.987037	-2398.555954	-3389.962355	-4509.191915	-5827.779441	-7386.994892	-9121.951104	-2.035550	-6.013142	-8.427375	-2.878099	4.607953	8.813856	11.648089	12.582229	16.529523	20.796344	25.311101	27.256418	27
4ih5_161	-4.658586	-13.397156	-17.058087	-21.274121	-3.386444	19.139858	32.556119	47.293141	54.877772	66.928538	95.875438	102.318232	-7.569315	-12.223981	-12.750359	-18.847866	-21.331620	-20.013995	-10.174864	4.925748	10.710915	22.013401	33.112734	46.243042	-0.634241	-1.448941	6.578528	7.449834	13.541545	19.529773	16.748125	17.542936	19.296426	23.303081	26.127106	28.441600	-9.890719	-12.471828	-5.689229	-2.260589	3.089354	6.698421	6.800975	8.308281	11.301438	15.841112	17.159478	17.226653	-63.416057	-190.898874	-380.164457	-640.897931	-1018.657132	-1579.185143	-2268.147798	-3129.220765	-4185.282422	-5512.194407	-7030.142545	-8645.120568	3.174329	-2.783529	-1.770765	-4.918296	0.808813	3.395014	5.315301	8.341606	3.179477	1.445475	-4.725409	-6.609689	-61.919439	-189.990055	-390.716155	-682.937016	-1119.372812	-1761.953522	-2530.200104	-3470.110172	-4586.479587	-5965.477913	-7515.253688	-9154.562003	2.834303	0.473899	7.846154	11.475254	17.915001	21.461957	22.142912	24.521257	28.124590	32.593106	34.700489	36.887035	27
4ih5_168	-0.672802	-7.144374	-21.146907	-29.449210	-8.521050	12.042323	26.400450	37.720128	45.775228	54.703084	85.008242	91.553784	-8.552408	-15.248933	-26.973679	-38.444459	-40.420015	-34.342247	-24.086936	-9.425466	-3.689735	3.249983	17.736010	32.017570	4.236461	5.060032	2.389109	-1.050068	7.309888	11.180899	9.118882	6.361587	7.708052	10.509590	14.433755	17.102517	-11.398766	-15.032739	-19.593434	-21.740776	-16.782897	-8.815743	-8.285963	-6.913576	-4.523525	-3.329033	0.554392	2.491926	-57.019879	-161.644347	-346.780075	-618.317184	-1010.272599	-1541.500460	-2227.739940	-3078.772617	-4141.580380	-5437.721028	-6920.149834	-8557.975817	5.519037	-1.673445	-11.374324	-20.671895	-13.103751	-5.786532	-3.310772	-0.659884	-6.078502	-11.580544	-13.903852	-15.331543	-54.505298	-158.509995	-356.675911	-657.928111	-1115.411033	-1720.300427	-2487.508346	-3416.770980	-4541.637438	-5885.962376	-7400.267051	-9064.403329	4.701233	1.704368	-1.573178	-4.155386	3.174591	11.283045	12.344110	14.473963	17.234942	18.683985	23.493566	26.994646	27
4ih5_169	-2.550172	-3.345296	-12.052781	-14.454793	4.004547	24.340199	37.562498	49.160653	59.000940	65.072244	92.354435	101.729389	-4.072450	-4.609009	-9.814188	-18.108720	-22.582487	-17.418435	-7.628511	7.213722	14.620603	21.806904	32.307509	48.448147	2.101020	8.749597	12.503120	16.489507	22.675983	27.150185	25.943419	23.415142	25.153157	24.521910	23.307578	29.381337	-6.668223	-4.556372	-2.135173	0.326305	4.731683	12.174525	12.991838	13.777478	16.553244	18.441205	17.331787	21.161507	-66.871821	-183.104999	-382.704355	-668.957746	-1084.655264	-1628.045018	-2317.237060	-3169.164931	-4252.964078	-5568.572455	-7096.028233	-8726.904681	5.854001	4.782873	1.915411	-2.221238	2.501424	9.122126	11.605659	14.840653	10.858240	5.475667	-1.284155	-0.396131	-65.725753	-182.440874	-395.567985	-716.803368	-1195.520445	-1812.152495	-2578.366997	-3507.478021	-4656.562779	-6020.340448	-7581.894233	-9237.035619	5.428308	8.363694	12.242509	16.006956	21.954084	29.844280	32.075152	34.325171	37.500941	39.737789	39.556950	45.447537	27
4ih5_192	-5.854883	-15.989160	-27.703145	-32.180166	-13.852778	0.649541	18.651561	28.855945	34.189518	40.763113	72.196452	76.152247	-12.799821	-18.886613	-27.218169	-34.883190	-38.884834	-39.620578	-26.946978	-15.106664	-11.811838	-4.444777	9.953822	20.053705	-1.655145	-3.578131	-3.946161	-4.537166	1.023266	-0.219344	1.155725	-2.548476	-3.273096	-3.246794	1.759074	2.812492	-15.698533	-18.527217	-19.800577	-18.767150	-16.340932	-15.235510	-11.835293	-13.440465	-12.751716	-10.985042	-7.347697	-8.747333	-57.484322	-170.403994	-357.145429	-618.994377	-998.536701	-1517.116902	-2209.151483	-3055.226520	-4111.430930	-5385.936543	-6878.458972	-8511.517134	0.585911	-6.197001	-12.637826	-16.992608	-12.656099	-12.388120	-8.034457	-8.035445	-15.792076	-20.575400	-23.356504	-28.865037	-55.242266	-166.160164	-366.310840	-660.860022	-1103.155631	-1691.854946	-2467.902241	-3391.310161	-4508.556970	-5829.831447	-7356.088795	-9014.681716	-0.425773	-2.744716	-2.792234	-1.064882	2.629575	3.742362	6.932615	6.125634	7.178300	9.303791	13.503857	13.664080	27
4ih5_202	0.113583	-4.499892	-15.896186	-16.108096	2.591886	22.056457	36.310625	48.985184	56.892426	64.805339	95.083822	101.433666	-8.672841	-5.791722	-12.174441	-18.785307	-21.498267	-21.700103	-11.784031	1.883491	8.062241	16.218222	31.932295	44.654040	6.477386	11.188656	13.802926	20.010939	25.592731	28.679628	28.453898	24.660175	24.490108	24.403461	24.234306	27.173364	-10.254080	-6.385077	-2.846566	2.633792	9.541074	12.274892	12.637176	9.319810	10.792496	11.586835	14.638821	15.001680	-67.659991	-240.488291	-457.602212	-748.883113	-1163.443927	-1753.065408	-2467.893490	-3343.539934	-4447.177324	-5723.116246	-7196.485837	-8837.455084	7.662781	8.228797	3.655933	1.703449	7.031732	8.339177	10.641712	12.776150	7.677614	4.372108	4.137845	1.647107	-64.306505	-240.301361	-468.064844	-793.575133	-1268.480813	-1940.334245	-2734.306821	-3690.184040	-4860.088673	-6179.830322	-7683.347796	-9348.978491	8.298798	12.286231	16.064954	22.896059	29.819944	32.877732	34.903795	33.730842	36.080658	38.222531	43.290350	45.859811	27
4ih5_219	-5.144916	-12.663993	-27.405506	-25.483857	-2.675083	13.060667	24.250160	37.986828	48.137615	57.064610	87.673209	91.391196	-3.735150	-1.651675	-11.232641	-14.380809	-14.243447	-16.938284	-8.654610	7.427987	14.435491	22.086941	37.155655	49.936351	-0.841745	0.746367	0.577982	8.648147	18.295469	18.218229	15.253823	11.932215	13.875644	15.931117	16.764078	16.853082	-5.588074	-2.633973	-2.442077	6.308543	15.173056	15.683734	15.306557	14.075755	16.392806	17.425702	20.044086	20.476277	-62.163627	-228.068595	-452.356297	-728.094855	-1141.413376	-1720.376993	-2428.723108	-3294.606549	-4408.500026	-5674.429688	-7177.225830	-8845.780034	4.521837	3.835285	-4.019519	-3.401813	5.828650	4.730973	5.366157	9.855741	5.183896	1.466427	-0.101372	-3.143002	-60.805561	-229.727171	-465.625940	-771.912752	-1249.048887	-1906.984556	-2692.039362	-3639.087120	-4820.687521	-6129.331814	-7664.820115	-9359.714634	4.555940	7.091392	7.745700	17.071877	27.157412	28.123490	29.171211	29.812375	32.577021	34.938431	39.041558	41.284032	27
4ih5_227	-11.962545	-22.781284	-33.434181	-37.540024	-9.853111	11.335827	25.358377	40.280303	47.400635	54.970784	83.051125	88.196352	-17.061617	-22.710377	-28.808813	-35.528172	-31.553003	-27.178555	-16.257674	-0.396915	3.783761	11.388796	24.172614	36.395805	-5.774217	-7.158898	-2.899535	-1.049658	13.104678	18.682687	17.018217	15.072715	14.498993	14.736635	13.080803	13.872963	-19.441395	-22.815536	-19.024241	-13.328364	-0.030582	7.707386	8.309753	6.992640	6.627066	7.464777	7.970987	6.947120	-91.800321	-254.477221	-482.269870	-768.589199	-1193.862145	-1761.148543	-2473.493105	-3344.842820	-4432.995688	-5722.712411	-7222.480107	-8873.183311	-0.786714	-7.479030	-11.334544	-13.862924	-0.661812	4.956826	8.284646	12.677088	5.981581	1.880757	-1.872495	-5.014461	-89.200352	-252.311399	-493.893304	-810.511387	-1302.433722	-1943.888684	-2737.421632	-3690.208964	-4841.463590	-6176.635034	-7708.781695	-9385.520598	-0.524655	-3.070862	1.630567	8.110395	22.402102	30.420122	32.693114	33.567844	34.349564	36.363026	38.474437	39.585608	27
