name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
4ivb_142	1.919267	-5.982856	-21.351298	-29.408837	-44.961409	-61.249609	-77.383735	-87.085433	-93.971694	-96.006478	-93.711273	-87.134888	3.559048	8.180266	3.073918	6.125741	-0.729596	-3.523385	-0.011528	6.413203	9.820977	13.064621	12.863323	10.991674	4.580358	2.900688	-0.595965	1.517290	-1.432227	-2.157889	0.561889	4.894880	10.526880	17.599488	24.701945	33.720578	2.427431	4.229615	1.257139	3.266983	0.857867	-0.439428	-0.665089	-2.319241	-5.483340	-9.949852	-16.940064	-23.374255	-123.285002	-378.238785	-711.853086	-1138.740660	-1757.495659	-2559.518196	-3507.834876	-4506.062928	-5471.873737	-6353.701772	-7035.418560	-7526.904745	4.355250	8.429544	5.444624	11.655646	10.465740	12.699280	19.507370	28.141950	32.791109	36.400149	35.857413	33.221378	-120.818089	-387.592965	-748.842928	-1241.385102	-1954.670627	-2866.825778	-3922.309207	-5003.703761	-6013.675164	-6899.534863	-7551.632477	-8005.771813	4.406815	6.317039	3.087340	4.890675	2.383113	0.644552	-0.055518	-2.300004	-6.217384	-10.650070	-17.023512	-22.926157	42
4ivb_253	-7.048291	-20.805681	-31.820996	-43.186105	-57.616830	-73.303666	-88.047527	-98.602468	-105.927602	-107.000072	-103.673986	-97.847841	-5.669255	-9.373800	-8.625130	-8.046988	-13.786972	-15.886961	-10.999464	-5.121314	-2.449418	1.972794	2.407442	-0.577123	-4.341208	-11.729025	-11.586498	-11.527969	-13.330815	-13.661329	-11.029719	-6.465688	-1.190863	6.411131	13.993937	22.948191	-6.928424	-12.411229	-10.838578	-9.995673	-11.472827	-12.388958	-12.792261	-14.109915	-17.762716	-21.705352	-28.458947	-35.153793	-139.292682	-377.568257	-718.086738	-1152.266398	-1776.406964	-2580.204389	-3530.439003	-4536.457660	-5497.154397	-6388.186443	-7062.241385	-7546.770427	-5.138653	-9.179929	-6.226466	-2.670234	-2.678759	0.361861	8.589847	16.726432	20.570014	25.389833	25.453032	21.677452	-136.831798	-382.579203	-755.457215	-1252.434661	-1972.402024	-2887.111999	-3946.641553	-5036.590998	-6039.707256	-6936.194051	-7580.213559	-8025.741532	-5.185060	-10.526499	-8.976342	-8.502230	-10.039622	-11.314828	-12.163459	-14.063438	-18.496655	-22.407390	-28.540387	-34.701500	42
4ivb_423	29.855889	19.351662	10.496216	-1.200072	-18.146689	-36.755192	-53.267522	-61.951399	-70.894167	-72.254086	-69.104792	-61.922197	21.679480	21.392228	22.648186	23.460007	15.773822	12.335583	14.624343	21.448614	25.035694	28.175560	28.740696	27.306302	32.997040	29.281099	29.737216	29.927256	26.888777	26.214742	28.842463	34.085917	39.626511	47.611640	55.224965	64.572232	20.800342	19.125805	20.583579	22.010352	18.923632	18.102026	16.908713	15.672295	13.228241	8.994551	2.241888	-4.192600	-68.545107	-303.569114	-617.729689	-1046.208394	-1696.320885	-2547.064197	-3505.366253	-4501.220470	-5527.879485	-6407.575382	-7099.065021	-7599.275213	26.916576	26.132421	29.275220	33.331395	32.168552	34.595145	40.076859	48.962745	54.097711	57.509996	57.716373	55.498845	-61.658013	-309.003749	-650.881596	-1144.022280	-1897.579482	-2868.021182	-3930.912254	-5006.710007	-6082.758680	-6962.610736	-7623.797926	-8085.456383	26.998774	25.562748	26.704348	28.112932	25.613841	24.806242	23.088977	21.189125	18.037374	13.829924	7.703338	1.804828	42
4ivb_425	17.482853	14.481026	1.895317	-5.257373	-18.692281	-36.606496	-52.298283	-61.742414	-69.411543	-73.751947	-70.663767	-64.371529	15.639785	23.321404	20.880623	24.938618	20.031722	15.844299	18.327551	26.728285	28.771496	30.907838	31.667445	29.706656	21.565134	24.719789	23.550305	26.367726	23.866430	22.310097	25.136254	29.452778	34.934894	41.546985	48.683363	57.580877	15.391223	20.258061	19.557810	22.931109	20.748334	18.735455	17.962034	17.199524	13.761202	9.395710	2.494162	-3.998868	-114.208309	-359.736417	-688.953913	-1106.150068	-1717.534431	-2520.540367	-3440.984805	-4467.209716	-5416.144176	-6326.838846	-7013.605181	-7512.259609	19.860917	27.146665	26.732573	33.466832	34.247296	35.212209	40.712353	51.625706	54.770690	57.397375	57.831369	55.121202	-108.337278	-364.939084	-722.094515	-1200.255787	-1908.566248	-2823.602987	-3845.502965	-4963.265443	-5953.208547	-6870.738175	-7529.300112	-7990.765071	20.869486	25.939142	24.865994	27.605455	25.372516	23.010977	21.684111	20.416632	16.173531	11.836167	5.548523	-0.415032	42
4ivb_428	33.965028	28.894544	17.416006	5.845280	-8.666798	-21.134131	-39.315827	-47.903534	-55.299940	-56.944887	-53.605435	-47.959052	23.852417	24.597524	23.149257	24.445879	18.756680	20.155971	21.626144	28.937714	31.578553	35.887290	34.897941	31.991759	39.119017	40.812645	40.232222	41.167151	38.823065	40.162366	41.610571	46.483441	52.140548	59.479147	66.964130	76.066645	23.765273	23.775670	23.504456	25.087416	23.178124	23.961082	22.194079	20.685205	17.274541	13.165080	5.622878	-0.893434	-99.385176	-313.078986	-631.320034	-1085.049873	-1725.460399	-2545.447495	-3512.274585	-4519.303329	-5490.567107	-6400.717980	-7043.823205	-7540.817191	28.726736	29.249999	30.319360	35.562565	35.713462	42.349986	47.110530	56.591634	60.399180	65.131837	63.648566	59.966973	-91.671411	-311.035419	-661.114087	-1188.289869	-1924.793077	-2859.504136	-3935.638499	-5026.866752	-6039.893620	-6956.212443	-7564.257747	-8022.105986	29.867145	30.077763	30.154435	32.229187	30.253313	30.661478	28.382949	26.245894	22.035277	17.950564	11.063063	5.080497	42
4ivb_429	58.317183	60.656879	50.704233	45.585189	29.682133	16.090919	1.957466	-5.791082	-11.370335	-13.183052	-10.429092	-4.819267	48.495917	58.645257	59.338040	64.108369	55.907402	55.518250	59.426766	67.506777	71.388015	75.195621	75.903751	73.171588	63.948489	72.221468	73.748622	78.524479	75.257623	76.237127	78.972271	83.506264	89.165643	95.949873	103.076351	111.855676	48.795085	56.293439	57.975926	62.031460	59.290509	59.713594	58.742205	57.414812	54.178314	49.801441	43.243558	36.799011	-80.227237	-319.470847	-662.119075	-1085.334041	-1682.442134	-2462.855619	-3381.129247	-4359.525047	-5293.472574	-6172.381231	-6853.900994	-7338.833007	53.121061	63.088857	66.571190	74.048392	70.671699	75.187490	82.216823	92.489951	97.513600	101.739993	102.154649	98.671403	-72.732688	-322.472051	-699.285345	-1182.724615	-1864.986213	-2755.461205	-3779.471331	-4843.662097	-5820.612296	-6706.708469	-7361.236745	-7808.888519	54.692150	62.598750	64.638407	68.003112	64.507682	64.455051	62.999819	61.101395	57.114373	52.763383	46.804114	40.879040	42
4ivb_436	47.920249	41.815460	34.203710	23.031608	9.461172	-7.021072	-20.989291	-31.149238	-36.669999	-36.327743	-32.046307	-26.335577	40.521134	43.902818	48.090407	49.587675	44.796134	42.718320	46.597477	53.736597	57.534595	62.583420	63.968772	60.905650	52.631167	53.726724	57.232515	58.761747	57.160068	57.922550	61.550135	66.194451	72.867308	81.250087	89.091352	98.014683	40.812337	43.315958	48.541515	50.680773	49.480791	49.599274	48.837920	47.732205	44.889503	41.222137	34.601997	27.722176	-51.450128	-280.546992	-617.762218	-1068.149114	-1714.445058	-2558.476732	-3501.446248	-4535.413061	-5494.814874	-6373.298059	-7052.757097	-7548.087897	49.596038	52.546714	58.973473	64.200217	65.035851	68.609306	75.491491	85.027193	89.882569	95.220464	96.220863	92.366623	-40.940823	-278.931051	-648.375108	-1170.655220	-1912.674253	-2873.792443	-3919.882229	-5043.544236	-6042.811605	-6924.335043	-7574.524028	-8030.606167	50.981686	53.656604	58.888154	61.279142	59.784809	59.760020	58.403847	56.729366	53.056493	49.413450	43.418465	37.075904	42
4ivb_439	19.886491	6.562388	-5.281005	-17.606759	-32.366417	-47.255308	-64.874315	-75.720964	-82.618595	-85.040834	-82.291908	-74.619021	14.010984	9.674265	7.963162	7.078544	1.293411	-0.816849	2.154898	6.163756	11.428868	14.005878	14.519437	13.428324	22.527552	15.924423	13.915733	13.848947	12.997080	12.660015	15.195755	19.507065	25.183535	32.238173	39.652597	49.046783	12.293497	6.560926	5.087798	5.159834	4.369949	3.325063	3.317081	1.010511	-1.253667	-5.900459	-12.604426	-18.825246	-98.182652	-337.152936	-656.681297	-1087.190014	-1729.797613	-2514.180366	-3483.865446	-4461.157175	-5466.429163	-6345.406865	-7040.222051	-7524.395634	16.813856	12.074083	12.865293	15.367547	15.795636	18.320547	24.869825	30.877335	37.653762	40.550738	40.747418	38.862760	-94.182180	-342.796869	-693.452622	-1189.251511	-1931.418818	-2819.146056	-3901.461753	-4955.567125	-6011.704447	-6892.640124	-7559.018685	-8004.817669	16.190814	10.669277	9.468175	9.604784	9.118466	7.406079	7.048235	4.093828	1.130820	-3.491342	-9.587901	-15.270625	42
4ivb_441	63.501623	62.994934	53.384071	47.044742	35.699037	20.303121	5.974873	-2.654812	-9.409988	-10.465482	-7.061750	-1.474489	58.066281	66.687225	66.495796	70.010472	66.588723	64.001507	67.355939	74.505339	78.352901	81.939262	82.444749	80.396809	69.359500	76.132193	76.966516	81.339463	81.071870	81.367307	83.864673	88.339047	93.787740	101.194897	108.514099	116.963041	58.364147	65.015042	65.558880	69.184398	68.913517	68.226511	66.603160	65.074805	62.049350	57.703519	50.890942	44.335972	-81.055060	-339.630849	-674.303630	-1089.685688	-1703.166809	-2493.140124	-3414.726199	-4398.225707	-5362.056881	-6225.700655	-6889.280598	-7398.255681	64.665911	73.076383	74.453749	80.654796	82.659716	84.998679	91.474771	100.792183	105.924395	109.830303	109.971427	107.224509	-72.285862	-340.764301	-702.436637	-1177.307990	-1886.654182	-2786.038281	-3814.304205	-4882.990475	-5893.674818	-6761.208428	-7395.853719	-7869.822292	66.398386	73.413198	72.949425	75.873437	75.260314	74.084998	71.989475	69.864855	66.098309	61.785471	55.590449	49.550054	42
4ivb_442	30.646219	20.096534	6.012514	-1.558761	-20.470401	-38.691408	-58.446561	-68.301820	-76.993590	-79.892695	-77.253799	-70.603382	24.576899	25.439171	20.970530	26.105929	16.541976	12.924293	12.506527	19.332252	21.351123	24.053544	23.941479	22.314045	33.540962	28.635055	25.049155	27.610653	23.192392	21.929750	22.565026	27.932985	33.157270	40.470646	48.297519	57.907601	23.143125	21.595769	18.755073	22.332180	18.062938	16.664259	13.932471	13.391915	9.851001	5.440311	-1.171787	-7.162223	-70.291841	-313.617964	-621.651709	-1048.074914	-1700.283949	-2533.087554	-3496.965908	-4516.758395	-5503.920187	-6410.366732	-7098.943062	-7607.549434	29.759028	29.944060	27.290851	36.030257	32.945882	34.774003	37.625326	46.737490	50.016910	53.140877	52.666247	50.281467	-64.063611	-318.301885	-652.025520	-1150.372474	-1904.771941	-2851.911910	-3920.432423	-5024.238188	-6054.001293	-6964.123277	-7621.099047	-8091.294951	29.375328	27.803300	24.575652	28.458256	24.722974	23.087223	19.862769	18.733117	14.415272	10.051914	4.073689	-1.382164	42
