name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
4ivb_142	1.425819	-13.676838	-38.613020	-38.976192	-7.187581	-5.237427	-19.392583	-30.069337	-40.067033	-56.856770	-71.032462	-92.248514	6.031469	4.076079	-5.380806	4.943424	20.004953	33.105820	43.952514	55.450515	68.901333	75.987464	86.992040	96.205600	-0.842065	-7.819484	-17.372764	-16.622837	-7.367225	-11.892381	-21.148963	-32.041403	-36.661870	-48.392658	-55.969756	-63.913947	-0.473968	-1.615054	-4.594165	3.964732	8.985206	13.094096	13.103379	12.767189	17.812651	16.676870	18.481487	22.909610	-97.403225	-323.914640	-634.086959	-1022.597101	-1584.916543	-2342.148813	-3304.115718	-4392.253961	-5605.305365	-6964.755587	-8434.843393	-10097.298994	6.750678	3.987280	-3.535529	9.703336	30.674463	48.801716	62.837933	76.659542	92.163340	100.485987	112.260578	122.235119	-101.346244	-335.079023	-667.085544	-1118.189317	-1786.358700	-2661.885477	-3746.259058	-4937.454702	-6228.188038	-7635.062982	-9132.032069	-10818.732864	1.366129	0.256072	-2.658164	5.933618	11.301736	15.255864	15.122262	14.661470	19.602245	18.822492	21.267280	26.250290	42
4ivb_253	-7.717909	-24.583399	-44.113033	-46.949507	-22.968519	-21.246567	-29.082523	-39.805555	-54.077402	-65.988115	-80.060863	-101.783717	-1.306796	-7.044039	-9.013164	0.031939	10.620101	24.611637	41.021400	50.587503	59.015482	72.639152	85.063873	91.376566	-7.928353	-18.587463	-23.806940	-24.564260	-21.628938	-26.704585	-32.090858	-42.246036	-50.425970	-59.714658	-65.993425	-74.041580	-5.558130	-11.897971	-9.083780	-0.752885	-0.259696	4.459301	7.918202	6.454883	7.364935	9.951614	14.430291	16.907633	-109.132479	-320.596520	-634.223633	-1031.581785	-1602.770837	-2367.930746	-3326.036377	-4436.665889	-5633.177741	-7028.683855	-8516.159796	-10134.064003	-1.484143	-7.842038	-7.659923	4.139785	20.540272	39.806467	59.423554	71.421112	81.771905	96.740635	109.947354	116.958706	-111.039353	-328.598809	-669.660435	-1127.839830	-1804.496929	-2690.568654	-3772.123090	-4988.741938	-6257.925863	-7707.674979	-9221.485312	-10858.369063	-4.597075	-10.891949	-7.639971	0.561351	1.302898	6.036852	9.380917	7.803083	8.593545	11.512588	16.625336	19.732216	42
4ivb_423	6.838002	-8.170800	-28.740995	-28.785785	13.224996	9.980444	-5.003876	-18.037908	-31.467349	-47.514052	-66.928020	-90.042006	7.707576	4.244674	-1.205347	10.243591	34.344856	43.192581	52.582394	62.388325	73.889849	84.261319	91.395556	99.020178	6.340763	-3.927257	-10.476877	-6.687627	13.152776	6.677325	-2.586538	-14.785063	-21.929593	-33.422255	-42.606121	-50.268852	3.839963	-1.943122	-1.937261	10.032344	24.012240	26.533147	25.332865	23.966070	27.256886	28.005423	29.382333	33.801670	-59.989217	-278.558342	-575.819977	-963.337692	-1548.575954	-2358.902319	-3325.525441	-4436.008029	-5736.496066	-7185.384213	-8698.313179	-10424.188616	10.082584	5.530922	1.955583	16.349320	47.193619	61.907898	74.368851	86.531632	100.392126	112.161306	120.068581	128.483257	-60.624903	-292.105562	-611.634292	-1059.841730	-1759.206151	-2695.536662	-3778.769035	-4992.143032	-6378.620270	-7882.029263	-9417.204735	-11165.459600	6.985582	1.139724	1.308973	13.442665	28.462052	31.303471	29.944017	28.442173	31.631725	32.702755	34.763715	39.755216	42
4ivb_425	2.761028	-5.621060	-25.224874	-30.398348	6.995219	3.795487	-9.471387	-18.592434	-33.806190	-48.134485	-62.601673	-84.281584	4.359842	6.743373	1.568486	7.681750	28.624360	37.142275	46.723181	61.593478	69.562908	79.646872	91.056435	97.971017	3.210190	0.456733	-2.575358	-6.261939	6.316891	-0.687898	-9.347502	-20.203422	-28.896614	-37.944405	-45.170538	-53.155532	-0.723458	0.481163	3.108452	8.056980	16.572960	18.148817	16.921309	18.229739	19.257184	21.256627	24.274989	27.637422	-103.261730	-322.085330	-626.110237	-1010.608196	-1555.495457	-2326.296865	-3270.323902	-4386.559298	-5572.926411	-6947.647174	-8431.583603	-10026.170763	6.974081	8.846351	5.583152	14.190740	40.822399	54.741877	67.353983	84.772423	94.608247	105.984570	118.185816	125.784082	-103.784965	-331.954934	-656.495149	-1098.959830	-1750.072153	-2643.014778	-3704.951826	-4932.706824	-6191.130736	-7616.179356	-9127.664020	-10739.990869	3.099239	4.596034	7.215079	11.803371	20.532947	22.219183	20.822806	22.038287	22.918098	25.249700	28.889269	32.891231	42
4ivb_428	11.793414	2.985921	-18.708043	-29.753200	9.630825	14.046124	-3.694602	-12.244220	-24.248616	-39.554227	-58.168198	-82.789719	10.949881	10.149999	3.640748	5.297092	30.558918	47.670113	56.213496	70.196053	82.869030	94.191948	100.706880	104.927413	14.556332	11.258422	2.843658	-5.484451	9.605706	5.964782	-5.823815	-15.707396	-21.178674	-33.426267	-43.812442	-52.844746	8.229880	6.683782	4.600663	5.536334	18.318535	24.945076	23.772413	24.475958	29.287390	29.267108	28.406536	30.400889	-88.079707	-284.450281	-586.204884	-1012.047671	-1586.258212	-2367.843077	-3348.233330	-4473.281938	-5733.389904	-7180.170272	-8659.138040	-10312.820756	14.429321	13.039794	8.799780	14.108768	45.294401	67.768658	79.449572	95.893911	110.712522	123.419344	130.659547	135.592391	-85.768558	-288.369453	-617.145611	-1113.479610	-1795.619699	-2700.799198	-3803.578523	-5038.512868	-6378.598347	-7881.875020	-9381.702402	-11052.422750	12.830209	11.362750	9.848251	11.469117	24.471181	31.088846	29.721684	30.309977	35.000186	35.294609	35.164627	37.807646	42
4ivb_429	11.671693	11.340823	-2.472360	0.154381	23.638322	29.743774	26.147051	16.703216	0.118185	-11.993499	-30.697864	-52.824187	10.272915	19.090989	20.570511	34.696451	45.851041	63.002871	82.759481	93.265778	98.911088	110.782209	119.102360	123.760303	15.151198	20.581921	22.096399	25.628676	27.093247	25.433695	24.331798	14.182960	3.979137	-5.615409	-16.722553	-25.551237	7.837144	15.661279	22.827868	35.436693	36.088471	43.177509	50.148236	48.873324	47.542709	48.813926	49.417471	50.942548	-93.666500	-311.868146	-628.230296	-1013.499640	-1554.373409	-2298.416400	-3233.333242	-4304.493696	-5490.061664	-6841.478872	-8306.028288	-9835.858701	13.801344	22.113057	26.066240	42.790414	58.803611	81.071029	103.968897	116.757361	124.362185	137.502598	146.598324	151.879131	-91.252715	-318.411626	-662.266182	-1106.242550	-1742.749375	-2608.181620	-3665.541188	-4840.045141	-6099.398206	-7502.736169	-8993.589561	-10537.613411	12.556517	20.724935	28.420823	40.664686	40.793795	47.824039	54.696963	53.298738	51.876605	53.484896	54.703404	56.908539	42
4ivb_436	32.305378	23.476979	8.934398	-3.013449	27.126639	26.158266	21.145106	10.599143	-6.534574	-20.547771	-41.884990	-71.114225	30.415011	30.340351	33.607628	33.528879	50.981908	61.454686	80.308937	91.863406	99.357734	111.456162	119.086743	119.909350	34.292136	31.931751	32.159032	26.147412	33.240922	26.811417	25.443448	13.527492	4.570973	-5.485028	-17.273627	-28.494815	27.181376	27.092894	35.567300	38.062306	43.619078	46.560462	53.092400	51.173409	52.355748	54.304025	54.889775	55.037134	-54.888070	-260.277793	-579.293464	-1004.926682	-1601.221288	-2412.651825	-3383.701459	-4561.834783	-5846.056828	-7299.542157	-8866.493766	-10606.816336	34.866589	34.163540	39.522286	42.894633	66.276106	82.466585	104.436147	118.695240	128.335298	141.814439	150.261573	151.859116	-53.142996	-266.144098	-611.994555	-1103.357650	-1808.108270	-2744.826925	-3837.699127	-5134.282291	-6496.580906	-8004.207339	-9598.095730	-11357.143400	32.666273	32.749800	41.574076	44.507821	50.197123	53.304545	59.688363	57.670222	58.730086	61.040289	62.276067	63.041496	42
4ivb_439	12.226995	-8.469774	-24.735955	-30.871150	8.635151	4.227357	-8.142580	-19.359791	-30.899506	-44.284425	-64.971732	-87.405108	16.034657	6.656172	4.910621	10.389454	34.340686	42.157122	54.335851	63.854765	78.715395	90.668466	96.363462	101.504161	6.240871	-4.556380	-6.695683	-8.326106	8.564933	-0.722731	-7.117205	-16.143272	-22.998131	-31.978631	-43.354246	-51.615369	6.489472	-0.171011	3.449907	10.148440	23.392414	23.775064	26.203934	26.574396	31.737516	34.409461	33.385452	35.283310	-69.900368	-291.308321	-581.575798	-976.176043	-1556.390796	-2298.289608	-3259.380086	-4334.983791	-5591.441298	-6992.577906	-8514.102444	-10118.206819	16.989217	6.795319	7.304615	16.014562	46.420021	58.818246	74.292738	86.076878	103.215297	116.526090	123.038089	128.855508	-76.845043	-304.391259	-618.614638	-1075.328123	-1767.555243	-2616.982309	-3699.645233	-4874.018128	-6215.922813	-7669.465089	-9218.328041	-10838.637189	8.372268	1.794429	5.930754	13.029040	27.040618	27.019451	29.388631	29.630167	34.696570	37.704505	37.279197	39.833904	42
4ivb_441	44.077354	41.734782	18.029273	15.045478	55.490384	54.801755	41.961710	29.932350	15.195742	1.510467	-18.374251	-40.197873	44.157778	53.820068	43.900455	52.075626	76.852092	87.225986	97.573749	106.615552	115.299710	126.591173	133.708226	140.093903	45.548988	52.192082	44.758056	43.183550	58.823714	51.938696	41.501591	29.996511	20.696487	11.707690	-1.091258	-8.495286	39.206064	49.865427	47.725452	55.001199	67.421431	69.134406	66.079875	63.854490	64.204916	66.912358	65.801211	69.262648	-71.849227	-314.321379	-630.564295	-1012.949519	-1563.796230	-2332.378099	-3295.392253	-4399.205598	-5631.088596	-6995.290361	-8461.283627	-10066.338413	47.692745	56.646430	48.112933	58.836343	89.191075	104.869667	118.490337	129.912374	140.673246	153.219374	161.075797	168.148507	-71.669622	-321.396085	-655.776633	-1095.864925	-1753.815990	-2644.448793	-3733.668943	-4943.586626	-6255.112806	-7667.376975	-9157.644135	-10780.292624	44.089599	54.941249	52.034846	58.903698	71.320090	73.058091	69.975543	67.628802	67.864886	70.955907	70.515013	74.618595	42
4ivb_442	20.173093	-0.262221	-24.347648	-25.193386	12.716673	9.602164	-4.185022	-14.782303	-32.761354	-43.198422	-62.721691	-86.698541	19.087342	12.207574	1.413460	11.731479	33.972380	43.136386	54.019261	65.114466	71.322297	87.040246	95.613764	103.162318	19.941937	1.729836	-7.609545	-4.963843	11.839880	5.328966	-1.998388	-13.132038	-23.733191	-29.488736	-40.097022	-49.392716	14.617288	3.526496	-0.638626	9.556854	22.193731	25.100052	26.405059	25.032637	24.215876	30.203393	31.361239	34.672273	-56.132382	-272.907192	-560.104470	-950.883651	-1536.888015	-2331.076282	-3299.343792	-4420.914347	-5688.711225	-7138.420122	-8719.677083	-10475.910882	21.159818	13.395689	4.415483	18.059685	47.032215	61.744519	75.777603	89.329995	97.726622	114.906246	124.356139	132.724896	-57.491846	-287.369683	-594.472731	-1050.938508	-1750.407385	-2665.463123	-3750.836372	-4979.454863	-6326.589764	-7832.354665	-9443.763102	-11225.187433	17.582972	6.488937	2.446069	13.192237	26.868406	29.919712	31.091019	29.599513	28.671999	34.993650	36.733393	40.593771	42
4ivb_460	7.728158	-4.989355	-26.339369	-30.704810	4.043767	6.678714	-7.513259	-17.753247	-30.796852	-43.725870	-61.749187	-80.212267	8.009224	4.585067	-0.492745	6.000085	25.874184	38.918480	47.503088	58.712179	70.531211	80.172869	89.824465	101.349074	4.970320	-0.951140	-5.841897	-8.538761	4.206885	1.204350	-6.958317	-18.113742	-25.407501	-33.937593	-43.245052	-49.844154	0.649602	-2.801262	-0.294079	4.714668	14.058549	19.253545	18.338306	17.211070	20.537043	21.666053	23.923640	28.813871	-85.623205	-303.079257	-609.223064	-1002.832929	-1573.725498	-2325.760394	-3244.549017	-4370.065226	-5638.973426	-6956.988796	-8482.826867	-10191.390961	10.246838	6.335052	3.095389	12.633682	38.618953	56.574883	68.009548	81.870299	95.991641	106.752730	117.242982	129.574432	-89.331706	-315.415078	-641.735060	-1099.044437	-1779.379654	-2646.066097	-3675.585532	-4915.430486	-6268.326873	-7628.380989	-9183.861927	-10920.850947	3.938049	0.841832	3.382765	8.580497	18.418158	23.395385	22.295577	21.095256	24.339306	25.868182	28.693011	34.101040	42
4ivb_468	16.143319	3.876588	-18.804896	-19.240717	20.217511	17.350778	14.865190	1.269105	-11.294118	-24.550733	-41.980468	-61.479630	14.213646	11.867122	5.755144	15.955860	38.983358	48.496864	69.335088	77.904475	88.432117	99.560760	107.630689	116.840910	15.607461	10.915212	3.514774	3.822425	20.013703	12.436691	11.283328	-0.941364	-6.933533	-17.632524	-28.103805	-33.667164	7.963123	6.746668	6.389092	15.262518	27.344086	29.141061	36.039848	34.451231	38.201685	38.853533	38.617350	44.415134	-84.913097	-291.995575	-619.279876	-998.416244	-1548.675522	-2276.777102	-3192.969221	-4283.244880	-5462.202839	-6799.638497	-8259.252352	-9873.668104	18.109368	15.219837	11.366215	24.055190	52.845899	66.881059	90.742976	101.751031	114.224703	126.614074	135.456166	145.392606	-85.298772	-298.490777	-652.800660	-1088.214417	-1743.942830	-2583.238295	-3620.536677	-4816.601891	-6069.016253	-7457.013081	-8943.981109	-10579.765417	13.014762	11.999915	12.094448	20.581159	32.904215	34.274822	41.027201	39.331790	42.971575	43.984339	44.350664	50.713861	42
