name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
4ivc_20	-12.187372	-28.091197	-39.483774	-53.995860	-71.495352	-87.828871	-106.073770	-115.737423	-124.476220	-127.573480	-123.818343	-115.834667	-12.057194	-16.398370	-17.702455	-20.718157	-28.789164	-31.078559	-28.531253	-21.462803	-17.896893	-14.405137	-12.611680	-13.220752	-9.632272	-17.945586	-18.555364	-19.444104	-22.156980	-22.060289	-19.693459	-13.976258	-7.814589	-0.322657	8.031102	18.032068	-13.567615	-19.471002	-20.123128	-20.815657	-23.351790	-23.860175	-24.502795	-25.139367	-27.511463	-31.781301	-38.086126	-44.353583	-148.621527	-413.289309	-748.894876	-1192.227345	-1857.410373	-2694.151296	-3695.601007	-4737.840766	-5784.745698	-6743.598826	-7483.310927	-8014.848109	-11.550258	-16.442592	-15.400229	-15.346753	-16.971777	-13.995480	-7.898390	1.454726	6.532858	10.514461	12.004215	10.607006	-145.809037	-419.672089	-786.813239	-1292.079988	-2061.124431	-3010.890220	-4126.309936	-5254.890419	-6351.506522	-7316.384244	-8027.227489	-8520.023315	-11.833127	-17.659403	-18.376081	-19.432253	-21.652091	-22.594784	-23.681918	-24.949046	-28.072513	-32.314062	-37.974285	-43.687519	45
4ivc_232	-6.920230	-19.711720	-35.020924	-49.259640	-67.874481	-82.236451	-99.393014	-112.227300	-121.671927	-124.328013	-120.479126	-112.856511	-4.217713	-4.369723	-9.456246	-12.192409	-21.337111	-22.393778	-18.391526	-13.173916	-10.577149	-7.120572	-5.446571	-5.825956	-4.427371	-10.179516	-13.941671	-15.375063	-18.438163	-17.842812	-15.628735	-11.106424	-5.007645	2.639738	10.858531	20.817009	-5.644797	-8.019675	-11.515635	-12.934627	-15.761704	-15.815054	-16.370503	-17.484187	-20.027023	-24.368885	-30.827454	-36.899524	-142.701368	-409.376066	-746.775405	-1188.168415	-1850.906452	-2662.427982	-3663.801389	-4731.210780	-5773.676891	-6719.715569	-7449.092790	-7996.620070	-2.922793	-3.627169	-6.694412	-6.192442	-8.821891	-5.153866	2.546024	10.267876	14.337485	18.248571	19.595327	18.473333	-140.300773	-416.550886	-782.854503	-1289.142950	-2055.070893	-2973.899510	-4092.855545	-5248.902131	-6339.609760	-7291.263876	-7991.202873	-8501.663696	-3.077955	-5.397735	-9.305718	-10.929204	-13.374010	-14.192215	-15.105354	-16.782115	-20.080485	-24.385437	-30.199362	-35.730915	45
4ivc_32	0.902263	-6.469873	-22.602900	-37.063070	-52.524732	-69.417368	-86.261880	-98.573035	-104.972494	-108.079188	-105.286461	-98.135505	-1.315728	0.807176	-4.015693	-6.670937	-13.545849	-15.851340	-12.786674	-7.482835	-2.434211	1.526843	2.599792	1.652475	4.687018	3.006050	-1.246166	-2.132251	-4.471372	-4.285927	-1.580689	3.252488	9.952198	17.696588	25.249573	35.258532	-1.882765	-2.838517	-6.103970	-6.551994	-8.804942	-9.322764	-10.125933	-11.213837	-13.459947	-17.312937	-24.323155	-30.448035	-137.491868	-381.671692	-732.826711	-1176.180698	-1819.138988	-2672.647091	-3660.038680	-4719.486082	-5746.465526	-6717.059713	-7464.600838	-8014.047373	-0.117644	1.669335	-0.898373	-0.479488	-1.540308	1.996802	8.481343	16.235105	22.683868	27.213429	27.996753	26.305339	-133.031700	-388.371228	-770.450310	-1276.348796	-2015.869399	-2989.986026	-4089.655034	-5237.233108	-6313.066387	-7292.281574	-8011.295630	-8522.576995	0.542871	-0.155886	-3.543459	-4.364903	-6.744937	-7.297454	-8.576846	-10.243960	-13.260770	-17.072044	-23.447716	-29.024060	45
4ivc_33	15.764652	2.599899	-9.582376	-16.612188	-33.268978	-51.786688	-69.402298	-77.643732	-85.809737	-87.763672	-85.729501	-78.357246	15.441069	10.745744	9.668626	13.226339	5.948632	0.630362	3.504165	10.863723	15.021665	20.303896	22.031556	21.191652	19.522698	13.286669	12.840936	16.493797	14.892112	14.376679	17.033821	22.669930	28.444366	36.217298	43.908048	53.615240	14.838784	8.869859	9.139701	12.232278	10.683922	9.475357	9.280727	8.345720	5.901949	2.501780	-3.557603	-9.841892	-116.425227	-354.609408	-690.187703	-1115.154380	-1778.989921	-2590.067147	-3570.155521	-4573.447894	-5602.169760	-6556.441159	-7328.158862	-7863.185241	18.294311	13.453111	15.186971	21.975287	21.261879	20.695106	27.021769	36.482098	42.182358	48.030802	49.591828	47.999288	-111.367051	-356.707622	-726.381498	-1215.953772	-1983.412946	-2897.700378	-3990.046804	-5075.451783	-6154.809773	-7119.099271	-7866.432818	-8363.738231	18.978737	13.315216	14.110205	17.048842	15.963097	14.051627	13.391145	11.799957	8.647037	5.276308	-0.178236	-5.919416	45
4ivc_409	61.591291	63.233347	45.711788	29.099392	16.882780	1.885934	-14.956601	-28.675101	-35.352206	-36.890534	-31.466671	-23.395148	54.189183	61.771288	56.593375	51.453268	48.724651	48.523339	51.625018	53.979234	58.400971	62.424959	65.484136	64.973165	67.497753	74.521907	70.712109	68.858560	68.886652	70.473775	73.640107	77.819280	84.412646	93.032557	101.729045	111.684286	54.683250	59.312422	56.588081	54.855748	55.190124	56.516458	55.735998	52.942094	50.248603	46.533442	40.288891	33.906264	-87.722448	-313.602482	-682.716589	-1142.562373	-1812.431227	-2670.519226	-3680.923035	-4729.963732	-5761.545077	-6699.305613	-7433.343513	-7970.021340	58.761286	66.265486	64.167425	61.959517	65.663612	70.771230	77.344993	81.878845	87.638523	92.055275	94.774827	93.479797	-79.737102	-314.801330	-720.385156	-1239.985084	-2017.468248	-2993.836667	-4118.996490	-5250.526804	-6329.326124	-7271.084452	-7977.002801	-8475.227647	60.630803	65.627091	63.574343	61.213691	61.711358	62.473416	61.201962	57.726604	54.230461	50.554739	44.953254	39.127150	45
4ivc_411	52.217090	48.916070	37.700974	25.066206	10.830199	-6.069618	-21.042466	-34.542357	-41.435143	-46.061864	-43.554361	-35.548154	40.201427	43.655681	42.824000	41.174489	35.705853	33.988557	39.595959	43.100676	49.364975	51.508248	52.287480	52.029578	57.935771	61.346997	61.531977	61.349981	61.190218	61.367004	65.629932	70.110557	76.322074	83.832401	91.886268	101.898549	40.519152	42.799312	43.320573	42.977906	43.057276	42.987952	44.147258	42.477494	40.531429	36.402506	29.821390	23.651439	-89.653390	-311.811070	-643.593558	-1077.390278	-1711.561846	-2567.254182	-3563.283853	-4612.838367	-5678.712898	-6641.810547	-7392.948588	-7937.040372	45.874767	48.931178	50.378714	51.916255	52.382294	56.624720	65.809185	71.655984	79.585922	82.226383	82.725120	81.706807	-81.154242	-309.263174	-672.402682	-1169.140293	-1900.362607	-2879.529332	-3992.265839	-5126.969220	-6247.902335	-7216.046918	-7937.804904	-8443.685423	47.479204	49.801017	50.335598	49.806916	49.935741	49.909306	50.655513	48.376499	45.723733	41.621617	35.679283	30.063597	45
4ivc_428	34.528945	29.819939	16.954279	6.525182	-11.079202	-27.144663	-41.253357	-53.059169	-63.301773	-67.026135	-64.655141	-56.792830	27.212251	29.867315	23.983004	23.367636	14.374597	12.880800	19.394819	24.245367	26.091449	28.284390	28.783652	28.202800	40.827524	42.958058	40.722287	41.157592	39.256974	39.825159	44.124983	49.382878	54.980458	62.627163	70.607877	80.876214	27.298734	27.515711	22.914030	22.152297	19.720887	19.999117	20.944717	19.716627	16.644692	12.158237	5.398013	-0.588806	-126.398031	-390.371327	-710.700297	-1142.902784	-1806.684281	-2652.771576	-3660.891463	-4711.601503	-5760.725091	-6709.533247	-7459.922602	-8000.821426	31.759136	34.296540	30.299603	32.758153	30.221594	34.083964	44.233490	51.365349	54.671191	57.298137	57.508570	56.155145	-117.755346	-390.778214	-737.618300	-1233.890965	-2001.645200	-2965.838393	-4094.084887	-5230.850513	-6327.688289	-7280.122604	-8001.670788	-8504.236114	33.398547	33.989284	28.666482	27.535184	25.410846	25.240562	25.775980	23.905027	20.051991	15.602962	9.482047	4.054532	45
4ivc_442	59.270639	62.107637	49.908963	38.981687	17.047743	0.366984	-18.084651	-27.109451	-35.696733	-35.732524	-32.493411	-25.713381	46.127418	53.137214	50.369420	50.237591	37.337261	34.740578	36.851104	45.339020	48.180347	53.719524	54.857985	53.767224	65.939422	74.655410	73.584700	73.353524	68.826634	69.262453	72.007041	78.344895	84.607032	93.384170	101.542163	111.182253	46.921022	52.096606	51.009679	51.117279	46.262100	46.305429	46.362855	47.073894	44.701451	41.577333	35.411240	29.368650	-81.467825	-294.763159	-614.217490	-1029.410113	-1681.230043	-2504.344825	-3484.257179	-4526.606340	-5541.684148	-6456.798179	-7171.774222	-7707.167409	52.197696	59.273730	58.598591	61.208046	55.005748	57.694920	63.279965	74.203221	78.438017	84.372959	85.199073	83.383960	-72.098525	-294.075846	-642.307092	-1115.844740	-1870.613144	-2807.042030	-3899.629912	-5031.259508	-6091.724903	-7011.705432	-7696.969899	-8195.169793	54.307592	59.994679	58.709759	58.312383	54.171961	53.869031	53.477588	53.627976	50.501891	47.405052	41.874193	36.366424	45
4ivc_458	59.949342	57.650120	35.781202	18.537963	5.307452	-13.370381	-27.226199	-40.099883	-51.286638	-56.421463	-53.168009	-44.118736	43.252172	46.321735	34.570407	29.562054	25.045633	20.595844	25.563686	30.136197	32.505148	33.818024	36.183693	36.151489	65.764617	66.830009	58.126121	54.235952	53.991472	52.349272	56.832030	61.210128	66.423849	73.529658	81.733144	92.167241	42.660270	41.323315	32.494754	28.822244	29.005091	27.020091	27.590896	26.088650	23.349861	18.609261	12.498747	6.427365	-75.322476	-300.682296	-646.487293	-1114.694427	-1765.177287	-2599.486421	-3560.620631	-4613.869575	-5690.306827	-6649.919048	-7424.664590	-7945.656195	52.273541	55.087289	46.143632	44.743864	45.925828	46.590285	54.664284	61.672298	65.766720	67.570458	69.725206	68.869413	-63.934371	-298.718036	-676.862691	-1214.742945	-1962.080982	-2911.372225	-3982.846047	-5125.425237	-6255.720051	-7220.045560	-7969.441168	-8450.691227	53.042300	51.873991	43.509541	39.878649	39.733167	37.160835	37.107498	35.026841	31.590358	26.886003	21.393555	15.887971	45
4ivc_466	32.001598	24.303608	11.884893	-6.229301	-22.669074	-32.635898	-49.848690	-61.944801	-68.206058	-69.861102	-66.324522	-57.822915	20.820403	21.418408	19.763456	13.427892	6.675950	11.106932	14.557460	18.693954	23.630290	27.441708	29.188540	28.561111	37.549594	37.783472	38.155040	35.767594	33.487310	37.015330	39.757237	44.867001	52.133634	60.324703	68.693925	78.815223	20.910706	20.761083	21.835116	19.532463	16.928070	19.987984	19.254198	17.440023	15.389181	11.056609	4.649689	-1.865019	-96.500784	-344.067811	-689.806011	-1145.608985	-1846.185326	-2696.407155	-3715.479669	-4768.325254	-5805.147020	-6748.372471	-7503.107342	-8029.078959	28.061971	28.265301	28.748293	25.761438	26.055295	35.647880	42.611387	48.937490	55.225310	59.421185	60.875283	59.422342	-86.525760	-343.380179	-717.560007	-1237.925489	-2051.732267	-3020.124276	-4155.805823	-5291.964071	-6375.967659	-7322.944377	-8049.548974	-8535.916585	29.424196	29.487362	30.257437	27.779863	25.786396	28.181416	26.942444	24.443331	21.588491	17.287072	11.520873	5.576075	45
