name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
4ivd_12	-14.657661	-23.640538	-50.751307	-55.741192	-17.902085	-22.016693	-37.037702	-51.297829	-64.507306	-78.683793	-97.836658	-125.242482	-8.149573	-3.820026	-12.968417	-4.834788	16.790686	26.605893	38.164000	46.624940	59.126396	72.467397	81.316388	87.111632	-13.910437	-18.399187	-28.820370	-30.775593	-18.045201	-27.155718	-37.194844	-51.880648	-61.253972	-72.399166	-83.288081	-96.033797	-11.237314	-9.935320	-12.714629	-4.577023	4.210763	6.206540	6.211790	1.838935	3.404703	4.546306	4.729491	5.570231	-107.801585	-340.056043	-680.963485	-1104.091051	-1717.744424	-2517.312068	-3551.590528	-4721.211720	-6038.942389	-7584.623072	-9197.178474	-11025.566348	-8.523123	-5.495620	-12.145723	-0.959076	27.248231	42.123903	57.197935	68.162084	82.938309	97.837384	107.535971	114.173574	-108.545795	-351.494908	-721.269090	-1208.578827	-1940.255775	-2857.799203	-4024.204697	-5304.300537	-6709.432490	-8319.224803	-9960.103445	-11815.086142	-10.595059	-9.658413	-11.794554	-3.683574	5.639550	7.305103	7.212726	2.714570	4.170190	5.615583	6.478751	7.903379	48
4ivd_231	-1.290297	-11.897643	-33.456967	-34.073217	0.755678	0.694405	-8.768357	-20.989600	-36.563116	-52.295456	-69.646490	-94.884468	2.552121	9.367533	3.768401	14.977473	33.128693	44.157593	60.788173	73.150300	83.263607	92.857409	103.668459	111.351885	-3.187273	-8.118900	-11.879108	-10.333656	1.379172	-5.490358	-10.370176	-21.746339	-34.215536	-45.579849	-55.055857	-65.314825	-3.209873	0.779617	3.500306	13.797258	21.529447	22.944751	27.454434	28.227458	26.660886	26.450981	28.199174	31.156384	-89.795550	-344.941985	-669.056842	-1080.482710	-1680.009902	-2475.528046	-3488.226085	-4637.418602	-5978.432271	-7439.942113	-9051.535132	-10881.570316	3.159177	8.367059	4.758093	18.962141	43.536612	59.626378	79.663720	94.479998	107.000403	117.932140	129.619031	138.166385	-93.157229	-360.945699	-706.295372	-1182.678431	-1896.416330	-2813.032521	-3956.186837	-5213.422114	-6646.040267	-8160.272385	-9803.510556	-11661.844458	-1.604525	1.894971	4.586449	14.828090	23.041925	24.121263	28.507118	29.147933	27.484867	27.630566	30.007606	33.511075	48
4ivd_243	-3.911194	-20.507684	-41.893929	-51.405874	-19.583477	-22.815607	-34.946398	-50.257998	-62.712992	-78.522018	-97.015798	-121.738120	-1.267374	-4.161482	-9.934559	-7.104930	12.101830	20.176170	32.951840	41.159772	54.009167	66.014030	76.805120	84.049687	-2.892959	-12.951459	-19.690243	-26.298697	-17.013189	-27.479052	-36.153057	-50.320911	-56.449733	-69.179176	-81.466411	-91.660393	-5.742784	-10.153589	-10.902894	-7.883031	0.097535	-1.244393	-1.279452	-4.396654	0.202457	0.833561	0.977336	3.706671	-124.061668	-373.526243	-704.017620	-1126.465486	-1717.139992	-2515.363979	-3536.217960	-4708.908464	-5998.781637	-7499.532519	-9125.670623	-10909.358292	0.642069	-3.012891	-6.677963	-1.065582	23.982817	37.310663	53.594851	64.368213	79.372764	92.828918	104.513357	112.569627	-124.690313	-383.142047	-739.985669	-1224.190771	-1925.385065	-2847.864475	-4001.863201	-5287.136107	-6658.846985	-8219.004546	-9879.011388	-11687.075591	-2.467258	-6.814931	-7.545976	-4.859542	3.078484	1.558697	1.467792	-1.768100	2.702122	3.656739	4.427874	7.774654	48
4ivd_260	-3.590094	-19.443072	-40.213556	-40.752883	-2.313283	-5.925080	-12.282258	-24.495601	-39.138994	-58.973274	-78.576961	-102.333747	0.830718	0.241069	-3.949381	7.994872	28.443048	38.319353	57.734109	69.880946	80.658432	88.621993	96.603992	105.937637	-3.651134	-12.939620	-18.045626	-16.805549	-3.227337	-12.126201	-13.827600	-27.224397	-38.122248	-53.470238	-65.921149	-74.737214	-3.441192	-5.433052	-3.578248	7.094808	15.692422	16.857041	24.342819	22.669020	22.347237	20.389825	18.679616	23.197405	-102.500994	-347.347174	-675.376184	-1092.993389	-1691.888259	-2489.803013	-3495.760197	-4667.263855	-6003.882853	-7479.921735	-9090.447847	-10930.326516	1.525174	-0.288517	-2.379646	12.552953	39.345518	54.358964	77.152792	91.884411	105.051965	114.387919	123.233560	133.436836	-104.030944	-358.718108	-711.689251	-1194.684019	-1908.103218	-2827.708598	-3962.815174	-5248.475989	-6676.184859	-8205.908738	-9847.468686	-11716.228657	-1.643361	-3.906202	-1.911751	8.678379	17.671868	18.550574	25.921485	24.133408	23.723673	22.133693	21.074597	26.132734	48
4ivd_404	8.893909	-1.147381	-22.548809	-28.030063	9.862163	5.852398	-2.288244	-10.980927	-25.092434	-40.897905	-63.370794	-89.789181	10.585308	11.701484	5.981244	11.952289	33.262003	42.277672	60.626032	74.979727	87.339943	100.373795	108.367948	116.092158	9.406439	4.237684	-1.688527	-2.191516	12.541647	4.809174	1.931432	-7.099342	-14.916789	-27.582470	-41.120337	-49.662472	6.808242	5.768511	6.100970	13.654746	24.084545	26.421517	33.145837	34.694342	38.313729	39.592044	38.701781	44.368090	-80.523322	-298.253644	-611.030844	-1024.926489	-1645.186842	-2468.109359	-3487.575328	-4668.539373	-6004.800063	-7540.895255	-9227.314833	-11076.948818	12.189626	12.427551	8.947592	18.341389	46.482803	61.099754	82.870350	99.833872	114.523608	129.083110	138.022667	146.603097	-81.043588	-308.874705	-647.609934	-1126.731882	-1864.444264	-2812.193384	-3959.742579	-5253.329001	-6675.799055	-8273.251783	-9994.405618	-11867.764615	9.410851	8.365415	9.158661	17.157201	28.419098	30.760566	37.387176	38.827616	42.327131	43.934435	43.634263	49.889105	48
4ivd_405	21.737784	14.821490	-13.424282	-24.459608	10.409501	8.520067	-2.959505	-13.918587	-31.491111	-45.380840	-66.887398	-97.810272	26.378763	30.734983	19.474924	20.715572	40.617593	50.596486	64.025368	75.817061	85.076143	99.347128	108.094200	113.175529	18.330458	15.454634	3.692309	-4.074568	9.446854	1.853422	-6.069235	-15.485235	-27.489418	-37.043830	-49.805543	-62.530985	19.132630	20.763317	16.264106	17.505717	27.701816	29.536289	30.287314	31.356436	30.996443	34.672230	34.198451	36.932759	-66.295359	-263.173528	-589.089241	-1009.057251	-1605.431513	-2444.795836	-3423.797082	-4591.471803	-5952.757755	-7487.498830	-9163.443331	-11080.639990	27.132086	30.845728	21.907593	26.513665	52.770392	68.954426	85.348666	99.759479	111.535286	127.354426	137.041048	143.055601	-71.256582	-277.102628	-629.914164	-1115.749123	-1823.141406	-2794.380207	-3891.752486	-5171.303713	-6624.604417	-8220.530614	-9931.638310	-11878.179047	20.919272	22.618692	18.786879	20.440424	31.175239	33.460110	33.950710	34.923022	34.487372	38.480899	38.589464	41.817017	48
4ivd_406	14.582411	11.510988	-7.378626	-16.744464	20.046468	17.534285	7.472346	-10.157251	-27.520875	-39.888502	-56.340710	-80.892243	14.708358	20.449533	18.738848	21.041105	41.675968	49.742043	65.327857	70.518881	78.400595	93.958551	107.137751	113.978813	15.256921	20.645947	17.624329	11.531026	23.618822	13.891102	5.014404	-9.631381	-21.202887	-31.701378	-40.750921	-48.650800	7.853278	14.455612	18.895018	22.101468	30.431322	28.781445	28.648467	24.515657	23.392412	26.287883	30.035492	34.360859	-132.840299	-363.183198	-708.125515	-1126.632526	-1746.107560	-2574.453329	-3612.123745	-4760.264205	-6083.692225	-7594.266168	-9211.017597	-11006.102321	17.582313	23.618421	23.565819	28.414395	55.605672	69.008876	88.001853	95.462230	105.594842	122.612545	136.649680	144.294862	-133.671961	-370.446911	-739.301353	-1216.856020	-1957.849159	-2916.000898	-4091.089223	-5341.496368	-6750.807207	-8322.534267	-9969.731459	-11787.011703	12.391052	19.955623	23.826956	26.399461	35.116204	33.159271	32.856329	28.556340	27.325149	30.569435	34.991585	39.948115	48
4ivd_426	6.748877	2.417491	-20.158167	-30.139619	8.810959	5.277102	-1.048404	-10.961325	-20.026112	-32.709778	-55.296353	-82.373194	6.074582	12.366817	5.969502	6.983743	30.313704	37.339510	52.634792	66.494639	83.163493	96.898025	104.085147	110.917762	4.377446	6.876851	-0.020794	-6.255955	9.258976	-0.372290	-2.639156	-12.096177	-19.144334	-28.473734	-41.122258	-54.546642	-1.108631	5.060150	4.933889	6.541012	18.849922	17.268250	21.158755	23.242209	27.237715	30.474715	30.528543	31.088628	-83.354758	-293.626795	-616.904490	-1029.485263	-1596.956353	-2345.937637	-3261.507423	-4429.010175	-5770.862088	-7193.115937	-8809.060758	-10654.242522	8.923321	14.485751	10.408501	14.644803	43.584251	55.263614	73.453913	90.202313	109.477523	124.547180	132.639377	140.382054	-86.458240	-306.422612	-655.053939	-1131.356554	-1804.054588	-2664.807427	-3694.189959	-4983.005557	-6422.401670	-7897.317766	-9546.313553	-11424.350295	2.755913	9.101888	9.465933	11.318012	23.606589	21.628879	25.355783	27.386561	31.326544	34.918457	35.513794	36.546650	48
4ivd_442	31.044544	16.457168	-3.545742	-13.681863	20.654051	20.566394	10.326597	-4.452929	-15.809154	-30.343837	-54.497773	-79.588669	29.278204	28.409786	24.483529	27.174556	46.927482	57.564201	71.650954	81.868985	97.543897	108.990598	116.436441	125.960796	28.557532	21.962326	16.923444	9.722295	21.624418	14.744385	8.277645	-2.640825	-8.956287	-19.180257	-35.032959	-46.057740	22.204561	22.173896	23.780002	26.106909	35.262534	36.671697	38.508331	39.897026	45.560055	46.840788	45.012749	48.651367	-49.749547	-277.874675	-599.435604	-1025.800655	-1604.592630	-2404.927667	-3369.025789	-4543.602918	-5872.848556	-7375.241175	-9064.402089	-10925.415524	32.754856	30.618507	28.857742	34.609265	60.091668	76.282524	93.386220	106.329599	124.453016	137.379042	145.794352	156.210272	-52.705251	-287.944894	-636.234355	-1127.867293	-1813.177755	-2739.657531	-3824.111298	-5112.111177	-6531.853456	-8092.595081	-9819.536769	-11711.047476	26.644476	26.275726	28.247261	30.629131	39.802510	41.283614	42.896754	44.204413	49.790995	51.389264	50.082916	54.246659	48
4ivd_445	13.958102	6.562037	-12.690142	-12.144874	34.127801	29.225778	27.723010	15.226539	1.080700	-9.848065	-23.501005	-50.937181	8.787499	9.739467	6.711490	19.608436	47.606836	55.730659	80.027088	90.396879	101.959806	116.585885	131.239832	136.876090	16.066973	16.435139	13.899179	17.745636	36.165307	23.685292	25.793822	14.036747	5.114699	-4.078492	-10.839873	-21.655171	3.743674	5.364520	8.812408	22.426281	35.970247	33.864149	44.698304	43.332397	45.187829	46.758141	51.040782	53.855067	-112.409250	-337.553373	-678.867795	-1094.796423	-1713.338136	-2523.150652	-3556.422845	-4734.227737	-6076.493232	-7603.705179	-9237.365494	-11047.452791	14.705943	15.166130	14.655248	30.621456	65.182304	78.369598	106.249456	119.129833	133.015882	149.102034	164.618580	171.060818	-110.632284	-340.633010	-710.501047	-1189.643285	-1929.827833	-2861.100203	-4033.220927	-5323.522904	-6754.097767	-8343.029256	-10009.099620	-11841.386088	11.080742	12.914435	16.859120	30.351082	44.264116	41.765709	52.557462	51.062513	52.809677	54.708722	59.653381	63.102882	48
