name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
4j28_110	-6.842196	-18.093419	-22.084232	-29.544689	-38.480536	-48.652334	-59.695005	-66.042330	-70.243893	-73.169823	-71.773260	-69.971184	-6.593603	-12.607055	-12.592173	-17.114667	-24.830393	-31.283320	-34.819056	-34.755935	-34.465139	-35.937546	-36.391642	-37.884640	-6.215931	-13.290030	-12.320628	-17.887437	-23.606809	-25.838309	-27.448290	-26.649009	-24.013951	-20.478906	-16.529823	-11.837708	-9.286153	-16.366340	-15.458278	-21.108454	-26.259584	-28.517767	-31.005030	-32.740208	-34.159379	-36.557965	-39.697992	-42.840282	-107.091861	-282.048086	-506.440560	-764.296665	-1125.075475	-1601.252656	-2188.271239	-2800.016793	-3389.775155	-3893.785484	-4266.051002	-4573.949842	-5.578810	-12.074880	-11.473292	-15.331106	-21.050237	-25.721279	-28.321639	-27.731560	-27.149899	-28.590616	-29.051190	-30.563399	-105.736252	-285.792700	-529.486907	-818.738808	-1231.917742	-1770.123877	-2421.995452	-3082.247610	-3696.905032	-4196.026762	-4545.993183	-4832.067886	-7.396222	-14.190763	-13.409019	-19.642022	-25.245450	-27.817680	-30.406535	-32.155033	-33.611841	-35.518277	-37.816495	-40.251496	33
4j28_123	0.284167	-7.156717	-16.087589	-23.244079	-30.132440	-41.121347	-52.203469	-56.702421	-61.604269	-63.704593	-61.732096	-59.414716	-3.461731	-7.320095	-11.942208	-16.004042	-21.862369	-29.517817	-32.827804	-31.250620	-31.771976	-32.714662	-33.318365	-34.898037	2.367946	-1.532517	-4.417753	-10.020566	-14.714109	-17.209125	-18.296162	-16.319950	-13.698078	-9.792305	-5.508058	-0.684109	-5.494687	-11.309482	-14.067605	-19.331947	-23.467720	-26.582659	-28.642565	-29.544738	-31.168590	-33.439939	-36.687768	-40.053809	-112.901913	-293.738502	-538.803486	-795.869896	-1156.326567	-1650.891641	-2264.084346	-2876.910484	-3473.829430	-3974.813578	-4328.208506	-4618.233122	-1.562017	-5.731556	-9.913967	-13.573499	-17.572390	-23.167274	-25.442047	-23.387495	-23.636798	-24.570394	-25.182987	-26.784190	-109.980041	-296.647398	-559.991038	-846.049026	-1258.781737	-1819.697213	-2504.231172	-3164.977779	-3785.791513	-4280.634886	-4608.979027	-4875.498254	-2.592799	-7.931631	-11.044123	-17.229934	-21.999454	-25.239819	-27.371369	-28.300191	-29.968348	-31.732315	-34.087582	-36.715593	33
4j28_154	-9.181667	-17.303601	-23.900504	-30.888692	-37.713633	-48.457896	-57.883083	-64.969324	-68.691066	-70.345255	-69.308016	-67.000282	-9.874975	-14.599572	-17.569664	-21.536422	-27.277444	-34.615254	-36.659635	-37.191039	-36.949447	-37.446644	-38.686483	-40.024383	-7.138339	-10.701601	-12.721155	-17.122197	-22.014718	-24.702958	-25.068849	-24.146390	-21.067739	-17.290467	-13.035656	-8.318659	-11.776955	-17.963200	-19.974379	-24.388186	-28.706924	-31.751210	-33.310568	-34.941204	-36.308457	-38.676636	-41.792948	-45.129209	-125.383551	-316.058687	-540.073813	-802.387329	-1169.328795	-1652.969576	-2252.891130	-2877.484330	-3458.244584	-3956.255910	-4320.013655	-4618.517019	-8.530464	-13.514863	-15.986348	-19.353792	-23.189016	-28.705697	-29.750852	-29.762112	-29.275291	-29.758837	-31.009390	-32.366174	-122.256836	-319.734080	-558.921852	-852.734542	-1273.315704	-1820.148412	-2489.585887	-3163.248169	-3766.938275	-4259.626283	-4599.084762	-4875.366401	-9.387925	-14.973987	-17.416092	-22.536198	-27.470376	-30.830106	-32.458842	-34.114547	-35.521202	-37.383308	-39.631411	-42.240060	33
4j28_173	-6.295485	-16.636737	-25.503173	-35.298445	-41.070464	-51.904742	-60.505836	-67.294791	-72.067266	-74.139519	-74.033063	-71.911702	-10.121702	-14.008307	-18.584779	-25.152003	-29.641793	-36.769243	-38.297244	-38.536175	-38.743904	-39.521804	-40.847393	-41.949789	-5.762630	-12.051583	-15.871483	-22.467365	-26.401912	-29.382518	-29.517766	-28.615018	-26.290424	-22.508779	-18.896317	-14.313777	-12.978088	-18.078823	-21.602990	-27.983448	-31.114708	-34.167866	-35.426165	-36.909827	-38.620391	-40.795732	-44.024483	-47.227100	-94.615247	-276.608161	-508.813971	-768.936440	-1119.420895	-1594.273357	-2167.686406	-2779.387414	-3373.295313	-3867.432903	-4253.746966	-4562.564681	-8.287676	-13.050988	-17.142173	-23.094224	-25.780538	-31.097759	-31.719400	-31.425321	-31.309515	-32.063407	-33.394048	-34.513361	-93.354380	-281.310662	-532.267804	-822.789797	-1223.798571	-1762.076945	-2399.999475	-3060.578462	-3679.840429	-4168.425423	-4533.232802	-4820.751530	-10.353616	-15.478101	-19.232033	-26.243641	-29.984667	-33.325337	-34.680156	-36.183138	-37.916342	-39.598052	-42.010458	-44.509046	33
4j28_183	-11.123636	-19.993189	-26.525119	-34.672297	-42.062115	-51.859039	-62.429853	-68.467302	-73.280669	-75.221773	-73.847113	-71.957145	-12.417688	-17.423955	-19.692862	-24.822383	-30.761036	-36.886290	-39.979666	-39.610952	-39.590976	-40.306861	-41.148729	-42.510357	-10.727861	-15.357672	-16.751382	-22.464538	-27.273997	-29.358844	-30.365403	-28.768294	-26.206160	-22.581833	-18.531004	-13.908678	-15.341478	-21.463469	-22.545407	-28.389470	-32.362164	-34.539171	-36.472804	-37.426923	-38.830942	-41.302005	-44.529458	-47.749005	-113.100228	-285.761953	-513.468585	-774.035940	-1137.810787	-1615.518279	-2203.120872	-2815.235508	-3422.283023	-3920.810547	-4280.666760	-4591.836220	-10.903370	-16.335478	-18.095617	-22.487187	-26.498110	-30.829106	-33.000163	-32.111260	-31.754124	-32.454222	-33.304148	-34.685110	-111.908147	-290.858407	-536.361287	-829.641818	-1245.855749	-1785.251302	-2437.962284	-3098.135655	-3732.182800	-4225.527325	-4561.215178	-4850.868603	-12.952023	-18.700872	-20.017784	-26.375202	-30.886145	-33.374191	-35.420976	-36.390893	-37.822279	-39.795865	-42.157694	-44.671229	33
4j28_196	-3.954411	-14.247400	-21.840655	-30.400679	-36.145940	-46.208210	-56.679492	-62.485445	-68.311004	-70.543215	-69.580823	-67.123956	-6.750708	-11.235797	-14.549496	-20.157121	-24.695938	-31.548803	-34.250857	-33.417445	-34.762950	-35.421595	-36.318378	-37.379033	-3.045643	-9.499509	-12.302047	-17.305572	-21.774046	-24.108368	-25.567006	-23.957751	-21.842611	-18.180725	-14.313336	-9.639879	-9.222347	-15.244064	-17.620270	-22.753728	-26.442458	-29.181755	-31.395211	-32.127571	-34.104865	-36.274741	-39.488040	-42.736117	-95.227255	-277.182644	-506.561839	-766.982403	-1113.719766	-1576.553177	-2172.131789	-2784.750010	-3377.616435	-3882.593635	-4254.313690	-4551.861211	-5.537238	-10.853652	-13.765518	-18.651945	-21.451507	-26.509836	-28.138328	-26.767076	-27.801107	-28.435411	-29.339838	-30.418825	-93.755996	-282.630641	-528.719206	-820.382254	-1217.617523	-1739.553291	-2405.350248	-3067.465794	-3684.293896	-4184.924761	-4533.991071	-4809.611995	-7.204314	-13.187799	-15.916048	-21.566103	-25.915318	-28.897493	-31.138475	-31.889903	-33.892932	-35.584167	-37.958061	-40.489592	33
4j28_208	36.655287	26.841243	21.798034	13.680106	8.021967	-0.109111	-8.112517	-14.778256	-19.559450	-23.165286	-23.531312	-22.191432	24.984771	18.679208	16.371506	10.972328	6.190173	1.350339	-0.214025	-0.164715	-0.679954	-2.464908	-3.525459	-4.981557	39.427090	33.571459	32.090361	27.405835	23.602368	21.978739	21.390649	21.886619	23.594905	26.964906	30.089137	34.414023	22.939447	15.649118	13.585306	8.861835	5.588269	3.751543	1.946260	0.456802	-1.657290	-3.704600	-6.877745	-9.986092	-71.203958	-249.156466	-453.567525	-699.664563	-1030.388674	-1479.198303	-2018.291137	-2617.460262	-3179.649741	-3677.484733	-4079.324879	-4396.231431	29.922582	23.200490	21.125293	16.244824	13.156395	10.007910	9.266013	9.880774	9.646839	7.902164	6.841491	5.366368	-66.432772	-248.130271	-467.268270	-741.974365	-1121.400911	-1632.058253	-2234.178277	-2884.172432	-3470.458304	-3965.126137	-4349.196507	-4646.475330	28.837087	21.882917	19.228932	13.830293	9.943942	7.802907	5.884378	4.381076	2.232715	0.631481	-1.791867	-4.237339	33
4j28_215	85.761962	94.927803	93.366211	90.544678	80.026818	68.161186	61.411793	57.555620	55.870596	53.642171	54.072235	57.574229	62.107992	66.706588	65.809469	65.338741	55.347102	46.623014	44.719189	45.509735	47.407250	46.805348	46.359091	45.468381	92.845676	104.656775	106.333446	104.996666	97.158384	95.289209	97.156397	100.025633	103.577238	106.634401	110.495792	115.982224	61.151874	63.531068	62.548517	60.316833	52.641223	50.088368	49.295693	48.620077	47.638198	44.957871	42.158646	39.226049	-71.876981	-233.857745	-444.960426	-722.076384	-1115.995147	-1628.577253	-2166.348571	-2733.442342	-3298.876192	-3808.747509	-4227.925497	-4502.220443	72.316282	77.688852	77.173003	77.457441	69.534110	62.726988	61.413521	62.575181	64.706228	64.124156	63.678225	62.764591	-59.255231	-224.066559	-449.757550	-765.138729	-1216.649481	-1795.772080	-2388.961804	-2999.432397	-3590.388213	-4099.460400	-4501.770687	-4752.830693	72.814022	76.548387	74.921480	72.082511	63.774469	60.871142	59.894632	59.197401	58.171254	55.956351	53.943744	51.762585	33
4j28_227	69.777608	71.523354	69.976913	68.700226	57.367093	46.222564	39.231058	33.408487	30.526041	29.160220	29.947154	33.211103	52.445579	56.808195	57.201893	58.387704	47.854144	40.064747	38.328218	37.323868	39.209842	39.456664	39.218623	38.255265	75.024178	80.140429	81.636272	81.562288	73.300513	71.111115	73.053360	75.154086	78.373312	81.564606	85.678037	91.097336	51.367767	53.711224	53.786036	52.940585	45.067695	42.474631	42.110104	40.872543	40.160739	37.521675	34.916073	32.030733	-56.268886	-240.562986	-454.816831	-719.628448	-1104.305718	-1602.642096	-2141.681738	-2706.002025	-3308.804482	-3820.278771	-4230.522672	-4507.106030	61.834143	65.781669	66.447578	68.421587	59.899076	53.920180	52.852422	52.224170	54.462716	54.747834	54.505559	53.518944	-46.320441	-235.517707	-464.477776	-767.324675	-1207.516967	-1770.531912	-2364.110480	-2969.499872	-3604.028744	-4115.377411	-4507.349187	-4760.445764	61.899655	64.658316	64.016828	62.630737	54.144723	51.157362	50.653923	49.394795	48.654807	46.493971	44.682833	42.544124	33
4j28_265	53.946982	49.881888	49.447170	43.093726	32.966511	23.248263	15.109733	9.180298	6.002168	4.569322	5.757112	8.555757	44.363711	42.602878	44.117808	40.652325	31.576344	24.887357	22.208405	21.993493	24.271079	23.966707	23.266329	22.196743	58.143656	58.170132	59.956152	56.247675	49.042466	47.049422	48.761109	50.980235	53.898736	57.308105	61.361317	66.618445	42.697484	39.414275	40.003911	35.633841	29.220462	26.778089	26.215341	25.569675	24.897876	22.190089	19.107883	16.219165	-77.711695	-270.387482	-473.153175	-753.384340	-1133.842664	-1608.133724	-2155.987120	-2746.963700	-3373.495147	-3871.760094	-4248.775919	-4539.458946	49.530052	47.732383	49.504942	46.963257	39.679791	34.601198	32.721827	32.969258	35.637316	35.347707	34.637162	33.544142	-70.864183	-267.631396	-484.180375	-804.305475	-1236.769959	-1770.411542	-2376.059563	-3013.658335	-3674.509499	-4169.658356	-4525.202347	-4793.550213	49.105956	46.548117	46.359935	41.596819	34.362966	31.429228	30.796298	30.128662	29.421690	27.211503	24.971245	22.811583	33
