name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
4j28_110	14.361752	3.742033	0.707198	-0.891363	8.965823	23.555963	41.991860	48.659920	54.743020	57.889895	73.780131	76.809077	21.129906	15.553652	18.225735	16.462383	16.532305	21.354987	34.012233	39.931124	46.226078	51.731508	59.752478	63.612780	8.601810	4.985816	13.175152	12.026446	8.209880	10.394021	19.519129	19.365007	19.807423	17.523720	16.591196	19.235120	8.010790	3.567165	12.685618	16.496267	16.426926	20.529579	29.198000	30.023659	30.926936	29.103275	29.575200	32.505501	-64.047068	-215.625585	-425.975646	-669.565648	-1008.618382	-1468.600462	-2109.683519	-2902.519973	-3866.365122	-4989.421595	-6229.223969	-7691.173296	22.255441	15.341534	15.837838	14.918555	19.554196	27.146017	40.631237	46.751275	52.723248	56.575888	62.657572	64.466950	-73.604486	-226.058994	-447.016923	-715.514469	-1110.881398	-1639.598623	-2366.003522	-3238.360300	-4272.514159	-5445.501432	-6717.197311	-8206.022020	10.813023	7.756356	17.053864	20.386447	19.676357	23.422623	32.009477	32.840659	33.832860	32.302281	33.290196	36.538457	33
4j28_123	4.107816	5.087659	-3.358899	-8.997941	4.147473	18.038504	32.709508	37.577709	44.451143	51.512030	63.300934	66.253698	5.171153	8.192610	4.092249	-0.517961	2.155763	4.982906	14.643557	18.060689	25.358642	33.345231	39.285093	43.040094	1.603269	8.445274	11.851413	6.866810	4.360126	5.344896	9.268108	7.568489	8.608082	10.918883	6.274785	8.245656	-6.785006	-3.746601	-0.645363	1.140799	2.089929	4.408815	8.979265	7.553317	9.140472	10.346991	9.325678	11.443202	-86.522723	-235.002533	-466.234690	-710.185865	-1048.882800	-1529.600280	-2192.499275	-3001.305113	-3962.374996	-5116.435414	-6336.365657	-7787.394579	11.068081	13.647772	7.115700	2.875578	9.917480	16.072106	26.623415	30.250702	37.217237	43.482312	47.624196	49.391706	-92.987271	-242.866363	-483.604556	-749.005312	-1145.830073	-1700.471677	-2454.668847	-3343.737946	-4373.686211	-5579.484893	-6827.092859	-8304.069326	1.143304	6.590888	9.657711	10.155995	10.084049	12.504565	17.028380	15.629883	17.336971	18.802247	18.486156	21.006081	33
4j28_154	6.571622	-3.591940	-6.303395	-11.891346	2.755606	16.420350	29.669298	36.821342	44.500383	50.061442	63.261111	65.316382	12.450364	4.157943	5.831478	0.268811	4.684446	8.073783	16.065122	22.331888	30.350635	37.295318	43.585058	46.632997	0.361816	0.275836	8.195297	3.941851	1.699539	4.408882	7.114546	8.093882	9.396724	9.730550	6.190531	7.259367	-3.234644	-7.913115	1.072341	2.181199	4.009221	8.211308	10.658496	12.480972	14.363897	14.182833	13.427523	15.096042	-91.140391	-263.086149	-466.189295	-715.699479	-1059.316852	-1528.972429	-2184.230360	-2985.541161	-3949.782075	-5078.234101	-6320.070305	-7821.168074	15.699754	6.886229	7.793472	2.873422	11.826117	18.111251	27.007997	33.501318	41.173206	46.463701	50.859652	51.785905	-101.524823	-272.655078	-481.473442	-754.736938	-1158.726675	-1697.618927	-2442.471139	-3323.573035	-4358.500382	-5536.740843	-6809.065151	-8339.683484	2.175105	0.154465	10.199447	10.454379	11.386333	15.263850	17.698010	19.562497	21.536968	21.682673	21.521131	23.472848	33
4j28_173	2.444532	-4.123729	-13.552082	-21.972950	-7.821405	3.984400	16.518106	25.575795	31.306569	37.226915	49.459901	51.643851	3.207361	3.250187	-1.105584	-9.466406	-4.508411	-3.637825	5.040347	13.377122	18.566340	26.184861	31.981279	35.352879	-2.960418	-2.891312	-0.840175	-6.994660	-8.638400	-7.685601	-4.503541	-2.361692	-2.935982	-2.414356	-6.825345	-5.983467	-9.032767	-8.914374	-6.393229	-7.517234	-4.854388	-3.360663	0.623345	3.850208	2.760742	3.222373	1.972348	3.595699	-68.246005	-224.463349	-442.631469	-690.633998	-1019.786710	-1484.166644	-2103.579561	-2883.392460	-3834.471151	-4951.861977	-6184.013795	-7641.881809	8.369298	5.824047	-0.718388	-8.488876	0.794972	4.524256	13.963199	22.524881	27.398219	33.351101	37.235743	38.550046	-76.868811	-235.585576	-463.377604	-734.185838	-1120.645199	-1653.996479	-2354.569511	-3213.493159	-4234.737227	-5402.580742	-6666.173013	-8152.357705	-2.323110	-1.867052	0.750111	-1.121334	0.673900	1.915365	5.807125	9.060993	8.058053	8.764150	8.027041	9.939171	33
4j28_183	4.544901	1.583178	-0.312126	-3.904595	11.259482	25.322650	39.341455	51.695579	58.672688	65.346273	79.760695	84.087497	8.351783	6.695440	9.709253	4.989105	8.310817	12.594658	21.359648	31.381649	38.379867	46.193698	53.372646	58.462993	0.182851	2.394384	11.872227	10.235102	10.620984	12.762819	18.602623	23.698219	24.724584	26.034173	23.259365	27.400803	-3.746884	-5.858830	4.052939	5.831146	8.281135	11.938378	16.858034	21.267186	22.492889	23.042546	23.082446	27.587237	-77.431763	-221.918126	-430.464835	-678.124851	-1019.353787	-1482.937938	-2114.062403	-2908.567415	-3871.790843	-4971.511544	-6207.814346	-7685.125806	10.902597	7.964715	8.951526	5.108578	13.008866	20.135023	29.671862	39.935408	46.626436	52.870920	58.123945	61.107516	-85.513540	-233.752991	-450.968782	-724.139296	-1122.996733	-1655.074557	-2368.027972	-3244.155967	-4278.256567	-5425.664323	-6693.337527	-8198.620567	0.512871	-0.067992	10.018639	11.423721	13.208345	16.560301	21.377934	25.818954	27.148211	28.081458	28.640274	33.406937	33
4j28_196	5.552551	-0.282999	-7.103451	-13.678355	-3.363273	10.230844	28.344991	36.199151	41.966018	47.270114	61.341992	64.002050	8.350852	5.934658	5.212888	-2.662924	-1.933408	1.755901	13.521063	19.862744	25.221471	32.444713	39.865901	42.608573	-1.205151	1.638414	5.851046	1.534954	-3.871490	-1.131498	6.663721	8.586419	8.595091	8.515785	4.891637	6.944172	-5.847140	-6.125779	-0.289781	-0.952014	-2.395388	1.627503	8.130880	10.240537	9.881985	10.033159	9.403020	10.993182	-67.703822	-223.736024	-437.170362	-685.349481	-1012.851685	-1460.047722	-2100.503116	-2886.577624	-3825.041716	-4963.493596	-6178.169100	-7603.510149	13.577599	8.883510	6.219358	-0.862695	3.879776	10.455212	23.168278	29.725949	34.765197	40.245015	45.807229	46.594392	-77.837182	-234.754378	-456.590611	-728.575374	-1111.727841	-1624.030134	-2353.371455	-3218.217524	-4224.237800	-5415.177099	-6660.423229	-8111.169257	1.024059	1.416790	7.472833	6.290041	3.641284	7.493606	14.020768	16.144709	15.889569	16.201651	16.145476	18.114479	33
4j28_208	25.941920	21.814220	19.614649	14.417679	27.745008	44.740523	56.922154	64.158524	69.621311	78.104126	93.198228	95.537574	19.519670	22.161671	23.030614	17.634175	20.870818	27.414199	35.635390	40.183706	45.723304	56.448994	63.583753	66.306053	27.301597	27.477104	34.098074	29.657926	28.914789	33.708105	37.325152	38.952442	37.512341	40.179197	39.167939	40.317550	11.757825	12.354003	18.914292	19.563335	21.645024	27.453982	31.724449	32.159626	31.044848	34.626206	34.902602	35.893008	-59.098097	-213.604710	-401.731344	-637.584787	-950.903375	-1396.891384	-1988.242747	-2739.842325	-3643.940587	-4748.659714	-5983.887585	-7362.394812	29.064102	30.521565	29.993561	24.707941	32.037837	41.410236	50.330813	55.072973	60.295667	69.314712	74.421134	75.253438	-61.147421	-218.442380	-412.922349	-671.847535	-1039.512929	-1555.380963	-2225.211516	-3052.707542	-4024.045396	-5181.604338	-6451.471810	-7854.973572	23.140175	25.451919	32.371644	31.852185	33.028440	38.657724	42.817706	43.258206	42.225128	45.920866	46.519852	47.889256	33
4j28_215	26.047643	35.389954	31.296860	35.502360	49.553977	69.341458	82.362490	89.433653	90.635141	94.432401	107.328007	108.572622	18.399866	29.106558	27.633225	29.245386	28.095314	32.407492	41.540861	48.550547	50.188298	56.183037	60.004886	62.025343	34.071884	48.245931	51.936030	52.390444	52.092279	56.984720	60.381438	60.616788	58.876136	59.181928	56.210463	56.507804	13.632151	23.390370	26.495420	30.069807	29.933278	33.627395	37.322079	39.020252	37.769733	38.592617	37.094304	37.144499	-95.647286	-243.986660	-444.007322	-706.973550	-1100.447989	-1663.434554	-2338.547385	-3169.280783	-4183.769599	-5402.499383	-6780.739375	-8220.510611	31.644609	44.085055	41.902638	44.152643	48.807610	57.220170	67.232106	74.470555	75.767490	79.930233	81.567490	81.786100	-92.289172	-240.307983	-448.421938	-745.398473	-1206.834631	-1858.318448	-2618.296255	-3529.820742	-4612.726175	-5883.741288	-7296.847112	-8756.854426	29.520916	43.876517	48.093532	51.013114	50.904926	55.030677	58.732708	60.531917	59.445156	60.551745	59.540376	60.309242	33
4j28_227	29.799718	35.937333	33.157191	36.703735	53.692379	70.644924	80.174820	87.819727	92.415194	96.112377	112.791172	115.516990	16.999496	30.790322	31.239348	33.429168	36.668098	38.061980	44.424788	50.788873	55.491466	60.111705	67.593952	71.581751	37.624374	47.722628	52.461802	52.887247	55.973488	58.263710	58.593935	59.016179	59.526061	60.376735	62.045209	63.566255	14.509761	25.479986	30.211742	34.821792	39.019860	39.675001	41.222227	41.664330	42.842521	42.332671	45.196991	47.050822	-68.487776	-227.899696	-432.771517	-684.816583	-1063.711157	-1619.432103	-2286.758546	-3114.173257	-4171.377718	-5351.168720	-6698.616527	-8148.822930	30.298092	42.148150	41.273251	44.532514	53.365499	58.675602	65.956169	72.549187	76.885411	79.840372	85.199121	87.336129	-63.547291	-226.063858	-439.809876	-725.580338	-1169.894333	-1812.660816	-2561.356759	-3470.002264	-4604.144976	-5831.670509	-7211.273911	-8683.388572	29.871984	42.080904	47.410757	51.820450	55.969723	56.957644	58.562743	59.088284	60.333485	60.287114	63.676631	66.185366	33
4j28_265	17.324480	21.503263	22.362954	21.245705	38.187269	53.424188	63.100182	74.114852	79.279500	81.085021	93.682674	96.731903	11.295357	20.315954	24.016855	18.639199	22.818858	24.466544	29.033833	38.666417	43.129901	47.907144	53.283664	57.437681	26.429006	35.372605	41.374185	39.153648	40.798230	43.062405	43.638444	46.107305	45.591432	45.475130	42.217971	44.246433	9.595638	16.836514	22.799438	21.239408	25.355671	27.187972	26.861977	29.963932	29.008205	30.018267	30.139890	32.576874	-79.729236	-243.468697	-431.485758	-705.209526	-1079.521293	-1614.273780	-2298.076474	-3170.023845	-4235.527930	-5418.040918	-6727.084192	-8242.115332	22.319445	30.310785	33.354931	29.010256	38.298569	43.592665	49.263642	59.154160	63.210869	66.320924	69.740532	71.868102	-74.694104	-240.787043	-438.149766	-748.265571	-1185.309130	-1800.907907	-2571.843737	-3533.931185	-4676.966055	-5904.826199	-7242.282113	-8782.995817	22.812329	32.170639	39.122680	37.607421	41.087235	43.044482	42.910049	46.046816	45.135811	46.639457	47.473253	50.420302	33
