name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
4jsz_1	-2.802577	-5.447362	-4.910760	-4.152015	-2.291256	-2.104882	-1.630716	-1.910230	-1.442110	-1.313342	-1.897156	-2.666883	-4.599039	-6.632355	-4.317307	-2.995343	-0.324165	1.243782	3.096327	3.631272	4.730260	6.382534	6.325546	6.204495	-2.124090	-3.175720	-1.345064	-0.552058	0.419433	1.094090	2.165420	2.381275	2.986628	3.531144	4.013801	4.288176	-5.155414	-6.803360	-4.539896	-4.341267	-3.473111	-3.069928	-2.873551	-4.019076	-4.904369	-5.581533	-6.919245	-8.139036	-36.471936	-90.544739	-178.774136	-250.116699	-345.818856	-480.834330	-619.877150	-751.890216	-888.013713	-1052.564532	-1192.524915	-1340.971116	-4.364560	-6.463571	-3.946529	-2.547966	0.576354	2.790655	4.841789	5.431654	6.582768	8.301971	8.255575	8.147807	-35.304350	-90.184248	-186.716218	-265.196771	-376.906037	-533.309275	-687.920685	-829.116134	-971.822339	-1142.007031	-1280.638378	-1428.438780	-4.678279	-6.204972	-3.998602	-4.240014	-3.775504	-3.481163	-3.361664	-4.542077	-5.462386	-6.071070	-7.254004	-8.354131	17
4jsz_100	9.566445	4.296027	3.311101	1.012008	0.998447	-0.642630	-3.123468	-5.795074	-6.441959	-6.772823	-6.164444	-5.348784	3.753144	-1.031436	-0.238066	0.153502	1.863054	1.953991	1.113964	-1.052872	-2.539474	-5.021878	-6.947219	-9.342398	10.591082	5.652969	5.396763	3.373357	2.557537	1.565011	0.683402	0.317446	0.600954	1.392315	2.779215	4.481510	2.268438	-4.124657	-4.521767	-6.583825	-7.288681	-8.795175	-11.542006	-14.634710	-17.526591	-20.665384	-23.281658	-25.141089	-37.942046	-135.815577	-266.552093	-428.621572	-615.289809	-821.993696	-1041.497754	-1240.148533	-1397.312967	-1506.535656	-1591.596567	-1633.279576	8.597674	3.566473	4.817908	5.869189	8.292645	8.854950	8.219258	6.045900	4.414385	1.790206	-0.219340	-2.721207	-34.423072	-136.269467	-280.621291	-466.988404	-679.870725	-911.784678	-1153.029381	-1362.255121	-1520.042076	-1619.839915	-1693.575924	-1723.064337	7.517394	1.226614	0.807442	-1.526060	-3.111211	-5.258906	-8.173405	-11.333775	-14.304127	-17.210950	-19.490765	-21.066350	17
4jsz_113	-5.574551	-7.363922	-7.644020	-6.506709	-5.228391	-4.360527	-4.652538	-5.090867	-4.806905	-4.153647	-4.904136	-5.386757	-7.193439	-8.058449	-6.876542	-4.984630	-2.901689	-0.827573	0.328109	0.890517	1.972836	3.836623	3.850731	3.755852	-4.624803	-5.100325	-4.275379	-3.064381	-2.123219	-1.488762	-0.898922	-0.672809	0.054153	0.779826	1.082079	1.462697	-7.612849	-8.421475	-7.269512	-6.549456	-5.740436	-5.347832	-5.582599	-6.626304	-7.305884	-7.931567	-9.316184	-10.535712	-45.715367	-98.823131	-176.036538	-249.150409	-348.525954	-472.054733	-612.881785	-750.179813	-891.791459	-1045.568022	-1192.376485	-1331.067498	-6.955752	-7.786357	-6.512286	-4.438645	-1.864200	0.676674	2.086628	2.738941	3.889239	5.803168	5.835146	5.746578	-44.474695	-98.101118	-181.779561	-264.338131	-379.491351	-521.920384	-678.993741	-826.941112	-975.567523	-1133.980088	-1280.279249	-1417.636599	-7.086287	-7.707328	-6.747067	-6.346734	-5.909201	-5.738768	-6.015451	-7.090093	-7.807387	-8.353283	-9.593110	-10.684358	17
4jsz_138	-0.269647	-2.679152	-1.933494	0.066544	1.802577	2.405365	2.028124	1.880841	1.767637	2.552320	1.682822	1.350806	-2.634243	-5.743547	-3.756306	-1.086061	1.406089	3.137883	4.074633	4.798150	5.412205	7.600989	7.262140	7.287384	0.875915	0.194721	1.982627	3.603131	4.972294	5.490773	5.945599	6.271557	6.613537	7.543853	7.920382	8.430344	-3.065865	-5.829558	-3.876466	-2.939092	-1.669327	-1.528285	-2.023215	-3.063587	-4.132076	-4.477421	-5.921946	-7.021550	-40.945557	-101.097043	-177.221983	-254.756846	-354.022432	-483.659243	-624.524734	-760.305138	-898.087362	-1058.976298	-1200.218222	-1337.909218	-1.813759	-4.974384	-2.912812	0.031342	2.931306	5.176320	6.326059	7.117113	7.779753	10.030313	9.701520	9.730189	-39.020973	-100.265224	-181.823933	-270.892349	-385.061703	-534.586653	-691.265481	-837.198603	-981.800667	-1148.149881	-1287.964568	-1424.354617	-1.956506	-4.562303	-2.867594	-2.187837	-1.397144	-1.462763	-2.024843	-3.101517	-4.209490	-4.477785	-5.766314	-6.735688	17
4jsz_150	12.082846	13.051883	17.031860	16.380971	17.079237	13.971307	11.091335	9.978686	8.326939	7.086518	6.378116	6.415663	4.798417	4.506079	9.174551	9.547008	11.190382	9.730760	9.105035	10.137063	9.171620	8.060580	6.611926	4.797195	12.557588	15.056335	18.056629	16.622081	16.324836	14.709922	13.473360	13.373575	12.864047	12.789253	13.410715	14.382918	2.779058	3.006426	5.732931	3.764361	3.255050	1.334085	-0.737876	-2.008683	-4.454077	-6.942261	-9.183014	-11.033865	-21.718754	-79.207535	-148.833020	-241.391485	-364.501623	-530.984532	-723.528084	-923.794419	-1096.205070	-1251.511125	-1377.891457	-1456.412470	8.213430	7.829719	12.642232	13.433141	15.787440	15.118671	14.879659	16.128292	15.203790	14.085417	12.608095	10.728259	-17.092255	-75.924786	-153.101188	-261.760159	-405.922597	-597.236630	-812.655687	-1030.624744	-1208.834000	-1362.667694	-1482.339466	-1551.803742	6.494503	6.846836	9.368046	7.252880	6.418637	4.378927	2.251272	0.949861	-1.540832	-3.881519	-5.879081	-7.502822	17
4jsz_156	7.934418	-0.947154	-0.533966	-4.374376	-4.704913	-4.191199	-4.947483	-4.782622	-3.934625	-2.759969	-0.548537	1.366325	3.613145	-4.720451	-2.701796	-3.951010	-2.398074	-0.251668	0.750198	1.544777	1.629599	0.943238	0.251315	-1.000910	7.860787	1.715577	3.688113	0.804267	0.687384	1.030075	2.051012	3.606073	4.844354	6.540668	8.938757	11.148925	1.533232	-6.005508	-4.421118	-7.459951	-7.572737	-7.697118	-8.468548	-9.566302	-11.464067	-13.592807	-15.389512	-16.720137	-38.982611	-130.551093	-263.294288	-424.250704	-621.700711	-820.562768	-1039.233755	-1237.247329	-1393.923800	-1511.480477	-1583.675349	-1625.398541	6.088471	-2.379320	0.261207	-0.274154	2.294330	4.735088	5.929550	6.721728	6.661246	5.853137	5.063707	3.706905	-37.229486	-130.236211	-277.219956	-461.455540	-686.839345	-908.500736	-1149.115103	-1358.106098	-1516.102622	-1626.110803	-1685.967504	-1716.116661	4.389875	-2.979502	-1.188989	-4.431006	-5.175892	-6.063948	-7.019396	-8.187188	-10.166276	-12.067486	-13.512383	-14.558775	17
4jsz_160	2.156017	1.922325	3.252884	5.521819	7.676340	9.392983	10.344560	10.733252	10.235876	10.004587	8.668539	7.041668	-0.747890	-0.858414	0.645797	3.303364	5.942935	8.473909	10.193459	12.178481	13.476775	14.824557	14.839991	14.178307	3.440266	5.008870	7.054938	9.146424	10.119749	11.143033	11.917806	12.224426	12.319233	12.172569	12.051946	11.978087	-0.952535	-0.439005	1.005745	2.465935	3.305889	3.992896	3.949212	3.648422	3.151730	2.034156	0.692002	-0.588650	-36.198683	-85.757619	-139.038889	-199.436749	-274.752874	-374.095904	-473.597087	-605.354874	-755.946149	-910.631456	-1066.579947	-1217.081030	-0.124671	-0.204208	1.474035	4.316202	7.261365	10.173490	11.973764	14.139180	15.614209	17.046946	17.099879	16.463505	-34.278007	-83.644589	-141.035459	-209.861228	-298.138293	-413.630940	-524.350653	-670.397101	-832.359673	-993.358068	-1150.852623	-1301.203074	-0.051995	0.644804	1.967519	3.186999	3.635257	4.141535	4.005639	3.693447	3.178724	2.123059	0.883589	-0.297856	17
4jsz_215	13.513931	14.158717	10.406972	10.742591	9.769766	9.323877	6.803029	6.297333	5.724074	6.300994	7.753793	9.434186	5.553522	7.812641	6.129102	8.995926	9.753651	10.710199	8.791581	7.987206	5.741652	3.731101	1.517783	-0.362631	14.891169	16.564888	14.687763	14.762925	14.003731	14.048879	13.730651	13.901326	14.221982	15.483412	17.625007	19.718649	3.980155	4.637452	2.505422	2.032908	1.311373	0.385782	-2.688155	-5.836193	-9.222696	-12.194789	-14.650413	-16.278960	-51.587906	-177.320499	-338.101877	-520.010673	-730.243285	-955.738461	-1171.319612	-1356.930308	-1499.036641	-1600.488215	-1653.698298	-1684.834250	7.412145	9.154620	7.974118	11.475082	12.827240	14.216359	12.319279	11.389599	8.900277	6.726658	4.392529	2.397868	-48.715214	-179.543802	-354.823889	-563.232391	-800.173043	-1052.542378	-1284.955694	-1479.631791	-1619.618103	-1711.135562	-1749.999819	-1769.258161	6.312534	6.950707	4.688386	3.734000	1.781991	0.071964	-3.241275	-6.477379	-9.960267	-12.679092	-14.750571	-16.081021	17
4jsz_218	25.999054	30.324935	29.053935	28.403903	30.495766	28.956704	27.824151	27.276557	26.960774	26.565206	26.314002	27.822910	19.078982	23.156653	22.876011	23.856808	27.377464	27.381178	28.477255	28.673755	28.821895	27.747082	25.982480	24.760387	27.273472	31.970261	32.115659	31.698435	33.211472	33.063079	33.291339	33.720100	34.083078	34.526885	35.611908	37.479034	17.718771	20.630416	20.318129	19.598730	21.047783	20.292254	19.350288	17.549413	15.650074	13.031285	10.677695	9.225413	-24.503722	-93.805103	-197.730363	-316.503764	-472.033218	-661.502473	-873.541872	-1056.152013	-1233.392509	-1378.932825	-1493.169217	-1548.192786	22.663330	26.717828	26.715494	28.070460	32.462645	33.193941	34.619153	34.839257	34.987949	33.862771	32.045921	30.731494	-21.042025	-91.874601	-205.200731	-340.337591	-521.304993	-736.776163	-973.513245	-1167.360303	-1350.820246	-1492.738089	-1598.036877	-1642.106303	21.707546	24.820432	24.381541	23.298917	24.291839	23.228929	22.180782	20.321994	18.362681	15.928104	13.862752	12.676425	17
4jsz_24	18.940657	17.388058	17.916914	20.666945	20.058506	21.090272	21.363154	20.740501	20.507352	20.058514	19.843910	19.039159	15.635446	13.641252	14.360876	17.773459	17.807689	19.959773	22.507087	23.892713	25.527372	26.147825	25.721743	24.287695	19.540172	20.282096	21.834647	23.557273	22.895160	23.752168	24.670340	25.234500	25.569517	25.737308	26.048468	26.354973	14.195737	13.131739	14.025112	15.277439	14.505303	14.954445	15.448436	15.128208	14.425626	12.903251	10.798708	8.943543	-32.133484	-85.197445	-147.205647	-218.712095	-312.317436	-440.324235	-603.827359	-777.542451	-961.681764	-1129.459951	-1260.709932	-1373.781286	18.589052	16.913058	17.876092	21.402785	21.798840	24.551987	27.477798	29.078048	30.888897	31.554261	31.117652	29.655962	-28.118637	-80.828237	-147.634564	-229.060900	-337.088532	-487.099187	-673.742852	-863.946634	-1060.392552	-1231.454320	-1358.676545	-1466.405800	17.565324	16.945218	17.703652	18.557780	17.306906	17.629267	18.088177	17.747211	17.017506	15.600369	13.700592	12.021613	17
4jsz_26	16.191812	16.016444	16.335744	18.448881	17.959528	18.529670	19.255130	18.672323	18.510130	18.289188	18.321364	17.427734	12.583631	11.866751	12.347476	14.967334	15.080153	16.850713	19.712055	21.201418	22.707445	23.701457	23.420225	21.813397	17.268063	19.084526	20.447365	21.505833	21.067110	21.591005	22.640592	23.328239	23.672372	24.035411	24.549615	24.842824	11.373243	11.359731	11.989398	12.479750	11.888680	12.056047	12.596814	12.442449	11.654149	10.376021	8.434612	6.528622	-30.589852	-85.933945	-150.813710	-221.582593	-314.591639	-445.396425	-606.675533	-782.256906	-961.116595	-1135.258823	-1262.983546	-1373.347835	17.029762	16.474482	17.133676	19.822087	20.303520	22.715814	25.937607	27.647383	29.310751	30.365217	30.069474	28.432852	-26.399759	-80.501096	-150.308334	-230.212319	-337.763702	-491.039361	-675.702936	-868.252591	-1058.751748	-1237.109258	-1360.494235	-1465.332106	16.212245	16.496684	16.940977	16.986948	15.922499	15.988950	16.488151	16.310911	15.495189	14.320105	12.588113	10.860810	17
