name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
4jsz_1	-5.258641	-1.474760	1.796079	0.985053	11.538821	26.447732	30.237634	33.028885	31.874515	31.173890	38.543241	41.863151	-5.020531	-2.809773	0.066884	0.706002	8.330207	17.731494	19.692745	22.188279	21.188800	19.860056	25.665403	27.725133	-5.008639	0.253992	3.166287	-1.328679	-1.450682	2.901851	-2.354468	-4.735949	-5.806783	-9.178562	-4.770728	-3.150696	-6.478707	-2.650443	0.802379	0.761104	3.164859	7.470453	4.209418	4.006634	3.123419	0.237431	4.737155	5.472758	-32.823577	-78.300635	-162.090228	-228.896713	-311.446114	-435.167313	-571.060294	-712.148010	-874.322804	-1094.326194	-1318.790764	-1583.671152	-2.371748	-0.201882	0.785695	1.774129	9.778736	19.365296	21.125937	23.389921	22.095487	20.045921	25.142454	26.374811	-32.575494	-76.677267	-165.664760	-238.708575	-339.582439	-488.332504	-642.643280	-795.678844	-964.781152	-1193.627686	-1422.236744	-1691.660882	-2.873446	2.090558	5.116310	5.063077	6.712401	10.960566	7.789047	7.809624	7.155926	4.434783	9.201288	10.142384	17
4jsz_100	-7.869305	-7.457735	-3.830531	2.928033	11.084088	13.035469	14.841364	17.051388	16.599973	17.072303	13.787202	17.631433	-15.689314	-16.450475	-16.712674	-15.162551	-9.377119	-8.801838	-8.520664	-6.023433	-5.821877	-4.741644	-8.262705	-4.219916	-7.497922	-8.561446	-9.284883	-11.082052	-20.379320	-32.504507	-41.580570	-44.514585	-42.717591	-40.552493	-45.948758	-43.334661	-18.140728	-20.500089	-22.917317	-23.713388	-26.459863	-33.337414	-39.010995	-39.512312	-38.454199	-36.779755	-41.103088	-38.656085	-41.014961	-127.348931	-252.850921	-403.828564	-573.502501	-767.248336	-971.705133	-1168.188033	-1362.785871	-1546.433442	-1780.507031	-2024.960686	-5.294112	-8.121783	-10.652399	-9.720381	-3.235322	-2.536126	-2.390913	-0.015165	0.144089	1.252391	-2.597501	1.057796	-40.467036	-129.303700	-266.531613	-439.703983	-640.231284	-863.082428	-1090.386565	-1300.085900	-1498.347161	-1678.681944	-1911.841505	-2156.877264	-6.537343	-8.819369	-11.346103	-12.253075	-16.430768	-23.962941	-29.402310	-29.426255	-27.808957	-25.326723	-28.963721	-25.932024	17
4jsz_113	-5.746360	-3.390390	1.685732	1.713552	8.802178	17.738614	22.130818	27.941053	25.663183	27.420615	30.233908	33.158009	-5.181256	-3.367544	0.568215	0.319120	5.562825	10.747474	12.606278	17.157446	15.455916	17.060775	18.991535	20.894882	-4.703326	-1.146783	3.237439	-0.623746	-3.362135	-4.122851	-9.085802	-8.236091	-10.661914	-11.660577	-12.130927	-10.501494	-6.231156	-3.201709	1.090467	0.162294	0.821333	1.054264	-2.239442	-0.105467	-1.833452	-2.025888	-1.667546	-0.768630	-37.459884	-81.984072	-153.207632	-226.364803	-312.771837	-428.453048	-567.323286	-708.676041	-869.906959	-1080.144854	-1302.404205	-1554.954766	-2.158731	0.264788	2.730023	2.382002	8.042535	13.326058	15.004165	19.285530	17.287457	18.219215	19.481909	20.628966	-36.753937	-79.830172	-155.365072	-236.940159	-340.450546	-478.100060	-636.640694	-790.666348	-958.711612	-1177.538736	-1403.812486	-1659.988938	-2.101129	2.563731	6.563569	5.459021	5.393715	5.414608	2.262215	4.598399	3.092398	3.085619	3.726177	4.853579	17
4jsz_138	-4.519342	-1.200850	-2.347312	-0.734020	4.146465	12.731871	15.348989	21.359308	20.970260	22.708529	27.396559	27.629108	-6.294818	-6.155577	-7.417654	-7.579918	-2.776315	1.939488	2.412213	7.374737	6.891497	7.222196	9.948804	9.323595	-3.023930	0.945605	-0.686709	-3.780946	-9.061890	-10.557842	-16.994349	-16.163696	-15.832515	-17.433082	-15.711213	-16.923128	-7.128743	-5.741793	-6.561607	-7.916755	-8.331968	-8.586883	-13.309289	-11.204465	-11.013743	-12.760030	-11.236437	-12.807739	-36.837635	-89.216870	-166.678643	-245.092817	-330.515720	-454.276342	-593.843584	-734.362954	-892.682049	-1115.303408	-1340.980452	-1603.221630	-1.143024	-0.978379	-3.250072	-3.254143	1.761215	6.647638	6.932198	11.654747	10.898322	10.479436	12.526175	11.118160	-35.249022	-86.885593	-167.895418	-256.884025	-358.563701	-505.784050	-664.390927	-817.519066	-982.114716	-1214.633504	-1444.141792	-1710.292615	-0.869448	1.907102	1.153789	-0.067102	-1.612985	-2.007512	-6.616611	-4.287953	-3.859040	-5.452357	-3.638491	-4.979707	17
4jsz_150	-4.549494	3.548586	8.976936	10.850223	23.916524	33.010977	43.254918	51.902496	51.796824	49.599771	47.955914	49.826213	-8.495866	-2.388315	0.910794	0.011947	9.478188	13.598039	19.932917	26.586033	26.889819	23.974381	22.077655	24.228822	-4.447970	3.236525	5.838541	2.462354	2.372950	1.137118	-0.482905	1.053982	3.770394	3.188308	-0.308238	0.919879	-10.024619	-4.268366	-2.482968	-5.150948	-2.957423	-3.426535	-3.319955	-0.550364	1.991726	0.462483	-2.443166	-1.322998	-23.707943	-76.106262	-147.049581	-235.285703	-338.922332	-481.482798	-651.941976	-833.742319	-1011.473065	-1202.125556	-1398.630755	-1607.229904	-0.760797	3.375998	5.535637	4.437737	14.567277	18.887625	24.892062	31.124240	31.212832	28.008601	25.809051	27.602644	-23.511739	-77.093372	-154.154217	-255.544220	-382.012669	-548.826713	-744.110674	-943.478554	-1124.785716	-1315.063628	-1510.589708	-1719.015395	-1.584777	3.730633	5.500474	2.856725	4.547752	3.950469	4.159776	7.126079	10.017197	8.972303	6.613589	8.195836	17
4jsz_156	-10.016098	-11.828528	-7.367082	-2.088534	11.447206	9.415060	7.958537	12.426635	12.877539	12.822684	9.503240	7.398818	-14.306703	-15.629024	-14.747334	-14.173859	-5.972040	-6.741332	-8.805090	-3.194963	-1.754350	-1.685449	-4.401449	-6.442389	-9.720619	-10.571599	-8.016277	-11.147552	-15.303862	-31.433589	-44.259331	-44.990975	-41.812347	-39.314875	-43.412344	-45.273375	-16.172194	-16.516119	-15.647220	-17.127839	-16.715357	-25.730252	-34.285897	-31.794342	-29.029724	-27.216396	-30.199843	-32.299520	-37.419966	-123.061148	-253.234172	-409.371156	-587.733887	-780.027820	-984.609089	-1175.897786	-1371.827350	-1573.242042	-1772.023020	-2033.578754	-9.140580	-13.212337	-14.975483	-14.958112	-5.873068	-6.571283	-8.816386	-3.302205	-1.923618	-1.949966	-4.709084	-7.227252	-36.962300	-123.024466	-264.007757	-442.790586	-653.491831	-872.659870	-1099.849212	-1303.516844	-1502.925715	-1701.494998	-1895.568395	-2156.973049	-10.049593	-10.984415	-10.364429	-11.821440	-12.583235	-22.410440	-30.798567	-27.817403	-24.503960	-21.940777	-24.083554	-25.648175	17
4jsz_160	-1.630660	-0.248184	2.264286	3.820807	8.500263	19.577529	21.945848	25.027859	27.504351	30.804535	30.361318	31.188510	-2.905899	-1.940512	-0.647704	0.551783	4.726740	13.456630	14.927635	14.797136	15.818458	17.964489	16.035806	16.371442	-0.594276	1.997842	3.687987	2.125534	-1.766395	0.108484	-4.429399	-7.560167	-5.874738	-5.631317	-9.708273	-9.221010	-3.729190	-1.640746	-0.091084	0.676166	0.298875	3.793716	0.917971	-2.465217	-1.082977	-0.971902	-4.788206	-4.522733	-27.749257	-77.206956	-129.513790	-190.045342	-258.969431	-349.965926	-447.546788	-587.958935	-753.533492	-944.608581	-1160.264832	-1374.885089	1.366283	1.813496	2.871552	4.007908	8.428873	17.248357	18.599147	18.070077	18.613665	20.121764	17.485573	17.231240	-26.853497	-75.200237	-130.288256	-198.058969	-281.828129	-392.024410	-502.383805	-658.598956	-834.277470	-1033.801753	-1254.653043	-1470.805209	1.449129	4.212511	6.242772	6.887585	5.744901	9.065273	6.253463	2.952079	4.425266	4.677574	1.052470	1.559311	17
4jsz_215	-14.077088	-6.746712	-3.714350	2.675415	4.894493	10.804055	7.628952	6.214572	3.154573	6.637262	8.736082	7.798677	-21.429922	-13.656701	-12.487926	-9.328852	-6.705240	-1.354065	-3.243495	-4.916543	-6.867980	-3.765506	-1.662301	-3.329709	-13.959355	-7.467780	-8.699984	-12.773184	-28.867667	-38.123247	-52.912949	-61.101625	-60.522593	-56.306481	-57.576903	-59.787025	-25.070772	-18.195279	-18.854238	-18.717678	-24.085872	-26.935974	-35.821830	-42.045970	-42.051805	-38.994967	-38.990685	-41.963197	-59.456215	-174.736017	-323.817570	-497.289537	-690.418231	-898.674098	-1114.451743	-1330.001168	-1535.977176	-1753.303445	-1996.392873	-2299.989219	-11.014908	-6.551298	-7.308037	-4.523980	-1.346093	4.190644	2.281637	0.543570	-1.374081	1.616214	3.429558	1.143730	-59.301214	-176.742616	-338.576414	-536.479212	-761.067287	-1000.701063	-1239.803116	-1471.550276	-1679.680365	-1896.321610	-2139.185068	-2445.158767	-13.044847	-6.417352	-6.602370	-6.604024	-14.160895	-17.816562	-26.391102	-32.038290	-31.390220	-27.518123	-26.717964	-29.130785	17
4jsz_218	-1.306636	0.139467	7.266595	11.308664	25.967581	27.251134	35.188690	35.741312	35.127123	34.841822	38.450473	41.782908	-7.420107	-4.686106	-1.116974	0.633303	9.321542	7.009116	12.463626	13.416209	13.162530	13.471737	15.288813	18.482693	-0.614482	0.411703	5.539693	3.760081	3.392753	-7.656405	-11.627129	-16.446844	-14.544385	-12.813429	-12.525786	-11.350162	-9.440132	-7.144340	-3.816099	-3.335098	-1.767918	-9.619394	-10.505606	-12.887086	-11.438816	-9.724735	-9.299467	-8.314254	-28.157878	-94.291500	-188.629095	-296.844493	-434.193154	-613.854017	-805.803360	-983.356006	-1172.056742	-1359.502647	-1621.904274	-1889.352937	-0.217256	1.204605	2.942569	4.374031	13.957384	11.878349	17.043723	17.862775	17.442651	17.598536	18.694199	21.264723	-26.601252	-93.354534	-195.316336	-318.160922	-484.154535	-692.400409	-909.296552	-1099.099768	-1291.801821	-1477.128897	-1743.339578	-2013.798428	-1.180121	1.455081	4.642736	4.959117	5.975225	-2.133434	-2.886365	-4.864466	-2.986734	-0.645242	0.188216	1.603155	17
4jsz_24	-8.037059	-5.480254	-3.649950	-2.240360	4.316433	17.013823	30.876458	39.013955	41.029558	40.298978	39.788956	40.553220	-4.966542	-4.329694	-3.100305	-1.106950	5.295014	14.115484	23.531196	29.537441	30.927950	30.982848	30.852018	31.651850	-7.131217	-3.039855	-1.758404	-5.549818	-9.253826	-6.022190	-3.502859	-2.789699	-1.117632	-1.013049	-1.610020	-0.086907	-5.641521	-3.445027	-1.721711	-1.922691	-0.785589	3.072386	6.072143	7.769890	9.163846	9.962062	10.041457	10.887595	-37.926163	-90.655655	-152.343678	-224.723798	-305.729102	-416.130211	-560.034403	-716.771532	-892.240531	-1059.960319	-1203.669165	-1375.239732	-3.283527	-3.026445	-2.024977	-0.244656	6.502031	15.491517	24.541253	30.176786	31.197349	30.979611	30.799179	31.358661	-37.280621	-89.051230	-154.374311	-236.239632	-334.243288	-466.477117	-634.094044	-807.514204	-991.628828	-1159.985154	-1299.294255	-1469.181926	-2.951686	0.194485	2.593956	2.115442	2.457028	6.189177	9.215509	11.080889	12.688257	13.902156	14.573785	15.850453	17
