name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
4lzs_1	-3.533957	-6.261587	-18.270860	-13.513060	1.273739	19.959107	37.860611	51.847508	57.178341	62.224096	69.177365	70.540087	2.927078	4.396996	-2.535246	2.769393	9.628219	21.325173	37.055689	50.141904	55.170449	60.547053	63.605006	66.637926	-4.417918	-1.187500	-4.219520	-1.659954	-1.458633	1.826968	5.777524	7.303317	3.795278	1.933199	-3.623184	-1.738494	-2.084749	0.478527	-2.513133	2.268770	2.333479	6.812954	11.811870	13.797746	11.965990	12.757757	11.427179	11.717540	-70.671149	-186.946567	-387.314924	-620.221271	-965.482330	-1429.637692	-2016.454747	-2723.759179	-3469.319711	-4261.254892	-5123.245478	-5970.502949	2.777600	4.022653	-2.996708	2.401777	10.572810	22.667472	37.001265	48.092499	51.672715	55.438825	56.552664	58.083775	-73.626429	-190.540810	-406.462854	-673.246448	-1080.140823	-1617.792014	-2280.802120	-3058.179431	-3847.766225	-4659.764476	-5529.655286	-6376.892741	-0.756126	2.838455	0.022641	4.968894	5.082067	9.447833	14.563029	16.862721	15.687670	17.579462	17.538920	19.342560	31
4lzs_154	0.553744	-0.013782	-7.469259	-3.547309	12.402439	28.323880	44.161284	54.964258	62.344887	68.426944	74.764549	74.462062	0.821179	4.837763	1.603497	4.167224	13.405215	23.935076	37.145812	47.277321	54.326306	60.472443	62.998094	63.781683	0.543336	5.423471	6.056326	9.490743	10.810982	10.783230	13.698668	12.618008	10.827523	9.904536	4.520941	4.951670	-3.289232	0.928439	1.615230	5.067545	7.469261	9.827960	13.204390	12.883037	12.766899	14.275450	12.916787	11.289562	-62.856597	-186.457399	-368.332819	-592.674970	-921.719600	-1358.526909	-1934.251963	-2620.068900	-3355.257721	-4130.693663	-4970.172259	-5823.421429	3.598653	6.522699	3.442791	6.266922	16.700025	27.722948	39.483560	47.675052	53.227933	57.731258	58.362699	57.516353	-64.243638	-190.776186	-385.169551	-642.020618	-1029.015102	-1535.227376	-2187.851401	-2941.701542	-3722.712536	-4518.402732	-5365.171957	-6219.860207	0.834957	5.495444	6.352677	10.136628	12.495711	14.844780	18.239231	18.204442	18.666974	21.181858	21.073118	20.819370	31
4lzs_203	5.960502	1.803234	-5.820416	-1.501377	14.504808	23.565078	40.050723	48.025859	56.005972	62.480255	71.396684	73.702684	-2.975682	-5.085151	-9.424523	-5.249254	6.663980	11.120890	24.956358	31.784580	38.766038	43.731010	48.473576	52.251779	8.860922	12.167082	11.379909	12.631396	10.307596	4.987143	8.444080	7.282938	5.339779	3.817387	-3.081164	-2.168281	-8.583849	-9.742244	-10.733723	-7.366795	-3.933012	-5.801212	-2.314356	-3.593015	-4.199062	-4.381590	-6.080657	-6.624206	-87.534172	-254.689865	-467.826194	-730.847803	-1066.967135	-1505.296499	-2077.115845	-2733.005477	-3487.722589	-4346.244630	-5311.027154	-6282.368577	9.998373	7.264078	2.794052	6.795800	19.682052	24.628000	37.159120	42.369611	47.767442	50.660611	52.820594	54.441786	-85.875984	-255.850326	-480.497011	-778.651182	-1172.296036	-1675.871430	-2326.773042	-3044.925186	-3849.588879	-4738.117418	-5722.224538	-6702.398804	6.492394	6.671441	5.101351	8.228407	11.020615	9.018412	12.707990	12.011831	11.951047	12.564048	11.796114	12.467996	31
4lzs_224	-0.878471	-7.851385	-16.675105	-13.033714	7.597197	24.491336	38.127288	50.511336	57.470858	64.445564	75.155009	76.892822	-5.361557	-7.863836	-11.850087	-9.098157	3.733182	12.739174	24.102637	35.328484	42.500742	49.096348	54.822860	58.055007	-2.035564	-3.515992	-0.979553	1.165263	2.437194	2.506413	2.745730	1.262081	-1.437163	-3.521051	-8.624666	-6.455282	-12.607295	-16.144722	-14.767101	-11.481757	-7.850489	-6.134934	-4.937779	-6.125912	-6.374663	-6.024429	-6.465704	-6.402342	-79.297307	-242.656819	-486.429105	-786.031986	-1175.480222	-1712.492014	-2377.466513	-3156.250377	-3979.817001	-4878.382131	-5845.129345	-6801.031478	2.642433	-1.357042	-5.147071	-2.435099	11.612016	21.094579	30.927273	40.147649	45.811879	50.534534	54.116254	55.659148	-81.365796	-249.161426	-511.506259	-851.739402	-1307.211591	-1927.074499	-2676.066429	-3531.118544	-4402.222985	-5325.548761	-6302.560127	-7258.441373	-2.895277	-5.979917	-4.216394	-0.926650	2.195773	3.746881	5.145067	4.537356	5.131676	6.689308	7.750998	9.533451	31
4lzs_38	-3.977594	-7.180137	-16.127134	-8.460328	5.986090	21.648497	35.188485	45.638677	54.300428	60.261139	66.997794	68.717969	2.554718	4.037526	0.085881	7.578403	14.516562	22.917789	34.430228	44.297513	52.635850	58.202844	61.296379	64.534108	-6.136957	-2.937381	-1.934315	3.735482	3.491297	4.318811	4.329834	3.386630	2.554097	1.587842	-3.736753	-1.214377	-3.171539	-0.256060	0.583874	7.554753	7.677938	8.954629	9.791117	9.677666	10.569360	11.566251	10.657236	11.530271	-69.719167	-186.247243	-385.059757	-609.140022	-943.451983	-1401.205976	-1979.036078	-2671.861913	-3411.032352	-4197.140593	-5025.934893	-5859.118201	1.203990	2.136315	-1.866572	5.669060	13.812098	22.572810	32.696011	40.633590	47.482569	51.388202	52.691230	54.434878	-73.758270	-191.594041	-405.286415	-662.747989	-1056.359278	-1586.329050	-2238.409377	-2998.858315	-3783.313681	-4590.000335	-5424.653088	-6257.465689	-3.142706	0.558525	1.620400	8.675681	8.736360	9.873864	10.800655	11.011493	12.502913	14.523353	14.957527	17.299667	31
4lzs_391	-2.136285	-1.916749	-7.593141	-2.019867	15.918707	31.949155	48.745489	64.040107	71.955231	76.706918	84.785831	85.869308	2.485042	5.758906	4.586355	9.460834	18.130200	27.383339	40.632224	54.637258	62.261167	67.544888	71.738242	74.665710	-3.841812	3.220488	5.901420	10.249365	13.944601	15.144146	18.205447	21.505118	20.456314	18.110804	14.024373	15.698002	-3.358981	1.854649	4.884104	9.690662	11.763116	13.553009	15.707931	19.066724	19.707299	20.510557	20.888584	21.289427	-70.537136	-185.408229	-367.630958	-591.328292	-924.749051	-1365.109600	-1956.945352	-2657.738764	-3389.527096	-4167.360531	-4999.739258	-5833.767974	3.035799	6.052616	4.750803	9.649079	19.602782	29.234291	41.037729	53.020090	59.219037	62.892021	65.254821	66.682482	-74.033925	-189.409234	-383.916653	-641.919778	-1035.844760	-1545.214161	-2216.282474	-2987.712469	-3762.777314	-4560.045191	-5398.798073	-6232.623758	-1.330124	4.938055	7.905421	12.843608	14.985427	16.642875	18.850192	22.464643	23.752003	25.607408	27.297225	29.160601	31
4lzs_415	6.517578	3.749923	4.437940	12.238675	23.467746	33.170256	51.586449	65.054927	72.251488	77.902522	84.561197	85.837921	-5.409524	-5.719583	-0.640802	5.587889	12.103294	14.548179	29.309227	42.208444	49.273380	54.699341	57.462445	60.008372	9.260664	10.854089	19.388700	25.102396	20.649538	17.719092	22.820788	22.998359	21.464869	19.154070	12.873231	14.535909	-9.472228	-10.762707	-1.707754	3.578969	3.337236	1.477627	6.423369	7.701687	8.253433	8.100661	6.306204	5.959255	-59.824039	-198.196149	-381.358176	-640.957884	-973.695762	-1440.179459	-2056.693699	-2772.988931	-3547.012547	-4362.865940	-5227.658041	-6082.448492	5.986509	4.488093	9.684450	15.853210	23.330964	26.256986	39.409450	50.314508	55.800040	59.529566	60.427030	61.497577	-58.004890	-200.966720	-397.017572	-696.982450	-1082.629291	-1620.068276	-2320.192080	-3108.403059	-3928.959047	-4766.761273	-5638.341758	-6492.498088	3.401906	2.641109	11.738587	17.164941	16.391926	14.485148	19.392169	21.021423	22.176281	23.115126	22.722502	23.950029	31
4lzs_430	-0.026828	-6.082145	-11.068407	-8.986372	4.400651	18.312490	38.239374	48.693595	54.859025	59.798203	68.618048	71.125433	5.972009	6.495090	6.175177	8.685417	14.885460	21.755485	38.735620	48.510190	54.831827	60.095021	64.910665	69.113232	-2.315045	-1.084004	1.300661	2.441348	2.071559	2.260426	6.918212	6.036368	4.085715	2.168740	-1.825932	1.279860	0.661899	3.122889	5.469051	8.211770	8.218663	9.088350	13.715508	13.629414	13.744969	14.545207	14.422381	16.063141	-51.671880	-175.700947	-363.788851	-599.186679	-928.127871	-1375.803124	-1959.265869	-2645.770213	-3372.300158	-4154.674624	-4977.014374	-5802.871100	4.947893	3.795713	3.347217	5.642908	13.044628	20.338429	35.921061	43.792146	48.684991	52.274106	55.307932	58.024110	-55.625849	-180.502181	-384.130586	-652.359986	-1038.555163	-1555.253053	-2218.484656	-2972.369407	-3741.108807	-4543.881062	-5373.132928	-6198.811196	0.754570	3.028459	5.489703	8.133962	8.104538	8.907908	13.627206	13.874445	14.614258	16.403925	17.611374	20.705151	31
4lzs_442	14.149006	9.433928	12.088301	17.443304	32.404255	51.853544	70.412234	82.363235	91.861468	98.553294	105.721753	108.041612	4.131023	6.814701	13.479065	17.991907	25.043504	35.421144	50.333050	62.067596	72.051311	78.628463	82.770928	86.721619	15.243973	15.648740	27.484034	31.864732	31.577029	34.036458	37.812115	36.805730	36.768413	34.504440	27.202236	29.692590	-0.069837	1.028660	11.880311	17.265422	18.426290	20.875008	24.364963	24.557253	27.138854	27.285957	25.999774	26.221291	-53.545405	-214.134637	-422.970237	-687.645485	-1067.016987	-1595.531348	-2275.246671	-3036.126677	-3842.065997	-4673.676293	-5533.691498	-6311.307815	13.539773	13.545305	20.389673	24.871269	33.255560	44.219044	57.455215	67.247163	75.725351	80.795723	83.358912	86.497741	-51.993309	-218.094829	-442.352340	-743.230034	-1186.478275	-1800.535104	-2570.725765	-3404.046733	-4255.914060	-5106.690069	-5969.365213	-6738.730358	10.784167	11.251003	22.283566	27.657463	28.659415	31.132619	34.682344	35.461143	38.840161	40.384353	40.855537	43.160371	31
4lzs_446	4.627095	3.953199	-2.058394	0.232913	18.911716	39.316786	50.270231	59.969666	69.828925	79.493261	86.075412	88.288662	-6.822838	-8.933481	-10.995554	-8.470566	2.908243	13.624071	22.404879	31.701364	42.587682	51.583257	55.987792	59.991386	5.749521	12.055175	13.600258	14.041112	15.652822	16.985508	13.139367	10.879832	10.842856	11.234845	2.942923	4.408746	-15.030217	-15.454792	-15.376757	-12.043816	-7.537508	-5.962400	-8.360727	-9.606606	-6.152411	-3.829910	-5.238245	-5.774446	-94.738734	-234.707691	-472.796858	-761.917446	-1147.292188	-1703.591411	-2404.188328	-3173.955034	-4003.954656	-4881.555111	-5732.063697	-6567.901843	7.599771	6.478200	4.348323	6.680504	19.252383	30.679731	37.886207	45.327577	54.686873	61.981245	65.015698	67.977565	-95.258477	-234.047149	-492.944493	-818.874664	-1269.210826	-1917.477098	-2709.760546	-3550.728209	-4429.480145	-5329.866492	-6180.264579	-7011.067086	1.691660	3.614900	3.806554	6.914999	10.941170	12.635770	10.455804	9.940939	14.249813	17.919720	18.498919	19.998154	31
