name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
4m0z_402	26.284760	18.832914	12.885335	12.463581	17.757222	22.039921	33.578965	43.024167	44.815418	42.311175	50.453577	51.977961	19.092348	22.098186	25.897548	26.318177	23.441615	17.618361	26.527873	36.383677	38.705355	34.989358	37.039530	42.330333	35.089734	46.310458	58.974495	58.485289	48.210151	40.819915	43.836559	42.745249	41.534478	38.753898	34.954000	37.170058	15.653302	25.569966	39.469693	44.340566	41.332995	37.592113	41.149472	40.775867	41.528373	39.048617	39.939188	40.872644	-123.309784	-437.690898	-845.152217	-1292.918370	-1909.248410	-2719.139683	-3702.742723	-4796.416884	-6055.451947	-7546.031757	-9132.574068	-10776.371284	28.033079	28.858106	33.149022	34.572858	34.457992	30.905646	40.175151	49.851805	51.920588	47.118373	47.736491	51.698910	-116.431113	-433.148975	-865.368827	-1365.360244	-2070.428686	-2988.796007	-4088.249395	-5279.668575	-6610.729650	-8146.745245	-9754.588676	-11413.710014	26.547376	36.687624	50.313885	54.436589	50.126745	45.774514	49.477243	49.575432	50.792372	49.079503	51.072681	53.231328	39
4m0z_41	-8.255663	-14.122258	-28.906047	-30.291476	-11.892628	3.788857	12.393833	16.572191	18.761252	18.567885	23.765812	26.121947	1.470797	5.841561	1.420980	2.698585	11.759153	17.475137	23.647495	27.933054	30.030512	31.032179	31.427936	37.371915	-1.812042	8.584237	12.992603	15.290323	19.491512	20.076103	21.001537	17.500751	17.473934	17.026337	13.803112	19.995889	-0.690902	8.182774	13.276931	21.905795	31.493519	35.653491	37.106248	34.333301	35.752529	38.187992	40.760573	45.448666	-150.799908	-434.744043	-849.410306	-1310.652226	-1927.048773	-2724.298530	-3713.736431	-4857.171646	-6176.675384	-7639.799306	-9264.916681	-10976.856988	2.696430	5.307086	1.354507	3.377827	15.486369	23.310390	29.882904	33.962819	35.764897	35.726673	34.630841	39.120764	-148.290981	-436.309284	-878.125155	-1388.573813	-2097.338443	-3004.129513	-4106.436180	-5350.855552	-6747.172819	-8250.228266	-9894.780071	-11621.834712	2.331806	11.602751	16.646971	24.391021	33.002340	36.398776	38.033399	35.651386	37.464533	40.761407	44.405793	50.240344	39
4m0z_415	-2.703418	-3.644282	-8.867050	-13.653474	1.744952	10.361113	19.456899	24.186957	22.666025	26.373738	29.244573	28.949806	5.078427	11.742854	14.311310	10.578386	18.089429	18.020250	25.479465	31.016094	29.924185	33.835236	31.895960	34.704078	6.521250	21.604225	33.383549	30.941607	30.812205	25.760876	26.376250	22.874271	22.194968	25.312762	20.328286	23.661148	3.505828	14.846253	26.461149	28.540756	35.396078	35.381742	37.570899	35.623619	36.873642	41.453859	41.505830	42.973376	-174.218332	-454.946283	-828.101626	-1293.983232	-1898.493197	-2687.993411	-3651.199900	-4759.738043	-6048.971296	-7443.239650	-8926.581414	-10575.154794	8.611196	14.556207	17.783482	15.125463	25.519906	27.667412	35.448820	40.789540	39.420529	42.427326	39.272806	40.694740	-168.524770	-450.589051	-847.440838	-1368.574736	-2062.688415	-2958.343245	-4033.642579	-5241.461584	-6602.437310	-8033.617211	-9527.350198	-11190.811179	9.226340	21.826903	33.322104	34.903337	40.626154	39.998604	42.314488	40.773311	42.428427	47.977360	49.308948	51.895263	39
4m0z_436	17.368693	10.982861	-4.197988	-1.423968	15.731575	25.098777	33.818327	35.556221	38.316160	37.298079	44.597210	44.696986	22.626545	24.019302	16.017056	20.568160	28.103040	28.152288	34.845289	36.404556	38.613146	37.629599	39.932528	43.384903	25.166386	32.682267	37.265000	42.804360	45.250456	40.360128	41.521279	36.650021	36.466955	36.373900	33.824650	36.521781	20.568386	24.467976	27.599109	38.634631	46.085751	45.425757	47.336328	42.968886	43.955743	45.426033	48.640672	49.408934	-137.982985	-423.180645	-807.892483	-1253.767491	-1872.994381	-2677.901953	-3635.438511	-4778.075462	-6128.570169	-7635.720433	-9247.266102	-10898.925550	25.481810	25.607074	18.706001	24.008334	34.807791	37.159577	44.156451	45.495998	47.391467	45.318312	46.168305	48.318877	-133.239198	-424.338265	-832.447169	-1325.858205	-2041.494923	-2956.043573	-4021.610004	-5265.407289	-6698.884282	-8249.983370	-9880.250360	-11543.638439	25.376993	30.144628	33.672498	43.841351	50.592218	49.371255	51.415475	47.398528	48.721358	50.985121	55.319609	57.372926	39
4m0z_439	21.055171	14.191042	4.999661	-0.320916	12.365853	24.368686	31.646291	39.104642	39.889885	44.829004	51.092815	50.131948	19.634696	27.482549	29.332042	26.034571	31.274967	33.421284	37.867666	46.162451	45.864645	50.346626	51.569951	54.133898	28.141657	40.050542	48.879753	46.290589	42.831781	40.438986	40.905432	39.832589	38.548699	40.460813	35.762709	36.372066	16.298608	30.080952	41.530147	44.899583	49.104217	50.725061	51.802349	52.128351	51.098397	53.900083	54.592948	53.806711	-115.810764	-435.239521	-844.608875	-1310.028900	-1911.366521	-2703.130070	-3695.001307	-4777.360192	-6066.718104	-7485.055123	-9049.709675	-10756.118250	27.413404	32.634329	34.391204	31.810526	39.632013	44.159116	49.043588	57.160468	56.580878	60.079815	59.910446	61.000960	-110.538110	-433.160471	-863.745817	-1380.806747	-2070.026199	-2972.351907	-4079.156122	-5255.633159	-6620.611887	-8080.580495	-9664.974573	-11390.695432	25.952526	39.545661	50.086568	52.508721	55.261919	56.411047	57.686261	58.487395	57.861688	61.553209	63.365837	63.656489	39
4m0z_443	29.067367	11.698100	3.159398	2.517150	14.263639	30.143485	39.539315	44.815922	48.506085	53.678314	61.682217	64.842489	19.795877	8.596991	7.964985	7.796693	12.981730	20.450374	28.578623	34.692497	39.251627	44.944699	48.426042	54.749264	37.614239	38.487220	49.854531	53.785208	48.378204	49.428340	49.866558	47.293367	46.236608	48.811651	46.161298	48.165943	15.634338	11.525695	22.141300	30.358260	33.982285	40.818041	43.497299	42.484963	43.910989	48.173798	50.728554	50.824266	-126.472259	-425.538024	-821.585553	-1308.367699	-1925.176050	-2712.161769	-3669.194822	-4744.459780	-5992.448852	-7338.480333	-8805.907795	-10292.033311	30.996239	18.768729	18.641226	19.427740	27.239478	36.767488	45.197520	51.133578	55.411027	60.247061	62.515575	67.780187	-119.162209	-417.151026	-836.642052	-1378.963959	-2084.995249	-2980.020546	-4048.317683	-5216.532976	-6538.301976	-7919.854008	-9401.416734	-10898.246618	28.963843	25.853528	36.301783	43.868727	45.989887	52.017011	54.835435	54.305672	56.155583	61.432473	65.239630	66.714970	39
4m0z_444	18.412874	5.832823	-9.246131	-4.321129	2.236041	14.540187	22.866025	28.715586	37.262010	38.805531	50.416231	51.444597	11.019130	9.429125	3.937783	9.281753	10.804782	13.921441	20.601233	27.325647	35.598912	37.168951	44.937057	48.963853	26.540124	30.582956	35.804189	44.129525	35.555591	34.389305	34.110541	28.802614	33.319010	33.523335	33.075481	34.653630	7.894818	11.621599	17.810199	29.971889	31.893156	35.419593	36.904146	33.169206	38.762160	40.139842	45.784354	45.345413	-110.031997	-416.192869	-828.217462	-1302.550707	-1907.561953	-2697.335996	-3670.314542	-4757.995244	-6014.112902	-7380.770166	-8875.877865	-10440.947959	19.958531	15.821833	10.654107	17.030509	20.953945	26.299187	33.322042	39.859844	47.874037	48.581561	55.070493	57.886812	-103.683005	-413.974162	-849.398763	-1380.414606	-2066.671196	-2965.295325	-4052.193829	-5238.172843	-6568.181775	-7969.790088	-9482.335975	-11060.245691	18.572694	22.091986	27.980391	39.576946	39.839801	42.745493	44.362943	41.079649	47.111663	49.499488	56.342458	57.167570	39
4m0z_450	15.931848	14.965962	3.999109	6.778345	14.772541	26.765342	34.206265	40.278470	40.038298	44.022158	52.597868	48.478996	21.729600	28.442401	25.049826	28.202647	28.157200	29.377782	34.536751	40.400394	39.825990	44.460814	47.871120	47.288920	22.104348	38.408391	46.161028	51.366933	44.186881	41.724371	41.697322	39.407321	39.925807	43.447901	43.855743	43.245998	16.941974	30.012430	36.890648	45.655762	45.433580	46.020673	46.507483	44.770191	46.396816	51.924402	57.482687	55.369771	-149.531609	-421.240977	-801.250254	-1274.112000	-1888.779950	-2700.036615	-3664.191711	-4809.114722	-6106.671266	-7491.502216	-9011.822970	-10606.393960	25.391299	31.267959	28.478490	32.614560	35.354598	39.158513	44.685760	50.338823	49.486012	53.212610	55.334972	53.511451	-147.340172	-417.178056	-821.034559	-1351.765196	-2055.949556	-2979.582898	-4052.243241	-5301.192547	-6669.780810	-8088.276180	-9621.206484	-11225.566659	22.693750	36.814845	43.651688	51.887257	50.428460	50.706464	51.390729	50.018076	52.066330	58.590275	65.377793	64.536339	39
4m0z_455	14.149350	4.925410	-10.451488	-13.255408	-0.830090	14.813365	21.840475	32.209187	34.114551	38.245697	50.453915	52.370316	6.041314	6.240297	1.048679	-1.536442	4.250253	10.989875	17.191875	26.709657	29.239694	33.823578	41.442525	46.032577	22.475224	29.234346	34.773299	35.341142	32.387478	32.100827	30.192536	32.510585	31.371170	32.440452	32.642257	35.656899	2.666329	7.258540	14.373651	19.273955	24.897172	29.344358	29.911945	32.309005	33.293391	36.133611	41.601626	42.358009	-117.292005	-416.537963	-832.267742	-1295.283579	-1894.395944	-2653.263087	-3586.932743	-4706.517095	-5940.180867	-7314.986691	-8809.820079	-10400.289381	15.887476	13.730792	8.720375	7.199891	15.519760	24.239641	30.753141	40.047001	42.336159	45.985578	52.296665	55.597338	-109.615243	-413.117705	-850.698385	-1367.635925	-2051.263710	-2915.731284	-3957.251617	-5180.789415	-6484.378238	-7898.506714	-9411.884012	-11017.185892	14.290034	18.826714	25.503555	29.842111	33.977920	37.631779	38.347436	41.066558	42.514892	46.260957	52.877266	54.810883	39
4m0z_456	28.374661	31.030530	16.274389	21.407438	40.841497	56.214844	63.138156	66.411261	66.337053	66.248144	74.994185	75.226147	24.971585	32.313511	27.220845	33.271567	43.803761	50.864880	55.364723	58.423111	58.149606	58.364759	60.924217	64.738666	37.119237	54.096583	58.365959	66.865543	71.348078	70.851555	69.912187	66.057854	64.699501	64.663134	63.502103	66.318923	22.234677	33.420520	38.574089	51.736340	62.050730	67.122457	67.407266	64.241261	64.342687	66.145896	69.010212	70.178185	-128.480268	-388.990219	-789.136727	-1251.140665	-1855.652351	-2638.989788	-3623.385375	-4774.633994	-6098.052440	-7613.224687	-9224.091340	-10891.915177	32.071514	38.675673	33.782371	40.740174	54.056301	63.474139	68.302290	71.137260	70.567029	69.679509	70.784645	73.259727	-121.916593	-385.008544	-808.250341	-1323.125604	-2017.875492	-2909.511961	-4009.641454	-5264.559102	-6664.629963	-8225.768091	-9856.164763	-11536.874460	31.366083	43.737133	48.502703	61.012291	70.110278	74.711361	75.087820	72.265711	72.750820	75.329801	79.314012	81.735176	39
