name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
4qd6_103	-0.358696	-8.742687	-4.592903	3.108259	22.653537	49.125048	63.743899	62.058608	51.413002	43.876734	50.211569	50.241888	6.092714	1.761428	7.171732	17.670213	33.636468	49.078342	60.784807	68.284984	66.375022	69.605944	79.206836	80.391982	1.391946	-0.238498	7.450423	8.335070	14.273920	23.377084	28.584753	27.008983	17.525470	15.864818	20.229432	18.513092	2.127172	-0.667426	4.420865	8.983819	15.370654	20.251951	24.651399	25.360569	17.661171	17.288519	22.229938	20.933400	-89.531964	-246.825173	-474.235098	-751.523281	-1157.518803	-1757.383174	-2535.654564	-3510.652559	-4722.090686	-6066.550754	-7648.512056	-9458.170909	9.660576	4.488423	7.888796	19.232006	40.800495	60.335737	73.449543	81.328114	79.250767	81.399342	89.439638	89.110586	-90.302353	-248.380531	-495.820987	-816.795027	-1304.746642	-2009.505069	-2889.252118	-3961.398045	-5259.655381	-6655.929822	-8278.309478	-10123.284189	7.277709	6.026208	11.364454	15.359307	22.111597	27.347111	31.717230	32.454686	24.816480	24.810297	30.065617	29.045798	62
4qd6_160	-9.826919	-9.261359	-13.704696	-7.420396	8.873125	25.009296	42.274931	42.773498	41.000062	39.072559	33.828799	34.981554	-5.277771	0.832036	-3.325269	4.882149	17.797064	26.910425	42.150522	51.977150	57.559379	64.038410	61.267500	63.806831	-4.783077	1.327092	9.439639	18.732370	25.639371	27.393752	31.101476	29.685365	34.223323	37.915315	30.437781	28.081544	-6.839442	-1.482114	1.926488	13.563619	21.855599	24.509706	28.133560	28.122084	32.977240	35.805925	29.341146	28.252545	-105.460500	-295.472162	-589.359240	-953.869509	-1429.861609	-2092.152978	-2956.290855	-3915.865288	-4974.665220	-6272.211670	-7719.853324	-9308.831057	-0.763839	2.918225	-3.989675	5.301978	23.603639	36.748190	53.505604	63.638248	69.097102	74.596931	70.575608	71.958256	-102.842102	-296.948968	-608.182513	-1021.558789	-1577.774927	-2344.471565	-3324.695177	-4373.217004	-5487.957865	-6831.797008	-8306.945883	-9919.624351	-0.690080	5.304541	8.829704	20.044465	27.155549	29.560606	33.119794	33.296540	38.605472	42.012557	36.261569	35.813424	62
4qd6_167	2.678032	-4.571270	-2.282363	-3.968736	13.517375	30.775471	42.327148	49.091250	46.262571	43.647219	47.109075	44.424823	2.762579	-0.904293	2.009009	2.466763	17.776909	29.163539	40.836753	55.859271	61.707046	69.109477	75.759346	73.889307	5.818577	1.875502	9.228777	5.895758	10.040291	9.593061	6.999144	11.429051	11.826456	15.362437	15.948002	14.074154	0.243881	-5.172440	-1.987650	-3.705014	2.350208	4.259096	3.924979	8.605727	10.580095	14.460604	16.272035	14.650742	-69.258469	-229.403228	-512.257549	-893.226447	-1372.079147	-2010.966795	-2860.374836	-3858.346173	-5015.339866	-6359.472536	-7854.656135	-9615.066096	8.472513	2.907104	2.089189	3.487834	24.494275	39.754396	53.045108	68.411000	74.101605	80.502830	85.841172	82.576416	-67.066781	-232.877265	-542.407361	-981.379994	-1544.951161	-2283.245824	-3245.216201	-4341.372436	-5570.530305	-6963.455407	-8488.810858	-10277.634994	7.299089	2.506430	5.044343	3.207535	8.568545	10.184872	9.919203	14.700292	16.958438	21.406822	23.906045	22.724455	62
4qd6_187	-8.964555	-18.270940	-18.960525	-17.028145	-4.593576	11.684412	21.373889	20.699435	17.332311	11.797898	15.125886	9.036384	-6.389004	-10.595668	-12.188958	-8.579043	2.325294	13.533041	24.536555	30.871284	34.928653	39.282708	46.129390	39.939524	-5.923753	-10.857308	-3.855675	2.204781	8.208305	10.620718	8.640273	6.934713	8.880166	10.159760	12.898883	6.195988	-8.930116	-13.729450	-11.940953	-3.857924	4.086792	8.863713	10.493304	8.598750	11.209473	12.503247	16.163506	7.934634	-90.042642	-248.510885	-505.928774	-808.164660	-1225.451816	-1814.820790	-2601.059407	-3558.740364	-4759.609479	-6169.010743	-7788.448165	-9749.389243	-0.985876	-6.747556	-11.466931	-6.805975	9.335376	24.318555	36.753502	43.421962	47.272370	50.423113	55.649347	47.733593	-88.800753	-249.722873	-526.447466	-866.282345	-1356.587453	-2041.187276	-2932.983423	-3985.648868	-5268.784923	-6736.969656	-8397.564663	-10402.197917	-2.102581	-6.093198	-4.773445	2.995256	10.660815	15.463422	17.073120	15.210241	17.844950	19.331897	23.258028	15.107560	62
4qd6_207	0.406328	-6.647297	-4.766440	-0.295632	15.291553	32.769822	46.856945	43.764937	40.697968	32.935654	36.604152	34.434616	4.526943	2.488284	6.040656	11.082703	24.904965	35.530247	46.025601	52.182841	56.322913	57.255157	67.177411	66.891092	5.449587	6.435416	17.706500	22.021647	26.065136	26.746037	28.078283	22.676494	25.050219	23.523269	23.261738	18.554033	1.555056	1.260239	8.911417	14.759128	22.320857	24.790219	24.702340	20.508734	22.447181	19.299909	23.746760	20.910414	-107.106105	-302.200206	-601.523175	-971.026268	-1470.003642	-2149.581848	-3054.133859	-4108.140382	-5294.688361	-6711.305042	-8249.730629	-9912.234822	10.598486	7.043265	7.608220	14.175287	33.903577	48.613902	60.671560	67.186596	71.178009	71.025491	79.623515	78.181584	-104.572867	-300.638558	-623.069759	-1043.512350	-1630.029089	-2416.124071	-3441.391588	-4598.022424	-5854.048892	-7322.164061	-8890.689509	-10573.867213	9.525810	10.733852	18.470829	24.118597	30.790694	32.916121	32.733726	28.672106	30.982150	28.400273	33.631259	31.570233	62
4qd6_219	14.262098	19.040450	18.987204	23.185274	43.251647	58.797179	66.964369	88.710748	84.908972	81.375203	84.681904	80.826033	13.993959	22.095329	19.558126	22.969244	39.105055	47.507331	57.549436	88.453906	92.308140	97.877845	105.424780	103.546874	21.856021	33.383856	37.522443	42.372378	46.911109	45.039213	38.900906	53.246745	56.263086	61.024378	62.334307	55.945003	11.488215	19.495414	17.484547	21.216783	27.849480	28.199752	25.380547	40.274158	42.754583	45.465341	49.686887	45.311800	-114.300644	-323.551103	-597.997261	-1013.109839	-1569.543334	-2331.449435	-3242.679814	-4416.815383	-5766.126365	-7325.142830	-8969.578766	-10768.710058	23.948764	30.645064	26.808594	32.190095	55.060697	68.178402	79.623920	110.974618	114.644488	119.003134	125.206244	122.095309	-109.816501	-321.593384	-615.661505	-1098.440396	-1754.534438	-2635.393689	-3660.120238	-4961.881847	-6394.266174	-8008.853501	-9679.290157	-11499.159397	23.711521	33.697609	32.699493	37.231302	43.226032	43.398438	40.410894	55.364920	58.148753	61.456419	66.667573	63.171934	62
4qd6_230	5.571320	-0.443765	3.114537	10.894735	24.930256	31.442360	50.304418	58.652022	52.650433	42.037844	45.095533	49.538118	-5.486284	-5.047932	-1.481472	8.624310	21.843323	21.633229	39.922731	55.928700	58.469950	58.540276	63.834355	68.893789	13.423638	16.720069	24.918741	26.015999	23.411571	11.722445	15.286547	17.782687	17.285238	14.080983	15.539554	16.765324	-8.906410	-7.321045	-2.985196	2.771438	4.746873	-4.755463	0.450163	3.148185	3.934122	0.738688	1.856804	3.298971	-117.097164	-370.540005	-676.846291	-1019.487872	-1478.105028	-2150.536051	-2992.622609	-4043.586519	-5381.096039	-6918.529319	-8614.793514	-10473.949642	10.480059	7.936466	9.447078	20.293211	38.085054	41.879746	61.531521	77.922373	80.256810	79.057024	82.770323	86.408302	-110.309218	-365.263244	-690.665633	-1082.713480	-1626.044177	-2410.276160	-3370.169325	-4534.712814	-5965.895369	-7565.835777	-9300.556862	-11190.897197	9.328434	11.890975	16.701545	20.840433	20.469955	10.609906	15.650061	18.434830	19.298197	16.440503	18.119266	20.147029	62
4qd6_265	15.426298	11.730124	14.341484	12.544112	25.789604	46.483183	64.231662	70.708944	64.132775	51.684645	49.768980	47.044246	7.282525	7.487360	9.215786	6.883661	15.002337	26.575827	42.253925	58.823788	61.742339	61.499761	63.744826	62.895631	26.351613	32.556030	40.667128	36.004608	34.082797	37.024588	39.617958	43.407826	42.098981	38.597982	35.007422	29.607858	4.427223	6.676668	8.741307	5.343123	4.683676	8.251310	10.699136	14.883227	14.335954	11.696348	10.981964	8.016079	-151.699838	-419.206804	-767.754196	-1206.410287	-1829.726893	-2607.707097	-3650.464013	-4846.420517	-6369.313870	-8047.869378	-9897.820769	-11787.217656	23.685752	23.037041	22.754974	21.849676	37.678026	53.153788	70.686600	87.639080	90.351985	88.847722	89.505879	87.431230	-143.534483	-410.882916	-782.779465	-1281.786735	-2018.957095	-2913.778632	-4099.353484	-5412.455361	-7038.952904	-8776.069313	-10659.339385	-12566.231872	23.837533	29.366300	32.352414	27.974719	26.704962	28.889395	31.301351	35.676195	35.359009	33.454842	33.676642	31.803073	62
4qd6_268	-2.748945	-4.659711	-5.629675	-1.060075	11.536136	19.181713	23.961860	28.796953	24.949096	18.749107	21.379448	25.600266	-0.056719	2.766783	1.862099	9.026543	20.508897	22.926136	27.698550	40.619763	43.951006	46.859889	51.659555	56.269972	0.916207	6.125161	12.339778	14.287519	15.254021	13.382570	10.639795	11.207681	8.139442	4.633636	4.331584	5.553347	-4.097081	0.264051	3.255174	9.511429	13.467170	13.078676	11.876764	14.793437	13.199811	10.162779	9.733874	10.472867	-102.981541	-272.815688	-501.793598	-751.868695	-1104.794921	-1629.412263	-2291.967035	-3125.837385	-4117.694341	-5379.476146	-6789.850513	-8334.910421	7.762140	10.354602	7.677335	15.461000	31.039182	36.835309	42.754135	55.966320	59.112081	60.889888	64.281047	67.625474	-101.522036	-269.905569	-511.270859	-793.454972	-1213.331180	-1822.720973	-2571.347868	-3495.211875	-4556.345718	-5878.802208	-7328.643282	-8904.253867	5.620988	12.274673	15.488520	20.608206	23.608231	23.257749	22.014194	24.939169	23.441392	20.442305	20.244873	21.297402	62
4qd6_276	3.882662	-3.577934	-0.168572	5.236390	20.619127	39.116380	50.768727	60.714127	59.565545	49.767753	54.648588	53.706795	1.383332	-1.253662	4.539705	10.791244	24.387747	33.630460	43.320066	59.353020	63.806642	63.620616	71.770469	72.300871	6.541576	4.144866	12.697373	15.455442	17.396623	18.511410	17.217393	24.393061	30.789715	28.683926	32.164670	28.408680	-4.507900	-7.128248	0.239823	5.262796	9.895182	8.612562	7.373504	13.958011	19.196511	17.124744	21.548755	18.498024	-105.559123	-283.829417	-503.246730	-781.428051	-1159.878800	-1758.157919	-2543.789066	-3517.119701	-4646.573500	-6017.393348	-7567.105900	-9390.879612	9.551892	6.986150	11.126413	17.964860	35.981331	49.687447	60.849286	77.265051	81.569139	80.218866	86.865980	85.857895	-104.711172	-282.887487	-515.773587	-834.274220	-1284.633171	-1992.822409	-2888.979782	-3965.012850	-5165.549835	-6591.181834	-8178.989259	-10041.583291	5.639004	5.653365	13.244641	17.371205	21.075808	20.560350	19.327480	25.928047	31.341231	29.494503	34.276805	31.453969	62
