name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
4w9i_110	0.350312	-15.299624	-23.109030	-18.181987	-14.345427	-12.346131	-12.336955	-15.660910	-17.965914	-19.709347	-21.369671	-20.337149	-0.331640	-9.165877	-10.112467	-5.413769	-8.773865	-10.197423	-9.089474	-9.990138	-8.619762	-7.342180	-6.940619	-5.180455	4.666053	-5.476538	-7.952544	-6.666099	-13.389244	-16.894372	-18.042744	-20.159503	-20.861094	-19.156411	-15.262109	-10.813519	-1.072104	-10.570647	-11.070668	-7.808582	-8.954405	-8.664317	-10.283322	-13.785624	-16.215855	-17.998700	-21.368744	-23.998208	-131.169822	-405.371740	-762.380160	-1223.140209	-1825.643003	-2548.611581	-3439.090478	-4428.052748	-5387.335665	-6276.041651	-7060.965039	-7754.958295	2.414707	-7.499567	-7.712764	-1.192005	-1.443794	-0.466684	2.006440	1.985028	3.877787	5.271129	5.678725	7.433525	-125.782016	-409.214953	-795.638579	-1324.921484	-2009.893145	-2823.502708	-3814.358684	-4884.475151	-5887.056441	-6778.438557	-7542.222400	-8213.716787	2.868286	-6.417695	-7.284581	-4.247687	-6.526895	-7.201137	-8.997378	-12.487406	-14.919861	-15.935059	-18.084662	-19.638950	61
4w9i_172	4.693538	-3.860292	-8.788859	-3.536307	-2.569142	-0.288734	-0.137257	-3.290263	-5.528230	-7.108916	-9.185490	-7.002040	5.049690	-1.532036	-1.279353	3.778765	-0.948622	-2.458482	-1.189801	-0.951658	0.408724	1.750849	1.663860	4.315413	10.603208	8.704643	8.921586	9.868182	1.683099	-1.615957	-3.055033	-6.329377	-6.374697	-4.257199	-0.735835	4.064595	5.187781	-1.469118	-1.125642	2.248385	1.544846	1.921963	-0.082557	-3.855500	-5.844948	-7.382940	-11.284070	-13.818253	-149.690873	-417.985427	-795.979440	-1269.588498	-1877.988272	-2620.889544	-3524.391360	-4544.046937	-5496.372372	-6382.695624	-7164.740622	-7838.520067	8.351284	1.261151	2.520505	9.360350	7.418250	8.415411	11.048885	12.207091	14.008133	15.450185	15.363498	18.007944	-142.310840	-419.254695	-831.381282	-1373.727373	-2058.706169	-2895.490945	-3901.268068	-5007.446984	-5999.732980	-6887.093393	-7646.867667	-8296.924523	9.875563	3.978522	4.173492	7.134236	4.861117	4.275475	2.096880	-1.666626	-3.673480	-4.411521	-7.054713	-8.468556	61
4w9i_197	17.893705	6.413575	0.601882	6.048815	11.322285	14.537439	12.868606	11.522437	9.155203	7.830582	6.345350	6.804659	13.666315	9.954558	8.971352	13.893826	13.145662	12.155542	11.754106	13.146777	14.278379	16.209989	16.856685	18.148800	23.360711	17.820066	16.941561	18.502283	13.338681	10.708624	8.854534	7.224216	6.865763	8.719785	12.702365	16.854223	13.436884	9.254992	8.176964	11.817771	13.379612	13.844413	11.673585	9.057370	6.926134	5.479380	2.274215	-0.539511	-117.865170	-388.201113	-755.604750	-1219.265854	-1810.774563	-2532.206909	-3418.118892	-4411.675326	-5400.539767	-6268.967295	-7059.398129	-7750.344108	17.381257	12.473686	12.522000	19.137697	21.131397	22.647926	23.623047	25.917831	27.629000	29.624413	30.274204	31.559267	-110.566062	-387.148561	-789.521525	-1318.162618	-1987.108375	-2801.116071	-3786.462083	-4865.382024	-5901.415320	-6770.259206	-7540.405843	-8208.023589	18.359594	14.253135	13.171433	16.389325	16.462787	16.054707	13.742628	11.134496	8.992377	8.314178	6.325678	4.595163	61
4w9i_199	4.555170	-5.884101	-14.242552	-6.061902	-4.235342	-3.074613	-2.632224	-5.502774	-7.445464	-9.655789	-11.247002	-9.794977	3.998358	-0.603428	-2.729298	4.280191	1.998354	-0.643475	1.373458	1.713313	3.182701	3.875437	4.156710	6.120504	10.109944	6.297520	4.549609	8.261747	0.336177	-3.552206	-4.735248	-8.439609	-8.398759	-6.844236	-2.920995	1.469299	4.189716	-0.721260	-1.588643	3.493761	4.838390	4.704691	3.268887	-1.148518	-3.236039	-5.394754	-9.046676	-11.938982	-140.805861	-420.141496	-811.056268	-1300.987846	-1897.938975	-2650.286729	-3550.831082	-4572.698383	-5530.873876	-6424.034926	-7202.284019	-7862.408964	9.529802	3.907802	2.813066	11.852624	11.947904	11.838770	15.170210	16.426824	18.354744	19.142857	19.426654	21.379757	-132.845963	-420.433617	-845.812784	-1409.269155	-2077.865598	-2926.268208	-3927.224844	-5035.971693	-6035.686404	-6930.627089	-7685.846411	-8320.761003	11.011276	6.444422	5.480724	10.348604	9.695395	8.579374	6.948478	2.542052	0.447324	-0.915167	-3.289650	-5.040760	61
4w9i_204	2.439223	-7.622786	-11.878295	-8.962957	-5.210209	-4.055280	-3.411201	-5.233651	-8.203550	-10.176747	-12.094888	-10.478123	2.143213	-2.103426	-0.173095	2.866772	0.839343	-1.898332	-0.431748	0.511223	1.157420	2.208280	2.394872	4.380648	8.007681	4.003931	4.539762	2.919820	-2.838045	-7.350777	-9.025919	-10.936041	-11.228790	-9.323419	-5.372106	-0.604070	2.149587	-2.825016	-1.039336	-0.165536	1.510252	0.505672	-1.836821	-5.025105	-7.173773	-8.887141	-12.236140	-14.844156	-151.536189	-435.431167	-796.464382	-1285.440464	-1891.743481	-2630.553385	-3555.187536	-4542.548379	-5514.788919	-6373.338492	-7167.213282	-7821.244855	5.407736	0.268854	3.070135	8.024830	8.829410	8.506534	11.438556	13.193795	14.334304	15.459384	15.647708	17.627310	-144.861505	-438.642522	-829.583829	-1391.222313	-2075.784551	-2906.852293	-3939.557419	-5006.586205	-6021.558005	-6877.692805	-7650.134092	-8278.662431	6.772849	2.277994	3.673461	4.293666	4.427513	2.401781	-0.101305	-3.280567	-5.446917	-6.331000	-8.444110	-9.909681	61
4w9i_221	4.022959	-3.766151	-10.917946	-7.032363	-5.900116	-4.247622	-3.084096	-5.309973	-9.144279	-10.997981	-12.732691	-11.254682	4.470566	0.830282	-1.121372	1.959037	-2.976490	-4.699249	-2.368350	-1.657681	-1.908821	-0.895248	-0.975024	0.805649	10.337763	8.235809	6.093956	5.821328	-2.186595	-6.845269	-8.029620	-10.822578	-11.383923	-9.287100	-5.350040	-0.774904	4.740835	-0.347024	-2.374789	-0.778641	-1.180723	-1.750276	-3.408750	-7.375906	-9.934351	-11.575607	-15.366340	-18.234829	-164.396725	-448.332935	-829.730563	-1316.289621	-1936.248528	-2679.135194	-3605.401659	-4597.325235	-5549.677988	-6428.400148	-7190.708897	-7856.714977	7.314404	3.090959	2.053092	7.051591	5.031860	5.582429	9.322371	10.843906	11.024803	12.118743	12.039329	13.807491	-156.493961	-449.561533	-864.696349	-1422.816694	-2122.763629	-2957.680118	-3990.780204	-5064.005988	-6055.494022	-6934.100677	-7672.210332	-8313.736227	9.066934	4.713033	2.342523	3.596845	1.626520	-0.134280	-1.983750	-5.929099	-8.500449	-9.334470	-11.831744	-13.573906	61
4w9i_337	21.149558	20.542229	14.817909	12.696212	18.219462	24.977873	25.689656	24.607100	22.859855	20.614036	17.619683	14.682648	19.016163	24.357174	23.848434	23.194486	24.678095	29.194917	30.724441	31.579707	32.451753	33.164705	33.531289	33.074086	26.218771	29.937546	28.978006	24.312598	20.737382	19.404986	18.261983	17.073029	16.810245	17.202524	18.493219	19.807526	19.705350	24.088749	24.378876	23.352425	25.432004	27.079867	25.592092	23.601664	22.123934	20.648095	17.856072	14.900217	-84.068139	-304.247742	-603.359848	-944.735446	-1375.025823	-1890.634137	-2544.581727	-3280.323908	-4025.214307	-4799.588246	-5600.495985	-6357.563655	22.893027	27.122527	27.171729	27.442749	30.920806	37.012280	39.552484	41.076352	42.412145	43.265564	43.641735	43.185455	-76.407785	-305.136372	-628.825434	-1012.591824	-1502.668693	-2087.599033	-2817.808518	-3616.830037	-4400.079653	-5188.424625	-5990.612542	-6742.545209	24.542938	28.959358	28.876637	27.086043	27.961401	28.739423	27.130643	25.151094	23.669356	22.633364	20.515600	18.204002	61
4w9i_374	-10.542953	-18.970883	-22.462724	-18.252792	-13.374539	-9.423660	-9.607976	-12.589840	-16.379505	-18.488575	-21.524531	-23.481209	-7.807138	-10.915748	-10.854833	-7.353395	-6.755299	-6.547609	-6.304990	-7.494947	-8.219305	-7.138755	-6.669615	-6.048180	-6.519757	-10.921041	-10.708760	-11.298160	-16.291011	-19.198928	-21.395996	-24.400337	-25.725111	-25.370935	-23.640401	-21.472889	-8.278336	-12.714565	-12.376159	-11.849271	-11.205437	-11.995768	-14.796760	-18.612889	-21.000226	-22.869012	-25.854209	-28.474888	-136.597699	-352.119681	-618.092553	-975.388315	-1420.646736	-1989.718770	-2697.606948	-3555.737387	-4433.299234	-5271.209393	-6107.042246	-6900.196508	-5.062798	-8.634287	-8.208428	-3.260163	-0.644790	1.608010	2.953549	2.696786	2.624905	3.855361	4.332663	4.961574	-130.918186	-352.107789	-638.098029	-1052.776079	-1559.027824	-2206.667717	-2997.313939	-3934.169421	-4858.806533	-5709.271678	-6541.514974	-7326.477047	-4.394851	-8.343105	-8.630549	-8.279010	-8.869924	-10.288556	-13.240659	-17.045498	-19.436042	-20.793357	-22.977945	-24.854064	61
4w9i_388	26.943738	18.713935	11.271728	16.471924	20.443786	23.256783	23.076024	22.294189	18.202640	14.090367	12.109318	10.919855	22.029129	18.599440	14.573394	18.156692	17.323421	18.031986	18.372302	19.772442	18.932785	18.456366	20.258903	21.748512	30.466949	26.803703	25.114927	25.837061	21.082119	17.620354	15.649769	13.272426	10.569461	9.574935	11.415025	13.878644	20.874780	17.132971	15.057113	16.122851	16.807702	16.945813	14.754677	11.789598	8.132663	5.194830	2.267234	-0.235544	-79.836066	-284.794084	-566.826565	-930.523019	-1398.506518	-1964.368510	-2723.684987	-3585.862061	-4494.190763	-5404.090268	-6268.897644	-7078.414677	26.864776	22.746938	19.673644	24.977680	26.476320	28.973644	30.693629	32.976922	32.830727	32.529134	34.339337	35.839354	-72.363737	-282.209936	-589.260671	-1012.288213	-1542.723956	-2181.691106	-3032.935848	-3973.157187	-4931.467036	-5858.421232	-6720.313396	-7520.712227	26.712325	23.225542	21.274392	22.410981	22.067173	21.348979	19.116735	16.155348	12.496585	10.019600	7.923192	6.208738	61
4w9i_394	14.554964	11.109699	4.304921	3.177808	4.911918	11.583390	9.740465	7.972802	5.099394	2.338648	0.401243	0.929391	13.705888	18.678742	17.281477	17.311611	11.204550	12.967981	12.539278	13.307654	14.107208	14.881091	15.415022	16.997727	19.151639	20.285399	19.088459	15.187378	7.646742	6.949234	4.664101	2.503454	1.622225	1.956908	5.525059	9.458344	13.816455	17.352784	16.912321	16.476714	12.938611	14.486729	12.054268	9.102522	6.846500	4.274905	0.951761	-1.922972	-109.496020	-359.991729	-692.676959	-1106.706316	-1671.530235	-2371.376074	-3214.953655	-4214.905580	-5212.607469	-6145.898204	-6969.196843	-7667.811126	15.988539	19.737600	19.439561	20.799108	17.901994	22.287110	23.183258	24.967239	26.422460	27.331501	27.866046	29.440960	-104.601277	-364.573091	-727.342954	-1196.052723	-1842.149109	-2635.246021	-3571.021713	-4659.750949	-5707.582327	-6649.549519	-7455.693864	-8131.580747	17.183351	20.768614	20.399354	19.360062	15.081386	15.985821	13.432157	10.482095	8.208672	6.298474	4.111344	2.297143	61
