name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
4w9i_110	-10.043716	-29.625340	-56.965296	-47.469246	-30.635998	-20.230375	-2.938428	4.310658	8.721927	7.323033	0.369941	-2.355534	0.786107	-5.073373	-13.289750	3.270280	17.677358	20.402710	31.819061	41.531436	55.211070	63.519442	62.955085	69.745871	-9.347065	-21.611429	-31.721233	-25.818325	-39.502618	-49.352638	-46.543137	-47.318382	-45.531763	-43.509955	-47.056190	-36.840881	-5.414211	-11.447397	-10.695094	7.222346	12.385761	9.720869	9.915921	9.311995	12.191387	12.319346	10.322598	14.215876	-120.179510	-381.488688	-732.070353	-1154.835195	-1687.584313	-2365.370326	-3280.122270	-4395.842291	-5614.259944	-6959.857042	-8386.608025	-9898.923699	1.781585	-6.197842	-14.771010	1.815322	17.777743	21.431153	32.393375	41.383172	54.401992	61.382872	59.335518	64.674521	-122.745838	-392.066846	-761.461119	-1243.197746	-1858.396867	-2629.152691	-3663.743423	-4890.293619	-6189.859756	-7580.906962	-9021.358961	-10545.012234	-3.042241	-9.080423	-8.482780	9.257291	13.351367	10.157182	10.380174	9.916820	13.097624	13.998878	13.048779	17.978360	61
4w9i_172	-2.621963	-13.496914	-35.700459	-30.707435	-18.616369	-10.048109	6.069165	14.716671	17.505106	16.837492	13.395276	8.831798	8.118714	4.063459	-1.511551	10.810643	22.893600	24.442295	34.203119	42.287906	53.223910	63.476776	66.352370	70.887908	-4.421289	-4.353744	-7.792206	-5.564182	-24.793660	-39.395776	-36.421496	-38.189345	-36.816253	-33.046061	-33.195875	-25.005836	-2.504279	-3.492863	0.969647	16.156948	19.126967	13.669056	13.118700	7.738471	8.578508	11.763624	13.051453	14.389827	-135.237260	-393.162969	-763.635802	-1203.140928	-1743.908842	-2443.167926	-3379.066989	-4549.909643	-5784.805511	-7160.040052	-8582.188296	-10093.785897	10.184370	4.750540	-1.152724	11.235448	24.725538	27.268165	36.601138	43.897485	54.172119	63.073385	64.525505	67.674929	-140.711804	-403.815364	-795.799145	-1291.710858	-1912.319460	-2709.126442	-3766.658008	-5058.743197	-6373.370282	-7793.781003	-9227.690359	-10748.817099	1.173322	0.950688	5.335443	20.253177	21.852873	15.883139	15.403478	10.127301	11.291735	15.282895	17.717216	20.181791	61
4w9i_197	-0.229655	-17.835091	-47.616211	-43.513027	-30.321957	-17.511832	0.303990	8.047623	8.729463	8.088313	5.199272	2.836561	6.822631	5.140197	-7.169430	2.881218	17.082770	19.614495	32.102442	41.569047	50.224950	60.027600	63.621527	71.721545	1.110768	-7.327297	-21.373857	-19.998533	-37.923677	-46.530900	-43.268366	-45.033714	-45.114568	-42.266285	-41.591831	-31.062393	0.108450	-0.533646	-5.051769	7.471848	11.843074	8.512578	10.061172	7.371805	7.046269	8.738538	10.650186	16.098096	-114.556827	-376.138302	-738.716844	-1172.736573	-1703.091411	-2391.342619	-3312.249242	-4451.699062	-5710.257932	-6989.711178	-8451.840345	-9990.644715	10.471584	6.666845	-6.015299	4.052354	19.641515	23.203503	35.256782	43.966371	51.895966	60.552701	62.562708	69.154040	-115.750533	-381.766457	-768.019944	-1257.132298	-1867.282687	-2653.110864	-3694.868642	-4951.382721	-6293.165912	-7609.676427	-9089.312114	-10640.465926	5.188229	4.530536	-0.047366	12.203153	15.273167	11.501637	13.104256	10.532859	10.462739	13.095989	15.990285	22.451951	61
4w9i_199	-4.326530	-19.656460	-48.708757	-39.149209	-33.212321	-17.902498	-5.420135	5.195049	9.011008	6.715138	2.595767	-0.003620	4.418596	-1.419630	-10.891704	2.908109	13.640480	20.169470	28.404450	40.590897	53.752865	62.674608	65.255619	71.291289	-5.941422	-11.895817	-19.844913	-12.971325	-38.919869	-46.578519	-48.234655	-49.273987	-46.133886	-44.665424	-44.852599	-34.138217	-5.385451	-10.312848	-7.798356	8.961282	9.957916	9.578229	7.675445	5.599160	9.358954	10.216980	11.534312	14.874087	-129.409984	-401.269177	-787.402444	-1243.269016	-1779.720857	-2486.373150	-3430.097059	-4603.526296	-5859.941310	-7232.932366	-8685.638819	-10186.724300	7.504832	-0.419738	-10.301706	3.638127	15.598444	23.106768	30.902682	42.302902	54.785739	62.386629	63.494860	68.195146	-133.906180	-412.335740	-819.701553	-1335.876679	-1949.075607	-2756.147342	-3820.532625	-5116.074517	-6454.364514	-7872.530518	-9337.837632	-10846.343753	-0.814052	-5.568010	-3.123041	13.479835	12.820215	11.894806	10.059152	8.097954	12.177997	13.887502	16.338624	20.860163	61
4w9i_204	-2.200672	-20.642247	-44.045564	-39.389601	-25.834146	-14.654802	6.136759	16.660863	17.732806	14.220420	13.585855	9.509315	4.491820	-4.441259	-10.230106	5.308677	18.506079	22.451611	36.144613	48.159974	57.680452	65.569152	70.231626	75.921576	-3.852740	-10.920568	-16.257081	-15.780238	-32.769961	-44.977305	-39.016072	-38.594123	-38.575775	-37.790161	-35.205797	-26.068764	-6.253438	-12.003984	-8.412451	8.538347	13.429788	9.890939	12.718453	12.040973	11.942335	12.495040	15.112218	18.422431	-136.884406	-411.846191	-767.858827	-1217.394671	-1759.732979	-2451.479704	-3398.973203	-4525.652681	-5782.446733	-7111.888722	-8535.234855	-10006.930016	6.589272	-4.113466	-10.066958	5.417833	20.106630	25.000586	38.230118	49.527701	58.356494	65.018592	68.245235	72.630815	-142.541500	-422.791913	-797.351770	-1307.831957	-1930.731515	-2718.787870	-3792.025845	-5031.826448	-6371.438228	-7741.428431	-9177.517780	-10656.134546	-2.562153	-7.839061	-4.326279	12.330638	15.929490	11.828574	14.690075	14.183073	14.382073	15.837514	19.579242	24.055396	61
4w9i_221	3.039527	-15.773229	-41.507648	-39.799566	-25.756495	-16.391975	3.444248	9.406285	11.625497	9.938479	4.518939	-2.905269	11.727484	1.716607	-5.059822	4.619564	18.459147	21.713202	34.820478	42.557840	51.697484	59.758323	60.579487	63.085445	1.891598	-4.519498	-11.673950	-13.905282	-31.303541	-45.366788	-41.707658	-47.371897	-45.258117	-42.087795	-44.066324	-37.931433	0.724763	-5.764101	-3.398570	9.272934	14.456379	10.221600	10.917684	4.375150	4.273013	5.191392	4.562315	5.191545	-143.638394	-425.943086	-799.247742	-1251.072900	-1801.097686	-2500.374516	-3457.227248	-4602.855676	-5873.298945	-7251.335365	-8664.294879	-10155.884692	14.321536	2.955264	-4.127608	5.734596	21.054695	25.192706	37.818542	44.846725	53.292691	60.017230	59.485784	60.676930	-148.931002	-434.988943	-830.269586	-1341.140914	-1973.934074	-2769.134290	-3853.477411	-5116.503698	-6470.423610	-7892.803547	-9314.900007	-10812.882372	5.075654	-0.538517	1.674925	14.185284	17.975112	13.077256	13.799998	7.450381	7.657297	9.416446	10.012415	11.828188	61
4w9i_337	-2.404937	-4.997874	-22.221382	-28.619779	-16.526234	-8.646351	0.300498	4.872449	5.106265	4.843284	6.600385	-1.394922	2.770885	8.220462	7.302755	10.511987	20.635349	24.809271	31.276757	36.970144	43.214401	51.925867	59.266850	61.711817	-0.099386	3.432009	-2.629754	-12.918082	-24.787713	-35.365757	-35.575533	-36.708663	-37.870035	-37.290153	-37.739059	-36.248106	-1.291798	3.999151	7.283829	10.910070	13.387701	10.567869	10.579251	8.563698	7.835695	9.502695	11.039116	9.438185	-93.886816	-301.883827	-589.751500	-909.195567	-1309.452489	-1809.825958	-2478.173291	-3297.839647	-4233.894722	-5326.133967	-6651.781363	-8131.432043	4.667310	8.171540	6.797791	10.042880	21.320250	26.159017	32.327983	37.500018	43.211334	50.679507	56.199371	56.765089	-93.837233	-308.905909	-616.027821	-973.264133	-1437.119246	-2008.848819	-2761.228603	-3662.520004	-4663.560975	-5800.246791	-7162.068131	-8671.262790	1.709442	6.877049	9.884826	13.155006	14.739897	11.467318	11.547960	9.654951	9.120171	11.168825	13.002111	11.742723	61
4w9i_374	-8.246318	-21.490826	-39.087570	-37.649099	-26.393530	-13.211881	2.846113	14.225433	16.335521	15.554163	12.773798	7.885104	8.463578	6.513493	3.893256	6.104374	16.869810	21.477096	32.821018	46.116017	54.873677	63.309672	66.103024	69.754417	-11.676271	-15.504470	-23.345232	-25.691068	-40.199060	-44.701687	-40.164275	-37.827130	-38.984563	-36.544069	-38.221336	-32.600002	-0.700679	0.505950	2.313844	4.655973	5.892201	4.939482	8.097507	11.640251	11.033835	12.764900	11.753483	12.564997	-112.210124	-311.680969	-559.721073	-884.582110	-1285.343317	-1829.116718	-2557.979823	-3527.391574	-4595.917775	-5720.690455	-6947.433438	-8259.010837	7.638620	4.765761	1.849230	4.119237	16.080708	21.535850	32.480597	45.060686	53.169308	60.456212	61.888587	64.204374	-118.680981	-319.126555	-580.520937	-951.928793	-1418.663052	-2043.488153	-2868.110450	-3942.758660	-5086.921054	-6249.514932	-7493.421423	-8817.344931	-0.239703	1.592854	3.073577	5.320468	5.760026	4.536771	7.670602	11.196850	10.747878	13.073366	12.833373	14.427079	61
4w9i_388	-5.644616	-20.325390	-42.325784	-41.691212	-32.234649	-20.185306	-7.050404	3.357810	6.745405	5.201021	5.935836	-1.458338	4.578116	2.358482	-7.905066	-6.500877	0.598056	7.227671	13.490856	23.484505	33.553184	41.782778	47.762377	50.929314	-8.979795	-15.727401	-26.696661	-28.522731	-42.783256	-49.992371	-48.565772	-46.220834	-45.060284	-44.238343	-42.851496	-40.117761	-3.967523	-4.544645	-9.416325	-6.424123	-7.175788	-7.315821	-8.610751	-7.760445	-6.599910	-5.844083	-4.610925	-5.168428	-90.981365	-280.648969	-550.865388	-890.456595	-1317.243336	-1852.669350	-2640.863162	-3625.552744	-4718.232861	-5912.928341	-7203.329470	-8646.899234	5.380536	1.809312	-8.590262	-6.923766	1.534879	8.888376	14.766734	24.041130	33.459354	40.387327	44.879971	46.450924	-96.735213	-288.935792	-578.148064	-966.380595	-1459.518234	-2071.150575	-2964.373897	-4051.594029	-5220.404452	-6458.273126	-7769.461272	-9231.773844	-2.096510	-2.524206	-7.258588	-4.124186	-5.558475	-6.122612	-7.424362	-6.575926	-5.238842	-3.972958	-2.004273	-1.888532	61
4w9i_394	0.584655	-11.993438	-34.119877	-47.899730	-35.761236	-16.720217	-3.922032	8.691592	11.609027	10.056877	7.361972	2.084117	8.914567	8.532328	1.650591	-1.041959	6.210129	16.371805	25.972276	39.042971	49.667322	57.781155	61.140376	67.186348	0.245267	-5.168019	-11.526797	-28.088898	-42.927688	-47.500703	-47.533262	-44.878267	-44.322173	-41.873865	-42.204551	-34.153323	1.734877	1.582933	3.291860	2.779233	2.399418	3.527946	3.482619	4.546831	5.226505	6.216532	7.120733	11.229890	-107.512257	-347.803401	-673.603637	-1063.014975	-1568.778581	-2222.031088	-3064.570544	-4178.501105	-5432.503027	-6766.547727	-8182.549600	-9677.092695	11.114684	8.807833	1.871579	-0.854462	8.068861	19.275614	28.516207	40.786877	50.622374	57.345386	59.172875	63.763938	-110.239287	-357.491989	-703.557715	-1137.500745	-1725.447970	-2476.259942	-3424.475564	-4657.283159	-5999.486441	-7378.784542	-8811.333504	-10316.239458	5.275262	5.211606	7.083304	6.149217	5.064465	5.869779	5.923405	7.011307	7.851133	9.507986	11.372039	16.474146	61
