name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
4wiv_230	1.281877	-2.508151	-15.010858	-26.626425	-5.690438	-7.976403	-18.847923	-23.331027	-24.388020	-45.579272	-54.169519	-87.931800	1.168831	0.901568	3.192782	4.659553	8.404649	11.758725	16.951426	25.905137	26.779066	29.466779	32.566377	41.587013	5.480715	9.163473	5.483167	-5.645180	-12.683458	-31.447024	-50.332693	-71.486370	-92.787132	-115.139040	-142.351037	-170.597501	-1.588840	-0.256846	3.884866	6.942774	4.513330	1.209053	0.943283	1.461374	-1.540463	-2.425925	-3.273963	-2.337483	-73.510651	-192.050332	-421.917470	-743.100277	-1159.610247	-1668.931622	-2273.090240	-3007.877750	-3875.417974	-4848.300676	-5990.038824	-7383.491234	8.598461	8.856980	6.011199	5.240530	10.162218	12.965696	16.028815	21.402193	18.415487	17.087419	15.201146	18.011644	-71.486554	-189.569846	-438.404646	-801.891978	-1284.407654	-1863.232511	-2530.884683	-3331.735930	-4250.575206	-5253.538631	-6416.493030	-7840.512156	8.543028	13.378656	16.964662	20.063474	17.244570	13.607440	13.874539	15.124245	12.880868	12.893459	12.877455	14.204740	51
4wiv_270	0.146606	-5.859457	-19.375424	-28.817051	-4.807451	1.395391	-15.229181	-21.418499	-23.947434	-43.978550	-50.436476	-84.270519	-7.980200	-5.885584	-5.761640	-1.776073	3.834020	11.505239	9.188734	12.611866	15.145881	16.371122	20.794631	27.325576	4.077269	4.560061	-1.339402	-10.251133	-13.214200	-25.758528	-49.349437	-70.865348	-92.467323	-113.246294	-138.694466	-165.387383	-9.483122	-6.334439	-4.900241	0.102026	0.425928	0.848378	-6.395462	-11.639210	-12.366654	-15.014286	-15.038020	-15.348621	-63.276262	-181.075644	-387.126601	-680.879970	-1073.832426	-1558.220351	-2154.995762	-2850.516375	-3683.242367	-4605.000095	-5729.009670	-7055.418962	5.140046	5.872012	1.942398	3.841650	10.760067	18.078567	13.480578	13.618655	12.365759	9.851631	9.144660	9.824145	-60.796074	-179.068827	-402.659270	-736.297375	-1192.029251	-1743.815843	-2404.388416	-3161.964059	-4043.176485	-4992.836674	-6141.160396	-7494.960214	5.862497	10.722265	12.143349	17.241487	17.586315	17.964009	11.099043	6.609269	6.540066	4.795467	5.398547	5.500754	51
4wiv_401	23.216419	10.858217	-16.358291	-30.065597	10.320251	15.826944	-0.087497	-2.619415	-3.907318	-27.963697	-39.136575	-73.941060	-7.011726	-7.280477	-11.747796	-3.001321	4.433008	19.049339	28.380437	43.605911	53.343829	61.584972	68.970219	78.471991	31.289922	31.336985	20.738261	2.535360	-2.638427	-23.897595	-55.998843	-87.136954	-121.449185	-145.792738	-185.354100	-205.965707	-13.458040	-12.265686	-9.246835	-1.927744	-3.038408	1.751163	0.181481	-0.432985	2.132460	3.912955	3.344158	3.731090	-95.939301	-319.519162	-686.619718	-1160.753813	-1788.943072	-2609.510356	-3635.369325	-4815.817489	-6128.956329	-7507.592432	-9043.225470	-10637.328275	31.176523	29.409366	17.660826	23.379630	32.598425	46.200897	51.165295	60.724656	65.154399	68.730226	70.693671	75.355155	-89.949059	-312.595963	-701.898096	-1242.248987	-1972.804097	-2913.147863	-4058.541067	-5346.521421	-6732.022641	-8142.266084	-9693.932391	-11298.637991	29.286926	34.468216	36.924465	44.118825	42.173166	46.678006	45.495941	46.112408	50.301280	54.254704	55.981463	58.711788	51
4wiv_413	20.100750	4.996885	-19.709143	-38.304547	2.139140	6.538444	-2.797590	-9.465323	-8.501554	-30.650254	-44.048610	-73.725528	0.446425	1.320661	-2.775356	-1.653604	14.869485	27.439688	40.315054	49.350116	58.723445	67.509040	74.381807	86.405706	24.217134	20.057586	11.223014	-10.063015	-10.749947	-27.978211	-51.196893	-82.292762	-109.452493	-133.383569	-171.768639	-188.963294	-6.121706	-4.595771	-1.963049	-1.393222	5.696573	10.678147	13.789462	10.997699	14.520753	17.249844	17.885152	22.178470	-71.997754	-296.234500	-633.442930	-1080.839686	-1657.083525	-2364.262863	-3276.424252	-4339.923385	-5496.856121	-6741.070184	-8175.805147	-9664.718625	26.199327	22.109442	12.145313	9.562749	27.863954	39.586266	48.577278	52.512084	57.357951	61.790489	63.205890	70.387666	-69.257421	-296.043568	-651.497947	-1158.145344	-1830.207580	-2634.848838	-3654.277833	-4812.998615	-6031.609368	-7306.273943	-8759.659830	-10261.302775	23.181196	25.579012	28.192007	27.745835	34.349915	38.728010	42.218042	40.538778	45.614351	50.186030	52.615249	58.842377	51
4wiv_414	16.303386	-0.972216	-19.783021	-31.372852	5.847355	14.591264	-0.080031	-6.158302	-11.267396	-38.045123	-53.262299	-89.114497	0.979272	0.737738	2.076728	10.127046	23.593615	39.058660	49.762130	63.222621	71.003199	79.262103	86.397916	93.752240	24.216828	17.690429	11.906429	-1.415744	-7.809636	-26.930169	-57.591057	-92.342910	-128.608348	-158.394724	-201.363962	-224.683884	-5.259922	-5.396748	-0.364168	8.314663	13.430536	17.139142	17.152368	15.327864	16.313188	16.723179	15.781430	13.351615	-109.252769	-365.120250	-723.624613	-1200.600758	-1820.793200	-2617.250511	-3671.837560	-4851.829611	-6141.852573	-7510.768187	-8993.663129	-10526.218038	24.679931	21.430913	17.229155	21.832269	37.010644	51.422445	57.291939	65.232908	68.026069	71.667632	73.844499	76.825763	-103.176214	-361.869063	-739.846156	-1282.500506	-2001.954959	-2916.929382	-4099.765832	-5385.945154	-6744.696062	-8146.500849	-9641.976275	-11182.986120	23.262378	26.552702	31.793522	39.978561	43.976794	47.150708	47.364077	46.894591	49.653639	52.230583	53.758537	53.807315	51
4wiv_428	43.329962	30.761537	6.439379	-8.895100	32.380960	53.337425	46.178367	44.229498	36.702743	9.868112	-2.419416	-37.223500	-5.775250	-4.531228	-5.361277	-4.685993	7.489499	25.348288	42.157533	59.166157	68.113421	77.906918	85.321173	91.753996	49.786220	47.670868	38.070905	21.433929	22.004108	13.300060	-12.139022	-44.589066	-86.730122	-117.636119	-159.727390	-178.226448	-16.107825	-15.215230	-9.122130	-6.384706	0.251450	7.376153	11.393806	12.181280	13.047744	13.516813	12.302014	9.883457	-85.786738	-326.910580	-682.500705	-1136.087027	-1736.959656	-2584.833820	-3695.106850	-4937.311178	-6309.210819	-7808.672796	-9370.618098	-10912.360059	44.572232	44.015547	37.415781	36.028578	49.757383	66.468105	77.786624	88.755641	92.136168	96.400905	98.598302	101.059757	-80.941311	-323.179353	-695.567349	-1210.907662	-1906.183037	-2886.276003	-4138.067529	-5495.441745	-6942.427143	-8483.575068	-10058.066874	-11601.740908	39.114284	44.310741	50.514640	53.764122	59.208287	66.381372	70.340247	72.355164	74.877580	77.323794	78.719249	79.149560	51
4wiv_434	27.652172	8.600910	-21.208758	-29.506683	2.675526	17.582450	13.330412	12.382523	-0.471969	-25.481712	-29.731795	-69.472110	-17.518086	-18.310921	-26.092105	-15.208350	-4.200909	10.078777	29.226883	44.624949	44.317381	50.183098	59.533827	61.234780	33.755467	27.287435	9.988688	-4.226949	-11.335383	-25.053740	-47.323648	-77.197506	-117.758035	-142.977748	-174.295682	-202.877691	-23.521511	-23.613402	-26.818551	-18.932222	-16.131494	-14.209531	-8.278872	-9.223137	-13.937029	-12.966177	-10.724816	-19.416320	-75.810672	-317.080669	-662.519818	-1093.101647	-1662.577944	-2416.671100	-3353.902904	-4451.963369	-5660.488514	-6958.026341	-8387.995059	-9892.177271	25.112347	18.428980	5.074526	13.368421	25.950011	39.078314	54.185488	64.252209	59.201630	60.511454	64.716171	61.753332	-69.829898	-312.814974	-679.690067	-1171.811273	-1831.121572	-2701.373522	-3753.256215	-4955.066660	-6226.002933	-7554.306725	-9000.059193	-10517.249096	22.764892	23.066656	20.213190	27.906582	29.653377	31.168537	37.460533	37.629482	34.478962	37.346575	41.656046	35.066059	51
4wiv_435	21.363576	2.081578	-17.131188	-26.103497	16.001194	34.161604	33.033124	26.129273	25.670073	-4.016557	-14.050116	-46.375039	-0.398724	-8.069782	-6.922408	3.018429	22.711527	37.898484	59.964492	72.569300	81.194098	84.008337	90.356219	93.003651	24.475938	15.769038	8.662241	-4.214375	-1.496681	-14.680053	-35.956710	-70.255771	-102.579615	-130.829091	-167.016772	-186.019067	-7.802691	-14.042367	-8.651562	-0.865816	9.433585	14.212008	21.366382	17.774226	19.952851	18.217698	17.164273	9.156829	-79.173177	-288.054539	-583.409675	-980.912835	-1523.580531	-2324.663194	-3348.421425	-4520.132655	-5825.237178	-7175.694688	-8529.538017	-9831.101239	25.394739	14.355466	11.156127	18.395922	39.840845	53.938475	71.024221	77.667664	80.741790	78.913641	81.305545	81.257593	-76.899938	-287.702658	-601.211017	-1055.411920	-1692.428993	-2621.690393	-3776.483070	-5055.895037	-6433.148510	-7811.986895	-9168.739057	-10467.454107	21.646741	17.353266	23.521207	31.061644	41.258154	46.462455	53.711070	51.022076	54.562462	54.855378	56.560391	51.494625	51
4wiv_441	11.097237	-1.578159	-26.395286	-27.163708	26.411924	38.827181	30.731823	31.895296	33.270620	1.814164	-20.031245	-57.588821	-15.825660	-15.854240	-18.562515	-0.272961	13.870221	33.870281	50.108379	68.026910	81.129864	85.353876	83.415258	89.468912	17.275701	10.289230	1.984097	-4.964738	1.341736	-14.456755	-39.973459	-67.772111	-96.848422	-127.822640	-178.679697	-203.602358	-22.040348	-26.341325	-21.513007	-6.979085	-2.753539	5.386242	8.631897	9.592700	17.717109	16.705526	5.993769	0.948883	-90.779099	-310.777464	-650.417081	-1067.557436	-1686.490749	-2496.820312	-3536.426694	-4725.696663	-6034.921463	-7434.464442	-8939.442134	-10501.335395	18.053134	15.390085	6.639811	22.618190	38.852591	57.725127	69.465750	81.513221	89.288469	88.622955	81.617290	83.085629	-85.118013	-311.502390	-667.478170	-1149.427362	-1877.850515	-2810.533677	-3976.895488	-5275.995673	-6654.187494	-8085.560506	-9603.608281	-11175.930191	15.918296	14.566079	19.166292	34.050706	38.627035	46.564310	50.282544	52.355099	62.071287	63.111340	54.824616	52.192631	51
4wiv_448	17.501708	21.141376	1.228444	-6.466061	35.637901	48.017093	37.270952	36.175391	34.352274	7.204461	-8.359666	-40.077165	-13.463760	-4.677320	-5.075124	4.546775	17.383852	31.968247	45.104210	60.952565	70.721514	77.024305	84.806861	88.310239	27.634591	38.711140	32.488631	21.208035	23.873542	10.751534	-15.709957	-45.360089	-79.770618	-109.055225	-149.455004	-164.543066	-18.348308	-10.659991	-4.174232	4.044696	9.892763	16.672041	19.067498	19.290071	21.137698	20.274157	20.960462	17.874182	-95.125718	-274.442567	-576.996013	-996.669061	-1600.136564	-2377.632946	-3408.259639	-4585.715522	-5874.646028	-7264.702919	-8633.178595	-9938.359178	25.180269	34.161120	28.878111	35.667477	50.619082	64.170434	72.531952	82.418059	86.904458	88.177805	91.959812	92.841921	-86.564162	-267.493675	-585.924264	-1067.511566	-1773.107263	-2664.280409	-3821.940324	-5108.535168	-6468.574750	-7893.872883	-9265.398980	-10563.124735	24.746467	37.322007	44.261375	52.579109	58.903166	65.490380	68.126808	69.315196	72.677413	73.702852	77.184343	77.118656	51
