name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
5a7b_11	93.836616	76.662338	69.341541	66.720831	61.492067	62.138674	61.756013	61.642235	59.352473	57.913355	54.891090	50.985564	74.130441	62.028661	61.367400	63.723558	61.448777	63.622409	64.285947	65.995028	66.266464	70.207150	74.682450	77.540403	99.217029	89.561212	92.154924	93.911788	92.113459	95.107129	97.375777	99.276550	101.348850	103.995527	105.602934	107.679345	72.442812	60.628996	61.586552	61.044026	58.678753	57.387752	52.457078	47.472271	44.109776	42.674209	40.910967	39.225955	-23.690129	-264.268285	-539.280748	-827.904769	-1164.121401	-1493.651226	-1832.709845	-2190.853612	-2584.367445	-3059.999497	-3619.817947	-4198.472821	93.062647	80.666194	80.654302	83.823198	82.448347	84.657160	85.315192	87.163960	87.735097	92.173572	97.199794	100.521636	-0.466184	-247.553553	-541.559740	-868.529418	-1247.213519	-1616.509824	-1993.569880	-2383.922653	-2800.486122	-3294.723534	-3870.291149	-4459.216022	92.911396	81.401141	80.752565	78.352188	73.175952	69.528465	63.587544	57.950907	54.130445	52.700888	51.095025	49.568914	65
5a7b_115	18.241523	16.570671	6.950135	3.078323	1.099365	-2.324550	-8.722169	-13.391479	-17.835464	-21.974557	-26.156583	-31.022086	12.335021	14.945057	13.826475	17.902016	20.765550	24.530100	25.843558	32.631477	36.819641	41.386031	45.148899	47.916290	22.829948	27.261307	28.208130	29.895120	30.848376	32.537850	33.363680	35.653077	37.992704	40.696070	42.236145	43.982192	12.666210	14.969056	15.960557	17.351565	18.020395	17.659242	13.578631	11.819099	9.336326	7.216525	3.445619	-0.210305	-107.794822	-294.826636	-563.910494	-872.737245	-1243.554362	-1684.472803	-2179.302186	-2776.960019	-3400.807257	-4073.470874	-4769.207752	-5494.121786	14.738140	17.214931	17.363383	22.824292	27.747038	33.472062	35.985007	44.344992	49.657504	55.020053	59.335634	62.599760	-102.367029	-293.439481	-584.261122	-933.878522	-1357.037700	-1859.604871	-2410.936061	-3071.146746	-3734.572298	-4428.873620	-5134.131666	-5866.235063	16.264291	18.919513	19.389985	19.606957	18.420636	16.725425	11.954064	9.806747	6.906249	4.802242	1.287994	-2.131332	65
5a7b_136	46.658076	33.090023	24.937715	20.976445	19.658540	18.891746	15.803343	13.653724	12.627051	11.498810	10.515036	9.429136	28.725089	14.632826	13.860433	16.628149	19.192626	22.643054	27.410242	32.258593	36.030373	39.095370	41.793329	44.565580	50.832224	44.443437	47.733004	49.034137	50.586836	53.688919	55.850413	57.994965	60.540143	63.924538	66.782290	69.869724	26.160563	12.606692	14.939197	15.071222	16.435569	16.261840	13.828675	10.235790	6.969915	4.506848	1.416635	-1.189437	-86.746481	-283.503880	-552.075012	-856.300489	-1205.920459	-1591.106901	-2069.963662	-2575.660316	-3085.490324	-3607.038304	-4134.780546	-4686.294758	49.604927	36.170933	36.536495	40.484889	44.381881	48.718584	54.781199	60.518702	64.858441	68.265789	71.191866	74.198267	-64.792119	-267.609355	-556.896252	-903.320529	-1301.146717	-1737.687281	-2280.482236	-2835.830343	-3376.216331	-3909.448814	-4438.520720	-4992.305025	48.685412	36.137103	37.497772	36.115719	34.959771	32.822448	29.773114	25.625431	21.849889	19.400801	16.592701	14.233658	65
5a7b_138	35.466021	23.469163	14.592059	18.234480	18.464230	17.020743	14.200009	8.465416	3.789243	-1.032069	-6.981447	-14.122440	27.530971	23.511310	23.501761	35.138365	40.805956	46.296501	53.069971	57.527299	61.417214	64.131861	64.504652	60.469361	40.033259	35.931147	34.685556	39.764573	40.350240	41.399551	41.470958	40.717546	40.884387	42.793872	44.499019	47.036936	26.661108	21.760124	19.451526	23.012181	23.314202	21.196785	15.845090	8.846071	2.964615	-1.572387	-6.842573	-12.236288	-101.921220	-370.647742	-691.837736	-1045.949303	-1473.374144	-1973.248997	-2551.643469	-3198.554512	-3884.572799	-4595.916760	-5313.033156	-5971.643417	35.933534	31.447243	32.899287	45.996942	53.904431	61.193159	69.398386	75.188790	80.149109	83.536189	84.332373	80.454671	-92.478901	-371.554658	-719.493281	-1124.645696	-1616.850008	-2186.259323	-2840.426183	-3551.978139	-4283.503056	-5014.399879	-5734.004997	-6384.956336	36.491416	32.013635	28.713552	30.613540	28.490532	24.471759	18.283203	10.680483	4.255411	-0.254857	-5.190220	-10.242568	65
5a7b_144	34.092885	19.639177	5.354794	-0.308062	2.650861	1.621385	-5.331131	-13.826926	-20.582117	-23.636444	-25.435063	-25.865138	31.729686	28.378682	28.332096	34.208551	44.218654	54.582408	58.953367	59.164898	57.641453	56.387312	53.322655	47.194558	38.598502	31.198008	27.504286	26.860785	28.491032	30.870322	31.079511	31.420321	33.230764	36.705397	40.432163	45.128960	31.141667	24.439944	21.762751	20.604095	22.042472	21.527257	14.264657	4.731025	-3.049601	-10.092186	-17.561043	-24.863805	-128.967208	-441.243059	-853.569561	-1317.624834	-1858.119488	-2525.161366	-3257.486177	-4005.634283	-4737.526287	-5410.949223	-6007.305520	-6473.160357	34.727990	30.830080	33.339770	40.993623	53.651283	67.266358	73.318723	74.541682	73.512021	72.298926	69.033022	62.398065	-122.913685	-448.473788	-902.593449	-1427.502688	-2046.500719	-2814.020933	-3631.124152	-4440.147003	-5204.095084	-5878.456763	-6455.805017	-6894.933143	35.738425	29.500311	26.603501	23.348792	21.645133	19.347126	10.985839	0.499427	-8.149024	-15.151434	-22.086696	-28.865596	65
5a7b_170	64.743515	62.967593	50.124922	41.775967	37.057839	32.119541	28.154757	26.372984	27.484667	31.458588	32.992142	36.133091	53.477209	53.114064	51.881796	52.603548	54.846292	60.398344	68.493939	75.148879	82.759773	89.696316	92.951256	95.420423	71.860589	80.347624	85.382536	88.936627	91.464983	95.709608	99.532817	102.717653	108.100966	114.496891	117.852730	122.300694	54.184871	56.306709	61.643562	63.425537	65.749204	67.614099	65.574267	60.009726	57.217826	54.401264	48.401947	43.153420	-89.312903	-313.489224	-667.246998	-1070.725655	-1577.261144	-2185.701978	-2878.478224	-3567.541814	-4270.027155	-4918.667245	-5548.165366	-6118.606790	62.061353	62.075492	63.195901	66.137713	71.473900	79.924220	89.923154	97.567382	105.915514	113.008142	116.301998	118.639907	-76.347799	-303.664755	-686.300200	-1141.652352	-1718.090928	-2410.968546	-3187.757362	-3937.096456	-4678.275653	-5334.386859	-5957.548987	-6518.160904	64.382988	67.416301	72.815361	73.429565	73.557448	73.772386	70.882196	64.460459	60.946719	58.152683	52.600578	47.774460	65
5a7b_175	59.401283	49.170732	42.728511	38.134360	36.517908	36.974191	34.962237	32.462857	28.295452	24.368717	23.692665	23.359490	45.338425	32.612080	31.050204	30.819403	31.923909	34.710904	36.127693	37.742056	38.278699	41.105247	48.103366	53.390133	64.890777	61.759133	65.798444	66.893655	67.116906	70.216946	72.185275	73.673361	75.254706	77.490465	80.157389	83.191916	43.618009	31.075959	32.135023	30.697111	30.163484	29.384687	25.485596	21.045212	17.839014	16.226867	15.204262	13.774586	-100.711305	-302.122413	-555.764490	-831.112810	-1154.514958	-1489.939682	-1861.940522	-2268.371960	-2722.581892	-3252.785738	-3838.740320	-4402.645792	58.968122	47.163530	46.308568	46.864821	48.882774	52.134971	53.979687	56.093663	57.242057	60.694044	68.249823	73.906328	-81.294837	-286.633004	-557.238105	-866.433319	-1232.041599	-1610.522428	-2028.130574	-2473.992664	-2957.133851	-3507.407967	-4109.459887	-4682.028160	59.047907	47.673925	47.278301	44.081578	40.886186	38.095144	33.346660	28.346816	24.736354	23.125082	22.273394	21.040236	65
5a7b_178	30.290332	16.831647	19.484899	24.904352	26.306770	21.769851	16.595959	10.432003	5.948413	2.129072	-2.498860	-5.029515	22.710095	19.548919	31.980303	42.775164	48.961021	52.644048	56.663903	60.077827	62.506458	64.049483	62.889183	59.224409	33.741000	30.086853	40.728749	46.203790	47.003447	47.471653	47.843311	48.405838	49.725447	51.843095	54.267771	58.175631	20.807871	17.380071	27.119766	29.412000	29.610645	27.087538	21.468614	15.260041	9.653338	4.437123	-1.074220	-6.424659	-127.889428	-425.001865	-759.537287	-1095.199850	-1513.961790	-2044.688988	-2634.786598	-3283.976648	-3945.147671	-4606.709711	-5243.429485	-5768.623070	31.149003	27.293534	40.659793	52.134333	60.229676	66.400361	71.819164	76.460214	79.730176	81.710455	80.740327	76.925588	-117.053715	-421.247889	-784.748104	-1165.606571	-1648.847918	-2259.254541	-2922.756839	-3634.373443	-4335.174520	-5010.192002	-5642.258223	-6152.387848	30.876271	27.632008	35.652748	35.457588	32.912786	28.871923	22.374678	15.503897	9.292409	4.099013	-1.037142	-5.989014	65
5a7b_190	51.086861	55.460141	42.096665	32.942345	28.933273	25.828020	20.309431	15.974509	16.987243	21.439039	22.322892	25.278811	42.216425	50.031273	48.079726	50.470233	53.116225	59.225364	65.056085	70.106559	76.753596	83.339989	85.910026	88.801428	53.800140	65.817775	68.365832	71.999530	75.485062	79.340240	82.387995	85.091411	89.862739	95.517380	98.530977	102.232557	40.702323	50.343329	54.975614	59.424720	63.246601	65.137832	63.675938	59.741967	57.369260	54.723415	49.641177	45.053208	-37.517659	-197.842682	-492.184591	-866.749869	-1313.395096	-1840.519270	-2450.381490	-3085.183577	-3697.067615	-4253.354332	-4806.324359	-5318.000663	53.837318	61.658149	61.880397	67.092987	72.455483	81.069674	88.631749	94.850128	102.083650	108.776472	111.387727	114.200513	-25.987915	-190.965460	-509.875092	-940.029505	-1445.569464	-2044.428963	-2725.109741	-3414.760626	-4057.963580	-4619.174060	-5165.689674	-5669.960401	53.409544	63.562694	68.663801	73.009777	74.984149	75.477206	73.303102	68.719870	65.688859	63.083575	58.388721	54.164770	65
5a7b_204	79.618483	73.318580	63.298711	53.674455	51.342514	50.388269	47.402316	38.481093	33.278368	33.113615	32.895393	32.645064	61.586290	57.340650	58.615608	61.538051	67.645085	76.232522	82.201459	79.374327	77.227872	77.055334	72.873852	66.624924	86.977735	86.853775	85.743541	83.408199	83.536583	85.694084	88.033156	88.310978	90.744728	94.806191	98.911387	103.716170	60.323200	52.404214	49.778281	46.137559	45.728332	43.675382	36.488039	25.042549	16.619698	9.256917	1.009013	-6.325875	-132.214482	-426.810597	-832.705508	-1335.312419	-1958.817888	-2643.859103	-3378.375300	-4112.950353	-4817.857162	-5459.585509	-5993.848748	-6454.740431	72.558432	68.657252	71.712265	77.611901	87.707875	98.626201	105.855228	103.625549	101.660930	101.331966	96.740842	89.971273	-118.275902	-422.773343	-867.208114	-1445.538509	-2164.657387	-2943.357553	-3762.451544	-4551.142066	-5283.162920	-5923.068484	-6433.423038	-6868.129554	73.390402	66.505975	62.704411	57.871418	54.901253	50.127719	41.580991	29.001071	19.604272	12.271474	4.603241	-2.203788	65
