name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
5aba_220	65.012189	50.576968	37.861458	36.742541	37.635964	37.238774	35.216565	33.254575	35.104518	40.352974	45.890458	51.876111	53.362610	43.397267	43.767980	50.665399	57.685238	62.682316	67.320252	68.145437	68.967907	68.816157	70.063633	70.634113	69.844621	68.426219	78.615754	91.263164	98.954561	106.348011	113.158792	118.052385	123.852044	131.127139	136.240100	141.110740	52.343789	46.542507	56.413596	65.098287	71.302815	72.948427	71.375236	66.336682	62.933057	59.491206	54.914844	50.844519	-79.903335	-327.157310	-654.416477	-1001.511342	-1410.505765	-1858.634159	-2348.897220	-2816.358990	-3227.676004	-3539.968088	-3849.380834	-4114.953581	67.140967	57.391520	60.108649	68.245935	77.038061	83.198449	88.658092	89.655056	90.165957	89.377608	90.235378	90.366445	-66.579627	-317.088756	-666.178328	-1051.648284	-1514.807820	-2018.449228	-2565.051400	-3067.029999	-3489.991737	-3788.889522	-4085.180801	-4338.038310	67.757214	62.746791	72.381720	79.010782	82.335850	81.718212	79.081681	73.114996	68.885243	65.378999	61.130858	57.358263	49
5aba_247	75.844587	71.489127	57.013992	57.537392	61.314562	61.662065	58.426863	54.694012	57.702407	62.809727	67.330757	74.327340	58.887272	53.725136	50.907570	58.793480	66.835695	71.574732	73.418217	72.411071	74.530727	75.367794	76.230924	76.366599	82.465472	91.037440	99.702530	114.260834	123.025756	130.288612	136.307938	140.604508	146.891363	154.250014	159.168990	164.410837	57.954978	56.527546	63.002798	72.577031	79.018045	79.931417	76.713163	71.125211	68.266679	65.205162	60.587293	56.296882	-115.202641	-358.206736	-702.582226	-1058.049318	-1455.108482	-1893.046957	-2367.713366	-2834.160922	-3246.467940	-3586.211796	-3915.060490	-4152.249948	71.074638	66.712587	65.504893	74.606645	83.663155	89.337788	91.782657	90.949420	92.798050	93.144965	93.676091	93.272784	-99.180054	-342.018393	-707.317223	-1101.491401	-1548.837348	-2041.918197	-2570.774194	-3073.087428	-3500.663652	-3832.302057	-4149.531967	-4371.853950	72.206021	71.898625	77.207206	84.540768	87.377337	85.852029	81.482462	74.965105	71.292410	68.176514	63.884601	59.910894	49
5aba_261	67.558444	57.457501	43.003691	43.957418	43.117278	42.724973	39.452301	37.630021	40.999187	46.295814	51.815711	57.915753	49.104722	39.864050	37.032236	45.680349	51.071781	57.918882	61.494563	62.414940	64.145830	65.423543	64.791322	66.013858	73.727669	75.668291	83.936966	98.946930	105.629260	113.062491	119.046710	124.150714	130.601816	137.588258	142.936178	147.681619	48.207102	42.930779	50.047368	60.903803	65.965347	68.595591	66.185704	61.243584	58.156594	54.951697	49.812394	45.802684	-100.969867	-327.963251	-638.248287	-970.753942	-1384.312623	-1850.489781	-2352.271730	-2823.978470	-3227.644174	-3568.387335	-3843.860787	-4123.409844	61.826941	53.142948	52.298237	62.452594	69.908618	78.387695	82.814906	83.890080	85.232494	86.006953	84.843056	85.664298	-84.334369	-310.842070	-641.238033	-1012.673728	-1482.921597	-2011.826951	-2570.493003	-3076.940044	-3491.684729	-3823.228279	-4080.043070	-4348.487832	62.754881	58.359616	64.953688	74.088625	76.561884	77.193696	73.714100	67.823164	63.886328	60.627335	55.842147	52.128576	49
5aba_263	44.601611	40.490507	23.800362	22.260466	21.339811	18.169351	14.929840	13.554989	15.545162	19.194104	25.061305	31.194759	37.026278	37.339428	34.495653	42.776053	47.836329	51.912885	53.886002	56.716890	57.548358	57.512115	58.420490	58.959676	48.944842	56.655597	62.279091	74.157494	81.088010	87.359623	93.357295	98.511210	104.335298	111.337189	116.915751	121.788330	36.048334	39.677556	45.826714	55.056327	60.094573	61.650887	58.359127	54.166797	50.608983	47.402567	42.830960	38.559736	-96.483854	-316.343313	-651.321198	-1005.126474	-1426.389778	-1892.065636	-2374.731263	-2862.601986	-3275.849380	-3628.518604	-3933.063489	-4201.998441	47.967959	48.545953	47.661327	57.363313	64.305569	69.781823	72.340707	75.524973	76.003117	75.499760	75.968353	76.052719	-82.127489	-304.316982	-660.969665	-1056.567247	-1532.696564	-2058.261559	-2591.357375	-3118.540971	-3542.955211	-3885.847072	-4175.031541	-4430.974350	48.625083	52.980605	58.629491	65.985623	68.217528	67.569980	63.115109	58.037084	53.621378	50.357832	46.131590	42.166346	49
5aba_284	73.110086	62.970293	50.081258	50.761827	53.733410	51.968216	49.027509	47.317920	48.509121	53.784381	59.797430	65.690134	58.246296	49.504643	48.092169	56.586220	65.009930	68.691980	72.207428	72.250069	74.102171	74.478247	75.305450	75.759969	78.076889	80.732257	91.308666	105.074794	113.856556	120.350366	126.678222	131.888941	137.479601	144.639315	149.851935	154.549779	56.496320	51.784868	60.701432	70.589778	77.320767	78.251838	76.278311	71.250444	68.376648	65.116238	60.319178	56.145238	-88.825791	-327.771617	-653.566748	-995.880247	-1399.942069	-1842.928109	-2325.737582	-2772.475889	-3209.072990	-3527.705684	-3817.299097	-4079.335252	71.078340	62.961072	63.432577	72.874447	83.006910	87.820245	92.081097	92.157759	93.937841	93.708994	94.080244	94.094516	-75.706486	-316.594737	-660.598843	-1038.298448	-1497.270710	-1996.143678	-2535.280333	-3013.510311	-3467.544636	-3774.758709	-4049.568585	-4299.195859	71.122176	67.498066	75.669830	83.236837	87.061549	85.724198	82.650063	76.666172	73.026258	69.692207	65.230993	61.355385	49
5aba_297	46.185153	42.214018	26.382454	23.880633	23.367001	21.626381	19.021430	17.437572	18.844130	21.755621	27.766385	34.267093	38.179730	41.032001	40.279974	46.276834	51.502511	55.954991	58.513581	60.469459	61.605511	60.928549	62.255050	62.203771	50.979387	58.221163	65.618808	76.633246	84.073155	90.651608	96.808365	101.843466	107.687366	114.398026	119.882963	124.936435	37.701682	42.631372	50.966430	58.096571	63.837371	65.263516	62.072201	57.447679	54.245116	50.762625	46.171472	41.733088	-93.947568	-334.767405	-686.849780	-1045.457691	-1461.077861	-1915.073657	-2397.068238	-2874.825921	-3303.876129	-3660.886171	-3972.837137	-4220.612155	51.324269	54.328747	55.852662	63.088279	69.817424	75.292136	78.452319	80.667093	81.585593	80.446984	81.351730	80.775492	-78.343468	-325.521434	-701.865251	-1100.045882	-1567.963051	-2078.576345	-2611.070944	-3126.093046	-3569.375034	-3917.018678	-4214.755134	-4447.334025	52.465413	58.171533	66.153172	71.119050	73.657621	72.622552	68.281141	62.740367	58.718758	55.176935	50.928167	46.809545	49
5aba_36	45.559337	43.808909	30.738863	13.687649	6.032754	1.606272	-3.443665	-9.101482	-13.808170	-16.463837	-16.091710	-13.702237	37.569858	36.438022	32.076612	28.513688	26.516569	29.919789	32.038019	31.301124	29.973365	26.404244	22.827614	18.820601	48.954838	51.803760	47.939233	41.465045	40.328016	42.873739	45.004114	46.615021	49.070366	53.027769	57.484985	61.905737	35.539893	31.941818	26.783854	20.678729	18.518851	17.169262	11.971272	5.303361	0.599943	-4.356198	-9.563423	-14.441315	-65.349960	-246.551282	-500.613729	-854.201182	-1241.033472	-1687.172848	-2162.017560	-2637.292182	-3114.531323	-3517.202726	-3843.518822	-4091.742609	53.316727	52.667384	49.644578	48.815245	48.303953	53.575003	56.575019	56.305354	55.270917	51.515929	47.574705	43.048481	-49.198439	-237.793383	-514.637213	-925.334974	-1358.195735	-1866.896889	-2395.802535	-2908.648896	-3406.073630	-3802.631737	-4110.584496	-4338.880742	52.778959	49.980601	44.059680	37.675019	32.834323	29.903424	23.746966	16.294314	10.942110	5.945893	1.068936	-3.493833	49
5aba_38	27.038411	24.214285	7.779130	-2.581072	-11.714791	-16.814627	-25.176300	-30.981134	-32.563950	-32.104020	-32.539397	-31.686211	24.776720	28.083998	25.136949	24.356280	24.057944	30.550333	32.240499	32.756642	32.871718	30.024572	25.094194	19.452395	28.893986	30.473188	25.157535	23.454224	21.980274	24.840111	26.752860	29.013117	32.756887	37.993122	42.410971	47.013800	23.706827	24.563405	21.589242	18.448233	16.440100	17.153464	12.623381	6.601409	2.070964	-2.930627	-8.655633	-13.613553	-69.609592	-246.895617	-532.645991	-845.010173	-1265.459178	-1760.639092	-2294.307769	-2815.361731	-3283.490913	-3655.494829	-3983.310871	-4242.804709	28.734773	31.831987	30.685820	31.596691	34.601757	43.873731	46.941018	48.070231	48.199937	44.917953	39.569312	33.396073	-64.837253	-252.010283	-565.177539	-918.732185	-1402.632948	-1969.757489	-2560.650651	-3119.980695	-3602.563147	-3961.447038	-4267.401154	-4504.059455	28.680844	29.893803	26.848117	22.665534	19.527899	19.143163	13.811625	6.986587	1.691971	-3.356604	-8.735815	-13.368229	49
5aba_40	31.170997	26.684680	7.482270	-2.683387	-9.547901	-16.260869	-19.554760	-24.608969	-30.123750	-33.473756	-34.757706	-34.840329	25.380144	23.757728	12.347047	9.137899	8.649164	8.179998	9.680707	10.882519	11.083627	11.308293	10.961114	10.515164	31.345273	30.671847	23.587104	22.892010	22.195779	23.449245	26.483891	28.686930	31.119884	34.397732	37.369641	40.244778	22.080150	18.992131	11.890520	10.009064	9.098722	7.676613	4.970216	2.129273	0.249830	-1.917977	-5.274449	-8.525020	-54.830612	-193.464666	-391.758406	-626.365902	-927.674592	-1269.885596	-1618.577703	-2010.887672	-2435.440878	-2840.193912	-3197.358966	-3527.138216	34.011814	32.517003	22.455461	20.502356	22.383680	23.366871	25.427462	27.340059	28.196112	28.695341	28.354653	27.834183	-43.918361	-187.601785	-401.162254	-665.242391	-1013.604453	-1400.194129	-1784.491254	-2210.058502	-2657.534603	-3067.919169	-3419.115873	-3742.007647	31.759534	29.066741	21.778623	19.079317	17.253151	14.678350	11.223679	7.900868	5.627826	3.434859	0.293323	-2.746879	49
5aba_408	88.144831	70.930644	55.863019	50.309219	49.053143	42.844434	42.443231	42.806426	48.430506	54.309406	61.301035	67.560446	70.110149	58.361587	53.647602	58.141384	63.242004	66.234108	73.280707	75.388611	77.845367	79.801317	81.211525	81.405836	93.848763	89.612630	97.482219	107.886210	114.930837	120.596486	127.443385	133.265874	140.401018	148.008770	153.673479	158.607846	68.777800	61.453324	67.237774	75.105371	80.321100	81.766693	79.975866	74.827148	71.498277	68.607693	63.731086	59.247987	-35.514664	-299.763635	-613.833277	-974.163119	-1403.382118	-1910.740781	-2437.267273	-2913.076154	-3303.694118	-3660.730684	-3960.237383	-4225.799279	86.940833	74.610429	71.451628	77.487577	84.711147	89.873259	97.861626	99.956191	101.798406	103.274136	104.190592	103.896005	-18.085211	-284.026269	-614.344786	-1015.894414	-1503.056038	-2079.887119	-2668.788897	-3177.915862	-3575.882070	-3924.119498	-4207.624618	-4458.860033	87.132431	79.912197	84.682119	90.780165	93.332674	92.986823	90.101914	83.907851	79.641581	76.700736	72.178040	68.013311	49
