name	rmr4	rmr5	rmr6	rmr7	rmr8	rmr9	rmr10	rmr11	rmr12	rmr13	rmr14	rmr15	rcr4	rcr5	rcr6	rcr7	rcr8	rcr9	rcr10	rcr11	rcr12	rcr13	rcr14	rcr15	fmr4	fmr5	fmr6	fmr7	fmr8	fmr9	fmr10	fmr11	fmr12	fmr13	fmr14	fmr15	fcr4	fcr5	fcr6	fcr7	fcr8	fcr9	fcr10	fcr11	fcr12	fcr13	fcr14	fcr15	rmc4	rmc5	rmc6	rmc7	rmc8	rmc9	rmc10	rmc11	rmc12	rmc13	rmc14	rmc15	rcc4	rcc5	rcc6	rcc7	rcc8	rcc9	rcc10	rcc11	rcc12	rcc13	rcc14	rcc15	fmc4	fmc5	fmc6	fmc7	fmc8	fmc9	fmc10	fmc11	fmc12	fmc13	fmc14	fmc15	fcc4	fcc5	fcc6	fcc7	fcc8	fcc9	fcc10	fcc11	fcc12	fcc13	fcc14	fcc15	size
5c28_113	61.388358	60.468188	62.268241	61.432881	60.795011	61.199365	60.878775	61.751147	62.131467	62.351719	61.462663	60.809752	46.515768	39.187315	39.367389	37.565310	35.382237	33.611495	32.344991	33.177497	33.479783	34.201704	33.905852	33.717168	62.564033	61.845809	65.950495	63.920614	60.394814	58.321917	57.242475	57.583993	57.870070	58.516926	58.941246	60.071761	42.788050	35.541579	39.415252	39.228097	38.503652	37.888724	36.883058	36.435081	35.973686	35.414026	34.193766	32.977603	3.443864	-79.313788	-197.038949	-340.780802	-508.619820	-713.896941	-950.679007	-1192.585598	-1476.819776	-1743.893663	-2039.466600	-2310.636947	71.802446	65.241465	65.502148	63.998640	62.370375	61.258967	60.436499	61.541440	62.229712	63.086031	62.930065	62.803590	21.449850	-61.270210	-182.870377	-343.270005	-534.045444	-768.868997	-1035.938949	-1299.786342	-1601.402116	-1873.512407	-2170.359121	-2440.097068	69.164436	62.663587	65.568166	64.523646	62.710113	61.473736	60.216772	59.566174	58.959047	58.450111	57.384486	56.314029	22
5c28_133	60.275270	56.105737	59.700082	60.679467	59.985725	57.486961	58.244223	59.034996	58.976195	58.977241	58.309806	59.104778	48.537930	41.431888	44.254349	42.934178	40.732038	37.368534	36.457597	37.339179	37.245332	37.673617	37.668427	39.008043	60.889112	58.204275	63.717392	62.268417	59.102557	55.150802	55.095569	54.977501	55.377601	56.158637	56.597028	58.147513	45.140872	39.269192	45.172996	44.455565	44.434511	42.942499	42.666021	41.844907	41.547001	40.909026	39.460485	38.439276	-12.474684	-120.133582	-235.689085	-393.637134	-586.258515	-795.734723	-1064.743959	-1333.106402	-1654.746786	-1959.073652	-2270.603999	-2561.171219	60.968340	54.243506	57.327117	56.653283	55.198130	52.287988	52.055575	53.280770	53.687304	54.308097	54.429039	55.828275	-1.284062	-109.255388	-229.201407	-409.442488	-625.873216	-860.530636	-1162.656278	-1453.506810	-1794.915520	-2105.123059	-2416.975361	-2706.470397	58.552020	53.189478	58.264044	56.972439	55.902338	53.605181	53.148659	52.126032	51.694706	51.117553	49.847919	48.988547	22
5c28_146	26.171581	28.986822	28.609290	28.317716	27.968488	30.860293	30.619264	29.826240	29.885391	28.502555	26.706517	26.376339	19.323119	19.172311	18.472113	14.030911	9.237296	7.258095	7.010352	7.206420	8.702958	8.208095	6.575425	5.388606	28.041380	31.358929	31.228951	28.688640	23.581146	21.254855	19.237157	18.467834	18.892200	19.798168	21.183397	23.930621	18.497259	18.496324	19.454758	17.211366	14.883407	14.372906	13.507332	11.958638	11.088367	8.932989	6.225266	3.772855	-42.147621	-178.691988	-352.403372	-604.078168	-918.044764	-1310.262880	-1719.109968	-2132.086115	-2479.749929	-2738.700998	-2960.180560	-3102.925092	25.931055	25.403397	25.702258	22.856968	20.067640	20.040835	20.555432	21.196867	22.648407	21.865818	19.992987	18.459450	-36.513288	-177.966050	-364.399542	-652.000010	-1007.581837	-1450.626450	-1898.817939	-2340.524516	-2695.842387	-2942.057083	-3145.187010	-3269.197778	25.836856	25.944904	26.707690	24.369174	21.284303	20.314083	19.040141	17.146736	15.894867	13.890916	11.586816	9.472683	22
5c28_2	4.014986	1.971453	-0.108115	3.957057	5.729577	7.356559	5.389369	3.556857	2.220939	0.423317	-1.011858	-1.163987	3.441554	1.808021	-0.765338	-1.112083	-6.165684	-8.780520	-11.393290	-12.148172	-11.809535	-12.608436	-13.779363	-14.685887	5.724129	3.604012	2.112341	2.366724	-1.984992	-5.524178	-8.455372	-9.261015	-9.256601	-8.525877	-7.158099	-4.260965	3.096017	0.871841	0.228870	0.079537	-3.476862	-4.835913	-6.880543	-8.327238	-9.537565	-11.593045	-14.273010	-16.501110	-67.694546	-187.357414	-356.773750	-574.378572	-897.073655	-1280.997185	-1705.073581	-2125.264797	-2461.720817	-2748.408763	-2969.528974	-3120.140023	7.899220	6.201980	4.433136	5.683582	3.235308	2.452718	0.782990	0.537309	0.765247	-0.230225	-1.647865	-2.885131	-61.865430	-184.786023	-367.444025	-620.475922	-991.846353	-1425.004185	-1889.532524	-2337.291795	-2678.522520	-2955.075140	-3157.735221	-3289.820082	8.347613	6.347261	5.448629	5.340809	1.617841	-0.249928	-2.627148	-4.389748	-5.997100	-7.917475	-10.197523	-12.090744	22
5c28_3	5.665874	8.507277	7.717810	9.838487	13.955603	14.363697	13.818210	13.053485	11.591320	9.377962	8.311833	7.779411	5.193114	6.123841	4.940606	3.780507	1.466199	-2.568222	-3.658277	-3.417777	-3.474383	-4.643092	-5.562087	-6.837878	7.787185	10.527313	10.718068	9.333736	7.002094	3.699663	1.251145	0.770620	0.445382	0.662198	2.122676	4.811310	4.793741	4.970352	6.151843	5.382114	4.168089	2.819561	1.208125	-0.041638	-1.635486	-4.133727	-6.729079	-9.028866	-67.311845	-203.639494	-375.004335	-591.851194	-904.053640	-1284.356993	-1691.025097	-2092.088589	-2432.201705	-2703.540526	-2915.243002	-3064.854995	12.359400	13.233342	12.713861	12.842760	12.909890	10.659502	10.405023	11.069609	10.959449	9.551742	8.381720	6.783640	-59.598041	-200.337234	-383.506877	-632.494586	-992.149241	-1420.117995	-1867.525085	-2295.446285	-2642.097572	-2902.450243	-3096.508069	-3228.189494	12.847360	13.338156	13.948074	12.872792	11.284256	9.404551	7.425737	5.842710	3.871931	1.503605	-0.694097	-2.666421	22
5c28_30	-0.707274	-2.427637	-2.152542	2.179027	6.154800	5.552282	4.833732	3.956712	1.619082	-0.404683	-1.226280	-1.655378	4.289611	4.038499	4.331922	4.099386	0.071774	-5.349857	-7.388993	-6.896811	-7.584093	-8.439342	-9.021281	-10.237419	0.674697	0.035989	-0.362021	-0.457050	-3.085719	-7.156029	-9.312568	-9.873461	-10.420452	-9.620498	-7.908339	-4.984589	4.608543	4.556463	5.340320	4.512649	1.604450	-0.712931	-2.210446	-3.317778	-5.003514	-7.046983	-9.601092	-11.919895	-69.683935	-197.613656	-357.091579	-567.176153	-888.854315	-1284.070943	-1731.665728	-2151.126848	-2514.541757	-2795.260940	-2995.565750	-3137.270625	3.625090	3.167672	4.185643	5.569768	4.419423	1.031622	0.161901	1.116830	0.442463	-0.658126	-1.542750	-3.113804	-68.163241	-198.768798	-372.000441	-616.731728	-988.937051	-1431.691737	-1922.950835	-2368.768718	-2739.644634	-3008.213564	-3187.864398	-3309.824677	4.628982	4.733089	5.214387	4.508130	1.713758	-0.956109	-2.704328	-4.149974	-6.204190	-8.107855	-10.239901	-12.216809	22
5c28_324	-2.433582	-6.447296	-4.882494	1.532184	5.744699	7.298473	5.534898	4.539908	1.778234	0.653963	-0.077261	-0.199576	-0.582273	-1.408477	0.685381	2.675328	-1.000064	-4.556524	-7.550634	-7.513455	-8.742392	-8.830825	-9.122278	-10.056607	-0.657897	-3.586112	-2.664840	-0.829670	-2.705818	-5.544631	-7.932348	-9.301134	-10.322502	-9.482173	-7.566604	-4.331395	0.078068	-0.324922	2.120613	3.096529	0.651323	-0.896380	-2.532898	-4.368869	-6.444293	-8.315104	-10.271698	-12.300487	-61.017507	-191.571731	-332.854392	-525.289775	-831.941200	-1210.064197	-1639.893964	-2063.364812	-2426.787989	-2723.367469	-2955.059423	-3088.730478	-1.036061	-2.458724	0.188286	3.709420	2.842207	1.368176	-0.490500	0.142664	-1.016299	-1.248652	-1.761601	-3.059971	-59.446016	-192.781984	-345.367930	-570.591666	-925.967628	-1352.407741	-1824.301077	-2276.659100	-2647.497508	-2935.189744	-3149.198633	-3262.434052	0.200268	-0.382129	1.642048	2.774703	0.535545	-1.230310	-3.111238	-5.232439	-7.654425	-9.384347	-10.954768	-12.640424	22
5c28_345	2.147863	-1.864934	0.030839	5.725950	10.677679	8.845351	7.627158	7.189580	4.378978	2.800071	2.283601	2.428939	1.307729	-0.266516	1.194646	3.707821	-1.099967	-7.581119	-9.581537	-8.647572	-9.901726	-10.337552	-10.575715	-11.208013	3.953377	1.299417	2.632089	3.511197	1.391227	-3.383808	-5.632987	-5.999920	-6.678476	-5.835753	-3.964173	-0.835764	1.595014	0.633244	2.797846	4.085906	0.413320	-2.426861	-3.781476	-4.801230	-6.563440	-8.574324	-10.872254	-12.967097	-65.696502	-199.373309	-360.290156	-562.558888	-900.104856	-1298.334541	-1734.721246	-2140.914869	-2513.552824	-2789.348245	-2999.236718	-3142.302918	1.708261	-0.321411	1.822434	5.657924	4.169044	-0.312288	-1.257866	0.072597	-1.114308	-1.803197	-2.320824	-3.304417	-63.575600	-199.273775	-373.981652	-608.142600	-1001.517875	-1446.506982	-1924.755395	-2356.584137	-2736.930132	-3000.360734	-3190.746513	-3314.568073	2.649371	1.625802	3.446168	4.590854	1.376042	-1.859508	-3.498518	-4.868916	-6.990175	-8.859291	-10.742061	-12.494795	22
5c28_35	9.387040	8.347854	11.025346	15.567794	18.820348	21.423962	19.592366	17.075065	14.498093	12.869344	12.470076	12.787626	11.485777	10.573074	12.509164	13.612436	7.744936	5.113681	2.663904	1.722642	0.718363	0.122707	-0.077656	-0.580741	11.655210	12.038096	13.814237	13.508483	11.018294	8.231498	5.592798	4.164722	3.708211	4.732622	6.579647	9.661397	12.170700	11.906908	14.183479	14.142324	10.585145	9.377189	7.700723	5.639286	4.082260	2.237100	-0.159114	-2.317824	-70.107831	-203.850734	-359.019901	-568.762846	-896.847482	-1299.685864	-1734.898101	-2133.569260	-2498.036478	-2781.816282	-2986.470423	-3128.170535	11.262600	10.109909	12.931546	15.398774	12.624173	12.134006	10.654935	10.021179	9.057619	8.239920	7.752198	6.897895	-67.658088	-204.248460	-372.951677	-614.996744	-996.185431	-1450.929867	-1926.887848	-2347.659560	-2719.576189	-2991.905535	-3176.726851	-3299.339581	12.694751	12.579618	14.626959	14.443846	11.149598	9.628253	7.610410	5.171711	3.253140	1.546375	-0.429428	-2.246802	22
5c28_382	-6.303059	-9.199300	-9.865623	-6.738243	-5.008444	-1.988135	-1.518321	-1.492559	-4.857492	-5.969204	-7.017923	-6.573902	-4.004687	-4.795448	-5.118873	-6.344146	-12.375144	-14.792018	-15.159941	-13.705945	-15.479455	-15.430858	-16.234676	-16.649371	-4.640650	-5.980453	-6.579764	-7.341199	-10.215608	-12.197528	-13.827841	-14.671928	-15.716187	-14.556361	-12.894851	-9.745706	-3.760738	-3.706782	-2.816344	-4.115869	-7.080827	-7.748957	-8.405932	-9.825224	-12.057228	-13.623058	-16.119779	-18.293323	-78.827284	-213.221395	-370.213917	-578.891178	-901.310114	-1298.668383	-1736.647165	-2144.591623	-2501.127068	-2787.806519	-3003.714354	-3132.438897	-4.391949	-5.573656	-5.228656	-4.948840	-8.127657	-8.341448	-7.618049	-5.752359	-7.535760	-7.693637	-8.757621	-9.548793	-77.242277	-213.876795	-382.899979	-624.857496	-996.389288	-1444.877862	-1926.726643	-2360.865742	-2722.937109	-2998.862885	-3195.357752	-3303.975306	-3.447473	-3.403529	-2.905781	-4.185549	-7.046200	-7.936601	-8.880374	-10.644998	-13.245943	-14.673854	-16.757611	-18.580983	22
