#code	score
1c5z_247	-4.476297
1c5z_258	25.562526
1c5z_3	-20.075205
1c5z_402	-11.6309
1c5z_415	-3.901247
1c5z_425	10.21349
1c5z_427	9.841797
1c5z_431	2.093799
1c5z_438	0.563626
1c5z_449	8.767726
1c5z_452	-4.54769
1c5z_460	32.020552
1c5z_465	28.768013
1c5z_482	18.878657
1c5z_509	22.770067
1c5z_516	33.395455
1c5z_519	1.699842
1c5z_520	15.913691
1c5z_530	16.63046
1c5z_536	18.987019
1c5z_537	-0.151505
1c5z_542	14.235771
1c5z_544	16.295673
1c5z_546	6.098668
1c5z_556	49.395141
1c5z_558	-10.872463
1c5z_563	34.964042
1c5z_564	17.541497
1c5z_577	17.950586
1c5z_583	37.475019
1c5z_586	7.155394
1c5z_590	12.031315
1c5z_593	14.281584
1c5z_596	31.90866
1c5z_607	18.667175
1c5z_613	59.992918
1c5z_627	28.83166
1c5z_642	32.599972
1c5z_661	13.02556
1c5z_665	13.857694
1c5z_698	27.391257
1c5z_700	33.946189
1c5z_711	15.451872
1c5z_715	33.351306
1c5z_722	43.533261
1c5z_733	12.907499
1c5z_734	-2.826161
1c5z_738	36.968898
1c5z_739	13.416363
1c5z_741	31.372398
1c5z_743	21.236376
1c5z_753	32.028298
1c5z_754	37.896503
1c5z_759	17.495052
1c5z_761	37.729556
1c5z_763	36.341707
1c5z_765	8.15576
1c5z_766	22.546335
1c5z_776	21.36293
1c5z_781	11.029724
1c5z_790	22.803834
1c5z_8	-18.545835
1c5z_804	21.43017
1c5z_805	21.921245
1c5z_811	42.485386
1c5z_826	21.433135
1c5z_828	22.419899
1c5z_829	21.999464
1c5z_836	17.333793
1c5z_839	-11.074779
1c5z_840	19.0258
1c5z_844	1.977395
1c5z_862	27.602579
1c5z_892	36.616024
1c5z_898	32.700494
1c5z_931	11.993264
1c5z_937	14.265846
1c5z_953	14.37085
1c5z_955	37.316873
1c5z_959	47.231403
