#code	score
1e66_158	-8.896882
1e66_247	28.305643
1e66_402	35.168351
1e66_404	40.757917
1e66_406	75.910688
1e66_412	37.601928
1e66_419	93.778642
1e66_422	42.292844
1e66_429	93.464234
1e66_440	61.023528
1e66_442	111.785882
1e66_466	139.590272
1e66_467	133.089786
1e66_468	45.973812
1e66_477	95.989192
1e66_483	143.620365
1e66_484	102.722508
1e66_489	76.705573
1e66_495	94.465113
1e66_498	135.641364
1e66_504	79.127151
1e66_505	90.432514
1e66_550	90.282927
1e66_551	115.659713
1e66_552	128.481266
1e66_553	123.636346
1e66_573	109.49821
1e66_574	107.208998
1e66_577	125.486739
1e66_587	149.113803
1e66_589	57.255178
1e66_591	129.167031
1e66_617	108.940232
1e66_633	89.055803
1e66_656	100.499989
1e66_661	72.594469
1e66_678	55.218004
1e66_700	60.213571
1e66_702	63.867791
1e66_712	51.956685
1e66_733	90.418109
1e66_744	107.334943
1e66_746	123.84527
1e66_754	80.557684
1e66_755	128.207418
1e66_761	90.288171
1e66_763	114.81456
1e66_767	93.802705
1e66_768	102.869486
1e66_771	123.381848
1e66_772	140.089807
1e66_774	46.09578
1e66_787	20.033255
1e66_806	80.001848
1e66_807	102.881607
1e66_810	57.024897
1e66_823	109.222713
1e66_841	77.519115
1e66_842	82.897986
1e66_859	102.778111
1e66_860	73.81133
1e66_862	75.993278
1e66_863	73.206863
1e66_865	131.865737
1e66_867	138.95153
1e66_870	114.230971
1e66_891	40.000897
1e66_907	78.455707
1e66_909	16.474831
1e66_921	132.735972
