#code	score
1qf1_10	-4.63035
1qf1_104	15.988985
1qf1_118	-0.507915
1qf1_127	123.872367
1qf1_132	42.932643
1qf1_141	-6.951681
1qf1_144	4.714235
1qf1_148	-0.836719
1qf1_151	5.30996
1qf1_161	4.67318
1qf1_163	54.635196
1qf1_188	9.380812
1qf1_189	8.384746
1qf1_195	1.878949
1qf1_198	-19.045335
1qf1_200	-6.844072
1qf1_232	29.386844
1qf1_244	23.475956
1qf1_27	-16.366651
1qf1_29	-2.436676
1qf1_30	39.020983
1qf1_301	15.900184
1qf1_310	-10.844695
1qf1_314	-15.028441
1qf1_322	-16.912041
1qf1_337	-13.048203000000001
1qf1_345	-1.662838
1qf1_351	10.914064
1qf1_36	30.775941
1qf1_370	-5.046094
1qf1_375	-14.650578
1qf1_377	0.897277
1qf1_380	-14.978421
1qf1_382	15.7145
1qf1_383	-40.115554
1qf1_385	-16.347905
1qf1_386	-5.617095
1qf1_389	-20.951182
1qf1_397	-20.964464
1qf1_399	10.602902
1qf1_409	93.791034
1qf1_419	131.387086
1qf1_421	93.319503
1qf1_424	62.936
1qf1_425	82.50115
1qf1_434	172.720436
1qf1_436	119.860669
1qf1_438	117.382954
1qf1_441	100.776993
1qf1_448	113.766885
1qf1_450	57.04808
1qf1_466	144.086122
1qf1_47	33.83957
1qf1_470	142.212897
1qf1_482	157.337573
1qf1_483	88.057766
1qf1_486	73.816117
1qf1_488	102.834502
1qf1_490	98.113245
1qf1_5	-7.246297
1qf1_500	159.22791900000001
1qf1_507	6.502498
1qf1_524	122.305342
1qf1_536	148.430427
1qf1_565	84.431157
1qf1_569	106.704876
1qf1_583	105.096989
1qf1_584	84.439594
1qf1_589	109.235203
1qf1_591	135.699453
1qf1_594	100.984329
1qf1_603	97.881353
1qf1_610	86.146816
1qf1_63	1.326777
1qf1_640	43.784646
1qf1_648	106.016339
1qf1_65	-5.263123
1qf1_658	213.459329
1qf1_668	140.741364
1qf1_679	76.561352
1qf1_68	26.64681
1qf1_683	119.546099
1qf1_69	6.268224
1qf1_727	-0.745716
1qf1_728	-12.492305
1qf1_734	-18.382804
1qf1_740	-9.583875
1qf1_741	-8.939455
1qf1_746	12.60426
1qf1_76	1.144661
1qf1_761	-8.190674
1qf1_763	18.310771
1qf1_773	71.062177
1qf1_791	10.382979
1qf1_814	-21.187834
1qf1_855	-7.865274
1qf1_862	-7.84816
1qf1_895	-16.915242
1qf1_938	23.089774
1qf1_943	14.840038
