#code	score
2wtv_105	-9.639797
2wtv_108	-26.335081
2wtv_118	-16.267771
2wtv_133	-4.456294
2wtv_143	3.470774
2wtv_144	25.909173
2wtv_152	-3.416529
2wtv_157	10.257352
2wtv_159	31.852255
2wtv_174	-16.959477
2wtv_196	7.237505
2wtv_20	91.153631
2wtv_237	68.34294
2wtv_24	73.635917
2wtv_240	34.669572
2wtv_250	93.140472
2wtv_255	36.911345
2wtv_260	52.556604
2wtv_289	117.665821
2wtv_296	72.030009
2wtv_317	9.635554
2wtv_32	66.956864
2wtv_320	-34.701423
2wtv_328	7.355743
2wtv_333	0.419067
2wtv_357	-18.768446
2wtv_376	2.243009
2wtv_38	66.951843
2wtv_39	83.935185
2wtv_401	60.349819
2wtv_411	118.379742
2wtv_415	138.814933
2wtv_421	147.904313
2wtv_427	135.155772
2wtv_432	133.10691
2wtv_436	116.226809
2wtv_437	87.463726
2wtv_455	119.622785
2wtv_459	97.730688
2wtv_460	144.650752
2wtv_470	135.604959
2wtv_477	145.656673
2wtv_481	109.699168
2wtv_483	162.64764
2wtv_486	161.573798
2wtv_487	138.620844
2wtv_489	132.946709
2wtv_498	101.662578
2wtv_499	118.092856
2wtv_502	64.303408
2wtv_506	31.05684
2wtv_509	54.130809
2wtv_533	77.169967
2wtv_534	111.559334
2wtv_541	47.445773
2wtv_544	80.80907
2wtv_547	51.088221
2wtv_548	57.259028
2wtv_55	34.357568
2wtv_551	75.962883
2wtv_557	50.204322
2wtv_558	97.538248
2wtv_561	77.051649
2wtv_570	49.941826
2wtv_575	54.005299
2wtv_576	103.510747
2wtv_579	70.116796
2wtv_581	138.5248
2wtv_584	106.725886
2wtv_585	60.357364
2wtv_590	64.505595
2wtv_591	97.274132
2wtv_595	59.024488
2wtv_596	90.018136
2wtv_602	95.141185
2wtv_604	131.069032
2wtv_608	86.572656
2wtv_611	53.184234
2wtv_612	108.138759
2wtv_615	61.445249
2wtv_624	56.898211
2wtv_631	97.650229
2wtv_637	82.047433
2wtv_644	136.996641
2wtv_670	104.449405
2wtv_674	92.898646
2wtv_675	163.497024
2wtv_676	139.567616
2wtv_689	88.672082
2wtv_691	101.249393
2wtv_697	112.904269
2wtv_737	52.14784
2wtv_78	89.925483
2wtv_799	47.927227
2wtv_801	52.758608
2wtv_804	68.694093
2wtv_83	62.223829
2wtv_84	79.081911
2wtv_90	92.656981
2wtv_98	60.444597
