#code	score
2yfe_115	17.908002
2yfe_123	3.031852
2yfe_176	2.139671
2yfe_23	-19.821306
2yfe_232	-1.029316
2yfe_236	13.194083
2yfe_240	8.013543
2yfe_257	-5.90864
2yfe_286	-4.641705
2yfe_4	-13.185701
2yfe_414	70.190702
2yfe_426	5.051997
2yfe_437	55.449202
2yfe_450	49.50267
2yfe_453	129.413464
2yfe_458	84.726131
2yfe_461	22.264205
2yfe_462	83.681852
2yfe_464	70.567028
2yfe_466	38.641326
2yfe_467	52.083204
2yfe_470	43.8616
2yfe_473	100.061218
2yfe_487	100.423063
2yfe_489	106.285903
2yfe_490	26.981416
2yfe_491	44.221624
2yfe_492	73.553142
2yfe_493	39.540833
2yfe_496	68.163224
2yfe_502	27.881026
2yfe_504	21.069288
2yfe_517	25.20545
2yfe_52	-13.743769
2yfe_523	56.517741
2yfe_53	-19.455168
2yfe_538	61.119673
2yfe_545	32.570461
2yfe_547	90.03278
2yfe_548	0.081646
2yfe_552	37.182971
2yfe_561	36.265103
2yfe_564	19.49393
2yfe_565	49.071874
2yfe_572	13.084262
2yfe_574	44.331693
2yfe_591	51.152294
2yfe_597	42.242963
2yfe_599	44.807753
2yfe_601	111.697438
2yfe_603	109.932546
2yfe_608	73.261411
2yfe_618	79.409144
2yfe_627	111.728261
2yfe_637	96.417827
2yfe_641	97.018619
2yfe_656	108.026354
2yfe_657	59.863056
2yfe_659	4.776512
2yfe_660	65.284982
2yfe_667	79.947956
2yfe_680	79.924217
2yfe_682	46.725367
2yfe_688	74.593846
2yfe_694	146.991826
2yfe_71	-4.022045
2yfe_722	10.016367
2yfe_724	-2.413378
2yfe_732	35.7545
2yfe_737	22.34945
2yfe_745	33.40617
2yfe_748	29.982589
2yfe_753	41.328035
2yfe_774	26.068746
2yfe_784	1.358747
2yfe_800	8.994249
2yfe_809	9.542439
2yfe_81	-14.74427
2yfe_813	8.626513
2yfe_815	8.675453
2yfe_851	15.636954
2yfe_931	15.504868
2yfe_943	-2.761858
2yfe_950	12.149456
2yfe_960	7.159311
2yfe_965	13.973268
2yfe_969	22.092987
2yfe_971	25.757028
2yfe_973	51.254558
2yfe_985	9.324917
