#code	score
2zda_101	40.343308
2zda_108	-0.431503
2zda_116	6.747391
2zda_132	68.451915
2zda_142	-17.765377
2zda_156	49.53357
2zda_157	20.058321
2zda_167	25.910702
2zda_170	11.363366
2zda_174	24.877714
2zda_182	40.310645
2zda_192	31.535171
2zda_196	52.10996
2zda_2	-41.22029
2zda_205	4.350685
2zda_212	59.856976
2zda_218	13.42123
2zda_224	46.026712
2zda_23	-18.693122
2zda_232	-12.858114
2zda_255	100.54482
2zda_259	88.824987
2zda_262	42.070917
2zda_264	-3.060672
2zda_266	62.900822
2zda_27	32.337081
2zda_270	49.592741
2zda_272	-14.5078
2zda_274	76.446665
2zda_277	-27.902525
2zda_289	72.538111
2zda_29	-32.315399
2zda_295	90.427997
2zda_299	-25.51814
2zda_302	24.315149
2zda_311	36.369225
2zda_338	41.714743
2zda_345	49.768945
2zda_379	16.000211
2zda_382	-0.957033
2zda_391	20.459967
2zda_393	21.805097
2zda_414	191.763618
2zda_429	88.395215
2zda_434	166.791285
2zda_435	136.232547
2zda_442	211.901619
2zda_447	211.365876
2zda_45	39.573061
2zda_470	66.047458
2zda_498	91.296645
2zda_5	37.527692
2zda_500	103.790549
2zda_506	74.978594
2zda_525	76.784
2zda_533	59.2515
2zda_54	9.915797
2zda_558	67.555078
2zda_561	95.811982
2zda_573	120.056879
2zda_589	90.081392
2zda_615	93.715299
2zda_627	41.218205
2zda_633	79.791039
2zda_643	129.923918
2zda_664	102.306952
2zda_671	116.905068
2zda_677	130.430112
2zda_694	66.047458
2zda_698	127.433404
2zda_739	9.914461
2zda_748	23.6512
2zda_751	96.718354
2zda_753	63.384554
2zda_758	75.440425
2zda_763	55.87683
2zda_766	85.239933
2zda_767	39.909768
2zda_772	67.120618
2zda_773	88.123433
2zda_777	14.139492
2zda_80	81.744944
2zda_835	-1.007803
2zda_860	5.588448
2zda_89	41.291872
