#code	score
3b5r_161	10.442077
3b5r_217	1.695609
3b5r_219	11.556804
3b5r_220	-11.771576
3b5r_228	-3.868848
3b5r_260	-6.970857
3b5r_267	15.42822
3b5r_283	1.727805
3b5r_317	-26.390056
3b5r_331	-6.254673
3b5r_354	-27.798427
3b5r_363	-24.154006
3b5r_409	28.2836
3b5r_413	103.915398
3b5r_428	84.611246
3b5r_432	19.910442
3b5r_443	97.152626
3b5r_465	90.418883
3b5r_468	97.929366
3b5r_470	79.711244
3b5r_472	91.900422
3b5r_477	48.340053
3b5r_486	119.973569
3b5r_527	82.774886
3b5r_531	135.124127
3b5r_537	113.410134
3b5r_55	-3.638848
3b5r_550	62.555103
3b5r_557	69.204838
3b5r_568	89.226468
3b5r_571	85.292212
3b5r_574	113.106676
3b5r_575	81.14388
3b5r_578	67.944387
3b5r_581	88.508834
3b5r_592	96.684844
3b5r_615	79.064479
3b5r_620	155.827243
3b5r_625	134.859343
3b5r_627	83.887775
3b5r_646	125.653234
3b5r_648	109.342682
3b5r_649	103.312642
3b5r_652	105.60114
3b5r_656	61.533051
3b5r_658	63.973191
3b5r_659	115.076374
3b5r_666	113.195139
3b5r_668	92.78811
3b5r_669	87.246516
3b5r_678	86.981934
3b5r_680	141.043038
3b5r_683	169.12711
3b5r_697	96.947552
3b5r_763	29.253776
3b5r_770	60.090389
3b5r_772	90.059581
3b5r_776	101.024008
3b5r_781	75.189462
3b5r_789	110.061929
3b5r_792	136.825691
3b5r_796	142.48889
3b5r_911	0.367781
3b5r_969	-17.291822
