#code	score
3bv9_118	55.294342
3bv9_119	49.092913
3bv9_120	7.942152
3bv9_124	30.270005
3bv9_13	47.378026
3bv9_133	89.101468
3bv9_134	49.321091
3bv9_137	54.482904
3bv9_141	25.974674
3bv9_148	67.598513
3bv9_15	59.339926
3bv9_156	25.607103
3bv9_166	6.588593
3bv9_167	65.77412
3bv9_190	69.011283
3bv9_195	-11.530996
3bv9_204	44.203341
3bv9_227	197.577361
3bv9_231	26.342358
3bv9_233	230.159684
3bv9_239	264.028457
3bv9_240	134.089505
3bv9_244	169.300664
3bv9_25	34.002842
3bv9_264	82.527351
3bv9_271	63.418253
3bv9_277	234.681499
3bv9_279	200.590734
3bv9_298	130.919863
3bv9_308	14.686762
3bv9_317	8.350525
3bv9_324	11.274516
3bv9_325	-4.184865
3bv9_326	54.600159
3bv9_332	22.523609
3bv9_339	38.507937
3bv9_345	-6.171727
3bv9_35	42.511857
3bv9_353	46.7472
3bv9_370	61.34017
3bv9_384	45.186251
3bv9_388	-14.137496
3bv9_392	11.010746
3bv9_393	36.239372
3bv9_40	10.459269
3bv9_441	89.868665
3bv9_444	68.345469
3bv9_456	173.951422
3bv9_460	249.380642
3bv9_50	-2.691041
3bv9_53	29.011781
3bv9_533	82.418878
3bv9_550	129.246035
3bv9_582	128.487717
3bv9_589	86.935818
3bv9_597	145.035091
3bv9_618	122.284432
3bv9_667	194.127813
3bv9_684	151.856095
3bv9_688	148.240769
3bv9_693	238.736859
3bv9_71	-1.935929
3bv9_743	79.929102
3bv9_751	-1.852919
3bv9_752	43.516317
3bv9_754	103.30226
3bv9_756	66.418762
3bv9_757	15.861678
3bv9_762	18.60286
3bv9_767	35.503739
3bv9_770	102.783001
3bv9_771	101.668595
3bv9_779	33.647403
3bv9_780	86.324802
3bv9_783	95.280503
3bv9_784	35.294338
3bv9_787	96.330375
3bv9_788	67.91694
3bv9_804	38.210101
3bv9_812	56.616651
3bv9_836	98.023767
3bv9_851	100.233999
3bv9_865	87.483457
3bv9_88	25.096631
3bv9_888	94.278086
3bv9_92	59.259251
3bv9_949	47.340174
3bv9_951	127.269856
3bv9_954	24.496345
3bv9_968	117.881124
3bv9_971	91.965166
3bv9_976	70.82066
3bv9_98	24.242046
3bv9_987	49.630149
