#code	score
3ehy_106	-4.764482
3ehy_140	-4.321271
3ehy_141	-19.777687
3ehy_183	-5.011887
3ehy_229	36.332383
3ehy_232	-4.875949
3ehy_309	-18.679984
3ehy_349	-16.429052
3ehy_376	-30.74326
3ehy_395	-28.529013
3ehy_406	88.246961
3ehy_407	59.601305
3ehy_433	82.182677
3ehy_437	64.358751
3ehy_443	42.700932
3ehy_447	87.234299
3ehy_463	96.408319
3ehy_471	69.272244
3ehy_476	72.524936
3ehy_477	72.774821
3ehy_481	45.4923
3ehy_482	100.359442
3ehy_485	80.327831
3ehy_486	90.595941
3ehy_492	17.169376
3ehy_493	49.71058
3ehy_495	95.04812
3ehy_496	62.714292
3ehy_500	-1.457518
3ehy_502	8.797806
3ehy_509	57.105703
3ehy_512	36.803382
3ehy_521	60.826076
3ehy_535	34.522336
3ehy_537	18.8167
3ehy_54	-10.653109
3ehy_543	48.238608
3ehy_545	31.900169000000002
3ehy_551	43.4994
3ehy_564	77.50488
3ehy_570	36.642908
3ehy_576	23.435531
3ehy_592	36.84245
3ehy_615	47.730349
3ehy_619	42.025768
3ehy_622	54.919219
3ehy_623	79.569239
3ehy_632	77.123285
3ehy_637	33.411618
3ehy_642	79.808628
3ehy_646	38.504807
3ehy_667	53.626048
3ehy_668	56.602905
3ehy_671	76.310356
3ehy_674	52.008567
3ehy_678	49.963556
3ehy_685	34.03118
3ehy_693	53.166805
3ehy_698	55.073462
3ehy_706	6.275759
3ehy_719	48.027991
3ehy_728	28.020189
3ehy_731	39.858676
3ehy_735	45.533583
3ehy_752	20.518044
3ehy_753	22.733417
3ehy_758	44.318024
3ehy_759	30.644761
3ehy_764	76.969887
3ehy_768	124.6189
3ehy_769	27.803287
3ehy_777	52.128266000000004
3ehy_779	29.172764
3ehy_785	34.772702
3ehy_789	102.76581
3ehy_793	35.966044
3ehy_858	16.6927
3ehy_919	50.928929
3ehy_977	17.73353
3ehy_985	41.822929
