#code	score
3f3d_211	-6.318514
3f3d_251	10.592494
3f3d_255	-7.29743
3f3d_287	11.143597
3f3d_295	-5.603472
3f3d_319	-15.284446
3f3d_33	-17.652761
3f3d_363	-18.022347
3f3d_377	-13.407375
3f3d_401	19.266682
3f3d_424	4.028739
3f3d_433	21.406648
3f3d_435	11.820099
3f3d_444	28.592663
3f3d_450	1.256092
3f3d_454	30.917766
3f3d_457	15.762479
3f3d_464	7.847185
3f3d_469	16.191079
3f3d_477	15.969474
3f3d_482	8.659364
3f3d_484	15.691109
3f3d_500	26.243491
3f3d_516	17.686328
3f3d_526	20.033118
3f3d_529	21.868343
3f3d_554	7.177476
3f3d_574	46.6186
3f3d_588	24.121463
3f3d_591	10.911107
3f3d_596	-4.866337
3f3d_601	14.765549
3f3d_614	36.295461
3f3d_62	-8.306293
3f3d_629	36.804569
3f3d_634	45.348968
3f3d_644	26.801874
3f3d_653	10.861407
3f3d_663	33.470745
3f3d_666	33.256093
3f3d_682	52.377164
3f3d_692	5.474247
3f3d_771	47.113279
3f3d_774	23.002863
3f3d_775	17.356241
3f3d_787	23.388257
3f3d_791	51.787133
3f3d_797	72.8293
3f3d_798	50.107318
3f3d_99	-10.121763
