#code	score
3o9i_12	0.962729
3o9i_130	87.481553
3o9i_135	57.068257
3o9i_141	139.3969
3o9i_164	17.48547
3o9i_178	105.419198
3o9i_201	72.702742
3o9i_213	-0.305625
3o9i_215	51.409117
3o9i_219	82.034776
3o9i_222	15.520164
3o9i_227	-18.104205
3o9i_228	79.983189
3o9i_229	73.151251
3o9i_234	79.955219
3o9i_243	88.954522
3o9i_246	51.890315
3o9i_249	43.052983
3o9i_253	43.911072
3o9i_255	39.93322
3o9i_256	-9.071524
3o9i_257	68.061913
3o9i_26	23.797069
3o9i_260	70.49497
3o9i_270	30.198836
3o9i_274	62.745564
3o9i_275	25.351837
3o9i_276	41.580095
3o9i_28	58.732804
3o9i_283	85.111962
3o9i_284	83.064849
3o9i_286	69.246245
3o9i_288	74.509361
3o9i_29	31.223813
3o9i_292	98.254683
3o9i_294	60.714968
3o9i_295	64.688288
3o9i_298	103.272791
3o9i_30	4.629602
3o9i_303	-25.788721
3o9i_314	119.15904
3o9i_318	93.912578
3o9i_340	40.80362
3o9i_358	132.814696
3o9i_359	-10.139391
3o9i_38	-16.37621
3o9i_402	139.375977
3o9i_403	105.016981
3o9i_407	74.254693
3o9i_408	181.378055
3o9i_409	145.704154
3o9i_415	151.046432
3o9i_417	104.201071
3o9i_42	92.628125
3o9i_424	207.694811
3o9i_435	146.738885
3o9i_452	140.331544
3o9i_454	189.028493
3o9i_459	143.300803
3o9i_461	203.372993
3o9i_466	173.995794
3o9i_467	198.102367
3o9i_469	110.310097
3o9i_479	147.189306
3o9i_487	228.825249
3o9i_495	194.70577
3o9i_496	130.385863
3o9i_500	186.337842
3o9i_505	67.399482
3o9i_509	110.895304
3o9i_525	187.119147
3o9i_535	116.744284
3o9i_539	195.161421
3o9i_546	147.036571
3o9i_557	115.136452
3o9i_569	150.304082
3o9i_574	203.351523
3o9i_585	196.052956
3o9i_59	36.075013
3o9i_600	224.630338
3o9i_607	162.674925
3o9i_617	238.89019
3o9i_624	197.536819
3o9i_661	189.670569
3o9i_674	214.208933
3o9i_675	160.195981
3o9i_678	227.918837
3o9i_687	153.764731
3o9i_692	184.305579
3o9i_714	77.252946
3o9i_766	55.159299
3o9i_788	115.420892
3o9i_795	144.487476
3o9i_859	27.050149
3o9i_860	64.916038
3o9i_861	68.456131
3o9i_893	39.246982
3o9i_9	29.440455
3o9i_907	35.916829
3o9i_96	37.896826
