#code	score
3rlr_100	17.949822
3rlr_112	4.273466
3rlr_12	22.07913
3rlr_148	61.595116
3rlr_167	-3.463685
3rlr_192	0.308642
3rlr_197	-0.732395
3rlr_281	38.898278
3rlr_335	38.913435
3rlr_341	-3.611069
3rlr_347	-8.029848
3rlr_365	-3.81555
3rlr_397	4.45688
3rlr_398	-11.082085
3rlr_410	105.498726
3rlr_415	65.404618
3rlr_418	71.684005
3rlr_423	60.950431
3rlr_428	81.062859
3rlr_432	67.748599
3rlr_439	50.102685
3rlr_440	91.639004
3rlr_444	85.219445
3rlr_456	89.073332
3rlr_457	64.226084
3rlr_47	30.275964
3rlr_477	41.429291
3rlr_480	94.209374
3rlr_482	85.119982
3rlr_483	56.365989
3rlr_488	69.446458
3rlr_490	41.515571
3rlr_498	87.644694
3rlr_506	48.146262
3rlr_524	90.74427
3rlr_537	90.718873
3rlr_539	51.462675
3rlr_557	79.306192
3rlr_560	116.167657
3rlr_583	76.511892
3rlr_586	48.638518
3rlr_591	81.372124
3rlr_595	171.797764
3rlr_596	85.843378
3rlr_598	80.941918
3rlr_6	47.981991
3rlr_617	116.570297
3rlr_628	124.218583
3rlr_632	133.162307
3rlr_633	87.760255
3rlr_634	74.030651
3rlr_638	61.499019
3rlr_640	136.693017
3rlr_642	169.45657
3rlr_650	72.509867
3rlr_653	69.713328
3rlr_655	82.588809
3rlr_658	113.360766
3rlr_660	121.425662
3rlr_663	108.143434
3rlr_667	36.274623
3rlr_675	103.459631
3rlr_68	38.680463
3rlr_682	101.874465
3rlr_685	144.407862
3rlr_686	84.330404
3rlr_762	33.750751
3rlr_772	101.498971
3rlr_778	151.911501
3rlr_780	112.601177
3rlr_904	47.996026
