#code	score
3syr_105	-22.243957
3syr_225	-2.50296
3syr_251	4.60475
3syr_330	11.278961
3syr_408	18.380627
3syr_412	6.7798
3syr_413	31.62084
3syr_416	27.673781
3syr_448	22.683242
3syr_452	57.434209
3syr_46	-20.325517
3syr_462	54.321761
3syr_47	-30.937146
3syr_477	16.614164
3syr_484	16.919274
3syr_499	42.82116
3syr_500	45.77246
3syr_523	60.553054
3syr_533	42.391351
3syr_539	78.979682
3syr_545	45.36674
3syr_550	12.413266
3syr_552	16.468077
3syr_557	39.785335
3syr_563	55.296939
3syr_564	26.900392
3syr_577	54.899352
3syr_582	80.292336
3syr_593	67.476603
3syr_594	28.866891
3syr_596	24.658466
3syr_599	62.580645
3syr_600	8.795408
3syr_609	54.111126
3syr_614	38.635844
3syr_617	70.814467
3syr_618	44.498654
3syr_621	50.386093
3syr_622	30.918462
3syr_627	58.27185
3syr_629	41.990071
3syr_631	84.118798
3syr_633	47.865907
3syr_636	31.819742
3syr_647	67.004877
3syr_648	65.335154
3syr_658	85.014291
3syr_659	43.440524
3syr_679	56.846204
3syr_692	45.093184
3syr_695	30.829397
3syr_697	62.167381
3syr_699	75.724184
3syr_746	8.401247
3syr_748	30.364869
3syr_752	85.006599
3syr_759	39.28337
3syr_762	61.288363
3syr_772	78.455108
3syr_823	14.661615
3syr_862	-6.668172
3syr_88	0.929638
3syr_93	-17.817008
3syr_969	-3.803204
