#code	score
3ui7_133	-0.204638
3ui7_138	17.675989
3ui7_151	7.569161
3ui7_16	-8.876486
3ui7_208	-0.313046
3ui7_227	-8.324857
3ui7_240	80.602506
3ui7_282	0.719034
3ui7_287	7.558876
3ui7_333	-18.945741
3ui7_335	-1.878587
3ui7_408	21.85931
3ui7_424	29.109446
3ui7_445	31.992432
3ui7_459	43.184927
3ui7_47	8.124414
3ui7_471	95.43075
3ui7_494	26.43909
3ui7_533	130.056012
3ui7_545	4.480046
3ui7_552	109.50850199999999
3ui7_562	149.60659
3ui7_565	147.075112
3ui7_577	158.741651
3ui7_578	112.987588
3ui7_586	130.669085
3ui7_606	152.931827
3ui7_625	121.363224
3ui7_630	120.245788
3ui7_635	72.060158
3ui7_638	86.922621
3ui7_648	41.306826
3ui7_651	86.538086
3ui7_655	201.183448
3ui7_659	107.13498
3ui7_664	52.942027
3ui7_673	127.895402
3ui7_675	73.205066
3ui7_683	16.962516
3ui7_690	173.027952
3ui7_696	90.075828
3ui7_697	115.401796
3ui7_703	42.176605
3ui7_714	57.763851
3ui7_718	14.34212
3ui7_719	23.775007
3ui7_721	65.716351
3ui7_730	53.022455
3ui7_732	43.334435
3ui7_735	69.952124
3ui7_753	37.9995
3ui7_759	27.774581
3ui7_760	31.053803
3ui7_762	83.407472
3ui7_767	13.128473
3ui7_772	50.853688
3ui7_774	15.089745
3ui7_776	54.915854
3ui7_782	-2.491652
3ui7_784	63.015125
3ui7_786	5.415618
3ui7_790	10.705576
3ui7_795	73.40609
3ui7_797	62.574605
3ui7_818	38.781762
3ui7_826	83.390053
3ui7_840	63.51163
3ui7_843	4.634493
3ui7_859	17.800652
3ui7_860	163.964846
3ui7_861	38.241014
3ui7_864	11.278228
3ui7_877	43.813359
3ui7_878	16.274887
3ui7_883	38.018832
3ui7_898	82.977662
3ui7_90	5.181867
3ui7_900	22.273144
3ui7_907	26.310866
3ui7_911	28.659515
3ui7_922	5.42713
3ui7_932	36.393115
3ui7_933	43.740988
3ui7_934	25.54904
3ui7_942	19.231251
3ui7_956	12.118345
3ui7_970	25.732967
3ui7_993	70.268766
3ui7_995	35.457671
