#code	score
3wtj_134	1.208098
3wtj_157	-8.656538
3wtj_184	-7.165537
3wtj_222	6.690271
3wtj_240	21.951133
3wtj_258	5.251644
3wtj_307	-11.038945
3wtj_328	-14.392992
3wtj_4	-1.001508
3wtj_404	10.304939
3wtj_454	59.309804
3wtj_467	49.287459
3wtj_485	62.698749
3wtj_500	70.942631
3wtj_507	19.792254
3wtj_542	10.531422
3wtj_544	53.028082
3wtj_547	19.985289
3wtj_566	12.900266
3wtj_572	31.806563
3wtj_615	2.500981
3wtj_628	64.128965
3wtj_633	36.928117
3wtj_640	34.839802
3wtj_643	41.757305
3wtj_648	25.656686
3wtj_653	79.343563
3wtj_659	46.841926
3wtj_660	56.071302
3wtj_663	14.375649
3wtj_674	48.130722
3wtj_678	71.533696
3wtj_682	59.096923
3wtj_683	65.848233
3wtj_686	51.746518
3wtj_688	73.586515
3wtj_689	65.629684
3wtj_696	62.550456
3wtj_698	60.169097
3wtj_740	22.803872
3wtj_746	27.787351
3wtj_755	50.42598
3wtj_756	54.752724
3wtj_759	71.532615
3wtj_762	54.108385
3wtj_764	67.916861
3wtj_766	64.380969
3wtj_767	57.976294
3wtj_768	68.002402
3wtj_770	102.209949
3wtj_771	55.482709
3wtj_774	25.339568
3wtj_779	41.424013
3wtj_780	79.35566
3wtj_781	67.045147
3wtj_783	57.098417
3wtj_785	124.276575
3wtj_962	15.419898
3wtj_976	-11.188074
3wtj_979	13.5746
