#code	score
3zt2_116	-7.943199
3zt2_119	3.340383
3zt2_122	1.688328
3zt2_136	5.843288
3zt2_173	-9.249213
3zt2_182	21.526945
3zt2_195	-12.886594
3zt2_233	-5.446003
3zt2_250	-11.44859
3zt2_323	-9.27324
3zt2_410	29.379881
3zt2_433	39.421247
3zt2_444	25.22452
3zt2_463	56.317366
3zt2_472	76.009679
3zt2_473	57.478008
3zt2_474	33.046496
3zt2_491	62.15759
3zt2_5	-21.208341
3zt2_529	-4.342788
3zt2_541	30.620458
3zt2_561	23.811896
3zt2_566	69.974595
3zt2_568	22.512078
3zt2_571	3.170193
3zt2_578	-3.183589
3zt2_585	15.660843
3zt2_589	13.045425
3zt2_592	38.098574
3zt2_600	1.854283
3zt2_649	12.261701
3zt2_650	34.442437
3zt2_656	34.256895
3zt2_670	17.134286
3zt2_680	57.017892
3zt2_684	64.717679
3zt2_685	121.734246
3zt2_687	26.258508
3zt2_694	26.726362
3zt2_696	44.834049
3zt2_697	63.332673
3zt2_707	21.125678
3zt2_728	35.413965
3zt2_732	25.968063
3zt2_741	18.853352
3zt2_753	-4.56568
3zt2_758	11.91337
3zt2_760	14.078455
3zt2_761	9.044842
3zt2_774	21.298861
3zt2_781	14.803429
3zt2_782	27.049246
3zt2_784	11.493139
3zt2_789	41.992271
3zt2_793	40.32985
3zt2_8	-18.25363
3zt2_80	-5.384379
3zt2_804	1.467435
3zt2_818	48.769811
3zt2_838	18.95315
3zt2_844	33.78143
3zt2_869	34.544207
3zt2_873	2.306267
