#code	score
4cr9_217	-4.504688
4cr9_232	9.555731
4cr9_254	46.442492
4cr9_264	10.053664
4cr9_271	8.687408
4cr9_280	57.132431
4cr9_286	30.405301
4cr9_307	-26.546811
4cr9_358	-18.560579
4cr9_359	-18.943756
4cr9_408	24.600381
4cr9_411	41.355945
4cr9_423	43.589256
4cr9_424	25.834049
4cr9_431	5.600186
4cr9_434	67.664343
4cr9_435	3.033418
4cr9_438	85.250752
4cr9_480	32.951398
4cr9_492	59.918313
4cr9_503	39.339285
4cr9_534	71.191203
4cr9_551	59.915922
4cr9_559	67.139394
4cr9_565	48.557769
4cr9_575	81.515782
4cr9_577	54.056003
4cr9_580	58.371697
4cr9_587	33.467217
4cr9_589	64.489687
4cr9_595	37.261847
4cr9_630	95.321786
4cr9_662	72.055774
4cr9_666	51.65336
4cr9_689	71.866867
4cr9_690	71.614407
4cr9_708	40.880853
4cr9_710	81.501209
4cr9_715	33.530918
4cr9_717	40.258737000000004
4cr9_726	13.653682
4cr9_730	39.639578
4cr9_734	51.890688
4cr9_741	58.145985
4cr9_743	46.896652
4cr9_746	39.113967
4cr9_748	27.272996
4cr9_750	31.965189
4cr9_752	19.041536
4cr9_754	22.578715
4cr9_755	23.702235
4cr9_758	65.608957
4cr9_759	46.236974
4cr9_762	61.053086
4cr9_763	38.941286
4cr9_766	27.699529
4cr9_769	58.954059
4cr9_779	56.772483
4cr9_782	54.676365
4cr9_783	46.670879
4cr9_789	47.663314
4cr9_790	68.452278
4cr9_791	33.565233
4cr9_792	29.70632
4cr9_794	36.804628
4cr9_795	24.517714
4cr9_796	84.940036
4cr9_797	32.738142
4cr9_798	26.103129
4cr9_799	13.084924000000001
4cr9_821	27.202596
4cr9_822	71.213211
4cr9_843	71.597478
4cr9_849	40.012106
4cr9_855	45.563231
4cr9_861	37.870893
4cr9_864	48.848215
4cr9_869	41.800697
4cr9_874	59.736638
4cr9_876	50.542232
4cr9_881	32.401735
4cr9_884	34.089621
4cr9_885	43.777911
4cr9_887	43.135459
4cr9_891	59.719394
4cr9_894	40.369625
4cr9_897	30.661882
4cr9_920	8.508694
4cr9_933	48.15696
4cr9_970	51.389107
4cr9_984	43.77829
