#code	score
4dli_136	-17.70757
4dli_154	-18.770728
4dli_409	13.330314
4dli_414	26.171422
4dli_42	-29.05429
4dli_422	81.534096
4dli_426	10.156708
4dli_431	35.790257
4dli_447	69.188747
4dli_455	36.358207
4dli_465	39.134972
4dli_481	45.881348
4dli_486	93.316541
4dli_489	85.915739
4dli_498	19.641792
4dli_501	-11.029416
4dli_502	17.18431
4dli_504	7.073296
4dli_505	54.006191
4dli_521	2.874531
4dli_524	23.625447
4dli_530	-3.909966
4dli_546	46.210756
4dli_547	46.617857
4dli_550	28.257286
4dli_567	43.996705
4dli_57	-13.960349
4dli_571	46.685004
4dli_573	25.349888
4dli_575	56.024512
4dli_580	45.553509
4dli_587	61.913882
4dli_591	11.206659
4dli_594	8.447142
4dli_595	48.859883
4dli_637	62.503192
4dli_641	101.624786
4dli_659	69.143793
4dli_660	41.964639
4dli_664	67.626375
4dli_666	85.509283
4dli_679	27.307465
4dli_684	45.17059
4dli_693	74.419246
4dli_710	35.04238
4dli_734	42.08548
4dli_738	68.481857
4dli_750	-12.277478
4dli_756	102.598878
4dli_759	62.891299
4dli_769	40.542653
4dli_770	37.817979
4dli_772	86.294461
4dli_776	62.991777
4dli_777	82.1392
4dli_778	41.165011
4dli_781	55.725561
4dli_783	21.77114
4dli_784	30.577396
4dli_786	17.184023
4dli_787	68.549129
4dli_788	68.866611
4dli_789	81.276499
4dli_792	106.290516
4dli_793	83.627497
4dli_868	76.394423
4dli_895	73.940674
4dli_948	35.172023
4dli_96	-22.000565
