#code	score
5a7b_11	76.662338
5a7b_115	16.570671
5a7b_136	33.090023
5a7b_138	23.469163000000002
5a7b_144	19.639177
5a7b_170	62.967593
5a7b_175	49.170732
5a7b_178	16.831647
5a7b_190	55.460141
5a7b_204	73.31858
5a7b_214	29.445496
5a7b_215	102.046698
5a7b_217	27.483341
5a7b_227	111.319846
5a7b_233	-13.801687
5a7b_234	28.356802
5a7b_243	10.576642
5a7b_244	46.856569
5a7b_258	25.997164
5a7b_261	106.84837
5a7b_264	130.07211
5a7b_266	30.803885
5a7b_274	4.210479
5a7b_276	22.399047
5a7b_280	53.92954
5a7b_281	146.325949
5a7b_284	-8.131027
5a7b_286	-2.902018
5a7b_295	46.661285
5a7b_302	34.894596
5a7b_309	2.091218
5a7b_311	9.105645
5a7b_349	41.098397
5a7b_358	-21.148652
5a7b_382	32.423067
5a7b_402	152.895638
5a7b_409	148.187141
5a7b_424	109.038672
5a7b_426	171.460932
5a7b_429	106.553469
5a7b_440	100.611829
5a7b_447	199.564788
5a7b_451	179.628289
5a7b_461	170.851601
5a7b_485	165.222237
5a7b_488	157.850105
5a7b_511	141.5362
5a7b_514	119.797535
5a7b_518	90.297584
5a7b_523	66.144482
5a7b_531	107.773869
5a7b_539	102.844428
5a7b_542	124.709191
5a7b_546	91.189748
5a7b_550	103.861954
5a7b_553	76.849854
5a7b_566	109.339838
5a7b_569	22.308511
5a7b_588	163.674489
5a7b_591	144.980599
5a7b_595	159.085275
5a7b_597	127.552527
5a7b_601	91.170746
5a7b_613	75.006161
5a7b_623	104.462832
5a7b_628	119.820471
5a7b_632	243.62632
5a7b_633	148.806069
5a7b_636	84.154327
5a7b_651	149.666443
5a7b_652	122.577705
5a7b_655	79.803603
5a7b_657	77.477608
5a7b_660	122.591001
5a7b_672	194.868742
5a7b_675	70.250879
5a7b_690	195.286688
5a7b_691	163.875733
5a7b_694	60.910892
5a7b_696	78.605493
5a7b_697	176.919467
5a7b_698	175.083409
5a7b_700	62.808496
5a7b_726	53.814448
5a7b_738	35.060056
5a7b_742	27.347048
5a7b_780	33.213801
5a7b_817	77.708989
5a7b_842	67.495691
5a7b_843	23.109722
5a7b_850	116.48023
5a7b_874	78.678341
5a7b_878	58.651902
5a7b_980	39.466919
