#code	score
1nc1_ligand	-25.558942
1nc1_103	-2.694496
1nc1_121	-6.012307
1nc1_126	0.882976
1nc1_13	-12.669719
1nc1_133	-0.985969
1nc1_142	-9.355954
1nc1_144	15.904045
1nc1_152	-4.441021
1nc1_161	-8.844046
1nc1_172	1.827741
1nc1_18	-14.881363
1nc1_207	-0.489376
1nc1_275	28.773951
1nc1_410	91.349098
1nc1_422	54.568127
1nc1_427	30.237761
1nc1_431	70.098492
1nc1_437	74.384248
1nc1_441	88.38571
1nc1_443	63.676731
1nc1_449	109.825994
1nc1_473	111.285679
1nc1_480	102.525241
1nc1_495	116.366798
1nc1_498	73.291704
1nc1_513	46.724361
1nc1_526	26.854124
1nc1_527	48.466087
1nc1_529	60.441733
1nc1_536	57.14379
1nc1_538	45.506986
1nc1_539	82.055044
1nc1_546	63.609766
1nc1_550	68.887368
1nc1_551	75.146745
1nc1_552	57.331944
1nc1_558	85.909204
1nc1_566	93.112656
1nc1_570	121.479236
1nc1_573	55.294142
1nc1_575	39.417132
1nc1_576	53.761956
1nc1_585	91.006746
1nc1_587	75.180776
1nc1_591	70.413369
1nc1_596	87.245539
1nc1_597	69.428277
1nc1_598	45.384086
1nc1_6	-9.55417
1nc1_612	71.599564
1nc1_615	64.279718
1nc1_62	20.443813
1nc1_624	43.289
1nc1_634	64.80334
1nc1_643	43.193506
1nc1_648	49.042793
1nc1_659	98.947656
1nc1_661	31.986043
1nc1_663	66.391971
1nc1_664	107.408465
1nc1_665	55.912591
1nc1_667	47.992925
1nc1_670	114.340419
1nc1_685	25.030549
1nc1_690	69.601913
1nc1_692	69.052971
1nc1_695	78.021034
1nc1_696	129.382188
1nc1_724	-5.904055
1nc1_739	-9.586755
1nc1_75	5.681266
1nc1_763	1.399545
1nc1_853	-6.612967
1nc1_865	-2.015343
