#code	score
1o0h_ligand	-18.362004
1o0h_105	11.766917
1o0h_109	38.636614
1o0h_121	52.127773
1o0h_122	55.296524
1o0h_133	62.929597
1o0h_146	54.994661
1o0h_150	56.854109
1o0h_153	42.336582
1o0h_168	22.725249
1o0h_172	64.930186
1o0h_178	81.81082
1o0h_187	88.755275
1o0h_194	61.243347
1o0h_203	113.73495
1o0h_208	92.401551
1o0h_209	113.272703
1o0h_217	149.357565
1o0h_233	63.134469
1o0h_251	134.590158
1o0h_253	18.008855
1o0h_254	8.02572
1o0h_263	69.46653
1o0h_272	7.084641
1o0h_280	101.429555
1o0h_281	31.672744
1o0h_284	10.17009
1o0h_292	82.62382
1o0h_313	77.675314
1o0h_353	-3.540886
1o0h_374	119.681414
1o0h_40	71.968917
1o0h_418	132.016453
1o0h_419	207.470118
1o0h_431	94.13615
1o0h_436	101.728184
1o0h_439	162.413606
1o0h_450	147.697578
1o0h_457	236.551021
1o0h_459	130.65166
1o0h_463	86.187897
1o0h_466	138.887889
1o0h_472	121.142934
1o0h_474	122.442155
1o0h_482	121.363013
1o0h_488	160.272
1o0h_502	141.599537
1o0h_507	91.450853
1o0h_511	85.913443
1o0h_514	122.7212
1o0h_524	135.951893
1o0h_526	144.334961
1o0h_530	141.299074
1o0h_531	63.685193
1o0h_532	149.597669
1o0h_536	75.661859
1o0h_539	165.18164
1o0h_541	126.226108
1o0h_549	107.437692
1o0h_551	198.738397
1o0h_563	195.506847
1o0h_564	116.168821
1o0h_565	156.37111
1o0h_576	141.076252
1o0h_586	121.874208
1o0h_594	110.747338
1o0h_595	47.873221
1o0h_599	122.241529
1o0h_600	45.982345
1o0h_603	77.373428
1o0h_606	79.771818
1o0h_617	197.30034
1o0h_618	76.426099
1o0h_624	109.38407
1o0h_628	145.04278
1o0h_631	131.752731
1o0h_637	84.713903
1o0h_639	125.468589
1o0h_646	131.588077
1o0h_647	65.556965
1o0h_658	136.211691
1o0h_665	34.311814
1o0h_670	187.947815
1o0h_680	109.94268
1o0h_684	188.534094
1o0h_690	144.05068
1o0h_691	138.157807
1o0h_692	130.440556
1o0h_78	-1.088003
1o0h_786	136.818174
1o0h_789	47.015496
1o0h_794	81.944175
1o0h_821	50.237694
1o0h_876	41.295644
1o0h_879	71.574024
1o0h_89	124.873945
1o0h_909	61.100323
1o0h_915	72.568518
1o0h_918	67.809245
1o0h_956	56.689791
1o0h_968	42.247007
