#code	score
1u1b_ligand	-21.610777
1u1b_124	-6.684712
1u1b_149	-4.295248
1u1b_150	-0.045883
1u1b_154	-6.589845
1u1b_155	-7.540184
1u1b_157	-6.1094
1u1b_160	-5.09648
1u1b_166	-7.036575
1u1b_171	-0.380908
1u1b_172	-3.027159
1u1b_176	-9.259776
1u1b_18	41.238652
1u1b_183	-7.446982
1u1b_191	-9.966386
1u1b_195	12.640178
1u1b_196	0.481553
1u1b_198	-20.068518
1u1b_2	13.457374
1u1b_21	31.842091
1u1b_214	72.200258
1u1b_220	54.123789
1u1b_224	-3.086548
1u1b_232	35.77633
1u1b_237	34.433518
1u1b_24	80.52189
1u1b_255	56.604693
1u1b_256	42.395945
1u1b_258	38.222794
1u1b_26	100.300129
1u1b_260	53.898324
1u1b_263	57.786054
1u1b_27	58.234002
1u1b_275	120.035252
1u1b_277	75.80754
1u1b_28	54.039874
1u1b_295	91.082485
1u1b_298	75.379879
1u1b_3	55.508442
1u1b_30	35.154775
1u1b_330	-1.57251
1u1b_331	-7.51074
1u1b_340	-1.314224
1u1b_351	19.96269
1u1b_356	13.117643
1u1b_385	-15.017174
1u1b_388	2.566373
1u1b_390	-3.347078
1u1b_40	86.578494
1u1b_430	240.560834
1u1b_432	193.629864
1u1b_435	147.521092
1u1b_444	126.345501
1u1b_468	162.545326
1u1b_491	86.277649
1u1b_494	185.521525
1u1b_496	117.692682
1u1b_50	58.072849
1u1b_507	94.621182
1u1b_55	35.018241
1u1b_553	102.91408
1u1b_558	166.640683
1u1b_569	69.751701
1u1b_571	56.812248
1u1b_578	57.195772
1u1b_588	105.253153
1u1b_644	74.641588
1u1b_658	125.4025
1u1b_678	89.094881
1u1b_694	94.279655
1u1b_765	48.711807
1u1b_768	54.352153
1u1b_769	48.296548
1u1b_79	47.912368
1u1b_8	17.219977
1u1b_826	56.416437
1u1b_834	29.767939
1u1b_86	48.157555
1u1b_919	31.708444
1u1b_929	35.473368
1u1b_933	36.983021
1u1b_95	29.755611
1u1b_97	52.853335
