#code	score
1yc1_ligand	-26.308604
1yc1_130	15.878058
1yc1_134	19.569816
1yc1_14	63.364978
1yc1_159	-9.520801
1yc1_196	-0.163269
1yc1_199	8.793701
1yc1_205	-6.594781
1yc1_214	-5.782506
1yc1_220	13.061124
1yc1_246	20.678104
1yc1_254	8.688072
1yc1_281	20.771618
1yc1_289	11.346254
1yc1_29	8.035058
1yc1_293	19.837452
1yc1_296	6.15469
1yc1_314	28.555117
1yc1_352	9.952159
1yc1_376	30.142587
1yc1_38	-1.6276
1yc1_401	147.848768
1yc1_403	108.012153
1yc1_407	38.732639
1yc1_412	81.062061
1yc1_413	149.970389
1yc1_415	62.286564
1yc1_421	58.724719
1yc1_428	101.598606
1yc1_429	117.44671
1yc1_431	54.358639
1yc1_437	101.410861
1yc1_440	90.249561
1yc1_441	114.757495
1yc1_447	84.934232
1yc1_471	61.996979
1yc1_480	60.732463
1yc1_483	71.793677
1yc1_485	114.531583
1yc1_486	127.710317
1yc1_487	85.84797
1yc1_492	61.752064
1yc1_496	139.767028
1yc1_5	13.542074
1yc1_512	191.885493
1yc1_516	243.117551
1yc1_521	144.615953
1yc1_523	119.725043
1yc1_528	215.968255
1yc1_536	70.788843
1yc1_542	106.627042
1yc1_546	112.832807
1yc1_549	144.179648
1yc1_557	257.458924
1yc1_564	141.635031
1yc1_570	137.618337
1yc1_573	125.99063
1yc1_581	94.929355
1yc1_582	169.497844
1yc1_584	95.376496
1yc1_610	106.723163
1yc1_612	77.490335
1yc1_616	129.490924
1yc1_622	148.204689
1yc1_630	105.092779
1yc1_634	157.348283
1yc1_635	69.359213
1yc1_636	186.116911
1yc1_642	192.141481
1yc1_644	76.153354
1yc1_653	62.085283
1yc1_663	119.734481
1yc1_680	149.300477
1yc1_684	71.351871
1yc1_687	148.44895
1yc1_688	199.588083
1yc1_689	82.871521
1yc1_691	70.301707
1yc1_700	256.126131
1yc1_765	40.364494
1yc1_784	70.158583
