#code	score
1z9g_ligand	-2.380197
1z9g_159	3.833721
1z9g_219	2.187683
1z9g_227	29.783673
1z9g_229	9.810526
1z9g_236	55.884199
1z9g_253	20.330439
1z9g_269	41.774372
1z9g_285	50.862926
1z9g_317	8.701199
1z9g_406	74.877737
1z9g_421	46.702628
1z9g_432	43.771435
1z9g_442	50.46462
1z9g_453	20.48275
1z9g_455	49.561515
1z9g_465	35.51408
1z9g_468	62.136686
1z9g_472	24.367919
1z9g_481	58.241388
1z9g_484	56.762183
1z9g_490	15.805313
1z9g_527	56.269861
1z9g_551	34.744056
1z9g_575	40.887642
1z9g_581	73.114908
1z9g_582	31.440102
1z9g_583	69.669916
1z9g_585	31.41958
1z9g_588	13.659731
1z9g_593	44.984467
1z9g_595	34.707149
1z9g_596	52.398838
1z9g_597	32.279194
1z9g_598	53.382433
1z9g_608	26.133754
1z9g_609	58.993764
1z9g_613	27.962548
1z9g_618	33.712233
1z9g_626	31.262411
1z9g_634	57.690443
1z9g_638	64.591543
1z9g_641	37.962629
1z9g_647	19.134858
1z9g_651	46.726808
1z9g_667	64.881369
1z9g_678	50.625287
1z9g_679	53.071181
1z9g_68	4.487308
1z9g_680	58.908959
1z9g_684	82.535528
1z9g_694	27.731555
1z9g_699	64.03211
1z9g_701	19.470535
1z9g_703	9.927055
1z9g_707	16.830803
1z9g_710	7.756002
1z9g_715	2.050367
1z9g_720	20.136897
1z9g_721	11.205927
1z9g_722	13.688134
1z9g_723	16.474839
1z9g_725	14.511746
1z9g_734	10.312293
1z9g_738	8.727627
1z9g_741	-4.000224
1z9g_742	1.659302
1z9g_747	8.443986
1z9g_749	54.305139
1z9g_750	55.179615
1z9g_753	51.957654
1z9g_763	44.235688
1z9g_769	31.12977
1z9g_784	52.91835
1z9g_787	32.54487
1z9g_789	15.284886
1z9g_790	5.093917
1z9g_793	9.131576
1z9g_817	17.39255
1z9g_845	19.503957
1z9g_849	9.033038
1z9g_851	39.282868
1z9g_852	30.591605
1z9g_853	9.211351
1z9g_870	16.894004
1z9g_873	15.964166
1z9g_876	42.223179
1z9g_879	24.401631
1z9g_880	82.265695
1z9g_887	50.963921
1z9g_968	17.584152
