#code	score
2p15_ligand	-49.313621
2p15_133	26.246266
2p15_155	41.338134
2p15_216	59.120977
2p15_262	-40.262065
2p15_290	-14.526591
2p15_331	-49.031985
2p15_344	-22.966112
2p15_402	-11.794689
2p15_404	66.03688
2p15_407	15.884941
2p15_414	51.315268
2p15_415	69.38001
2p15_425	48.758291
2p15_427	93.478425
2p15_435	31.188617
2p15_437	32.605976
2p15_446	70.504724
2p15_453	41.163787
2p15_456	100.684244
2p15_460	61.650752
2p15_466	60.148717
2p15_471	85.445589
2p15_478	69.03344
2p15_479	72.428089
2p15_480	67.829133
2p15_481	104.930847
2p15_489	96.449064
2p15_493	75.613152
2p15_496	71.340198
2p15_546	76.113507
2p15_550	23.552926
2p15_557	162.712928
2p15_567	95.908672
2p15_568	85.6715
2p15_569	104.683944
2p15_578	42.644434
2p15_579	74.277299
2p15_582	87.605757
2p15_589	70.95526
2p15_590	99.027433
2p15_591	79.514493
2p15_592	127.691169
2p15_598	36.949255
2p15_600	108.175975
2p15_645	86.427859
2p15_678	102.584997
2p15_687	75.33368
2p15_699	48.849176
2p15_700	91.16717
2p15_765	73.513766
2p15_801	-12.328396
2p15_850	-7.146674
2p15_87	-41.88661
