#code	score
2w4x_ligand	-20.517719
2w4x_1000	19.880047
2w4x_156	13.316582
2w4x_172	6.227599
2w4x_180	11.95917
2w4x_190	-8.443152
2w4x_211	17.295325
2w4x_289	19.118093
2w4x_296	-9.229856
2w4x_306	-25.160778
2w4x_37	-14.913117
2w4x_405	-6.421196
2w4x_407	15.342072
2w4x_417	-7.983949
2w4x_420	50.973357
2w4x_455	28.780281
2w4x_457	10.516209
2w4x_459	0.612891
2w4x_466	15.731801
2w4x_488	74.623111
2w4x_519	32.067695
2w4x_523	3.169413
2w4x_535	57.306658
2w4x_541	44.035978
2w4x_560	19.844842
2w4x_586	34.66414
2w4x_595	22.587534
2w4x_61	-17.336817
2w4x_618	24.188019
2w4x_668	27.014539
2w4x_67	-13.189713
2w4x_679	5.101532
2w4x_690	29.382205
2w4x_699	17.841434
2w4x_703	-0.252247
2w4x_705	27.476575
2w4x_718	-6.349814
2w4x_733	25.240264
2w4x_741	26.684836
2w4x_745	7.738096
2w4x_755	4.770281
2w4x_756	27.854997
2w4x_757	-4.676028
2w4x_758	13.4807
2w4x_765	23.280198
2w4x_773	44.591124
2w4x_775	-4.841961
2w4x_780	9.795133
2w4x_785	-2.185056
2w4x_787	39.991185
2w4x_788	3.050883
2w4x_791	9.688085
2w4x_792	-7.235475
2w4x_794	13.035908
2w4x_795	4.908079
2w4x_797	69.169945
2w4x_816	30.169529
2w4x_832	39.226236
2w4x_849	29.184486
2w4x_862	8.521628
2w4x_880	22.852395
2w4x_884	3.429155
2w4x_890	26.571345
2w4x_891	-1.983714
2w4x_897	9.589894
2w4x_898	1.330619
2w4x_941	-0.986644
2w4x_944	25.127511
2w4x_954	1.867102
2w4x_955	40.717893
2w4x_989	9.93721
2w4x_991	37.558912
2w4x_997	4.240432
