#code	score
2weg_ligand	-14.362704
2weg_106	11.022627
2weg_146	-5.267759
2weg_177	-6.59852
2weg_20	-0.764262
2weg_204	-4.409668
2weg_21	7.192951
2weg_218	-12.03944
2weg_248	14.167872
2weg_301	-1.98885
2weg_314	-7.586218
2weg_335	-11.904397
2weg_343	-5.907014
2weg_371	-9.992317
2weg_385	-4.24861
2weg_387	-9.212948
2weg_390	1.396056
2weg_407	21.306968
2weg_415	55.72716
2weg_419	6.190924
2weg_437	18.456017
2weg_443	26.787182
2weg_447	56.732864
2weg_468	62.108265
2weg_472	31.66517
2weg_476	13.956829
2weg_502	37.179559
2weg_515	8.324109
2weg_517	37.951955
2weg_518	36.273626
2weg_52	-1.032009
2weg_520	62.689212
2weg_525	40.048084
2weg_530	45.216139
2weg_542	36.168794
2weg_566	31.361105
2weg_579	80.660116
2weg_582	45.670013
2weg_592	11.060185
2weg_598	24.628232
2weg_599	7.471294
2weg_604	16.128688
2weg_614	45.846778
2weg_620	35.012838
2weg_632	64.018297
2weg_643	38.43597
2weg_644	25.335816
2weg_653	45.532262
2weg_666	52.810322
2weg_674	50.454376
2weg_686	30.289285
2weg_699	64.781837
2weg_765	22.15431
2weg_776	10.290257
2weg_784	55.04076
2weg_785	18.359407
2weg_80	15.689937
2weg_838	-2.880866
