#code	score
2xii_ligand	-33.84427
2xii_108	1.361772
2xii_131	24.669331
2xii_137	49.141282
2xii_146	-33.068887
2xii_151	-13.930469
2xii_185	-10.415004
2xii_199	28.004106
2xii_237	-25.448004
2xii_238	2.841187
2xii_252	45.046957
2xii_253	-9.171916
2xii_293	-21.302665
2xii_355	-32.362376
2xii_397	-33.993162
2xii_401	21.135559
2xii_402	168.115857
2xii_406	23.968571
2xii_407	128.308137
2xii_409	50.213886
2xii_413	144.43328
2xii_414	133.179717
2xii_415	82.930057
2xii_417	89.290486
2xii_419	111.362001
2xii_426	153.74973
2xii_427	63.537851
2xii_429	140.790225
2xii_435	114.85315
2xii_436	115.497636
2xii_438	126.364006
2xii_445	106.743557
2xii_451	109.268843
2xii_452	105.548175
2xii_456	86.548645
2xii_459	114.849876
2xii_464	110.924486
2xii_467	84.491144
2xii_468	92.717891
2xii_469	132.43352
2xii_470	77.388151
2xii_471	84.849286
2xii_49	24.446904
2xii_492	102.886573
2xii_494	137.968489
2xii_496	13.588349
2xii_497	104.697667
2xii_513	30.601926
2xii_525	56.137559
2xii_528	89.489994
2xii_535	25.311742
2xii_542	47.053555
2xii_547	22.988804
2xii_550	58.715198
2xii_552	23.740548
2xii_554	34.024763
2xii_558	98.827864
2xii_561	26.766545
2xii_564	49.534533
2xii_567	22.542675
2xii_570	53.499001
2xii_576	47.554338
2xii_584	79.407964
2xii_586	38.903378
2xii_593	71.601706
2xii_594	82.805619
2xii_621	57.222967
2xii_637	64.589377
2xii_641	74.151332
2xii_661	122.155601
2xii_665	53.411745
2xii_674	52.408055
2xii_683	117.599432
2xii_688	92.431565
2xii_69	25.377143
2xii_696	59.842449
2xii_705	104.512688
2xii_715	50.252339
2xii_729	11.324441
2xii_757	14.836082
2xii_760	61.371404
2xii_762	35.610724
2xii_763	-14.146528
2xii_765	4.739784
2xii_822	84.626044
2xii_84	-23.675876
2xii_968	101.880244
2xii_97	13.327204
