#code	score
2zcq_ligand	17.001725
2zcq_1	27.974798
2zcq_10	37.356073
2zcq_12	83.578444
2zcq_168	32.47295
2zcq_213	43.543749
2zcq_227	41.420793
2zcq_254	26.002801
2zcq_259	9.0595
2zcq_263	57.297434
2zcq_27	24.526028
2zcq_274	91.535693
2zcq_281	32.224019
2zcq_284	6.677473
2zcq_311	9.896077
2zcq_36	26.35377
2zcq_369	-0.175349
2zcq_423	62.734112
2zcq_427	113.897225
2zcq_432	120.528038
2zcq_440	56.585854
2zcq_444	115.435023
2zcq_447	90.650152
2zcq_451	105.617783
2zcq_454	95.247216
2zcq_457	83.556149
2zcq_458	47.162297
2zcq_460	115.286893
2zcq_461	88.176425
2zcq_462	122.986329
2zcq_463	69.483274
2zcq_468	106.196386
2zcq_470	87.858428
2zcq_471	67.242517
2zcq_473	117.015034
2zcq_474	70.895277
2zcq_475	103.012512
2zcq_48	26.749352
2zcq_482	96.803256
2zcq_486	114.082243
2zcq_498	80.915935
2zcq_499	118.829601
2zcq_520	81.338712
2zcq_525	110.794886
2zcq_528	98.221012
2zcq_529	55.034014
2zcq_542	42.631148
2zcq_554	25.136556
2zcq_558	86.702403
2zcq_563	81.848357
2zcq_578	49.144686
2zcq_580	167.112989
2zcq_581	90.199477
2zcq_583	76.675038
2zcq_584	128.316438
2zcq_587	91.235235
2zcq_593	43.138365
2zcq_598	100.091576
2zcq_606	85.001985
2zcq_612	71.345645
2zcq_620	117.225691
2zcq_628	120.293959
2zcq_636	82.097561
2zcq_665	55.575164
2zcq_669	65.560794
2zcq_671	140.436874
2zcq_680	83.439219
2zcq_682	122.998062
2zcq_687	40.453701
2zcq_689	49.382036
2zcq_707	67.932556
2zcq_716	21.958048
2zcq_726	34.078572
2zcq_743	79.722031
2zcq_745	30.749482
2zcq_747	78.171813
2zcq_756	73.772599
2zcq_76	34.955582
2zcq_762	61.636959
2zcq_769	57.967438
2zcq_784	92.23048
2zcq_785	97.0982
2zcq_786	44.8836
2zcq_787	77.457825
2zcq_860	88.53438
2zcq_88	69.449829
2zcq_888	107.226207
2zcq_91	28.601536
2zcq_927	78.06393
2zcq_942	60.985793
2zcq_960	71.490758
2zcq_961	61.734559
2zcq_969	89.238794
2zcq_971	63.150552
2zcq_98	64.351701
