#code	score
3arv_ligand	-13.557351
3arv_1	4.899933
3arv_116	45.038338
3arv_122	29.601126
3arv_184	66.056166
3arv_304	14.243745
3arv_324	1.140453
3arv_327	-7.128377
3arv_336	-9.118401
3arv_337	19.486369
3arv_345	-14.781944
3arv_353	-3.17068
3arv_355	-7.526653
3arv_359	10.554435
3arv_367	9.835006
3arv_372	9.497706
3arv_373	32.914326
3arv_374	-5.743893
3arv_386	-4.066452
3arv_387	-7.022577
3arv_470	31.231096
3arv_51	1.409081
3arv_515	15.504147
3arv_559	67.240305
3arv_56	1.82055
3arv_600	96.517069
3arv_708	87.732576
3arv_715	40.823398
3arv_716	84.477735
3arv_717	34.021223
3arv_719	27.927373
3arv_720	22.882403
3arv_721	38.236786
3arv_723	22.451771
3arv_749	41.495132
3arv_750	16.773661
3arv_752	9.876386
3arv_771	-0.471994
3arv_774	16.583713
3arv_801	102.778498
3arv_803	128.6321
3arv_806	84.739889
3arv_807	114.514708
3arv_810	81.104477
3arv_811	110.02693
3arv_812	59.079583
3arv_815	103.065173
3arv_816	66.106206
3arv_817	80.380873
3arv_818	99.475811
3arv_819	82.371445
3arv_820	147.602011
3arv_821	50.20571
3arv_824	89.385941
3arv_828	57.514696
3arv_837	72.983721
3arv_842	39.874933
3arv_843	76.374037
3arv_848	78.877073
3arv_849	57.475893
3arv_850	2.837532
3arv_853	119.214351
3arv_855	99.010107
3arv_856	73.563747
3arv_860	15.848481
3arv_861	41.738446
3arv_868	40.738804
3arv_869	98.049339
3arv_876	27.888463
3arv_877	51.358416
3arv_879	45.728649
3arv_880	29.263912
3arv_881	43.364451
3arv_882	84.45019
3arv_887	29.516134
3arv_888	39.283259
3arv_889	26.371263
3arv_897	43.255174
3arv_898	40.870986
3arv_900	7.797668
3arv_908	86.354005
3arv_910	114.041738
3arv_912	110.831849
3arv_916	138.902325
3arv_924	50.03876
3arv_930	135.594405
3arv_931	48.657253
3arv_943	32.18898
3arv_944	103.806944
3arv_951	26.548919
3arv_963	61.87175
3arv_966	70.026007
3arv_968	80.392601
3arv_982	78.387232
3arv_995	10.049029
