#code	score
3b27_ligand	-18.804872
3b27_106	18.361206
3b27_110	59.396502
3b27_119	56.024541
3b27_120	34.214318
3b27_123	48.850157
3b27_130	53.795693
3b27_139	-8.779928
3b27_147	72.460496
3b27_164	17.409083
3b27_168	33.896571
3b27_178	5.963819
3b27_19	31.878833
3b27_199	18.570673
3b27_264	22.220194
3b27_307	-10.30347
3b27_311	17.802122
3b27_337	21.201279
3b27_340	10.954685
3b27_351	2.92085
3b27_366	-2.758804
3b27_414	107.295116
3b27_417	97.783962
3b27_419	91.759102
3b27_423	84.801867
3b27_431	54.838427
3b27_433	92.929439
3b27_436	29.424442
3b27_439	77.781396
3b27_450	46.120385
3b27_457	70.949931
3b27_458	37.521251
3b27_469	46.270929
3b27_474	71.673483
3b27_487	79.307273
3b27_488	63.017582
3b27_500	47.998765
3b27_505	10.014875
3b27_515	54.414372
3b27_520	39.831723
3b27_521	21.267615
3b27_532	40.965283
3b27_537	49.160856
3b27_538	0.716896
3b27_540	91.636452
3b27_560	52.031957
3b27_566	63.999625
3b27_577	47.421983
3b27_581	64.066227
3b27_587	125.183661
3b27_588	68.761738
3b27_590	111.696759
3b27_591	55.896504
3b27_601	43.936417
3b27_618	98.611924
3b27_619	79.332997
3b27_630	127.344443
3b27_634	105.942796
3b27_647	46.035435
3b27_651	36.669372
3b27_658	50.521479
3b27_661	63.326385
3b27_665	43.309921
3b27_690	45.216808
3b27_692	93.828531
3b27_697	60.936082
3b27_741	64.968646
3b27_77	23.348461
3b27_775	51.732429
3b27_782	65.36359
3b27_8	19.265365
3b27_83	-10.842866
