#code	score
3coy_ligand	-37.386169
3coy_110	42.163634
3coy_120	25.040481
3coy_156	67.879012
3coy_158	15.796703
3coy_16	9.753258
3coy_163	70.385742
3coy_168	28.168994
3coy_185	33.63855
3coy_189	86.040365
3coy_215	-1.358732
3coy_224	-24.121794
3coy_235	11.327924
3coy_252	-8.721311
3coy_254	-0.58673
3coy_258	45.384758
3coy_262	12.743949
3coy_276	73.087803
3coy_280	23.651246
3coy_291	26.680534
3coy_293	18.524941
3coy_305	26.110826
3coy_31	-17.162389
3coy_339	25.492701
3coy_347	86.239802
3coy_355	17.927614
3coy_359	8.391215
3coy_373	26.083211
3coy_384	-33.122826
3coy_395	-13.416413
3coy_4	33.707805
3coy_400	47.046047
3coy_416	68.127337
3coy_417	107.222638
3coy_422	145.148614
3coy_425	160.168226
3coy_44	48.451816
3coy_444	134.099274
3coy_455	104.519404
3coy_458	113.137438
3coy_460	47.983941
3coy_463	80.687345
3coy_464	105.951779
3coy_467	138.191011
3coy_468	74.385398
3coy_472	114.21917
3coy_476	54.774388
3coy_485	63.954583
3coy_498	68.879561
3coy_500	102.613666
3coy_510	82.32036
3coy_513	67.703748
3coy_522	97.51244
3coy_525	94.662975
3coy_528	109.907192
3coy_529	117.095192
3coy_541	81.592058
3coy_544	53.504618
3coy_545	101.177383
3coy_546	114.530413
3coy_547	116.076862
3coy_550	138.210034
3coy_553	116.457658
3coy_559	107.347161
3coy_562	112.037948
3coy_563	122.924199
3coy_566	78.497293
3coy_581	107.415009
3coy_582	133.730176
3coy_588	98.801919
3coy_589	89.067543
3coy_591	103.082656
3coy_593	87.300654
3coy_600	141.69988
3coy_610	116.972158
3coy_611	122.053023
3coy_619	170.785483
3coy_620	118.79624
3coy_623	133.831196
3coy_632	140.611091
3coy_634	127.282527
3coy_640	100.6849
3coy_650	126.853468
3coy_66	5.240274
3coy_667	119.975455
3coy_675	80.555774
3coy_684	150.701688
3coy_685	115.257094
3coy_686	166.844488
3coy_693	170.825138
3coy_695	98.926699
3coy_733	4.005334
3coy_794	18.706397
3coy_834	-1.955979
