#code	score
3f3e_ligand	-17.96258
3f3e_107	-16.17908
3f3e_122	0.726062
3f3e_173	-8.279658
3f3e_174	-9.200686
3f3e_182	6.991499
3f3e_197	-16.226588
3f3e_418	4.048184
3f3e_422	27.178282
3f3e_427	7.05267
3f3e_429	5.564902
3f3e_435	13.647124
3f3e_441	-0.035659
3f3e_444	7.660199
3f3e_447	16.957868
3f3e_451	30.248732
3f3e_457	-0.279464
3f3e_466	24.34642
3f3e_473	24.367946
3f3e_478	19.887497
3f3e_485	43.884529
3f3e_508	-0.572363
3f3e_511	10.206713
3f3e_527	18.836183
3f3e_565	1.190207
3f3e_569	10.31626
3f3e_579	42.785243
3f3e_582	17.422657
3f3e_586	18.078964
3f3e_587	13.083226
3f3e_591	23.43267
3f3e_594	20.333988
3f3e_630	49.683884
3f3e_634	37.590957
3f3e_635	14.116377
3f3e_638	32.140079
3f3e_662	46.824467
3f3e_688	3.584889
3f3e_697	41.21958
3f3e_700	53.730625
3f3e_760	47.831271
3f3e_772	37.842438
3f3e_773	19.553234
3f3e_780	23.631649
3f3e_783	54.703962
3f3e_784	28.891557
3f3e_844	1.462087
