#code	score
3gy4_ligand	-22.368425
3gy4_121	-6.000958
3gy4_14	-13.767908
3gy4_184	-15.50117
3gy4_236	21.316135
3gy4_251	19.823996
3gy4_259	13.963006
3gy4_269	11.642796
3gy4_284	13.26614
3gy4_39	-20.863137
3gy4_413	0.778732
3gy4_415	29.136254
3gy4_423	41.629243
3gy4_424	0.434013
3gy4_430	-2.879933
3gy4_437	5.897297
3gy4_452	33.122307
3gy4_460	3.477822
3gy4_466	5.439093
3gy4_483	65.824643
3gy4_496	-2.436132
3gy4_497	20.465475
3gy4_517	94.925231
3gy4_525	14.50086
3gy4_528	14.235626
3gy4_531	9.77749
3gy4_54	-12.954933
3gy4_550	30.682944
3gy4_557	6.133201
3gy4_561	37.807928
3gy4_565	20.410797
3gy4_570	54.674453
3gy4_573	41.789992
3gy4_590	31.642668
3gy4_591	32.888033
3gy4_593	36.691437
3gy4_596	43.156338
3gy4_598	28.30177
3gy4_599	-0.266356
3gy4_633	42.523042
3gy4_638	39.296508
3gy4_643	28.359555
3gy4_648	67.949301
3gy4_669	51.833085
3gy4_685	29.829801
3gy4_686	13.142545
