#code	score
3jya_ligand	-8.117653
3jya_125	10.845638
3jya_179	15.15361
3jya_20	-6.267725
3jya_238	-0.159482
3jya_285	2.952132
3jya_315	-1.230483
3jya_324	-7.293321
3jya_402	40.164114
3jya_403	14.767508
3jya_405	12.440155
3jya_408	5.105598
3jya_413	-1.987266
3jya_418	9.703551
3jya_420	-2.839647
3jya_425	8.846801
3jya_428	-7.692613
3jya_435	-7.539545
3jya_440	12.732955
3jya_449	6.076272
3jya_455	-0.067703
3jya_457	25.200086
3jya_459	-4.314728
3jya_469	7.209148
3jya_470	-9.178414
3jya_471	33.571566
3jya_472	13.552992
3jya_475	34.875602
3jya_481	-7.732402
3jya_490	4.890075
3jya_494	21.616757
3jya_506	-4.65551
3jya_508	9.733528
3jya_518	0.858926
3jya_531	5.488341
3jya_538	4.569077
3jya_544	-5.844474
3jya_553	-2.591259
3jya_570	-6.197298
3jya_572	-0.485495
3jya_584	-2.87779
3jya_594	19.452767
3jya_647	31.767659
3jya_649	18.530924
3jya_690	27.966603
3jya_700	30.154947
3jya_712	21.788482
3jya_730	27.176663
3jya_734	57.431445
3jya_735	34.167814
3jya_736	49.632653
3jya_741	41.170391
3jya_742	15.202417
3jya_744	26.091603
3jya_748	10.024477
3jya_750	11.636247
3jya_752	15.929308
3jya_755	12.711583
3jya_756	21.176287
3jya_758	10.664952
3jya_761	9.675159
3jya_764	10.808984
3jya_765	4.854093
3jya_766	0.324632
3jya_767	6.08835
3jya_771	3.807826
3jya_772	4.46429
3jya_774	-0.083014
3jya_775	7.27748
3jya_776	21.765181
3jya_780	60.109548
3jya_782	75.690443
3jya_783	123.670539
3jya_786	125.519418
3jya_787	127.41312
3jya_788	175.441593
3jya_791	163.574195
3jya_793	193.851953
3jya_795	110.787517
3jya_796	145.947687
3jya_797	161.336842
3jya_798	197.649066
3jya_799	208.904335
3jya_865	-2.936179
3jya_890	57.033356
3jya_898	12.330251
