#code	score
3lka_ligand	-6.291855
3lka_161	-3.809188
3lka_24	19.11263
3lka_258	71.342473
3lka_319	-1.450922
3lka_373	-11.189615
3lka_404	16.429231
3lka_431	23.670455
3lka_435	28.257235
3lka_438	44.689648
3lka_439	35.907
3lka_443	18.970354
3lka_444	32.706611
3lka_456	61.173572
3lka_457	19.771104
3lka_459	61.435664
3lka_468	54.344269
3lka_472	3.55818
3lka_477	28.903056
3lka_485	36.716225
3lka_486	-10.737254
3lka_490	33.51142
3lka_491	9.858905
3lka_495	30.596036
3lka_498	37.41638
3lka_501	54.118153
3lka_505	39.411763
3lka_510	58.537277
3lka_515	17.685617
3lka_518	33.628082
3lka_521	11.187497
3lka_536	83.909875
3lka_541	19.771104
3lka_544	48.363202
3lka_554	31.447845
3lka_556	23.670455
3lka_558	53.671002
3lka_559	9.872225
3lka_562	-4.956461
3lka_565	67.336227
3lka_568	46.866611
3lka_582	85.353094
3lka_588	7.736966
3lka_593	13.928157
3lka_613	61.485991
3lka_627	44.133548
3lka_644	53.662945
3lka_652	40.030938
3lka_653	7.856024
3lka_660	35.963374
3lka_665	-10.737254
3lka_668	19.771104
3lka_685	5.957135
3lka_735	32.46352
3lka_745	14.050628
3lka_749	45.898283
3lka_752	25.296744
3lka_756	46.648141
3lka_760	35.753006
3lka_764	77.265854
3lka_771	17.536848
3lka_772	32.302788
3lka_774	2.830585
3lka_775	14.776188
3lka_777	0.191429
3lka_780	49.052268
3lka_787	6.875906
3lka_791	31.645186
3lka_792	17.099079
3lka_794	35.760056
3lka_868	32.443526
3lka_870	32.46352
3lka_871	23.855197
3lka_882	26.727114
3lka_884	25.659137
3lka_888	32.20021
3lka_889	25.50611
3lka_893	34.07806
3lka_932	28.280028
3lka_94	21.288848
