#code	score
3u5j_ligand	-30.275094
3u5j_124	13.273461
3u5j_143	-8.411949
3u5j_147	4.61577
3u5j_174	4.008488
3u5j_195	32.908263
3u5j_20	9.156251
3u5j_203	43.745925
3u5j_213	7.877927
3u5j_233	1.017586
3u5j_24	26.454998
3u5j_251	10.608366
3u5j_257	6.305587
3u5j_268	79.049732
3u5j_290	74.017546
3u5j_294	-0.053327
3u5j_419	180.289733
3u5j_421	76.784209
3u5j_434	111.951411
3u5j_439	121.711138
3u5j_458	91.553337
3u5j_47	-8.951503
3u5j_475	29.761546
3u5j_481	31.910773
3u5j_482	97.561699
3u5j_491	123.017748
3u5j_493	146.617624
3u5j_497	103.024517
3u5j_498	82.575763
3u5j_505	-0.148245
3u5j_526	22.574229
3u5j_536	119.743026
3u5j_54	1.674623
3u5j_557	18.632494
3u5j_561	27.018489
3u5j_563	70.821184
3u5j_566	24.145337
3u5j_574	47.011386
3u5j_576	74.668157
3u5j_578	89.167796
3u5j_580	84.631039
3u5j_584	84.200652
3u5j_589	67.189814
3u5j_591	91.058528
3u5j_593	22.935078
3u5j_603	123.754916
3u5j_62	-15.377592
3u5j_620	65.063723
3u5j_639	28.208056
3u5j_65	-11.95673
3u5j_690	99.64968
3u5j_710	50.634564
3u5j_723	9.894249
3u5j_728	30.297913
3u5j_731	15.21526
3u5j_733	50.297351
3u5j_736	40.671994
3u5j_746	33.278055
3u5j_756	24.379563
3u5j_757	32.082094
3u5j_759	14.488399
3u5j_764	14.943303
3u5j_773	7.606826
3u5j_803	23.400618
3u5j_830	8.908477
3u5j_845	12.368287
3u5j_858	37.918985
3u5j_894	58.299147
3u5j_928	29.699229
3u5j_968	55.505647
3u5j_972	38.260081
3u5j_974	18.150567
