#code	score
3uev_ligand	-19.016804
3uev_117	3.731488
3uev_178	5.063072
3uev_194	-1.816106
3uev_233	24.075378
3uev_236	6.958565
3uev_249	-23.721675
3uev_266	-10.045896
3uev_272	3.495104
3uev_277	-5.05219
3uev_290	7.848222
3uev_36	-13.553557
3uev_37	-14.940682
3uev_420	14.286625
3uev_444	37.679408
3uev_451	4.453952
3uev_452	27.669016
3uev_455	26.689957
3uev_456	38.386178
3uev_464	45.329063
3uev_465	0.3609
3uev_467	12.225801
3uev_474	36.159297
3uev_475	36.667053
3uev_483	19.260722
3uev_488	32.138744
3uev_509	3.02539
3uev_544	6.839838
3uev_561	34.220251
3uev_566	20.008135
3uev_569	18.485373
3uev_573	8.055832
3uev_575	12.967697
3uev_580	15.575506
3uev_583	28.360918
3uev_585	11.311716
3uev_590	18.526815
3uev_591	16.569313
3uev_592	24.43738
3uev_598	42.196641
3uev_603	48.660878
3uev_611	48.23338
3uev_619	37.913364
3uev_62	-19.407063
3uev_621	52.733461
3uev_645	25.275558
3uev_655	38.235153
3uev_659	18.641826
3uev_661	36.081295
3uev_666	36.126029
3uev_673	26.070674
3uev_675	22.537025
3uev_684	15.194981
3uev_695	44.569301
3uev_700	5.878549
3uev_72	-5.119823
3uev_731	12.180455
3uev_749	11.3042
3uev_766	8.575569
3uev_778	7.415028
3uev_793	12.782096
3uev_794	1.094414
3uev_80	-10.639965
3uev_800	36.826077
3uev_830	20.44624
3uev_937	33.15148
3uev_957	25.414331
3uev_975	21.876359
