#code	score
3zsx_ligand	-31.904943
3zsx_113	25.242039
3zsx_136	9.640582
3zsx_138	22.99189
3zsx_175	49.540535
3zsx_20	-10.690079
3zsx_201	28.756818
3zsx_21	41.969622
3zsx_210	80.181951
3zsx_213	41.87842
3zsx_217	1.951649
3zsx_226	88.409783
3zsx_229	8.941978
3zsx_230	-4.417855
3zsx_231	13.554792
3zsx_235	10.389088
3zsx_237	8.25062
3zsx_240	27.195116
3zsx_247	22.391359
3zsx_253	21.338455
3zsx_254	8.48932
3zsx_26	11.489472
3zsx_262	64.634649
3zsx_274	23.661443
3zsx_282	0.052748
3zsx_293	23.140508
3zsx_3	22.899722
3zsx_318	20.716147
3zsx_32	13.419931
3zsx_326	-7.39138
3zsx_329	10.645188
3zsx_337	3.678762
3zsx_345	-20.58972
3zsx_359	-5.597944
3zsx_374	2.94149
3zsx_379	-4.806433
3zsx_395	28.254881
3zsx_4	14.722525
3zsx_40	-1.811823
3zsx_408	131.560653
3zsx_419	143.193768
3zsx_436	120.752633
3zsx_456	124.985852
3zsx_46	-4.949969
3zsx_487	138.61795
3zsx_495	132.335756
3zsx_51	-2.839281
3zsx_52	16.832186
3zsx_524	55.754254
3zsx_537	-4.688119
3zsx_545	102.85748
3zsx_556	54.377842
3zsx_568	93.363655
3zsx_569	22.716927
3zsx_576	62.567156
3zsx_582	8.659105
3zsx_585	89.021957
3zsx_586	88.259807
3zsx_599	45.870042
3zsx_608	39.519293
3zsx_628	68.297803
3zsx_636	55.189606
3zsx_637	86.49704
3zsx_667	37.647457
3zsx_674	68.038065
3zsx_677	40.093348
3zsx_684	47.094512
3zsx_713	24.414993
3zsx_714	5.232301
3zsx_74	-12.249354
3zsx_741	-1.21717
3zsx_749	-2.135042
3zsx_75	6.799708
3zsx_759	21.041903
3zsx_76	25.023538
3zsx_773	13.18832
3zsx_774	-0.53907
3zsx_776	44.506577
3zsx_780	5.444783
3zsx_79	20.39663
3zsx_791	6.313193
3zsx_80	-7.607305
3zsx_859	14.600603
3zsx_90	5.323346
3zsx_908	24.944029
3zsx_91	0.85541
3zsx_933	50.763014
3zsx_955	50.648376
3zsx_961	37.731469
3zsx_965	50.532196
3zsx_978	55.17
